T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.83587	0.16413	8.28486	7.47278	0.0	19.14379	35.33609	1.16007	0.86202	55.68528	139.61141	20.10822	0.38464	8.93023	17344.89162	0.91445	4.70815E-4	1819.71252	48068.557	 	0.0
1395.0	0.88732	0.11268	8.30416	7.45498	-0.2383	18.58808	35.46341	1.15245	0.86772	71.57796	140.15575	25.98821	0.37712	9.17684	23352.12441	0.88721	3.48655E-4	1821.09026	47186.778	176.3558	678.278
1390.0	0.91909	0.0809131	8.31693	7.44315	-0.39649	18.23934	35.50953	1.1475	0.87146	83.13634	140.64761	30.28883	0.37239	9.41877	28513.65241	0.86183	2.84685E-4	1822.28528	46576.867	121.9822	1085.183
1385.0	0.94007	0.0599305	8.32612	7.4346	-0.51092	18.00379	35.50986	1.14404	0.8741	91.65445	141.10921	33.47014	0.3692	9.65723	33122.14432	0.83803	2.44339E-4	1823.35108	46113.288	92.7158	1346.25
1380.0	0.95468	0.0453215	8.33321	7.42799	-0.59943	17.8353	35.48244	1.14147	0.87606	98.094	141.55188	35.88157	0.36691	9.89378	37409.5673	0.81552	2.15683E-4	1824.32665	45735.046	75.6484	1522.47
1375.0	0.96529	0.0347142	8.33897	7.4226	-0.67148	17.7094	35.43729	1.13947	0.8776	103.09872	141.98214	37.75942	0.36521	10.12934	41540.46237	0.79415	1.93648E-4	1825.23911	45409.844	65.0404	1646.133
1370.0	0.97325	0.0267453	8.34386	7.41803	-0.73267	17.61161	35.38019	1.13785	0.87885	107.09248	142.40339	39.26032	0.36388	10.36478	45629.9411	0.77376	1.75758E-4	1826.10934	45119.358	58.0972	1735.562
1365.0	0.97941	0.0205877	8.34816	7.41402	-0.78636	17.53323	35.31476	1.13648	0.87991	110.35827	142.81792	40.48922	0.36281	10.60059	49762.2784	0.75424	1.60672E-4	1826.95294	44852.589	53.3538	1801.752
1360.0	0.98428	0.0157162	8.35203	7.41041	-0.83468	17.46871	35.2433	1.13531	0.88081	113.08741	143.22707	41.51733	0.36193	10.83779	54001.33572	0.73548	1.47607E-4	1827.7805	44602.618	49.9942	1851.619
1355.0	0.98821	0.0117856	8.35561	7.40709	-0.87905	17.4144	35.16734	1.13428	0.88162	115.41273	143.63177	42.39416	0.36119	11.07672	58398.3694	0.71741	1.36076E-4	1828.60049	44364.917	47.5402	1889.688
1350.0	0.99144	0.00855917	8.35895	7.404	-0.9204	17.36789	35.08794	1.13336	0.88233	117.4282	144.03273	43.15483	0.36055	11.31796	62997.01536	0.69997	1.25755E-4	1829.41777	44136.421	45.6992	1919.019
1345.0	0.99413	0.00587071	8.36212	7.40108	-0.95946	17.32724	35.00589	1.13251	0.88299	119.20234	144.43032	43.82495	0.35998	11.56154	67836.4634	0.68311	1.16424E-4	1830.23899	43914.994	44.2854	1941.746
1340.0	0.9964	0.00360308	8.36516	7.3983	-0.99671	17.29124	34.92175	1.13174	0.8836	120.7854	144.82489	44.42334	0.35948	11.80811	72953.32913	0.66678	1.07924E-4	1831.06637	43699.11	43.1768	1959.392
1335.0	0.99833	0.00166808	8.36808	7.39563	-1.03251	17.25896	34.83591	1.13101	0.88417	122.21479	145.2167	44.96403	0.35903	12.0582	78382.88827	0.65092	1.00136E-4	1831.90193	43487.653	42.2914	1973.068
1330.0	1.0	0.0	8.37093	7.39304	-1.06712	17.22969	34.74867	1.13032	0.8847	123.5191	145.60591	45.45773	0.35861	 	84160.5579	 	9.2972E-5	 	43279.794	41.5718	1983.602
1325.0	1.0	0.0	8.3735	7.39078	-1.09735	17.21232	34.65444	1.12986	0.88507	123.98447	145.9805	45.63466	0.35845	 	89807.92546	 	8.6854E-5	 	43094.15664	37.12747	 
1320.0	1.0	0.0	8.37604	7.38854	-1.12733	17.19551	34.56039	1.12939	0.88543	124.44881	146.35336	45.81124	0.35828	 	95879.03959	 	8.10998E-5	 	42906.86806	37.45772	 
1315.0	1.0	0.0	8.37858	7.3863	-1.15728	17.17867	34.46634	1.12892	0.8858	124.91237	146.72441	45.98757	0.35811	 	102402.7331	 	7.56949E-5	 	42719.84681	37.40425	 
1310.0	1.0	0.0	8.38111	7.38407	-1.18718	17.16182	34.37228	1.12844	0.88618	125.37515	147.09367	46.16367	0.35794	 	109415.789	 	7.06202E-5	 	42533.09257	37.35085	 
1305.0	1.0	0.0	8.38365	7.38184	-1.21705	17.14494	34.27823	1.12797	0.88655	125.83715	147.46115	46.33952	0.35777	 	116958.214	 	6.58574E-5	 	42346.60506	37.2975	 
1300.0	1.0	0.0	8.38618	7.37961	-1.24688	17.12803	34.18418	1.12749	0.88693	126.29837	147.82685	46.51512	0.35761	 	125073.5536	 	6.13891E-5	 	42160.38395	37.24422	 
