T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.63151	7.73667	0.0	24.39606	28.35074	1.44589	0.69161	0.0	127.47842	0.0	0.5	9.11025	9.11025	0.89638	0.89638	1870.59358	62677.848	 	0.0
1395.0	0.0	1.0	7.63542	7.7327	-0.0512014	24.34798	28.27738	1.44531	0.69189	0.0	127.65749	0.0	0.5	9.20958	9.20958	0.88406	0.88406	1872.58392	62470.0	41.5696	0.0
1391.24	0.0	1.0	7.63836	7.72973	-0.089598	24.31188	28.22221	1.44487	0.6921	0.0	127.79214	0.0	0.5	9.28539	9.28539	0.87487	0.87487	1874.08119	62314.049	41.48151	0.0
1390.0	0.06326	0.93674	7.64888	7.71907	-0.22738	23.96365	28.44826	1.43233	0.69817	0.00164762	127.61992	5.52574E-4	0.49086	9.33971	10.63426	0.86913	0.76333	1875.0109	61395.798	740.24442	866.856
1385.0	0.28973	0.71027	7.68661	7.68122	-0.71668	22.73179	29.27593	1.38765	0.72064	0.74028	126.9732	0.2539	0.45781	9.56271	232.4993	0.84631	0.0348088	1878.76656	58105.795	658.0006	3950.005
1380.0	0.45243	0.54757	7.71436	7.65356	-1.07417	21.84774	29.88918	1.35508	0.73796	4.47356	126.55524	1.56011	0.43373	9.79179	1392.17575	0.82402	0.00579569	1882.52171	55701.485	480.862	6147.952
1375.0	0.57177	0.42823	7.73531	7.63288	-1.34149	21.20218	30.34741	1.33058	0.75155	11.55585	126.30688	4.08085	0.41586	10.02695	3733.29722	0.80226	0.00215472	1886.27486	53896.196	361.0578	7747.371
1370.0	0.6609	0.3391	7.75153	7.61689	-1.5481	20.71744	30.68709	1.31186	0.76228	20.83996	126.18205	7.43025	0.40237	10.2683	7045.55514	0.78103	0.00113828	1890.02566	52506.243	277.9906	8931.941
1365.0	0.72851	0.27149	7.7644	7.60427	-1.71131	20.3479	30.93528	1.29738	0.77079	31.02903	126.15178	11.14524	0.39203	10.51584	11017.56336	0.76032	7.25696E-4	1893.77305	51410.523	219.144	9822.762
1360.0	0.78051	0.21949	7.77485	7.59404	-1.84352	20.06076	31.113	1.28603	0.77759	41.18077	126.19281	14.87751	0.38399	10.76964	15392.89507	0.74014	5.17836E-4	1897.51619	50527.204	176.6638	10501.664
1355.0	0.82099	0.17901	7.78353	7.58556	-1.9531	19.8339	31.2364	1.27703	0.78307	50.73616	126.28931	18.41377	0.37767	11.02979	19998.31842	0.72047	3.97363E-4	1901.25446	49799.774	145.486	11025.156
