T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	8.18107	7.75514	0.0	24.99034	28.34204	1.44634	0.6914	0.0	133.44469	0.0	0.5	9.67603	9.67603	0.84396	0.84396	1955.16613	63330.999	 	0.0
1395.0	0.0	1.0	8.1853	7.75113	-0.0517254	24.94272	28.2731	1.44553	0.69179	0.0	133.61422	0.0	0.5	9.78626	9.78626	0.83197	0.83197	1958.21501	63125.251	41.1496	0.0
1390.0	0.0	1.0	8.18953	7.74713	-0.1033	24.89516	28.20417	1.44472	0.69217	0.0	133.78374	0.0	0.5	9.89842	9.89842	0.82007	0.82007	1961.27646	62919.986	41.053	0.0
1385.66	0.0	1.0	8.19319	7.74367	-0.14795	24.85392	28.14433	1.44401	0.69251	0.0	133.93092	0.0	0.5	9.99739	9.99739	0.80984	0.80984	1963.94459	62742.184	40.96103	0.0
1385.0	0.03295	0.96705	8.20089	7.73641	-0.24162	24.61271	28.25647	1.43771	0.69555	1.4282E-4	134.42183	4.77589E-5	0.49522	10.02915	10.52399	0.80695	0.76901	1965.03004	62149.738	898.6803	565.462
1380.0	0.25839	0.74161	8.25315	7.68744	-0.87303	22.99013	29.04326	1.39455	0.71708	0.5541	137.59628	0.18949	0.46208	10.27823	186.54983	0.78502	0.0432518	1973.22951	58099.92	809.9636	4410.974
1375.0	0.41833	0.58167	8.29067	7.65261	-1.32216	21.85199	29.6208	1.36322	0.73356	3.88135	139.79437	1.34941	0.43816	10.53646	1270.93702	0.76346	0.00632935	1981.32789	55189.216	582.1408	7117.846
1370.0	0.53484	0.46516	8.31843	7.62699	-1.6525	21.03015	30.05166	1.3396	0.74649	10.52055	141.37405	3.70315	0.42049	10.80364	3569.69768	0.74232	0.00224663	1989.29839	53032.68	431.3072	9071.021
1365.0	0.62166	0.37834	8.33953	7.60756	-1.90301	20.42121	30.37297	1.32139	0.75678	19.42103	142.55192	6.90084	0.40715	11.07979	6895.34686	0.72162	0.00115954	1997.12089	51388.773	328.7814	10512.038
1360.0	0.68767	0.31233	8.356	7.59244	-2.09806	19.96049	30.61063	1.30713	0.76503	29.34513	143.4624	10.5037	0.3969	11.36481	10948.89371	0.70138	7.28019E-4	2004.7794	50101.756	257.4034	11596.634
