T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.87912	7.87646	0.0	28.63052	29.36444	1.39598	0.71634	0.0	127.56803	0.0	0.5	8.50481	8.50481	0.96019	0.96019	1836.37902	49345.962	 	0.0
1395.0	0.0	1.0	7.88332	7.87227	-0.0532	28.59028	29.28579	1.39555	0.71657	0.0	127.7166	0.0	0.5	8.60009	8.60009	0.94671	0.94671	1840.39633	49141.442	40.904	0.0
1390.0	0.0	1.0	7.8875	7.86809	-0.10625	28.55017	29.20715	1.39511	0.71679	0.0	127.86516	0.0	0.5	8.69702	8.69702	0.93336	0.93336	1844.45189	48937.408	40.8068	0.0
1385.0	0.0	1.0	7.89168	7.86393	-0.15914	28.51019	29.1285	1.39467	0.71702	0.0	128.01373	0.0	0.5	8.79564	8.79564	0.92012	0.92012	1848.54548	48733.855	40.7106	0.0
1380.0	0.0	1.0	7.89585	7.85977	-0.21188	28.47033	29.04986	1.39423	0.71724	0.0	128.1623	0.0	0.5	8.89599	8.89599	0.90699	0.90699	1852.67685	48530.781	40.6148	0.0
1375.0	0.0	1.0	7.90001	7.85563	-0.26446	28.43061	28.97121	1.39379	0.71747	0.0	128.31086	0.0	0.5	8.9981	8.9981	0.89399	0.89399	1856.8457	48328.183	40.5196	0.0
1370.0	0.0	1.0	7.90417	7.8515	-0.31689	28.39101	28.89257	1.39334	0.7177	0.0	128.45943	0.0	0.5	9.10201	9.10201	0.8811	0.8811	1861.05177	48126.058	40.425	0.0
1365.0	0.0	1.0	7.90832	7.84738	-0.36917	28.35155	28.81392	1.39289	0.71793	0.0	128.60799	0.0	0.5	9.20777	9.20777	0.86833	0.86833	1865.29472	47924.403	40.331	0.0
1360.5	0.0	1.0	7.91204	7.84369	-0.41606	28.31617	28.74317	1.39249	0.71814	0.0	128.74165	0.0	0.5	9.30452	9.30452	0.85694	0.85694	1869.14298	47743.399	40.24055	0.0
1360.0	0.01473	0.98527	7.91624	7.8395	-0.46921	28.17843	28.78192	1.39018	0.71933	5.00843E-6	129.07332	1.67164E-6	0.49806	9.31433	9.49902	0.85578	0.83914	1868.90352	47499.681	485.54238	223.533
1355.0	0.15287	0.84713	7.95576	7.80056	-0.96363	26.89888	29.14932	1.36846	0.73075	0.0593587	132.10566	0.0200579	0.47968	9.4138	29.65035	0.84414	0.26801	1866.52856	45216.64	456.6082	2305.852
1350.0	0.26598	0.73402	7.9887	7.76836	-1.37241	25.85055	29.44624	1.3505	0.74047	0.55376	134.56086	0.18907	0.46443	9.51603	189.92242	0.83251	0.0417128	1864.18901	43326.7	377.988	3995.531
1345.0	0.35952	0.64048	8.01648	7.7415	-1.71352	24.98535	29.68823	1.33537	0.74886	1.87773	136.57667	0.64675	0.45166	9.62116	640.9182	0.82088	0.0123226	1861.89866	41743.245	316.691	5379.185
1340.0	0.43765	0.56235	8.04013	7.71876	-2.00224	24.26206	29.88576	1.32244	0.75618	4.17789	138.25181	1.44977	0.44088	9.72922	1476.10426	0.80925	0.00533389	1859.67102	40401.251	268.3988	6521.836
1335.0	0.50344	0.49656	8.06047	7.69929	-2.24938	23.65155	30.04647	1.31129	0.76261	7.40034	139.66032	2.58444	0.43171	9.84028	2733.64275	0.79764	0.00287125	1857.51593	39251.341	229.982	7472.855
1330.0	0.55928	0.44072	8.07813	7.68244	-2.46327	23.1313	30.17639	1.30159	0.76829	11.38724	140.85956	3.99876	0.42385	9.95432	4416.94647	0.78605	0.00177149	1855.44174	38255.621	199.144	8270.136
1325.0	0.607	0.393	8.09359	7.66779	-2.64925	22.68707	30.27986	1.29309	0.77334	15.94413	141.89266	5.62577	0.41706	10.07154	6511.32957	0.77448	0.00119794	1853.45267	37384.72	174.1802	8943.046
1320.0	0.64806	0.35194	8.10724	7.65488	-2.81317	22.30291	30.36074	1.28561	0.77784	20.88425	142.79163	7.39962	0.41117	10.19194	8996.32108	0.76293	8.64328E-4	1851.55466	36615.662	153.8116	9514.56
1315.0	0.68358	0.31642	8.11939	7.64346	-2.95823	21.97025	30.42223	1.27899	0.78187	26.04547	143.58335	9.26208	0.40603	10.31567	11852.64485	0.75142	6.53978E-4	1849.74942	35930.316	137.0692	10002.807
1310.0	0.71448	0.28552	8.13028	7.63322	-3.08817	21.67887	30.46696	1.27309	0.78549	31.295	144.28693	11.16475	0.40151	10.44267	15063.95517	0.73994	5.12944E-4	1848.04058	35314.261	123.211	10422.202
1305.0	0.74149	0.25851	8.1401	7.62401	-3.2051	21.42308	30.4971	1.26781	0.78876	36.53018	144.91839	13.06963	0.39752	10.57311	18619.94598	0.7285	4.13672E-4	1846.42819	34755.939	111.6644	10784.303
1300.0	0.76522	0.23478	8.14902	7.61566	-3.3112	21.19696	30.51474	1.26307	0.79172	41.67598	145.49055	14.9485	0.39399	10.70696	22516.52912	0.71712	3.41001E-4	1844.91306	34246.016	101.9846	11098.44
1295.0	0.78616	0.21384	8.15717	7.60804	-3.40785	20.99676	30.52144	1.25878	0.79442	46.67905	146.01379	16.78094	0.39084	10.84438	26755.77725	0.70578	2.8606E-4	1843.49384	33776.909	93.8214	11372.194
1290.0	0.80471	0.19529	8.16467	7.60103	-3.49685	20.81754	30.51862	1.25488	0.79689	51.5074	146.49582	18.55437	0.38801	10.98542	31347.32702	0.6945	2.43381E-4	1842.17117	33342.415	86.8988	11611.767
1285.0	0.82122	0.17878	8.1716	7.59457	-3.57887	20.65755	30.50744	1.25132	0.79915	56.13058	146.94334	20.25675	0.38548	11.13007	36299.89745	0.68328	2.09503E-4	1840.94255	32937.429	80.9972	11822.26
1280.0	0.83595	0.16405	8.17805	7.58856	-3.65526	20.51299	30.48902	1.24806	0.80124	60.54532	147.36189	21.88615	0.38319	11.27853	41636.4596	0.67212	1.82065E-4	1839.80792	32557.727	75.9404	12007.895
1275.0	0.84914	0.15086	8.18408	7.58295	-3.72643	20.38284	30.4642	1.24506	0.80318	64.74199	147.75599	23.43832	0.38111	11.43084	47377.33931	0.66103	1.59488E-4	1838.76402	32199.792	71.587	12172.187
1270.0	0.86101	0.13899	8.18973	7.5777	-3.79312	20.26507	30.43371	1.24228	0.80497	68.72213	148.12904	24.91325	0.37923	11.58701	53550.36135	0.65002	1.40648E-4	1837.80891	31860.686	67.8212	12318.07
1265.0	0.87171	0.12829	8.19506	7.57273	-3.85625	20.15704	30.39826	1.2397	0.80665	72.49274	148.48385	26.31306	0.3775	11.74717	60188.63839	0.63908	1.2473E-4	1836.94313	31537.938	64.5496	12448.016
1260.0	0.88138	0.11862	8.20011	7.56803	-3.91585	20.05878	30.35839	1.23729	0.80822	76.05929	148.82334	27.6393	0.37593	11.91139	67328.58656	0.62822	1.1114E-4	1836.16186	31229.46	61.6956	12564.106
1255.0	0.89015	0.10985	8.20492	7.56356	-3.97256	19.96846	30.31465	1.23504	0.80969	79.43493	149.14955	28.89649	0.37447	12.07977	75014.90699	0.61744	9.94272E-5	1835.46438	30933.483	59.1954	12668.11
1250.0	0.89813	0.10187	8.2095	7.55932	-4.02649	19.88589	30.26736	1.23292	0.81108	82.62001	149.46399	30.0844	0.37314	12.25241	83285.85511	0.60675	8.92603E-5	1834.84717	30648.501	56.9964	12761.531
