T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.93393	0.0660691	7.81252	7.27546	0.0	19.31793	37.01317	1.1075	0.90293	80.22631	127.51278	29.27314	0.37031	6.4371	22158.8028	1.26862	3.68532E-4	1767.16057	46379.132	 	0.0
1395.0	0.94358	0.0564248	7.81764	7.27092	-0.0623563	19.22462	36.9708	1.10546	0.9046	84.09551	127.92235	30.7196	0.36876	6.41646	24493.87919	1.2689	3.32402E-4	1765.37743	46032.907	69.245	138.444
1390.0	0.95118	0.04882	7.82225	7.26687	-0.11807	19.14816	36.91869	1.1037	0.90604	87.33689	128.33912	31.93302	0.3675	6.39641	26840.91485	1.26906	3.02427E-4	1763.72862	45718.879	62.8056	245.206
1385.0	0.95731	0.0426872	7.82649	7.26316	-0.16901	19.08375	36.8595	1.10215	0.90732	90.10424	128.76057	32.97018	0.36645	6.3771	29234.65216	1.26908	2.7683E-4	1762.19832	45428.133	58.1492	329.198
1380.0	0.96235	0.0376498	7.83045	7.25971	-0.2164	19.02829	36.79505	1.10075	0.90847	92.50655	129.185	33.87141	0.36556	6.35857	31703.06287	1.26894	2.54506E-4	1760.77228	45154.746	54.6774	396.341
1375.0	0.96656	0.0334449	7.83421	7.25646	-0.26107	18.97968	36.72659	1.09947	0.90953	94.62222	129.61128	34.66579	0.36478	6.34083	34269.95678	1.26864	2.34731E-4	1759.43842	44894.629	52.0234	450.718
1370.0	0.97011	0.0298884	7.8378	7.25337	-0.30365	18.93632	36.65499	1.09827	0.91052	96.50954	130.03855	35.37499	0.36409	6.32398	36956.28207	1.26816	2.17008E-4	1758.18726	44644.886	49.9486	495.224
1365.0	0.97316	0.0268447	7.84125	7.25039	-0.34459	18.897	36.5809	1.09715	0.91145	98.21274	130.46614	36.01546	0.36348	6.30796	39781.89727	1.26751	2.00981E-4	1757.01213	44403.405	48.2962	531.968
1360.0	0.97579	0.0242137	7.8446	7.24751	-0.38414	18.86117	36.50479	1.09608	0.91234	99.76492	130.89371	36.59951	0.36293	6.29289	42765.5266	1.26667	1.86388E-4	1755.90029	44168.618	46.9574	562.514
1355.0	0.97808	0.0219183	7.84787	7.24471	-0.42261	18.82798	36.42705	1.09506	0.91319	101.19223	131.32083	37.1369	0.36242	6.27871	45925.9114	1.26564	1.73031E-4	1754.84918	43939.334	45.8568	588.05
1350.0	0.9801	0.0198997	7.85106	7.24198	-0.46016	18.79701	36.34795	1.09407	0.91402	102.51554	131.74727	37.63542	0.36196	6.26546	49282.17657	1.26442	1.60752E-4	1753.85172	43714.635	44.9398	609.49
1345.0	0.98189	0.0181114	7.85419	7.2393	-0.49694	18.76795	36.26771	1.09311	0.91482	103.7499	132.17282	38.10069	0.36152	6.2531	52853.29183	1.26302	1.49429E-4	1752.9013	43493.804	44.1662	627.549
1340.0	0.98348	0.0165185	7.85727	7.23668	-0.53307	18.74042	36.18652	1.09218	0.9156	104.90974	132.59731	38.53809	0.36112	6.24163	56659.99847	1.26143	1.38958E-4	1751.99402	43276.272	43.5064	642.793
1335.0	0.98491	0.0150899	7.86031	7.23409	-0.56865	18.71421	36.1045	1.09127	0.91637	106.00549	133.0206	38.95153	0.36074	6.23111	60723.74197	1.25964	1.29257E-4	1751.12574	43061.582	42.938	655.676
1330.0	0.9862	0.0138019	7.86331	7.23153	-0.60375	18.6891	36.02178	1.09037	0.91712	107.04543	133.44258	39.34409	0.36037	6.22145	65067.03974	1.25768	1.20254E-4	1750.29299	42849.364	42.4436	666.565
1325.0	0.98736	0.012636	7.86627	7.22901	-0.63843	18.66497	35.93845	1.08949	0.91786	108.03689	133.86317	39.71854	0.36003	6.21266	69714.06127	1.25553	1.11888E-4	1749.49072	42639.315	42.0098	675.761
1320.0	0.98843	0.0115745	7.86921	7.22651	-0.67274	18.64168	35.8546	1.08862	0.91859	108.98645	134.28233	40.07732	0.3597	6.20474	74691.51011	1.2532	1.04105E-4	1748.71561	42431.184	41.6262	683.51
1319.19	0.98859	0.0114119	7.86968	7.22611	-0.67827	18.638	35.84095	1.08848	0.91871	109.13633	134.35016	40.13396	0.35965	6.20358	75531.35693	1.25279	1.02895E-4	1748.59106	42397.61	41.40951	684.635
1315.0	1.0	0.0	7.87639	7.22022	-0.7593	18.47246	35.8187	1.0863	0.92056	115.32771	134.86888	42.47855	0.35748	 	83612.3054	 	9.2706E-5	 	42014.39	91.47765	900.391
1310.0	1.0	0.0	7.8789	7.218	-0.7898	18.45891	35.73051	1.08555	0.92119	115.82137	135.28614	42.66568	0.35731	 	89296.89238	 	8.65311E-5	 	41823.36157	38.20569	 
1305.0	1.0	0.0	7.88142	7.21569	-0.82158	18.44165	35.64196	1.08481	0.92182	116.31331	135.69681	42.85234	0.35714	 	95396.95387	 	8.07422E-5	 	41632.2013	38.23205	 
1300.0	1.0	0.0	7.88395	7.21338	-0.85333	18.42437	35.55341	1.08406	0.92245	116.80449	136.10562	43.03877	0.35697	 	101956.5413	 	7.53081E-5	 	41441.34597	38.17107	 
1295.0	1.0	0.0	7.88647	7.21107	-0.88502	18.40708	35.46486	1.08332	0.92309	117.29492	136.51257	43.22497	0.3568	 	109013.3915	 	7.02093E-5	 	41250.79519	38.11016	 
1290.0	1.0	0.0	7.88899	7.20877	-0.91668	18.38978	35.37631	1.08257	0.92373	117.78459	136.91767	43.41093	0.35662	 	116608.5903	 	6.5427E-5	 	41060.54853	38.04933	 
1285.0	1.0	0.0	7.8915	7.20647	-0.94829	18.37246	35.28776	1.08181	0.92438	118.27352	137.32091	43.59667	0.35645	 	124786.8914	 	6.09434E-5	 	40870.60558	37.98859	 
1280.0	1.0	0.0	7.89402	7.20417	-0.97986	18.35514	35.19921	1.08105	0.92502	118.76169	137.72232	43.78218	0.35628	 	133597.068	 	5.67418E-5	 	40680.96595	37.92793	 
1275.0	1.0	0.0	7.89653	7.20188	-1.01138	18.33779	35.11066	1.08029	0.92568	119.24911	138.1219	43.96746	0.35611	 	143092.3001	 	5.2806E-5	 	40491.62922	37.86735	 
1270.0	1.0	0.0	7.89905	7.19959	-1.04286	18.32044	35.02211	1.07952	0.92633	119.73578	138.51965	44.15251	0.35593	 	153330.6014	 	4.91209E-5	 	40302.59499	37.80685	 
1265.0	1.0	0.0	7.90156	7.1973	-1.0743	18.30307	34.93356	1.07875	0.927	120.22169	138.91558	44.33732	0.35576	 	164375.291	 	4.56719E-5	 	40113.86285	37.74643	 
1260.0	1.0	0.0	7.90406	7.19502	-1.10569	18.28569	34.845	1.07798	0.92766	120.70685	139.3097	44.52191	0.35559	 	176295.5137	 	4.24453E-5	 	39925.43239	37.68609	 
1255.0	1.0	0.0	7.90657	7.19273	-1.13704	18.2683	34.75645	1.0772	0.92833	121.19126	139.702	44.70627	0.35542	 	189166.8146	 	3.94283E-5	 	39737.30322	37.62584	 
1250.0	1.0	0.0	7.90908	7.19046	-1.16834	18.25089	34.6679	1.07642	0.92901	121.67492	140.09251	44.89039	0.35524	 	203071.7749	 	3.66083E-5	 	39549.47491	37.56566	 
1245.0	1.0	0.0	7.91158	7.18818	-1.1996	18.23347	34.57935	1.07563	0.92969	122.15783	140.48123	45.07429	0.35507	 	218100.7141	 	3.39738E-5	 	39361.94707	37.50557	 
1240.0	1.0	0.0	7.91408	7.18591	-1.23082	18.21604	34.4908	1.07484	0.93037	122.63998	140.86816	45.25795	0.3549	 	234352.4675	 	3.15137E-5	 	39174.71929	37.44556	 
1235.0	1.0	0.0	7.91658	7.18364	-1.26199	18.19859	34.40225	1.07405	0.93106	123.12139	141.25331	45.44139	0.35473	 	251935.2473	 	2.92175E-5	 	38987.79116	37.38563	 
1230.0	1.0	0.0	7.91907	7.18138	-1.29312	18.18114	34.3137	1.07325	0.93175	123.60204	141.63668	45.62459	0.35456	 	270967.5955	 	2.70752E-5	 	38801.16228	37.32578	 
1225.0	1.0	0.0	7.92157	7.17912	-1.3242	18.16367	34.22515	1.07245	0.93245	124.08193	142.01829	45.80756	0.35438	 	291579.4412	 	2.50775E-5	 	38614.83224	37.26601	 
1220.0	1.0	0.0	7.92406	7.17686	-1.35524	18.14618	34.1366	1.07164	0.93315	124.56108	142.39813	45.9903	0.35421	 	313913.2727	 	2.32156E-5	 	38428.80063	37.20632	 
1215.0	1.0	0.0	7.92655	7.1746	-1.38624	18.12869	34.04805	1.07083	0.93385	125.03947	142.77622	46.17281	0.35404	 	338125.4377	 	2.14811E-5	 	38243.06706	37.14671	 
1210.0	1.0	0.0	7.92904	7.17235	-1.41719	18.11118	33.9595	1.07002	0.93457	125.51712	143.15255	46.35509	0.35387	 	364387.5884	 	1.98659E-5	 	38057.63111	37.08719	 
1205.0	1.0	0.0	7.93153	7.1701	-1.44809	18.09367	33.87094	1.0692	0.93528	125.99401	143.52715	46.53714	0.35369	 	392888.2854	 	1.83627E-5	 	37872.49239	37.02774	 
1200.0	1.0	0.0	7.93401	7.16786	-1.47895	18.07614	33.78239	1.06837	0.936	126.47015	143.90001	46.71895	0.35352	 	423834.7823	 	1.69643E-5	 	37687.65048	36.96838	 
1195.0	1.0	0.0	7.93649	7.16562	-1.50977	18.0586	33.69384	1.06754	0.93673	126.94553	144.27113	46.90054	0.35335	 	457455.0098	 	1.56642E-5	 	37503.10499	36.9091	 
