T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.37691	7.65152	0.0	27.78139	30.95779	1.32413	0.75521	0.0	125.94196	0.0	0.5	7.1302	7.1302	1.1453	1.1453	1785.44549	53267.173	 	0.0
1396.23	0.0	1.0	7.37999	7.64833	-0.0416608	27.74492	30.89744	1.32373	0.75544	0.0	126.05601	0.0	0.5	7.18767	7.18767	1.13358	1.13358	1787.19093	53109.343	41.85096	0.0
1395.0	0.0461601	0.95384	7.39129	7.63661	-0.19495	27.35409	31.04339	1.31653	0.75957	3.97109E-4	125.86703	1.3291E-4	0.4939	7.20433	7.7777	1.13013	1.04682	1787.07148	52366.673	604.40607	691.307
1390.0	0.21144	0.78856	7.43232	7.59447	-0.74561	25.95547	31.56619	1.29085	0.77468	0.17931	125.21501	0.060914	0.47187	7.27341	65.29751	1.11604	0.12431	1786.64841	49694.487	534.4372	3154.821
1385.0	0.33814	0.66186	7.4646	7.56161	-1.17504	24.87777	31.96152	1.27105	0.78675	1.197	124.79374	0.41141	0.45476	7.3443	398.60774	1.10195	0.0203032	1786.30673	47611.785	416.5404	5029.368
1380.0	0.43757	0.56243	7.49065	7.53529	-1.51909	24.02619	32.26581	1.25527	0.79664	3.41441	124.5419	1.18459	0.44118	7.41702	1167.20963	1.08785	0.00691274	1786.04143	45946.651	333.0268	6486.859
1375.0	0.51716	0.48284	7.51211	7.51373	-1.80088	23.33967	32.5015	1.24239	0.8049	6.75964	124.41767	2.36318	0.4302	7.49167	2408.63694	1.07375	0.00333974	1785.84766	44585.392	272.2518	7640.986
1370.0	0.58194	0.41806	7.53011	7.49578	-2.03546	22.77845	32.68393	1.23171	0.81188	10.97517	124.3922	3.86128	0.42118	7.56836	4097.47618	1.05965	0.00195726	1785.72062	43450.435	226.9914	8569.318
1365.0	0.63541	0.36459	7.54546	7.48045	-2.23582	22.30791	32.824	1.22272	0.81785	15.77571	124.44116	5.57971	0.41367	7.64709	6187.69168	1.04555	0.00129215	1785.65611	42487.412	192.6046	9326.221
1360.0	0.68009	0.31991	7.55873	7.46726	-2.40812	21.91194	32.93006	1.21507	0.823	20.91231	124.55094	7.42974	0.40734	7.728	8633.71582	1.03144	9.23241E-4	1785.64967	41657.32	166.0184	9950.694
1355.0	0.71783	0.28217	7.57035	7.45577	-2.55841	21.5745	33.00862	1.20846	0.8275	26.1957	124.70932	9.34262	0.40195	7.81115	11400.01612	1.01734	6.97069E-4	1785.69729	40931.604	145.1432	10471.289
1350.0	0.75	0.25	7.58065	7.44555	-2.69191	21.28156	33.06454	1.20271	0.83145	31.48325	124.90575	11.26569	0.39731	7.89654	14458.71391	1.00325	5.47918E-4	1785.7954	40288.976	128.5256	10909.291
1345.0	0.77767	0.22233	7.58987	7.43645	-2.8109	21.02727	33.10171	1.19766	0.83496	36.68052	125.13423	13.16334	0.39328	7.98434	17795.03982	0.98916	4.4382E-4	1785.94022	39713.307	115.1338	11280.825
1340.0	0.80163	0.19837	7.5982	7.42821	-2.91857	20.80302	33.1233	1.19318	0.83809	41.72488	125.38826	15.0115	0.38976	8.07458	21401.60063	0.97508	3.67888E-4	1786.12857	39192.205	104.2204	11598.282
1335.0	0.82253	0.17747	7.60579	7.4207	-3.01674	20.60399	33.1319	1.18918	0.84092	46.57697	125.66359	16.79462	0.38666	8.16729	25278.37591	0.96103	3.10502E-4	1786.35728	38716.018	95.2374	11871.309
1330.0	0.84087	0.15913	7.61275	7.41381	-3.10677	20.42662	33.12946	1.18557	0.84348	51.21566	125.95685	18.5039	0.38392	8.26262	29432.19369	0.94698	2.65851E-4	1786.62337	38277.144	87.7748	12107.506
1325.0	0.85705	0.14295	7.6192	7.40745	-3.18989	20.26762	33.11765	1.18229	0.84582	55.62773	126.26502	20.13356	0.38147	8.36061	33872.44806	0.93297	2.30281E-4	1786.92408	37869.532	81.5224	12312.922
1320.0	0.8714	0.1286	7.62519	7.4015	-3.26761	20.12291	33.09791	1.17929	0.84796	59.81953	126.58515	21.68524	0.37927	8.46134	38619.13753	0.91898	2.01345E-4	1787.25699	37488.314	76.2436	12492.421
1315.0	0.88419	0.11581	7.63081	7.39594	-3.34026	19.99167	33.07135	1.17654	0.84995	63.79037	126.91583	23.15798	0.37729	8.56488	43690.12337	0.90502	1.77417E-4	1787.61956	37129.542	71.7544	12649.948
1310.0	0.89564	0.10436	7.63609	7.39071	-3.40866	19.8717	33.0388	1.17399	0.8518	67.54599	127.25517	24.55338	0.37549	8.67138	49107.47848	0.89109	1.57348E-4	1788.0096	36789.985	67.9114	12788.732
1305.0	0.90591	0.0940874	7.64109	7.38576	-3.47335	19.76153	33.00114	1.17162	0.85352	71.09933	127.60187	25.87575	0.37386	8.78086	54900.63243	0.8772	1.403E-4	1788.42501	36466.982	64.6006	12911.431
1300.0	0.91519	0.0848126	7.64584	7.38104	-3.53505	19.65925	32.95907	1.16939	0.85514	74.46358	127.9545	27.12963	0.37237	8.89343	61101.81696	0.86335	1.25662E-4	1788.86394	36158.322	61.732	13020.253
1295.0	0.92357	0.0764269	7.65037	7.37654	-3.59381	19.56475	32.91308	1.16731	0.85667	77.64536	128.31236	28.31711	0.371	9.00918	67742.03192	0.84955	1.12984E-4	1789.32443	35862.158	59.2328	13117.042
1290.0	0.93118	0.0688183	7.6547	7.37223	-3.65018	19.47651	32.86366	1.16534	0.85812	80.65791	128.67438	29.44288	0.36974	9.1282	74859.83585	0.8358	1.01915E-4	1789.80494	35576.936	57.0444	13203.35
1285.0	0.9381	0.0618952	7.65887	7.36809	-3.70432	19.39417	32.81123	1.16346	0.8595	83.51158	129.04007	30.51053	0.36857	9.25062	82496.37559	0.8221	9.21852E-5	1790.30378	35301.343	55.1186	13280.486
1280.0	0.94442	0.05558	7.66288	7.36409	-3.75658	19.31673	32.7561	1.16168	0.86082	86.21763	129.40852	31.52408	0.36749	9.37651	90696.88793	0.80846	8.3581E-5	1790.81961	35034.262	53.4162	13349.566
1275.0	0.95019	0.0498056	7.66675	7.36022	-3.80713	19.24374	32.69863	1.15998	0.86209	88.78565	129.77937	32.48692	0.36648	9.50595	99510.58951	0.79489	7.5933E-5	1791.35107	34774.738	51.9048	13411.541
1270.0	0.95549	0.0445147	7.67051	7.35647	-3.85614	19.17476	32.63902	1.15834	0.8633	91.22438	130.15215	33.40219	0.36555	9.63911	108990.3897	0.78137	6.91045E-5	1791.89694	34521.951	50.5574	13467.229
1265.0	0.96034	0.0396565	7.67416	7.35283	-3.90377	19.10939	32.57756	1.15677	0.86448	93.54301	130.52651	34.27318	0.36467	9.77605	119195.5556	0.76793	6.29833E-5	1792.45603	34275.193	49.3516	13517.335
1260.0	0.96481	0.0351892	7.6777	7.34927	-3.9502	19.04706	32.5144	1.15525	0.86562	95.74988	130.90187	35.10292	0.36384	9.91685	130189.7171	0.75457	5.74771E-5	1793.02747	34033.852	48.2682	13562.471
1255.0	0.96893	0.0310732	7.68116	7.34581	-3.99545	18.98781	32.44972	1.15378	0.86672	97.85166	131.27814	35.89381	0.36307	10.06172	142042.1571	0.74128	5.25092E-5	1793.61012	33797.392	47.292	13603.165
1250.0	0.97272	0.027277	7.68454	7.34242	-4.03971	18.93106	32.38368	1.15234	0.8678	99.85608	131.6549	36.64867	0.36234	10.21066	154829.4893	0.72807	4.80149E-5	1794.2033	33565.349	46.4086	13639.884
1245.0	0.97623	0.0237692	7.68785	7.33911	-4.08305	18.87668	32.31643	1.15095	0.86885	101.76884	132.03207	37.36955	0.36165	10.36388	168633.8487	0.71496	4.39397E-5	1794.80617	33337.313	45.6072	13673.032
1240.0	0.97947	0.0205266	7.69108	7.33586	-4.12551	18.82452	32.24804	1.14959	0.86987	103.59599	132.40927	38.05868	0.361	10.52146	183546.2235	0.70193	4.02368E-5	1795.41804	33112.924	44.8778	13702.968
1235.0	0.98248	0.0175241	7.69426	7.33267	-4.16724	18.77417	32.17866	1.14827	0.87088	105.34319	132.7864	38.71812	0.36039	10.68354	199665.4604	0.689	3.68662E-5	1796.03847	32891.864	44.212	13730.007
1230.0	0.98526	0.0147427	7.69738	7.32953	-4.20826	18.7256	32.10838	1.14696	0.87187	107.0151	133.16333	39.34958	0.3598	10.85025	217099.3661	0.67616	3.37933E-5	1796.66686	32673.851	43.6026	13754.428
1225.0	0.98784	0.0121632	7.70045	7.32644	-4.24863	18.67864	32.03727	1.14569	0.87284	108.61664	133.53987	39.95487	0.35924	11.02168	235967.0014	0.66343	3.09878E-5	1797.30279	32458.635	43.0432	13776.479
1220.0	0.99023	0.00977002	7.70347	7.3234	-4.2884	18.63315	31.96541	1.14443	0.8738	110.15192	133.91585	40.53549	0.35871	11.19802	256397.674	0.6508	2.84234E-5	1797.94599	32245.994	42.5282	13796.381
1215.0	0.99245	0.00754819	7.70645	7.3204	-4.32759	18.58906	31.89285	1.14319	0.87474	111.62433	134.29117	41.09268	0.3582	11.37937	278532.1793	0.63829	2.6077E-5	1798.59607	32035.726	42.0536	13814.332
1210.0	0.99451	0.00548503	7.70939	7.31744	-4.36626	18.54625	31.81966	1.14197	0.87568	113.03827	134.66568	41.62807	0.35772	11.56581	302528.1311	0.62589	2.3928E-5	1799.25291	31827.653	41.6146	13830.508
1206.02	0.99604	0.00395865	7.7117	7.31511	-4.39671	18.513	31.76092	1.14101	0.87641	114.11969	134.96344	42.03778	0.35735	11.71808	323067.8953	0.61609	2.23465E-5	1799.78004	31663.522	 	13842.111
1205.0	0.99676	0.0032363	7.71239	7.31439	-4.40613	18.49932	31.74542	1.14078	0.87659	114.44999	135.04268	42.16387	0.3572	11.77421	328989.5066	0.61274	2.19292E-5	1800.18555	31615.937	42.3432	13850.744
1200.0	1.0	0.0	7.71567	7.31094	-4.45119	18.43557	31.66902	1.13967	0.87745	116.56385	135.42957	42.96333	0.35655	 	359329.1433	 	2.00097E-5	 	31386.384	45.9106	13889.233
1195.0	1.0	0.0	7.71809	7.30863	-4.4813	18.41872	31.58422	1.13885	0.87808	117.03154	135.79791	43.14159	0.35637	 	387603.4439	 	1.84871E-5	 	31161.35298	45.0062	 
1190.0	1.0	0.0	7.72051	7.30635	-4.51122	18.40236	31.49947	1.13802	0.87872	117.49875	136.16539	43.31971	0.35618	 	418319.4826	 	1.70713E-5	 	30977.0458	36.86143	 
1185.0	1.0	0.0	7.72293	7.30406	-4.5411	18.38599	31.41472	1.1372	0.87936	117.96524	136.53112	43.4976	0.356	 	451705.8307	 	1.57555E-5	 	30793.02855	36.80345	 
1180.0	1.0	0.0	7.72534	7.30178	-4.57092	18.36963	31.32997	1.13636	0.88	118.43099	136.89511	43.67527	0.35581	 	488014.5677	 	1.45333E-5	 	30609.30081	36.74555	 
1175.0	1.0	0.0	7.72775	7.2995	-4.60071	18.35328	31.24521	1.13552	0.88065	118.89601	137.25737	43.85271	0.35563	 	527523.4111	 	1.33986E-5	 	30425.8622	36.68772	 
1170.0	1.0	0.0	7.73016	7.29722	-4.63045	18.33692	31.16046	1.13468	0.88131	119.3603	137.61791	44.02994	0.35544	 	570538.5076	 	1.23456E-5	 	30242.71231	36.62998	 
1165.0	1.0	0.0	7.73257	7.29495	-4.66014	18.32057	31.07571	1.13383	0.88196	119.82386	137.97672	44.20694	0.35526	 	617397.5487	 	1.13691E-5	 	30059.85076	36.57231	 
1160.0	1.0	0.0	7.73498	7.29268	-4.68979	18.30422	30.99095	1.13298	0.88263	120.28669	138.33383	44.38372	0.35508	 	668473.2498	 	1.04639E-5	 	29877.27714	36.51472	 
1155.0	1.0	0.0	7.73738	7.29042	-4.7194	18.28788	30.90619	1.13213	0.88329	120.74879	138.68923	44.56027	0.35489	 	724177.2379	 	9.62533E-6	 	29694.99105	36.45722	 
1150.0	1.0	0.0	7.73978	7.28816	-4.74896	18.27154	30.82143	1.13126	0.88397	121.21016	139.04294	44.7366	0.35471	 	784964.3987	 	8.84886E-6	 	29512.9921	36.39979	 
1145.0	1.0	0.0	7.74218	7.2859	-4.77847	18.25521	30.73667	1.1304	0.88464	121.6708	139.39495	44.91271	0.35453	 	851337.7407	 	8.13031E-6	 	29331.27988	36.34244	 
1140.0	1.0	0.0	7.74458	7.28364	-4.80794	18.23888	30.65191	1.12953	0.88533	122.1307	139.74529	45.0886	0.35434	 	923853.842	 	7.46572E-6	 	29149.85401	36.28517	 
1135.0	1.0	0.0	7.74697	7.28139	-4.83736	18.22255	30.56715	1.12865	0.88601	122.58988	140.09394	45.26426	0.35416	 	1003128.953	 	6.85139E-6	 	28968.71408	36.22799	 
1130.0	1.0	0.0	7.74936	7.27914	-4.86674	18.20624	30.48239	1.12777	0.8867	123.04833	140.44092	45.4397	0.35397	 	1089845.84	 	6.28385E-6	 	28787.8597	36.17088	 
1125.0	1.0	0.0	7.75175	7.2769	-4.89607	18.18992	30.39762	1.12689	0.8874	123.50604	140.78624	45.61492	0.35379	 	1184761.461	 	5.75983E-6	 	28607.29046	36.11385	 
1120.0	1.0	0.0	7.75414	7.27466	-4.92535	18.17362	30.31286	1.126	0.8881	123.96303	141.1299	45.78991	0.35361	 	1288715.588	 	5.27628E-6	 	28427.00596	36.0569	 
1115.0	1.0	0.0	7.75653	7.27242	-4.95459	18.15732	30.22809	1.1251	0.88881	124.41928	141.47192	45.96467	0.35342	 	1402640.495	 	4.83033E-6	 	28247.00581	36.00003	 
1110.0	1.0	0.0	7.75891	7.27019	-4.98379	18.14102	30.14332	1.1242	0.88952	124.87481	141.81228	46.13922	0.35324	 	1527571.849	 	4.41931E-6	 	28067.28961	35.94324	 
1105.0	1.0	0.0	7.76129	7.26796	-5.01293	18.12474	30.05855	1.1233	0.89024	125.3296	142.15101	46.31354	0.35306	 	1664660.969	 	4.04071E-6	 	27887.85694	35.88653	 
1100.0	1.0	0.0	7.76367	7.26573	-5.04204	18.10846	29.97378	1.12239	0.89096	125.78366	142.48811	46.48763	0.35287	 	1815188.624	 	3.69218E-6	 	27708.70742	35.8299	 
1095.0	1.0	0.0	7.76605	7.26351	-5.07109	18.09219	29.889	1.12147	0.89169	126.23699	142.82358	46.6615	0.35269	 	1980580.596	 	3.37154E-6	 	27529.84065	35.77335	 
1090.0	1.0	0.0	7.76842	7.26129	-5.1001	18.07593	29.80423	1.12055	0.89242	126.6896	143.15743	46.83515	0.35251	 	2162425.213	 	3.07673E-6	 	27351.25622	35.71689	 
1085.0	1.0	0.0	7.77079	7.25907	-5.12906	18.05967	29.71945	1.11963	0.89316	127.14147	143.48967	47.00857	0.35232	 	2362493.157	 	2.80585E-6	 	27172.95372	35.6605	 
1080.0	1.0	0.0	7.77316	7.25686	-5.15798	18.04343	29.63467	1.1187	0.8939	127.59261	143.82031	47.18177	0.35214	 	2582759.824	 	2.55711E-6	 	26994.93276	35.60419	 
1075.0	1.0	0.0	7.77553	7.25465	-5.18685	18.02719	29.54989	1.11776	0.89465	128.04302	144.14934	47.35474	0.35196	 	2825430.604	 	2.32884E-6	 	26817.19294	35.54797	 
1070.0	1.0	0.0	7.77789	7.25244	-5.21568	18.01097	29.4651	1.11682	0.8954	128.4927	144.47679	47.52749	0.35177	 	3092969.481	 	2.11951E-6	 	26639.73384	35.49182	 
1065.0	1.0	0.0	7.78025	7.25024	-5.24445	17.99476	29.38032	1.11587	0.89616	128.94165	144.80264	47.70001	0.35159	 	3388131.409	 	1.92766E-6	 	26462.55508	35.43575	 
1060.0	1.0	0.0	7.78261	7.24804	-5.27318	17.97855	29.29553	1.11492	0.89693	129.38986	145.12691	47.87231	0.35141	 	3713999.004	 	1.75196E-6	 	26285.65623	35.37977	 
1055.0	1.0	0.0	7.78497	7.24585	-5.30187	17.96236	29.21074	1.11396	0.8977	129.83735	145.44961	48.04438	0.35122	 	4074024.145	 	1.59115E-6	 	26109.0369	35.32387	 
1050.0	1.0	0.0	7.78733	7.24366	-5.33051	17.94618	29.12595	1.113	0.89847	130.28411	145.77074	48.21623	0.35104	 	4472075.194	 	1.44406E-6	 	25932.69669	35.26804	 
1045.0	1.0	0.0	7.78968	7.24147	-5.3591	17.93001	29.04115	1.11203	0.89926	130.73013	146.0903	48.38785	0.35086	 	4912490.626	 	1.30963E-6	 	25756.63518	35.2123	 
