T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.03324	7.85001	0.0	30.12299	28.47349	1.43966	0.69461	0.0	119.63406	0.0	0.5	7.05064	7.05064	1.15823	1.15823	1738.34546	48200.298	 	0.0
1395.0	0.0	1.0	7.03715	7.84565	-0.0555362	30.08102	28.39954	1.4391	0.69488	0.0	119.78727	0.0	0.5	7.12498	7.12498	1.14272	1.14272	1740.5789	47995.875	40.8846	0.0
1390.0	0.0	1.0	7.04105	7.8413	-0.11091	30.03917	28.32558	1.43853	0.69515	0.0	119.94048	0.0	0.5	7.20056	7.20056	1.12733	1.12733	1742.82333	47791.927	40.7896	0.0
1385.0	0.0	1.0	7.04495	7.83697	-0.16613	29.99746	28.25163	1.43796	0.69543	0.0	120.09369	0.0	0.5	7.2774	7.2774	1.11207	1.11207	1745.07861	47588.451	40.6952	0.0
1380.0	0.0	1.0	7.04883	7.83265	-0.22118	29.95588	28.17767	1.43739	0.69571	0.0	120.2469	0.0	0.5	7.35554	7.35554	1.09694	1.09694	1747.34458	47385.443	40.6016	0.0
1375.0	0.0	1.0	7.05271	7.82834	-0.27608	29.91444	28.10371	1.43681	0.69599	0.0	120.40012	0.0	0.5	7.435	7.435	1.08194	1.08194	1749.62107	47182.901	40.5084	0.0
1370.0	0.0	1.0	7.05659	7.82404	-0.33082	29.87314	28.02976	1.43623	0.69627	0.0	120.55333	0.0	0.5	7.51581	7.51581	1.06706	1.06706	1751.9079	46980.823	40.4156	0.0
1365.0	0.0	1.0	7.06045	7.81976	-0.38539	29.83198	27.9558	1.43565	0.69655	0.0	120.70654	0.0	0.5	7.59799	7.59799	1.0523	1.0523	1754.20488	46779.206	40.3234	0.0
1360.0	0.0	1.0	7.06431	7.81548	-0.43981	29.79096	27.88184	1.43506	0.69683	0.0	120.85975	0.0	0.5	7.68159	7.68159	1.03768	1.03768	1756.51182	46578.046	40.232	0.0
1355.0	0.0	1.0	7.06816	7.81123	-0.49406	29.75008	27.80789	1.43447	0.69712	0.0	121.01296	0.0	0.5	7.76663	7.76663	1.02317	1.02317	1758.8285	46377.342	40.1408	0.0
1352.23	0.0	1.0	7.0703	7.80887	-0.52407	29.72748	27.76688	1.43415	0.69728	0.0	121.09791	0.0	0.5	7.81441	7.81441	1.01518	1.01518	1760.11702	46266.268	40.06941	0.0
1350.0	0.0472701	0.95273	7.08278	7.79511	-0.69935	29.28172	27.91205	1.42473	0.70189	4.28603E-4	121.1374	1.43454E-4	0.49387	7.84745	8.44806	1.00952	0.93775	1759.51816	45555.262	319.12871	621.827
1345.0	0.14348	0.85652	7.10857	7.76682	-1.05973	28.3695	28.20706	1.40549	0.7115	0.0370768	121.24967	0.0125152	0.48127	7.92231	18.14098	0.9969	0.43536	1758.25537	44094.637	292.125	1882.651
1340.0	0.22619	0.77381	7.1312	7.74217	-1.37371	27.5826	28.45806	1.38879	0.72005	0.23284	121.39783	0.0791804	0.47034	7.99832	66.76243	0.98438	0.11793	1757.12497	42816.7	255.5874	2961.233
1335.99	0.28419	0.71581	7.14739	7.72466	-1.5968	27.02924	28.63211	1.37691	0.72626	0.58724	121.54009	0.20075	0.4626	8.06011	157.69901	0.97441	0.0498026	1756.31615	41904.464	 	3713.945
