T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.00467	0.99533	7.06822	7.93401	0.0	32.9402	28.86788	1.41999	0.70423	3.50982E-7	120.69213	1.17101E-7	0.49863	6.56938	6.56938	1.24307	1.24307	1743.94998	43526.073	 	0.0
1390.0	0.00504	0.99496	7.07663	7.92458	-0.11886	32.85182	28.70848	1.41934	0.70455	4.77277E-7	121.08384	1.5925E-7	0.49852	6.71697	6.71697	1.20849	1.20849	1749.36677	43097.749	42.8324	24.552
1380.0	0.0054	0.9946	7.08501	7.91522	-0.23685	32.76459	28.5495	1.41867	0.70489	6.31E-7	121.47332	2.10557E-7	0.49841	6.86951	6.86951	1.17456	1.17456	1754.92012	42671.911	42.5838	48.418
1370.0	0.00575	0.99425	7.09334	7.90593	-0.35395	32.67852	28.39062	1.41797	0.70523	8.14345E-7	121.86018	2.71755E-7	0.49831	7.02721	7.02721	1.14125	1.14125	1760.61121	42248.531	42.338	71.604
1360.0	0.00609	0.99391	7.10162	7.89668	-0.47053	32.59269	28.23194	1.41727	0.70558	1.02935E-6	122.24441	3.43528E-7	0.4982	7.19032	7.19032	1.10857	1.10857	1766.4411	41827.579	42.0952	94.12
1350.0	0.00642	0.99358	7.10986	7.8875	-0.58619	32.50817	28.07337	1.41654	0.70594	1.27765E-6	122.62619	4.26425E-7	0.4981	7.35912	7.35912	1.07651	1.07651	1772.40989	41409.027	41.8552	115.976
1340.0	0.00675	0.99325	7.11806	7.87845	-0.70022	32.42705	27.91512	1.4158	0.70632	1.56071E-6	123.00682	5.20929E-7	0.49801	7.53382	7.53382	1.04507	1.04507	1778.51697	40992.847	41.618	137.181
1330.0	0.00707	0.99293	7.12622	7.86939	-0.81438	32.3443	27.75707	1.41503	0.7067	1.87951E-6	123.38374	6.27378E-7	0.49791	7.71468	7.71468	1.01425	1.01425	1784.763	40579.012	41.3835	157.745
1320.53	0.00736	0.99264	7.13392	7.86098	-0.92046	32.27069	27.60771	1.41429	0.70707	2.21534E-6	123.74048	7.39516E-7	0.49783	7.89193	7.89193	0.98561	0.98561	1790.80326	40189.271	41.15764	176.632
1320.0	0.02773	0.97227	7.13986	7.85446	-1.00257	32.04384	27.66637	1.41082	0.70881	1.82514E-5	123.45959	6.10346E-6	0.49517	7.90597	8.25244	0.98353	0.94224	1790.77931	39866.07	609.204	479.1
1310.0	0.34779	0.65221	7.23411	7.75202	-2.29372	28.48882	28.64645	1.354	0.73855	1.33966	126.42541	0.46113	0.45258	8.17408	405.00062	0.9453	0.0190789	1795.59605	34791.42015	507.46499	5162.826
1300.0	0.53046	0.46954	7.29041	7.69198	-3.05056	26.46475	29.20346	1.31978	0.7577	7.83609	128.31527	2.74453	0.42758	8.4479	2369.6542	0.90888	0.0032402	1800.4587	31792.11438	299.93058	7771.844
1290.0	0.64592	0.35408	7.32783	7.65244	-3.54885	25.18255	29.53586	1.29663	0.77123	17.94291	129.72937	6.35623	0.41144	8.73033	5815.12194	0.87389	0.00131198	1805.36371	29799.65648	199.24579	9375.737
1280.0	0.72418	0.27582	7.35468	7.62415	-3.90545	24.30735	29.72884	1.27998	0.78127	29.1157	130.89778	10.39636	0.40028	9.02373	10329.20361	0.84007	7.33894E-4	1810.30903	28355.72233	144.39342	10432.811
1270.0	0.77999	0.22001	7.37513	7.6026	-4.17706	23.67659	29.83078	1.26739	0.78902	39.96043	131.9261	14.35189	0.39217	9.33018	15690.40922	0.80724	4.80021E-4	1815.29211	27237.05494	111.86674	11166.305
1260.0	0.82135	0.17865	7.39144	7.58537	-4.39428	23.20234	29.87061	1.2575	0.79523	49.91807	132.86796	18.0077	0.38602	9.6515	21846.50344	0.77531	3.42523E-4	1820.31172	26324.07632	91.29786	11695.773
1250.0	0.85295	0.14705	7.40495	7.57106	-4.57456	22.83452	29.86664	1.24946	0.80035	58.84266	133.7529	21.30107	0.38121	9.98958	28850.87508	0.74419	2.57674E-4	1825.36486	25547.89859	77.61777	12090.088
1240.0	0.8847	0.1153	7.41751	7.55747	-4.74588	22.48859	29.86109	1.24149	0.80549	69.01973	134.70313	25.07414	0.37631	10.37633	38011.59123	0.71175	1.94291E-4	1830.28753	24765.84487	78.20537	12491.904
1230.0	0.90897	0.0910257	7.42808	7.54588	-4.89194	22.21628	29.82149	1.23492	0.80977	77.81235	135.58911	28.34777	0.37246	10.78462	48343.78503	0.68027	1.51757E-4	1835.21717	24087.97433	67.78705	12791.145
1220.0	0.92756	0.0724362	7.43718	7.53577	-5.01939	21.99837	29.75544	1.22943	0.81339	85.26696	136.42487	31.13282	0.36941	11.21423	59980.46362	0.64986	1.21501E-4	1840.16152	23488.14723	59.98271	13013.931
1210.0	0.94215	0.0578528	7.44525	7.52671	-5.13352	21.81934	29.67024	1.2247	0.81653	91.63974	137.22453	33.5205	0.36692	11.66737	73216.91285	0.62044	9.88691E-5	1845.11595	22942.96775	54.51795	13183.638
1200.0	0.95381	0.0461865	7.45255	7.51843	-5.23799	21.66841	29.5709	1.22053	0.81932	97.14497	137.99703	35.58817	0.36485	12.1462	88404.63389	0.59196	8.13315E-5	1850.07795	22437.2984	50.56694	13315.389
1190.0	0.9633	0.0366951	7.45929	7.51071	-5.33523	21.53839	29.46083	1.21677	0.82185	101.9517	138.74797	37.39738	0.36309	12.65309	105954.9979	0.56439	6.73991E-5	1855.04563	21961.0075	47.62909	13419.294
1180.0	0.97114	0.028861	7.46558	7.50344	-5.42689	21.42436	29.34249	1.21333	0.82418	106.19278	139.48123	38.99675	0.36156	13.19058	126355.1376	0.53769	5.61312E-5	1860.01574	21507.09648	45.3911	13502.336
1170.0	0.97769	0.0223141	7.47154	7.49651	-5.51421	21.32275	29.21767	1.21013	0.82636	109.97248	140.19945	40.42463	0.36022	13.7615	150183.3713	0.51184	4.69004E-5	1864.986	21070.60984	43.64866	13569.45
1160.0	0.98339	0.0166134	7.4832	7.48553	-5.65257	21.04905	28.73291	1.22202	0.81832	114.62903	141.34126	42.20566	0.35798	14.35234	181938.1855	0.48737	3.84463E-5	1869.93474	20341.7061	72.89037	13629.391
1150.0	0.98977	0.0102317	7.49674	7.47187	-5.82478	20.65658	28.1306	1.23948	0.80679	120.1942	142.6916	44.34205	0.35531	14.91156	223431.5557	0.46582	3.1088E-5	1874.79785	19472.54147	86.91646	13709.232
1140.0	0.99527	0.00473003	7.50854	7.45844	-5.99409	20.26691	27.58661	1.25504	0.79679	125.26407	143.956	46.29296	0.35295	15.52128	273592.4987	0.44437	2.52099E-5	1879.64306	18654.63661	81.79049	13774.085
1130.0	1.0	0.0	7.51879	7.44535	-6.15899	19.8853	27.09354	1.26883	0.78813	129.87534	145.14434	48.07112	0.35087	 	334202.5335	 	2.04918E-5	 	17882.87847	77.17581	13826.573
