T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.6079	15.36634	0.0	52.44174	81.30972	0.29323	3.41033	0.0	24.81283	0.0	0.5	1.26658	1.26658	3.75003	3.75003	542.76423	28242.129	 	0.0
695.0	0.0	1.0	1.60918	15.35411	-0.0796086	52.39497	80.96318	0.29297	3.41333	0.0	24.88305	0.0	0.5	1.2816	1.2816	3.68702	3.68702	544.51089	28070.356	34.3546	0.0
691.67	0.0	1.0	1.61003	15.34598	-0.13249	52.36439	80.73222	0.2928	3.41535	0.0	24.92985	0.0	0.5	1.2918	1.2918	3.64532	3.64532	545.67499	27955.878	34.353	0.0
690.0	2.2E-4	0.99978	1.61047	15.34175	-0.16002	52.34305	80.61464	0.29272	3.41628	7.97333E-16	24.94939	2.65779E-16	0.49999	1.2966	1.2966	3.62555	3.62555	546.24812	27895.044	36.48	3.543
685.0	8.6E-4	0.99914	1.61177	15.32946	-0.24003	52.29262	80.26408	0.29247	3.41918	1.97372E-13	25.00859	6.57925E-14	0.49996	1.31121	1.31121	3.56655	3.56655	547.96691	27712.767	36.4554	14.051
680.0	0.00149	0.99851	1.61306	15.31713	-0.32024	52.24025	79.9132	0.29222	3.42209	1.7923E-12	25.06771	5.97461E-13	0.49993	1.32616	1.32616	3.50795	3.50795	549.68631	27530.677	36.418	24.376
675.0	0.00211	0.99789	1.61436	15.30479	-0.40054	52.18654	79.56203	0.29197	3.42502	7.22894E-12	25.12698	2.4098E-12	0.4999	1.34146	1.34146	3.44973	3.44973	551.40632	27348.771	36.3812	34.518
670.0	0.00271	0.99729	1.61565	15.29258	-0.48006	52.13652	79.21135	0.29172	3.428	1.99904E-11	25.18643	6.66403E-12	0.49987	1.35713	1.35713	3.39192	3.39192	553.12691	27167.049	36.3444	44.479
665.0	0.00331	0.99669	1.61693	15.28049	-0.55872	52.09061	78.86115	0.29146	3.43103	4.44235E-11	25.24618	1.48093E-11	0.49985	1.37318	1.37318	3.33451	3.33451	554.84808	26985.508	36.3082	54.261
660.0	0.0039	0.9961	1.61821	15.26837	-0.63756	52.04296	78.51064	0.2912	3.43408	8.55254E-11	25.30594	2.85119E-11	0.49982	1.38961	1.38961	3.27751	3.27751	556.56984	26804.147	36.2722	63.866
655.0	0.00447	0.99553	1.61949	15.25623	-0.71658	51.99353	78.15981	0.29094	3.43716	1.48827E-10	25.36571	4.96159E-11	0.49979	1.40645	1.40645	3.22093	3.22093	558.29217	26622.963	36.2368	73.295
650.0	0.00503	0.99497	1.62077	15.24421	-0.79477	51.94815	77.80945	0.29067	3.44028	2.40233E-10	25.42574	8.009E-11	0.49977	1.4237	1.4237	3.16477	3.16477	560.01506	26441.956	36.2014	82.551
648.71	0.00518	0.99482	1.62109	15.24123	-0.8142	51.94043	77.71982	0.2906	3.44111	2.6905E-10	25.44127	8.96977E-11	0.49976	1.4282	1.43263	3.15039	3.14066	560.45753	26395.443	 	84.914
648.71	0.00518	0.99482	1.62109	15.24123	-0.8142	51.94043	77.71982	0.2906	3.44111	2.6905E-10	25.44126	8.96977E-11	0.49976	1.4282	1.43263	3.15039	3.14066	560.45753	26395.442	 	84.915
645.0	0.69103	0.30897	1.66396	14.8485	-3.36996	37.05173	127.9305	0.17584	5.68715	5.62881	25.83798	2.02961	0.38667	1.45048	403.02344	3.08951	0.0111191	562.04811	20510.238	1186.34	5842.849
640.0	0.8455	0.1545	1.67453	14.7542	-3.98367	33.67339	148.25608	0.1509	6.62681	13.06598	26.07384	4.80322	0.36013	1.48301	984.5791	3.00528	0.00452666	564.2491	19072.665	287.515	7109.692
635.0	0.89923	0.10077	1.67871	14.71677	-4.22724	32.47707	156.12154	0.14252	7.0168	17.00029	26.25906	6.2936	0.3506	1.51692	1377.52672	2.922	0.00321769	566.46836	18472.421	120.049	7539.888
630.0	0.92641	0.0735919	1.68119	14.69432	-4.37334	31.85505	160.15482	0.13816	7.23792	19.38769	26.42986	7.20414	0.34559	1.55193	1699.35019	2.84036	0.00259396	568.69519	18090.958	76.2926	7751.974
629.86	0.92698	0.0730232	1.68124	14.6938	-4.37673	31.84178	160.23877	0.13807	7.24285	19.44146	26.43456	7.2247	0.34549	1.55293	1707.92947	2.83809	0.00258053	568.75799	18081.821	 	7756.345
625.0	0.95594	0.0440639	1.68361	14.67155	-4.52153	31.20975	164.37426	0.13387	7.46997	22.25725	26.62051	8.30386	0.34018	1.59244	2111.30511	2.75279	0.00207627	570.96932	17674.077	83.3762	8000.139
