T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.59798	15.38831	0.0	52.5058	81.49082	0.29257	3.41793	0.0	24.63387	0.0	0.5	1.25585	1.25585	3.78206	3.78206	542.52395	28199.867	 	0.0
695.0	0.0	1.0	1.59925	15.37605	-0.0796251	52.45937	81.14355	0.29232	3.42094	0.0	24.70334	0.0	0.5	1.27073	1.27073	3.71858	3.71858	544.26897	28028.211	34.3312	0.0
690.0	0.0	1.0	1.60052	15.36385	-0.15893	52.41404	80.79627	0.29206	3.42398	0.0	24.77281	0.0	0.5	1.28594	1.28594	3.65562	3.65562	546.01398	27856.559	34.3304	0.0
685.0	0.0	1.0	1.60179	15.3517	-0.23791	52.36982	80.44899	0.2918	3.42705	0.0	24.84228	0.0	0.5	1.30149	1.30149	3.59319	3.59319	547.75898	27684.911	34.3296	0.0
680.0	0.0	1.0	1.60305	15.33959	-0.31656	52.32674	80.10171	0.29153	3.43016	0.0	24.91175	0.0	0.5	1.31739	1.31739	3.53128	3.53128	549.50397	27513.266	34.329	0.0
675.0	0.0	1.0	1.60431	15.32754	-0.3949	52.28483	79.75444	0.29126	3.4333	0.0	24.98122	0.0	0.5	1.33367	1.33367	3.4699	3.4699	551.24895	27341.625	34.3282	0.0
670.0	0.0	1.0	1.60557	15.31553	-0.47291	52.24412	79.40716	0.291	3.43647	0.0	25.05069	0.0	0.5	1.35032	1.35032	3.40904	3.40904	552.99392	27169.988	34.3274	0.0
665.0	0.0	1.0	1.60682	15.30358	-0.5506	52.20463	79.05988	0.29072	3.43968	0.0	25.12016	0.0	0.5	1.36735	1.36735	3.34872	3.34872	554.73888	26998.354	34.3268	0.0
660.0	0.0	1.0	1.60807	15.29167	-0.62796	52.16639	78.7126	0.29045	3.44292	0.0	25.18963	0.0	0.5	1.38479	1.38479	3.28893	3.28893	556.48383	26826.724	34.326	0.0
655.0	0.0	1.0	1.60932	15.27982	-0.705	52.12944	78.36532	0.29018	3.44619	0.0	25.2591	0.0	0.5	1.40264	1.40264	3.22967	3.22967	558.22878	26655.097	34.3254	0.0
650.69	0.0	1.0	1.61039	15.26964	-0.77115	52.09864	78.066	0.28994	3.44904	0.0	25.31897	0.0	0.5	1.41837	1.41837	3.17902	3.17902	559.7327	26507.178	34.3245	0.0
650.0	8.0E-5	0.99992	1.61057	15.26792	-0.78233	52.09022	78.01719	0.2899	3.44947	1.29058E-17	25.3271	4.30193E-18	0.49999	1.42078	1.42078	3.17127	3.17127	559.97033	26482.213	36.1513	1.261
649.72	1.1E-4	0.99989	1.61064	15.26734	-0.78609	52.09141	77.99792	0.28988	3.44966	5.03184E-17	25.33048	1.67728E-17	0.5	1.42175	1.42185	3.16813	3.16792	560.06679	26472.066	 	1.788
649.72	1.1E-4	0.99989	1.61064	15.26734	-0.78609	52.09141	77.99792	0.28988	3.44966	5.03184E-17	25.33047	1.67728E-17	0.5	1.42175	1.42185	3.16813	3.16792	560.06679	26472.066	 	1.789
645.0	0.84466	0.15534	1.66312	14.7854	-3.91794	33.85972	149.89188	0.15007	6.66344	12.86321	25.89669	4.72656	0.36074	1.45044	896.29007	3.08959	0.00499979	562.23233	19259.352	1444.57	7052.834
640.0	0.92203	0.0779667	1.66881	14.73468	-4.24756	32.15852	161.72243	0.13834	7.22873	18.6329	26.09571	6.91538	0.34721	1.48352	1389.51472	3.00424	0.00320749	564.57542	18464.802	158.91	7676.79
637.64	0.93785	0.0621532	1.67018	14.7224	-4.32736	31.80211	164.20424	0.13589	7.35869	20.06944	26.17873	7.46444	0.34434	1.49964	1551.52643	2.96427	0.00286514	565.6868	18260.029	 	7801.237
635.0	0.97846	0.0215363	1.67294	14.69718	-4.49124	30.94897	170.62018	0.1304	7.66843	24.03249	26.31019	8.98612	0.3372	1.52696	1926.43848	2.90279	0.00230085	567.00852	17819.742	129.012	8151.94
634.32	0.98246	0.0175394	1.67326	14.69411	-4.51118	30.8629	171.24211	0.12983	7.70217	24.46973	26.33609	9.15464	0.33647	1.53403	1982.36861	2.88724	0.00223426	567.3487	17762.983	 	8185.561
630.0	0.99486	0.00514121	1.67456	14.68147	-4.59335	30.58235	173.0698	0.12785	7.8216	25.9538	26.48294	9.72751	0.33404	1.57395	2254.59272	2.80063	0.00195514	569.39708	17516.254	60.6976	8286.195
