T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.42966	7.83959	0.0	27.40489	31.44319	1.30369	0.76705	0.0	124.65345	0.0	0.5	7.46557	7.46557	1.09385	1.09385	1748.50067	61280.366	 	0.0
1395.0	0.0	1.0	7.43343	7.83562	-0.0507489	27.36747	31.35641	1.30339	0.76723	0.0	124.82193	0.0	0.5	7.54351	7.54351	1.07932	1.07932	1750.56997	61077.861	40.501	0.0
1390.0	0.0	1.0	7.4372	7.83165	-0.10135	27.33019	31.26963	1.30309	0.76741	0.0	124.99041	0.0	0.5	7.62273	7.62273	1.0649	1.0649	1752.65499	60875.804	40.4114	0.0
1385.0	0.0	1.0	7.44095	7.82769	-0.1518	27.29304	31.18285	1.30279	0.76758	0.0	125.15888	0.0	0.5	7.70328	7.70328	1.05059	1.05059	1754.75591	60674.191	40.3226	0.0
1380.0	0.0	1.0	7.4447	7.82375	-0.20209	27.25603	31.09607	1.30249	0.76776	0.0	125.32736	0.0	0.5	7.78516	7.78516	1.03641	1.03641	1756.8729	60473.02	40.2342	0.0
1375.0	0.0	1.0	7.44845	7.81982	-0.25224	27.21916	31.00929	1.30218	0.76794	0.0	125.49584	0.0	0.5	7.86843	7.86843	1.02234	1.02234	1759.00612	60272.29	40.146	0.0
1370.0	0.0	1.0	7.45218	7.8159	-0.30224	27.18243	30.92251	1.30187	0.76812	0.0	125.66431	0.0	0.5	7.9531	7.9531	1.00839	1.00839	1761.15574	60071.998	40.0584	0.0
1365.0	0.0	1.0	7.45591	7.81199	-0.35208	27.14585	30.83573	1.30156	0.76831	0.0	125.83279	0.0	0.5	8.0392	8.0392	0.99455	0.99455	1763.3219	59872.142	39.9712	0.0
1360.0	0.0	1.0	7.45963	7.8081	-0.40178	27.10941	30.74895	1.30125	0.76849	0.0	126.00127	0.0	0.5	8.12677	8.12677	0.98083	0.98083	1765.50476	59672.721	39.8842	0.0
1355.0	0.0	1.0	7.46334	7.80421	-0.45132	27.07311	30.66217	1.30094	0.76867	0.0	126.16974	0.0	0.5	8.21585	8.21585	0.96723	0.96723	1767.70445	59473.731	39.798	0.0
1350.0	0.0	1.0	7.46705	7.80034	-0.50072	27.03696	30.57539	1.30063	0.76886	0.0	126.33822	0.0	0.5	8.30646	8.30646	0.95374	0.95374	1769.92111	59275.172	39.7118	0.0
1345.0	0.0	1.0	7.47075	7.79648	-0.54996	27.00096	30.4886	1.30031	0.76905	0.0	126.5067	0.0	0.5	8.39863	8.39863	0.94037	0.94037	1772.15486	59077.04	39.6264	0.0
1340.0	0.0	1.0	7.47444	7.79263	-0.59906	26.96511	30.40182	1.29999	0.76923	0.0	126.67517	0.0	0.5	8.49241	8.49241	0.92711	0.92711	1774.40583	58879.335	39.541	0.0
1335.0	0.0	1.0	7.47812	7.78879	-0.648	26.92942	30.31504	1.29967	0.76942	0.0	126.84365	0.0	0.5	8.58783	8.58783	0.91397	0.91397	1776.67411	58682.054	39.4562	0.0
1330.0	0.0	1.0	7.48179	7.78497	-0.69679	26.89387	30.22826	1.29935	0.76961	0.0	127.01213	0.0	0.5	8.68493	8.68493	0.90094	0.90094	1778.95981	58485.195	39.3718	0.0
1325.0	0.0	1.0	7.48546	7.78116	-0.74544	26.85849	30.14148	1.29903	0.76981	0.0	127.1806	0.0	0.5	8.78374	8.78374	0.88802	0.88802	1781.26302	58288.756	39.2878	0.0
1320.0	0.0	1.0	7.48912	7.77735	-0.79393	26.82326	30.0547	1.2987	0.77	0.0	127.34908	0.0	0.5	8.88431	8.88431	0.87522	0.87522	1783.58383	58092.735	39.2042	0.0
1317.61	0.0	1.0	7.49086	7.77554	-0.81703	26.80649	30.01326	1.29855	0.77009	0.0	127.42953	0.0	0.5	8.93297	8.93297	0.86915	0.86915	1784.6983	57999.277	39.14258	0.0
1315.0	0.0484801	0.95152	7.50196	7.76409	-0.9631	26.44069	30.18028	1.28924	0.77565	5.61351E-4	127.52528	1.87984E-4	0.49308	9.005	9.92695	0.86078	0.78084	1784.30033	57162.799	320.1989	734.329
1310.0	0.13294	0.86706	7.5215	7.74385	-1.22126	25.79816	30.46808	1.27304	0.78552	0.0321809	127.7238	0.0108651	0.48094	9.14378	30.15802	0.84505	0.25622	1783.63637	55693.996	293.7606	2007.942
1305.0	0.20658	0.79342	7.53888	7.72603	-1.44856	25.2401	30.71414	1.25886	0.79437	0.18997	127.95081	0.0646033	0.47027	9.28405	131.75568	0.82965	0.0584609	1783.09593	54394.767	259.8458	3112.394
1300.0	0.27118	0.72882	7.55442	7.71011	-1.6517	24.74798	30.92486	1.24632	0.80236	0.57049	128.19971	0.19526	0.46085	9.42595	391.78216	0.81458	0.019598	1782.66993	53237.107	231.532	4075.686
1295.0	0.32818	0.67182	7.56844	7.69581	-1.83409	24.31256	31.10575	1.23513	0.80963	1.23651	128.46822	0.42566	0.45247	9.56963	879.88644	0.7998	0.00869857	1782.34951	52198.496	207.7222	4920.338
1290.0	0.37872	0.62128	7.58117	7.68287	-1.99916	23.92452	31.26101	1.22508	0.81627	2.21434	128.75353	0.76621	0.445	9.715	1652.71371	0.78532	0.00461625	1782.12679	51260.669	187.5654	5664.612
1285.0	0.42376	0.57624	7.59278	7.67109	-2.14941	23.57704	31.39394	1.21599	0.82238	3.50254	129.05323	1.2176	0.4383	9.86229	2755.35505	0.77111	0.00276006	1781.99443	50408.698	170.3942	6323.436
1280.0	0.46407	0.53593	7.60345	7.66033	-2.28669	23.26515	31.5074	1.20772	0.82801	5.08079	129.36573	1.77369	0.43226	10.01147	4223.87501	0.75719	0.00179469	1781.94559	49630.291	155.6814	6909.101
