T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.54354	8.01728	0.0	34.76128	31.39698	1.30561	0.76593	0.0	123.45093	0.0	0.5	7.13604	7.13604	1.14437	1.14437	1855.60758	41331.196	 	0.0
1395.0	0.0	1.0	7.5479	8.01264	-0.0578245	34.72728	31.31203	1.30524	0.76614	0.0	123.58672	0.0	0.5	7.21361	7.21361	1.12868	1.12868	1859.61617	41132.594	39.7204	0.0
1390.0	0.0	1.0	7.55226	8.00802	-0.11549	34.69348	31.22708	1.30487	0.76636	0.0	123.72252	0.0	0.5	7.2925	7.2925	1.11312	1.11312	1863.64481	40934.424	39.634	0.0
1385.0	0.0	1.0	7.55661	8.00341	-0.17299	34.65989	31.14213	1.30449	0.76658	0.0	123.85831	0.0	0.5	7.37274	7.37274	1.0977	1.0977	1867.6932	40736.682	39.5484	0.0
1380.0	0.0	1.0	7.56095	7.99881	-0.23033	34.62651	31.05718	1.30412	0.7668	0.0	123.9941	0.0	0.5	7.45435	7.45435	1.0824	1.0824	1871.76098	40539.365	39.4634	0.0
1375.0	0.0	1.0	7.56529	7.99423	-0.2875	34.59333	30.97223	1.30374	0.76703	0.0	124.12989	0.0	0.5	7.53737	7.53737	1.06724	1.06724	1875.84778	40342.472	39.3786	0.0
1370.0	0.0	1.0	7.56962	7.98966	-0.34452	34.56037	30.88728	1.30336	0.76725	0.0	124.26569	0.0	0.5	7.62183	7.62183	1.05222	1.05222	1879.95321	40145.999	39.2946	0.0
1365.0	0.0	1.0	7.57394	7.9851	-0.40137	34.52763	30.80233	1.30298	0.76747	0.0	124.40148	0.0	0.5	7.70776	7.70776	1.03732	1.03732	1884.0769	39949.943	39.2112	0.0
1360.0	0.0	1.0	7.57825	7.98055	-0.45806	34.4951	30.71738	1.30259	0.7677	0.0	124.53727	0.0	0.5	7.79519	7.79519	1.02255	1.02255	1888.2185	39754.302	39.1282	0.0
1355.0	0.0	1.0	7.58256	7.97602	-0.51459	34.46279	30.63243	1.3022	0.76793	0.0	124.67306	0.0	0.5	7.88416	7.88416	1.00792	1.00792	1892.37762	39559.073	39.0458	0.0
1351.89	0.0	1.0	7.58523	7.97321	-0.54968	34.4428	30.57957	1.30196	0.76807	0.0	124.75755	0.0	0.5	7.94031	7.94031	0.99888	0.99888	1894.97405	39437.816	38.97786	0.0
1350.0	0.0458301	0.95417	7.60202	7.95557	-0.7697	33.85902	30.70773	1.29502	0.77219	4.49866E-4	126.26292	1.50516E-4	0.49441	7.97598	8.53763	0.99326	0.92792	1895.32484	38661.595	410.89896	702.658
1345.0	0.15591	0.84409	7.64283	7.91316	-1.2987	32.45988	31.01631	1.27819	0.78236	0.0617263	129.89356	0.0208412	0.48087	8.07289	18.1823	0.97831	0.43437	1896.17049	36788.076	374.7038	2381.764
1340.0	0.24835	0.75165	7.67777	7.87708	-1.7487	31.27904	31.27244	1.2638	0.79126	0.40573	132.97716	0.13806	0.46933	8.17249	67.06746	0.9634	0.1174	1896.94291	35193.785	318.8582	3782.046
1335.0	0.3267	0.6733	7.70798	7.8462	-2.13387	30.2778	31.48571	1.25135	0.79914	1.23647	135.62217	0.42361	0.45943	8.27504	187.78094	0.94851	0.0417986	1897.64406	33822.804	274.1962	4959.419
1330.0	0.39366	0.60634	7.73431	7.81948	-2.4671	29.42061	31.66301	1.24048	0.80614	2.6469	137.91161	0.91218	0.45087	8.38048	401.64274	0.93367	0.0194814	1898.27988	32632.12	238.1368	5956.894
1325.0	0.45134	0.54866	7.75738	7.79615	-2.75809	28.68064	31.81025	1.23088	0.81243	4.63502	139.90929	1.60557	0.44342	8.48865	719.25915	0.91889	0.0108447	1898.85625	31588.294	208.7652	6807.907
1320.0	0.50137	0.49863	7.77782	7.77556	-3.01494	28.03545	31.93134	1.22238	0.81808	7.14141	141.66663	2.48503	0.43689	8.5999	1144.14243	0.90417	0.00679616	1899.38238	30665.079	184.643	7538.704
1315.0	0.54504	0.45496	7.79598	7.75737	-3.24182	27.4738	32.03023	1.21478	0.82319	10.07989	143.22535	3.52164	0.43114	8.71394	1675.98089	0.88954	0.00462497	1899.85117	29841.686	164.6786	8170.07
1310.0	0.58338	0.41662	7.81228	7.74102	-3.44572	26.97594	32.10953	1.20796	0.82784	13.35681	144.61544	4.68321	0.42603	8.8311	2312.48207	0.87497	0.00334141	1900.27771	29101.507	148.0358	8718.609
1305.0	0.61724	0.38276	7.82693	7.72635	-3.62872	26.53643	32.17165	1.20182	0.83207	16.88107	145.86403	5.93783	0.42148	8.95117	3050.94108	0.86051	0.00252465	1900.66017	28431.171	134.0672	9197.693
1300.0	0.64727	0.35273	7.8402	7.71311	-3.79389	26.14674	32.21881	1.19626	0.83594	20.57505	146.99366	7.25794	0.41742	9.07435	3889.69148	0.84614	0.00197398	1901.0008	27819.828	122.2686	9618.168
1295.0	0.67404	0.32596	7.85232	7.70098	-3.94519	25.79564	32.25288	1.1912	0.83949	24.37094	148.01974	8.61925	0.41375	9.20075	4827.37468	0.83186	0.00158549	1901.31132	27258.615	112.2426	9988.895
1290.0	0.69799	0.30201	7.86338	7.6899	-4.08339	25.4812	32.27525	1.18658	0.84276	28.21321	148.95774	10.00156	0.41044	9.33021	5864.12444	0.8177	0.00130102	1901.58766	26740.239	103.6752	10317.162
1285.0	0.71951	0.28049	7.87357	7.67971	-4.21053	25.19775	32.28737	1.18234	0.84578	32.0574	149.81965	11.38858	0.40744	9.46307	7001.15433	0.80364	0.00108624	1901.83453	26258.668	96.3142	10609.002
1280.0	0.73892	0.26108	7.88297	7.67026	-4.32837	24.94028	32.2904	1.17844	0.84858	35.8699	150.61494	12.76783	0.4047	9.59915	8241.00019	0.78971	9.19857E-4	1902.05806	25808.877	89.9582	10869.437
1275.0	0.75649	0.24351	7.89169	7.6615	-4.43761	24.70694	32.28536	1.17483	0.85119	39.62254	151.35254	14.12873	0.4022	9.73864	9587.08151	0.77589	7.88158E-4	1902.25718	25386.66	84.4434	11102.67
1270.0	0.77243	0.22757	7.89981	7.6533	-4.53988	24.4931	32.27313	1.17148	0.85362	43.30048	152.03946	15.46559	0.3999	9.88159	11045.14033	0.7622	6.81905E-4	1902.43922	24988.477	79.6366	11312.239
1265.0	0.78696	0.21304	7.90741	7.64562	-4.63576	24.29716	32.25447	1.16836	0.8559	46.88556	152.68144	16.77143	0.39778	10.02814	12620.3288	0.74863	5.9486E-4	1902.60549	24611.33	75.4294	11501.139
1260.62	0.79862	0.20138	7.91367	7.63927	-4.71488	24.13924	32.23329	1.16579	0.85778	49.93628	153.21058	17.88468	0.39606	10.15946	14100.74048	0.73685	5.30891E-4	1902.74119	24296.562	 	11651.322
1260.0	0.80056	0.19944	7.91459	7.63832	-4.72676	24.11471	32.2313	1.16539	0.85808	50.45585	153.29787	18.07445	0.39578	10.17912	14343.31388	0.73512	5.21701E-4	1903.2928	24247.282	72.8096	11677.306
1255.0	0.8155	0.1845	7.9218	7.63089	-4.81942	23.92562	32.21246	1.16227	0.86038	54.6067	153.97693	19.59234	0.39357	10.33982	16391.9258	0.72134	4.55012E-4	1907.7119	23861.101	77.2362	11875.969
1250.0	0.82887	0.17113	7.92849	7.62394	-4.90608	23.75365	32.18667	1.1594	0.86252	58.55965	154.60291	21.04085	0.39157	10.50376	18582.35434	0.70776	4.00063E-4	1912.10384	23498.261	72.568	12051.653
1245.0	0.84088	0.15912	7.93471	7.61744	-4.98719	23.59759	32.15485	1.15674	0.8645	62.3147	155.18302	22.41944	0.38975	10.67104	20924.01558	0.69438	3.54125E-4	1916.46586	23155.386	68.575	12207.73
1240.0	0.85174	0.14826	7.94054	7.61131	-5.06361	23.45499	32.11775	1.15426	0.86636	65.88002	155.72376	23.73067	0.38808	10.84175	23429.67981	0.68119	3.15212E-4	1920.8019	22829.699	65.1374	12346.976
1235.0	0.86156	0.13844	7.94603	7.60553	-5.13577	23.32462	32.07604	1.15194	0.8681	69.26221	156.23024	24.97657	0.38654	11.01594	26112.68391	0.6682	2.8189E-4	1925.11022	22518.893	62.1612	12471.696
1230.0	0.8705	0.1295	7.95121	7.60001	-5.20456	23.20381	32.03027	1.14976	0.86975	72.47445	156.70692	26.16169	0.38513	11.19376	28990.06877	0.65541	2.53069E-4	1929.39823	22221.044	59.5698	12583.811
1227.48	0.87467	0.12533	7.9537	7.59735	-5.23777	23.14714	32.00567	1.14872	0.87054	74.01689	156.93567	26.73139	0.38446	11.28466	30513.00953	0.64904	2.40036E-4	1931.54832	22075.836	 	12635.615
1225.0	0.87863	0.12137	7.95644	7.59444	-5.27413	23.07954	31.95566	1.14861	0.87062	75.5422	157.14156	27.29588	0.38377	11.38648	32098.60108	0.64217	2.27801E-4	1933.89404	21925.946	59.0196	12693.525
1220.0	0.88613	0.11387	7.96173	7.58878	-5.34462	22.9513	31.8579	1.14829	0.87086	78.50798	157.5412	28.39463	0.38244	11.5951	35475.49443	0.62852	2.05429E-4	1938.61212	21631.85	58.8192	12802.586
1215.0	0.89298	0.10702	7.96673	7.58341	-5.41169	22.83293	31.76148	1.14792	0.87114	81.31494	157.92123	29.43598	0.38122	11.80801	39104.54194	0.61512	1.8574E-4	1943.32032	21348.312	56.7076	12901.435
1210.0	0.89927	0.10073	7.97147	7.57826	-5.47589	22.72278	31.66626	1.1475	0.87146	83.98019	158.28461	30.42607	0.38007	12.0256	43011.76944	0.60196	1.683E-4	1948.02111	21074.095	54.8434	12991.308
1205.0	0.90503	0.0949655	7.97469	7.57199	-5.55414	22.56632	31.43046	1.15222	0.86789	86.57315	158.35006	31.39728	0.37867	12.24785	47218.00878	0.58904	1.52791E-4	1952.57962	20710.10596	72.79781	13073.263
1200.0	0.91037	0.0896334	7.98644	7.56382	-5.65604	22.33182	31.03201	1.16306	0.8598	89.37748	158.23674	32.45996	0.37673	12.47478	52987.25108	0.57637	1.35695E-4	1957.13761	20290.78068	83.86506	13148.194
1195.0	0.91528	0.0847169	7.9974	7.55592	-5.7546	22.10621	30.65542	1.17335	0.85226	92.03088	158.11759	33.4679	0.37491	12.70692	59360.56383	0.56392	1.20714E-4	1961.69013	19884.07184	81.34177	13216.884
1190.0	0.91985	0.0801546	8.00762	7.54826	-5.85011	21.88861	30.29872	1.18313	0.84522	94.54595	157.99571	34.42549	0.3732	12.94408	66401.47925	0.5517	1.07547E-4	1966.24062	19489.05753	79.00286	13280.009
1185.0	0.92408	0.0759206	8.01718	7.54083	-5.94271	21.6787	29.961	1.19237	0.83866	96.93213	157.87361	35.33595	0.37158	13.18635	74180.00438	0.53971	9.59405E-5	1970.78817	19104.90445	76.83062	13338.153
1180.0	0.92802	0.0719799	8.02611	7.53364	-6.03245	21.47641	29.64018	1.20115	0.83254	99.1989	157.75335	36.20258	0.37005	13.43404	82774.46005	0.52795	8.56842E-5	1975.3277	18730.86401	74.80809	13391.828
1175.0	0.93177	0.0682334	8.03465	7.52661	-6.12007	21.27941	29.33175	1.2096	0.82672	101.36507	157.63618	37.03239	0.3686	13.66154	92281.1222	0.51737	7.65927E-5	1979.89694	18362.11631	73.74954	13445.62
1170.0	0.9354	0.0646041	8.04291	7.51975	-6.20563	21.08755	29.03301	1.21783	0.82113	103.45816	157.52453	37.83555	0.36721	13.85871	102817.5476	0.50825	6.85064E-5	1984.49844	17996.22882	73.1775	13501.742
1165.0	0.93884	0.0611612	8.05072	7.51308	-6.28882	20.9019	28.74689	1.22569	0.81587	105.47616	157.41922	38.61105	0.36588	14.05534	114485.1245	0.4994	6.13115E-5	1989.0997	17637.19353	71.80706	13555.983
1160.0	0.94216	0.0578363	8.05809	7.50656	-6.37021	20.72069	28.47693	1.233	0.81103	107.4004	157.32681	39.35212	0.36461	14.26805	127437.3422	0.49025	5.48885E-5	1993.69979	17285.35486	70.36773	13607.791
1155.0	0.94564	0.0543578	8.06509	7.49998	-6.45225	20.53566	28.22806	1.23954	0.80675	107.34094	157.26138	39.36684	0.36334	14.52139	141985.3261	0.48001	4.90927E-5	1998.332	16935.97669	69.87563	13661.705
1150.0	0.94886	0.0511418	8.07167	7.49364	-6.53134	20.35897	27.98936	1.24573	0.80274	109.43637	157.19931	40.17049	0.36215	14.78182	158048.1617	0.4699	4.39489E-5	2002.94981	16595.32968	68.1294	13711.238
1145.0	0.95184	0.0481582	8.07785	7.48752	-6.60776	20.18983	27.7596	1.25163	0.79896	111.36121	157.14103	40.91089	0.36102	15.04976	175790.3627	0.45992	3.93744E-5	2007.55114	16262.64558	66.53682	13756.871
1140.0	0.95462	0.0453847	8.08368	7.48157	-6.68186	20.02705	27.53858	1.25722	0.7954	113.14633	157.08658	41.59934	0.35995	15.32571	195394.0124	0.45004	3.52991E-5	2012.14741	15937.47423	65.03427	13799.02
1135.0	0.9572	0.0427974	8.08919	7.47582	-6.75364	19.87082	27.32572	1.26253	0.79206	114.81286	157.03668	42.2435	0.35894	15.60992	217062.1853	0.44029	3.1663E-5	2016.72431	15619.28643	63.63756	13838.046
1130.0	0.95962	0.0403783	8.0944	7.47023	-6.82339	19.72014	27.1205	1.26757	0.78891	116.37827	156.99127	42.84983	0.35798	15.90262	241018.9715	0.43065	2.84145E-5	2021.29127	15307.60464	62.33636	13874.266
1125.0	0.96189	0.0381112	8.09935	7.46479	-6.89125	19.57468	26.92241	1.27235	0.78595	117.85617	156.9506	43.42329	0.35706	16.20433	267515.2839	0.42112	2.55089E-5	2025.84478	15001.99875	61.12118	13907.957
1120.0	0.96402	0.0359809	8.10405	7.45949	-6.95727	19.43427	26.731	1.27688	0.78316	119.25821	156.915	43.96816	0.35619	16.51545	296833.0388	0.41171	2.29072E-5	2030.37738	14702.07579	59.98459	13939.368
1115.0	0.96602	0.0339768	8.10852	7.45433	-7.02165	19.29828	26.54584	1.28117	0.78054	120.59301	156.88422	44.48764	0.35535	16.83634	329280.088	0.40242	2.05758E-5	2034.89561	14407.47766	58.91963	13968.717
1110.0	0.96791	0.0320858	8.11279	7.44929	-7.08456	19.16625	26.36653	1.28523	0.77807	121.86855	156.85839	44.98469	0.35456	17.16735	365205.5854	0.39324	1.8485E-5	2039.40074	14117.87479	57.92057	13996.201
1105.0	0.9697	0.0302983	8.11687	7.44436	-7.14602	19.03806	26.19273	1.28909	0.77574	123.09214	156.83754	45.46202	0.35379	17.50919	404998.4736	0.38416	1.66085E-5	2043.88631	13832.96396	56.98217	14021.998
1095.0	0.97439	0.0256061	8.12438	7.43396	-7.27571	18.75406	25.85384	1.29651	0.7713	126.25479	156.87783	46.68805	0.35211	18.298	500844.5679	0.36494	1.33327E-5	2052.29669	13241.1631	59.18009	14104.11
1090.0	0.97655	0.0234455	8.12791	7.42889	-7.33903	18.61549	25.69086	1.29996	0.76925	127.75945	156.90375	47.27213	0.35132	18.71631	556863.9794	0.35548	1.19476E-5	2056.44235	12950.90617	58.05139	14142.445
1085.0	0.97852	0.0214842	8.13119	7.42399	-7.40008	18.48379	25.5331	1.3032	0.76734	129.16606	156.93053	47.81886	0.35058	19.14483	618781.7322	0.34624	1.07127E-5	2060.58684	12668.06205	56.56882	14176.869
1080.0	0.98031	0.0196948	8.13432	7.41923	-7.45944	18.35696	25.37977	1.30624	0.76555	130.49199	156.95798	48.33484	0.34988	19.58427	687333.469	0.33723	9.60871E-6	2064.73444	12391.0731	55.39779	14207.912
1075.0	0.98194	0.0180566	8.13731	7.4146	-7.51724	18.23457	25.23059	1.30911	0.76388	131.75219	156.98664	48.82565	0.34921	20.03524	763285.3344	0.32842	8.62061E-6	2068.8809	12119.40064	54.33449	14236.019
1070.0	0.98345	0.0165513	8.14018	7.41008	-7.5736	18.11626	25.08531	1.31181	0.76231	132.95903	157.0168	49.29593	0.34858	20.49767	847488.2566	0.31982	7.73531E-6	2073.02543	11852.58251	53.36363	14261.562
1065.0	0.98484	0.0151622	8.14296	7.40567	-7.62864	18.00163	24.94365	1.31435	0.76083	134.12534	157.0489	49.7505	0.34798	20.97199	940904.3401	0.31142	6.94138E-6	2077.1644	11590.21988	52.47253	14284.853
1060.0	0.98612	0.0138775	8.14563	7.40135	-7.68249	17.89033	24.80543	1.31673	0.75945	135.26092	157.08307	50.19306	0.34741	21.45879	1044600.499	0.30322	6.22896E-6	2081.30207	11331.96303	51.65137	14306.158
1055.0	0.98731	0.0126851	8.14823	7.39712	-7.73523	17.782	24.67046	1.31897	0.75817	136.37633	157.11959	50.62757	0.34686	21.95823	1159785.44	0.29521	5.58928E-6	2085.43719	11077.50806	50.89099	14325.704
1050.0	0.98842	0.0115762	8.15075	7.39298	-7.78694	17.67648	24.53856	1.32107	0.75696	137.4777	157.15851	51.05635	0.34633	22.47102	1287798.211	0.28739	5.01473E-6	2089.57032	10826.5858	50.18445	14343.683
1045.0	0.98946	0.0105411	8.15321	7.38891	-7.83768	17.57352	24.40393	1.32334	0.75566	138.57253	157.20004	51.48224	0.34583	22.99839	1430165.721	0.27974	4.49847E-6	2093.69528	10578.9555	49.52606	14360.268
1040.0	0.99043	0.00957304	8.15561	7.38491	-7.88753	17.47292	24.27753	1.32518	0.75461	139.66366	157.24425	51.90633	0.34534	23.53917	1588587.933	0.27228	4.0345E-6	2097.81397	10334.40373	48.91035	14375.602
1035.0	0.99133	0.00866554	8.15795	7.38098	-7.93655	17.37442	24.15376	1.3269	0.75364	140.75169	157.29117	52.3289	0.34488	24.0953	1764982.435	0.26498	3.61746E-6	2101.93268	10092.74014	48.33272	14389.812
1030.0	0.99219	0.00781309	8.16025	7.37712	-7.98478	17.27799	24.03249	1.3285	0.75273	141.8332	157.34086	52.74868	0.34442	24.66658	1961506.132	0.25785	3.24259E-6	2106.03859	9853.79035	47.78996	14403.009
1025.0	0.99299	0.00701022	8.16251	7.37331	-8.03225	17.18342	23.9136	1.32998	0.75189	142.9016	157.39334	53.16327	0.34399	25.25438	2180585.303	0.25089	2.90562E-6	2110.14088	9617.39872	47.27833	14415.291
1020.0	0.99375	0.00625362	8.16473	7.36956	-8.07904	17.09058	23.7968	1.33136	0.75111	143.94892	157.44862	53.56972	0.34357	25.85801	2424970.265	0.24408	2.60273E-6	2114.23515	9383.42434	46.79488	14426.742
1015.0	0.99446	0.00553891	8.16692	7.36586	-8.12515	16.99938	23.68227	1.33263	0.7504	144.96414	157.50675	53.96395	0.34316	26.47916	2697749.781	0.23744	2.33051E-6	2118.31654	9151.73473	46.33792	14437.438
1010.0	0.99514	0.00486279	8.16908	7.36221	-8.17066	16.90956	23.56986	1.33379	0.74974	145.93804	157.56768	54.34255	0.34276	27.11807	3002428.337	0.23094	2.08589E-6	2122.39852	8922.21279	45.90439	14447.449
1005.0	0.9959	0.00409799	8.17119	7.35863	-8.21537	16.82194	23.46007	1.33481	0.74917	146.87028	157.63187	54.70601	0.34236	27.7816	3344163.208	0.22455	1.86544E-6	2126.4892	8692.84567	45.87342	14458.735
1000.0	0.99741	0.00259004	8.17309	7.35519	-8.25822	16.74072	23.35777	1.33541	0.74883	147.86617	157.70127	55.097	0.34187	28.50823	3735049.334	0.21797	1.66368E-6	2130.73769	8453.51167	47.8668	14481.374
995.0	0.99877	0.001231	8.17497	7.35181	-8.30037	16.66139	23.25684	1.33594	0.74854	149.33402	157.77183	55.66311	0.34141	29.25775	4172034.104	0.21155	1.48357E-6	2134.9776	8217.96307	47.10972	14501.567
990.0	1.0	0.0	8.17683	7.34849	-8.34185	16.5839	23.15782	1.33636	0.7483	150.6112	157.84384	56.15755	0.34097	 	4660955.38	 	1.32272E-6	 	7985.80107	46.4324	14519.67
985.0	1.0	0.0	8.18019	7.34547	-8.37951	16.52077	23.05366	1.33708	0.7479	150.92489	157.88157	56.28682	0.34068	 	5233585.557	 	1.17333E-6	 	8080.06431	-18.85265	 
980.0	1.0	0.0	8.18353	7.34247	-8.41686	16.45819	22.95114	1.33772	0.74754	151.23741	157.92284	56.4155	0.34039	 	5882160.02	 	1.03981E-6	 	7887.6118	38.4905	 
