T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.98535	7.88706	0.0	24.07306	34.3298	1.68303	0.59417	0.0	102.78995	0.0	0.49882	6.81177	6.81177	1.27049	1.27049	1574.45731	68676.105	 	0.0
1495.0	0.0	1.0	6.98925	7.88266	-0.0558194	24.01488	34.25169	1.68211	0.59449	0.0	102.98782	0.0	0.49882	6.87054	6.87054	1.25607	1.25607	1574.90546	68452.355	44.75	0.0
1490.0	0.0	1.0	6.99315	7.87827	-0.11148	23.95671	34.17356	1.68119	0.59482	0.0	103.18568	0.0	0.49882	6.93015	6.93015	1.24175	1.24175	1575.33968	68229.159	44.6392	0.0
1485.0	0.0	1.0	6.99704	7.87389	-0.16698	23.89854	34.09542	1.68026	0.59514	0.0	103.38354	0.0	0.49882	6.99063	6.99063	1.22751	1.22751	1575.75985	68006.516	44.5286	0.0
1480.0	0.0	1.0	7.00092	7.86952	-0.22232	23.84037	34.01727	1.67934	0.59547	0.0	103.58141	0.0	0.49882	7.05198	7.05198	1.21337	1.21337	1576.16585	67784.42	44.4192	0.0
1475.0	0.0	1.0	7.00479	7.86517	-0.27751	23.78221	33.9391	1.6784	0.5958	0.0	103.77927	0.0	0.49882	7.11422	7.11422	1.19933	1.19933	1576.55759	67562.868	44.3104	0.0
1470.0	0.0	1.0	7.00866	7.86083	-0.33253	23.72404	33.86093	1.67747	0.59614	0.0	103.97714	0.0	0.49882	7.17738	7.17738	1.18537	1.18537	1576.93495	67341.858	44.202	0.0
1465.42	0.0	1.0	7.01219	7.85687	-0.38276	23.67081	33.78938	1.6766	0.59644	0.0	104.15823	0.0	0.49882	7.23599	7.23599	1.17269	1.17269	1577.26764	67140.066	44.0958	0.0
1465.0	0.02327	0.97673	7.01616	7.85247	-0.43853	23.53492	33.83808	1.67378	0.59745	1.49013E-5	103.19584	4.98236E-6	0.4954	7.23748	7.46314	1.17216	1.13672	1576.13422	66897.693	571.931	223.691
1460.0	0.25829	0.74171	7.05692	7.80706	-1.01425	22.13713	34.32995	1.64506	0.60788	0.23342	93.53177	0.0799033	0.46064	7.25542	22.94675	1.1659	0.36864	1563.48292	64417.35	496.069	2484.093
