T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.63394	7.95474	0.0	33.01868	31.67368	1.2942	0.77268	0.0	123.05388	0.0	0.5	7.37385	7.37385	1.10746	1.10746	1816.02628	39492.74	 	0.0
1395.0	0.0	1.0	7.6383	7.9502	-0.057134	32.98124	31.59272	1.29364	0.77301	0.0	123.18995	0.0	0.5	7.45491	7.45491	1.09214	1.09214	1819.35903	39291.879	40.1722	0.0
1390.0	0.0	1.0	7.64266	7.94567	-0.11411	32.94397	31.51175	1.29308	0.77335	0.0	123.32603	0.0	0.5	7.53736	7.53736	1.07696	1.07696	1822.70895	39091.469	40.082	0.0
1385.0	0.0	1.0	7.64701	7.94115	-0.17092	32.90689	31.43078	1.29251	0.77369	0.0	123.46211	0.0	0.5	7.62123	7.62123	1.06191	1.06191	1826.07589	38891.508	39.9922	0.0
1380.0	0.0	1.0	7.65135	7.93664	-0.22756	32.86998	31.34981	1.29194	0.77403	0.0	123.59818	0.0	0.5	7.70654	7.70654	1.04698	1.04698	1829.45967	38691.993	39.903	0.0
1375.0	0.0	1.0	7.65568	7.93215	-0.28405	32.83325	31.26884	1.29137	0.77437	0.0	123.73426	0.0	0.5	7.79334	7.79334	1.03219	1.03219	1832.86014	38492.921	39.8144	0.0
1370.0	0.0	1.0	7.66001	7.92767	-0.34037	32.79671	31.18788	1.2908	0.77472	0.0	123.87034	0.0	0.5	7.88165	7.88165	1.01753	1.01753	1836.27714	38294.29	39.7262	0.0
1365.0	0.0	1.0	7.66433	7.9232	-0.39654	32.76035	31.10691	1.29022	0.77506	0.0	124.00641	0.0	0.5	7.97151	7.97151	1.003	1.003	1839.71051	38096.095	39.639	0.0
1360.0	0.0	1.0	7.66864	7.91875	-0.45254	32.72417	31.02594	1.28964	0.77541	0.0	124.14249	0.0	0.5	8.06295	8.06295	0.9886	0.9886	1843.1601	37898.335	39.552	0.0
1355.0	0.0	1.0	7.67295	7.9143	-0.50837	32.68819	30.94497	1.28905	0.77576	0.0	124.27857	0.0	0.5	8.15602	8.15602	0.97432	0.97432	1846.62575	37701.007	39.4656	0.0
1350.0	0.0	1.0	7.67724	7.90987	-0.56405	32.6524	30.86401	1.28846	0.77612	0.0	124.41464	0.0	0.5	8.25074	8.25074	0.96018	0.96018	1850.10732	37504.108	39.3798	0.0
1345.0	0.0	1.0	7.68153	7.90546	-0.61957	32.6168	30.78304	1.28787	0.77647	0.0	124.55072	0.0	0.5	8.34716	8.34716	0.94617	0.94617	1853.60467	37307.635	39.2946	0.0
1340.0	0.0	1.0	7.68581	7.90106	-0.67492	32.5814	30.70207	1.28728	0.77683	0.0	124.6868	0.0	0.5	8.44531	8.44531	0.93228	0.93228	1857.11765	37111.585	39.21	0.0
1338.53	0.0	1.0	7.68707	7.89976	-0.6912	32.571	30.67821	1.2871	0.77694	0.0	124.7269	0.0	0.5	8.47457	8.47457	0.92821	0.92821	1858.15601	37053.883	39.15504	0.0
1335.0	0.0905316	0.90947	7.71817	7.8679	-1.09169	31.50083	30.89239	1.27538	0.78408	0.00671567	126.35239	0.00225567	0.48862	8.56841	11.14726	0.91604	0.70412	1858.19657	35553.749	425.41063	1362.208
1330.0	0.20319	0.79681	7.75729	7.82829	-1.58969	30.17623	31.15536	1.26069	0.79322	0.17377	128.39073	0.0589342	0.47431	8.70579	50.51435	0.89878	0.1549	1858.25417	33678.274	375.095	3042.472
1325.0	0.29846	0.70154	7.79084	7.79453	-2.01407	29.05594	31.37197	1.24808	0.80123	0.82272	130.14218	0.28135	0.46207	8.84774	204.28832	0.8816	0.0381822	1858.29589	32077.323	320.1902	4448.628
1320.0	0.37968	0.62032	7.81986	7.76554	-2.37851	28.10227	31.55014	1.23715	0.80831	2.18595	131.66645	0.75298	0.45152	8.99448	541.10001	0.8645	0.0143703	1858.32226	30698.082	275.8482	5633.488
1315.0	0.44943	0.55057	7.84508	7.74046	-2.69373	27.28574	31.69642	1.22757	0.81462	4.34519	133.00679	1.50625	0.44239	9.14584	1103.61062	0.84753	0.00702364	1858.33366	29499.396	239.7372	6638.203
1310.0	0.50973	0.49027	7.86715	7.71859	-2.96867	26.58158	31.81544	1.21913	0.82026	7.26788	134.19774	2.53338	0.43442	9.30193	1912.42097	0.83068	0.00404041	1858.33102	28448.9	210.0992	7495.135
1305.0	0.56215	0.43785	7.88661	7.69934	-3.2107	25.96927	31.9108	1.21165	0.82532	10.85559	135.26579	3.80247	0.42744	9.46296	2973.63978	0.81397	0.00259028	1858.31554	27520.92	185.596	8229.957
1300.0	0.60798	0.39202	7.90382	7.68231	-3.42474	25.43532	31.9858	1.20498	0.82989	14.97871	136.23135	5.26941	0.42129	9.62875	4284.75664	0.79742	0.00179197	1858.28744	26694.922	165.1996	8863.2
1295.0	0.64825	0.35175	7.91914	7.66714	-3.61553	24.96648	32.04294	1.19901	0.83402	19.50558	137.11174	6.88831	0.41585	9.79958	5840.24425	0.78103	0.00131052	1858.24793	25954.359	148.1126	9411.409
1290.0	0.68376	0.31624	7.93285	7.65354	-3.78646	24.55342	32.08455	1.19363	0.83778	24.30861	137.91978	8.61388	0.41101	9.9754	7632.61807	0.76482	9.99571E-4	1858.19787	25285.799	133.712	9888.012
1285.0	0.71523	0.28477	7.94517	7.64129	-3.94046	24.18794	32.11262	1.18877	0.8412	29.28136	138.66711	10.40783	0.4067	10.15637	9657.07179	0.74879	7.875E-4	1858.13814	24678.265	121.5068	10303.986
1280.0	0.74319	0.25681	7.95628	7.63018	-4.08018	23.86268	32.12865	1.18437	0.84433	34.33107	139.36218	12.23632	0.40283	10.34255	11909.53561	0.73295	6.3651E-4	1858.07052	24122.728	111.1074	10668.355
1275.0	0.76812	0.23188	7.96639	7.62005	-4.2075	23.57235	32.13416	1.18035	0.8472	39.38109	140.01256	14.07109	0.39936	10.53424	14388.19659	0.71729	5.25162E-4	1857.99624	23611.717	102.2022	10988.588
1270.0	0.79042	0.20958	7.97558	7.61078	-4.32399	23.31267	32.13041	1.17668	0.84985	44.37265	140.62394	15.89015	0.39623	10.73127	17094.51118	0.70185	4.40594E-4	1857.91659	23139.015	94.5404	11270.902
1265.0	0.81041	0.18959	7.98398	7.60228	-4.43083	23.08034	32.11849	1.1733	0.8523	49.26225	141.20187	17.67698	0.3934	10.93385	20033.46699	0.68661	3.74739E-4	1857.83242	22699.418	87.9194	11520.497
1260.0	0.82839	0.17161	7.9917	7.59443	-4.52958	22.87095	32.0993	1.17019	0.85456	54.01316	141.75017	19.41753	0.39083	11.14222	23210.46211	0.67158	3.22394E-4	1857.74677	22288.55	82.1736	11741.746
1255.0	0.84459	0.15541	7.99882	7.58712	-4.62149	22.6809	32.07371	1.1673	0.85668	58.60696	142.27241	21.10446	0.3885	11.35648	26637.06832	0.65676	2.80005E-4	1857.66226	21902.712	77.1676	11938.348
1250.0	0.85923	0.14077	8.00541	7.58031	-4.70701	22.50908	32.04238	1.16462	0.85865	63.01963	142.77143	22.72835	0.38637	11.57663	30322.57239	0.64217	2.45168E-4	1857.58019	21538.761	72.7902	12113.441
1245.0	0.87246	0.12754	8.01153	7.57396	-4.78691	22.35329	32.00604	1.16211	0.8605	67.24912	143.25045	24.28788	0.38442	11.80286	34285.26814	0.62779	2.16119E-4	1857.50247	21194.018	68.9486	12269.704
1240.0	0.88446	0.11554	8.01724	7.56798	-4.862	22.21121	31.96513	1.15977	0.86224	71.2853	143.71104	25.77887	0.38263	12.03553	38540.17617	0.61363	1.91626E-4	1857.43259	20866.186	65.5664	12409.43
1235.0	0.89536	0.10464	8.02409	7.56168	-4.94122	22.05505	31.77423	1.16288	0.85993	75.35806	144.25795	27.28955	0.38071	12.27436	43107.84094	0.5997	1.70756E-4	1860.64775	20471.94246	78.84871	12534.59
1230.0	0.90526	0.0947395	8.03263	7.55426	-5.0345	21.85337	31.36313	1.17422	0.85163	79.65389	144.7968	28.89534	0.37832	12.51998	48808.05631	0.58598	1.50313E-4	1863.8535	20011.94933	91.99863	12646.889
1225.0	0.91413	0.0858653	8.04067	7.54697	-5.12614	21.65521	30.96016	1.18555	0.84349	83.72685	145.32057	30.42211	0.37609	12.77294	55031.02942	0.57247	1.32872E-4	1867.05168	19568.97873	88.59412	12746.772
1220.0	0.92212	0.0778789	8.04832	7.53981	-5.21616	21.4605	30.56415	1.1969	0.83549	87.60481	145.83646	31.87963	0.37399	13.03493	61839.33958	0.55909	1.17849E-4	1870.2411	19139.34578	85.92659	12837.82
1215.0	0.92951	0.0704877	8.05555	7.53279	-5.30448	21.2696	30.18601	1.20783	0.82793	91.34637	146.33586	33.28902	0.37202	13.30273	69325.92335	0.546	1.0477E-4	1873.42081	18723.17355	83.23445	12919.807
1210.0	0.93639	0.0636114	8.06239	7.52589	-5.39112	21.08242	29.8243	1.21837	0.82077	94.96392	146.82161	34.65449	0.37015	13.57671	77564.90873	0.53318	9.33268E-5	1876.58941	18319.17989	80.79873	12993.909
1205.0	0.94269	0.0573096	8.06891	7.51913	-5.47615	20.89883	29.47473	1.22867	0.81389	98.42458	147.2968	35.96351	0.3684	13.85788	86603.74298	0.5206	8.33045E-5	1879.74944	17926.52628	78.53072	13060.866
