T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.93909	7.86671	0.0	27.95201	32.50357	1.77759	0.56256	0.0	104.78879	0.0	0.49819	6.60098	6.60098	1.31106	1.31106	1648.73864	64972.399	 	0.0
1495.0	0.0	1.0	6.94297	7.86232	-0.0558429	27.9048	32.42924	1.77664	0.56286	0.0	104.97757	0.0	0.49819	6.65825	6.65825	1.29612	1.29612	1649.43136	64751.496	44.1806	0.0
1490.0	0.0	1.0	6.94684	7.85794	-0.11153	27.85766	32.3549	1.77569	0.56316	0.0	105.16636	0.0	0.49819	6.71634	6.71634	1.28128	1.28128	1650.10882	64531.104	44.0784	0.0
1485.0	0.0	1.0	6.95071	7.85357	-0.16706	27.81059	32.28055	1.77473	0.56347	0.0	105.35514	0.0	0.49819	6.77528	6.77528	1.26653	1.26653	1650.77085	64311.22	43.9768	0.0
1480.0	0.0	1.0	6.95456	7.84921	-0.22244	27.76361	32.2062	1.77377	0.56377	0.0	105.54393	0.0	0.49819	6.83508	6.83508	1.25188	1.25188	1651.4173	64091.839	43.8762	0.0
1475.0	0.0	1.0	6.95842	7.84487	-0.27766	27.7167	32.13184	1.7728	0.56408	0.0	105.73271	0.0	0.49819	6.89575	6.89575	1.23733	1.23733	1652.04798	63872.96	43.7758	0.0
1470.0	0.0	1.0	6.96226	7.84054	-0.33273	27.66986	32.05747	1.77184	0.56439	0.0	105.9215	0.0	0.49819	6.95731	6.95731	1.22287	1.22287	1652.66274	63654.578	43.6764	0.0
1465.0	0.0	1.0	6.9661	7.83622	-0.38764	27.62311	31.98309	1.77086	0.5647	0.0	106.11029	0.0	0.49819	7.01978	7.01978	1.20851	1.20851	1653.2614	63436.691	43.5774	0.0
1460.0	0.0	1.0	6.96993	7.83191	-0.44239	27.57644	31.9087	1.76988	0.56501	0.0	106.29907	0.0	0.49819	7.08317	7.08317	1.19425	1.19425	1653.84379	63219.295	43.4792	0.0
1455.0	0.0	1.0	6.97375	7.82761	-0.49699	27.52984	31.83431	1.7689	0.56532	0.0	106.48786	0.0	0.49819	7.14751	7.14751	1.18008	1.18008	1654.40975	63002.387	43.3816	0.0
1450.0	0.0	1.0	6.97757	7.82333	-0.55144	27.48333	31.75991	1.76792	0.56564	0.0	106.67664	0.0	0.49819	7.21282	7.21282	1.16602	1.16602	1654.95908	62785.987	43.28	0.0
1445.0	0.0	1.0	6.98138	7.81906	-0.60573	27.4369	31.6855	1.76693	0.56595	0.0	106.86543	0.0	0.49819	7.2791	7.2791	1.15205	1.15205	1655.49163	62570.129	43.1716	0.0
1440.0	0.0	1.0	6.98519	7.8148	-0.65986	27.39056	31.61108	1.76593	0.56627	0.0	107.05421	0.0	0.49819	7.34639	7.34639	1.13817	1.13817	1656.00721	62354.806	43.0646	0.0
1435.0	0.0	1.0	6.98898	7.81056	-0.71384	27.34429	31.53666	1.76493	0.56659	0.0	107.243	0.0	0.49819	7.4147	7.4147	1.1244	1.1244	1656.50566	62140.014	42.9584	0.0
1430.0	0.0	1.0	6.99278	7.80632	-0.76766	27.29812	31.46223	1.76393	0.56692	0.0	107.43178	0.0	0.49819	7.48405	7.48405	1.11072	1.11072	1656.98678	61925.749	42.853	0.0
1426.86	0.0	1.0	6.99515	7.80367	-0.80136	27.26918	31.41551	1.7633	0.56712	0.0	107.55025	0.0	0.49819	7.52811	7.52811	1.10218	1.10218	1657.2798	61791.558	42.768	0.0020
1425.0	0.05181	0.94819	7.00457	7.7931	-0.93578	26.9458	31.58892	1.7517	0.57087	4.04772E-4	105.64325	1.35774E-4	0.49061	7.54102	8.10015	1.09909	1.02322	1654.32942	61251.525	289.974	460.482
1420.0	0.17421	0.82579	7.02722	7.76796	-1.25526	26.18459	32.00274	1.72396	0.58006	0.0527645	101.19641	0.0179153	0.47261	7.57626	13.31043	1.09075	0.62086	1646.62775	59952.91	259.723	1545.879
1416.62	0.24336	0.75664	7.04033	7.75362	-1.43761	25.75739	32.23637	1.70804	0.58547	0.20337	98.73166	0.0695328	0.46238	7.60066	25.38542	1.08508	0.32488	1641.61327	59197.287	 	2157.586
1415.0	0.2936	0.7064	7.04918	7.74384	-1.56192	25.45241	32.34902	1.70046	0.58807	0.32652	97.77037	0.11218	0.45542	7.61204	48.11895	1.08242	0.17123	1638.33872	58594.621	271.658	2691.465
1410.0	0.42659	0.57341	7.07296	7.71788	-1.8919	24.65188	32.64439	1.68009	0.59521	1.09435	95.46836	0.38081	0.43686	7.6483	221.22352	1.0741	0.0371346	1628.61885	56971.42	324.64	4102.479
1405.0	0.52708	0.47292	7.09169	7.69758	-2.14998	24.04072	32.8577	1.66422	0.60088	2.67713	93.92206	0.94087	0.42268	7.68541	562.5355	1.06574	0.0145602	1619.45493	55697.294	254.825	5164.927
1400.0	0.6048	0.3952	7.10687	7.68133	-2.35652	23.5655	33.01148	1.65153	0.6055	5.24212	92.86581	1.85679	0.41161	7.72365	1055.25226	1.0573	0.00773865	1610.79395	54667.53	205.953	5983.518
1395.0	0.66614	0.33386	7.11954	7.66784	-2.52798	23.18273	33.12043	1.64118	0.60932	8.75494	92.14714	3.12057	0.40278	7.76275	1668.54971	1.04883	0.00487958	1602.59464	53813.528	170.8	6626.85
1390.0	0.71539	0.28461	7.13038	7.6564	-2.6734	22.86862	33.19494	1.63259	0.61252	13.03146	91.67119	4.6687	0.39562	7.80264	2374.30927	1.04034	0.00341886	1594.81418	53088.99	144.908	7141.217
1385.0	0.75555	0.24445	7.1398	7.64657	-2.79837	22.60852	33.24459	1.62525	0.61529	17.81301	91.37486	6.40885	0.38972	7.84403	3151.49177	1.03174	0.002568	1587.41024	52461.839	125.43	7558.695
1380.0	0.78872	0.21128	7.1482	7.63787	-2.909	22.38612	33.27406	1.61892	0.6177	22.83972	91.21298	8.24662	0.38479	7.88625	3985.63313	1.02312	0.00202442	1580.35481	51909.324	110.503	7902.03
1375.0	0.81646	0.18354	7.15578	7.6301	-3.00779	22.19494	33.28793	1.61335	0.61983	27.89768	91.15459	10.10328	0.38063	7.92959	4868.87012	1.01446	0.00165217	1573.61226	51414.966	98.8716	8187.698
1370.0	0.83989	0.16011	7.16274	7.62299	-3.09811	22.02592	33.28903	1.6084	0.62174	32.82834	91.17587	11.91973	0.37706	7.97403	5796.0515	1.00574	0.00138367	1567.16059	50966.604	89.6724	8427.858
1365.0	0.85988	0.14012	7.16921	7.61643	-3.18158	21.87478	33.27998	1.60394	0.62346	37.53789	91.26011	13.66033	0.37397	8.01923	6766.528	0.99703	0.00118161	1560.97415	50555.109	82.299	8631.634
1360.0	0.87715	0.12285	7.1753	7.61031	-3.25936	21.73848	33.26281	1.59987	0.62505	41.98908	91.39451	15.31023	0.37128	8.06587	7783.66436	0.98824	0.00102407	1555.02739	50172.875	76.4468	8806.632
1355.0	0.89218	0.10782	7.18111	7.6045	-3.33312	21.61249	33.23884	1.59612	0.62652	46.16253	91.56933	16.8613	0.36889	8.11326	8849.91611	0.97946	8.97929E-4	1549.30591	49814.596	71.6558	8958.152
1350.0	0.90539	0.0946072	7.18668	7.59897	-3.40344	21.49526	33.20933	1.59264	0.62789	50.06583	91.7766	18.3155	0.36676	8.16205	9970.18683	0.97061	7.94588E-4	1543.78936	49476.076	67.704	9090.388
1345.0	0.91707	0.0829283	7.19207	7.59367	-3.47084	21.38543	33.17518	1.58936	0.62918	53.70958	92.01156	19.67601	0.36485	8.21193	11149.27839	0.96175	7.08368E-4	1538.46067	49154.073	64.4006	9206.581
1340.71	0.92593	0.0740664	7.19653	7.58928	-3.5267	21.2961	33.14251	1.58671	0.63023	56.60641	92.23113	20.75971	0.36337	8.25524	12204.2174	0.95416	6.45421E-4	1534.03142	48890.357	 	9294.147
1340.0	0.92776	0.0722428	7.19746	7.58837	-3.53826	21.27468	33.13779	1.58624	0.63042	57.20697	92.26132	20.98456	0.36307	8.26416	12407.09591	0.95271	6.34587E-4	1533.23882	48842.139	62.3868	9313.174
1335.0	0.93985	0.060155	7.20385	7.58216	-3.61711	21.13045	33.10223	1.58302	0.6317	61.29038	92.49004	22.51545	0.36107	8.32824	13884.02755	0.94245	5.65324E-4	1527.80903	48511.798	66.0682	9438.64
1330.0	0.95046	0.0495405	7.20991	7.57633	-3.69133	20.99839	33.06207	1.58002	0.6329	65.04145	92.74609	23.92486	0.35929	8.39379	15433.95142	0.93219	5.06972E-4	1522.58074	48198.203	62.719	9547.825
1325.0	0.95986	0.0401375	7.21572	7.57077	-3.76189	20.87583	33.01809	1.57719	0.63404	68.50802	93.02431	25.23	0.35767	8.46076	17066.45397	0.92192	4.57047E-4	1517.53961	47898.395	59.9616	9643.685
1320.0	0.96826	0.0317375	7.22133	7.56545	-3.82957	20.76068	32.97089	1.5745	0.63512	71.73162	93.32092	26.44587	0.3562	8.52886	18791.60167	0.9117	4.1379E-4	1512.67388	47610.041	57.6708	9728.548
1315.0	0.97582	0.0241783	7.22678	7.56031	-3.89485	20.6516	32.92103	1.57194	0.63616	74.74961	93.63266	27.58606	0.35484	8.59849	20620.23385	0.90148	3.75911E-4	1507.96793	47331.287	55.7508	9804.268
1310.0	0.98268	0.0173228	7.23211	7.55533	-3.9582	20.54729	32.86888	1.56948	0.63715	77.59269	93.95704	28.6618	0.35359	8.6697	22563.7045	0.89126	3.42451E-4	1503.41108	47060.64	54.1294	9872.333
1305.0	0.98893	0.0110656	7.23734	7.55046	-4.02009	20.44645	32.81474	1.5671	0.63812	80.28845	94.29217	29.68322	0.35242	8.74205	24634.52571	0.88109	3.12673E-4	1498.99744	46796.889	52.7502	9933.952
1300.0	0.99468	0.00531604	7.2425	7.54569	-4.08075	20.34843	32.75889	1.5648	0.63906	82.85964	94.63636	30.65869	0.35132	8.81603	26845.7275	0.87093	2.8601E-4	1494.71404	46539.043	51.5692	9990.114
1295.0	1.0	0.0	7.24761	7.54099	-4.14047	20.25242	32.70171	1.56255	0.63998	85.32594	94.98841	31.59548	0.35029	 	29211.40607	 	2.62012E-4	 	46286.285	50.5516	10041.632
1290.0	1.0	0.0	7.2501	7.5384	-4.17344	20.23483	32.63866	1.56058	0.64079	85.80763	95.39155	31.77876	0.35008	 	31102.44474	 	2.45297E-4	 	46039.944	49.2682	 
1285.0	1.0	0.0	7.25259	7.53581	-4.20637	20.21726	32.5756	1.5586	0.6416	86.29023	95.79458	31.96244	0.34987	 	33129.73263	 	2.2955E-4	 	45846.877	38.6134	 
1280.0	1.0	0.0	7.25508	7.53322	-4.23924	20.1997	32.51254	1.55661	0.64242	86.77374	96.19749	32.14651	0.34966	 	35304.04358	 	2.14722E-4	 	45654.107	38.554	 
1275.0	1.0	0.0	7.25757	7.53064	-4.27206	20.18214	32.44946	1.55462	0.64325	87.25812	96.60025	32.33096	0.34945	 	37637.07687	 	2.00763E-4	 	45461.623	38.4968	 
1270.0	1.0	0.0	7.26005	7.52806	-4.30483	20.16461	32.38638	1.55261	0.64408	87.74336	97.00285	32.51578	0.34924	 	40141.54285	 	1.87629E-4	 	45269.423	38.44	 
1265.0	1.0	0.0	7.26254	7.52549	-4.33755	20.14708	32.3233	1.5506	0.64491	88.22944	97.40526	32.70098	0.34903	 	42831.25711	 	1.75277E-4	 	45077.505	38.3836	 
1260.0	1.0	0.0	7.26502	7.52292	-4.37022	20.12956	32.2602	1.54859	0.64575	88.71635	97.80747	32.88653	0.34882	 	45721.244	 	1.63664E-4	 	44885.871	38.3268	 
1255.0	1.0	0.0	7.2675	7.52035	-4.40284	20.11206	32.1971	1.54656	0.6466	89.20405	98.20945	33.07244	0.34862	 	48827.85059	 	1.52751E-4	 	44694.518	38.2706	 
1250.0	1.0	0.0	7.26997	7.51779	-4.43541	20.09456	32.13398	1.54453	0.64745	89.69255	98.61119	33.2587	0.34841	 	52168.87207	 	1.42501E-4	 	44503.446	38.2144	 
1245.0	1.0	0.0	7.27245	7.51523	-4.46793	20.07708	32.07087	1.54249	0.6483	90.1818	99.01266	33.44531	0.3482	 	55763.6899	 	1.32877E-4	 	44312.656	38.158	 
1240.0	1.0	0.0	7.27492	7.51268	-4.50039	20.05961	32.00774	1.54044	0.64917	90.67181	99.41386	33.63224	0.34799	 	59633.42403	 	1.23845E-4	 	44122.141	38.103	 
1235.0	1.0	0.0	7.27739	7.51013	-4.53281	20.04216	31.9446	1.53838	0.65003	91.16255	99.81475	33.81951	0.34778	 	63801.10086	 	1.15373E-4	 	43931.9	38.0482	 
1230.0	1.0	0.0	7.27986	7.50758	-4.56518	20.02471	31.88146	1.53632	0.65091	91.654	100.21532	34.0071	0.34757	 	68291.83841	 	1.07429E-4	 	43741.931	37.9938	 
1225.0	1.0	0.0	7.28232	7.50504	-4.59749	20.00727	31.81831	1.53425	0.65178	92.14614	100.61555	34.195	0.34736	 	73133.05083	 	9.99835E-5	 	43552.233	37.9396	 
1220.0	1.0	0.0	7.28479	7.5025	-4.62976	19.98985	31.75515	1.53217	0.65267	92.63896	101.01543	34.38322	0.34715	 	78354.6743	 	9.30091E-5	 	43362.805	37.8856	 
1215.0	1.0	0.0	7.28725	7.49997	-4.66198	19.97244	31.69199	1.53008	0.65356	93.13244	101.41494	34.57173	0.34694	 	83989.41664	 	8.64786E-5	 	43173.646	37.8318	 
1210.0	1.0	0.0	7.28971	7.49744	-4.69414	19.95504	31.62881	1.52799	0.65446	93.62656	101.81405	34.76055	0.34674	 	90073.03343	 	8.03669E-5	 	42984.755	37.7782	 
1205.0	1.0	0.0	7.29217	7.49491	-4.72626	19.93765	31.56563	1.52588	0.65536	94.1213	102.21275	34.94965	0.34653	 	96644.63344	 	7.46496E-5	 	42796.132	37.7246	 
1200.0	1.0	0.0	7.29462	7.49239	-4.75832	19.92027	31.50244	1.52377	0.65627	94.61665	102.61103	35.13904	0.34632	 	103747.0169	 	6.9304E-5	 	42607.774	37.6716	 
1195.0	1.0	0.0	7.29708	7.48987	-4.79034	19.90291	31.43924	1.52165	0.65718	95.11259	103.00886	35.3287	0.34611	 	111427.05	 	6.43082E-5	 	42419.682	37.6184	 
1190.0	1.0	0.0	7.29953	7.48735	-4.82231	19.88555	31.37604	1.51953	0.6581	95.60909	103.40624	35.51863	0.3459	 	119736.0806	 	5.96418E-5	 	42231.854	37.5656	 
1185.0	1.0	0.0	7.30197	7.48484	-4.85422	19.86821	31.31282	1.51739	0.65903	96.10616	103.80313	35.70883	0.34569	 	128730.3986	 	5.52851E-5	 	42044.288	37.5132	 
1180.0	1.0	0.0	7.30442	7.48234	-4.88609	19.85088	31.2496	1.51525	0.65996	96.60376	104.19954	35.89929	0.34548	 	138471.7474	 	5.12196E-5	 	41856.984	37.4608	 
1175.0	1.0	0.0	7.30686	7.47983	-4.9179	19.83356	31.18637	1.5131	0.6609	97.10187	104.59543	36.09	0.34527	 	149027.8914	 	4.74278E-5	 	41669.941	37.4086	 
1170.0	1.0	0.0	7.30931	7.47733	-4.94967	19.81625	31.12314	1.51094	0.66184	97.6005	104.9908	36.28096	0.34507	 	160473.2477	 	4.3893E-5	 	41483.157	37.3568	 
1165.0	1.0	0.0	7.31175	7.47484	-4.98139	19.79896	31.05989	1.50877	0.66279	98.09961	105.38563	36.47216	0.34486	 	172889.5869	 	4.05996E-5	 	41296.632	37.305	 
1160.0	1.0	0.0	7.31418	7.47235	-5.01305	19.78167	30.99664	1.50659	0.66375	98.59918	105.7799	36.66359	0.34465	 	186366.8145	 	3.75327E-5	 	41110.364	37.2536	 
1155.0	1.0	0.0	7.31662	7.46986	-5.04467	19.7644	30.93337	1.5044	0.66472	99.09922	106.1736	36.85525	0.34444	 	201003.8397	 	3.46782E-5	 	40924.352	37.2024	 
1150.0	1.0	0.0	7.31905	7.46738	-5.07624	19.74714	30.87011	1.50221	0.66569	99.59969	106.56671	37.04713	0.34423	 	216909.5438	 	3.20228E-5	 	40738.595	37.1514	 
1145.0	1.0	0.0	7.32148	7.4649	-5.10776	19.72989	30.80683	1.50001	0.66666	100.10058	106.95922	37.23923	0.34402	 	234203.8602	 	2.95539E-5	 	40553.092	37.1006	 
1140.0	1.0	0.0	7.32391	7.46242	-5.13923	19.71265	30.74354	1.49779	0.66765	100.60187	107.35111	37.43153	0.34381	 	253018.9785	 	2.72598E-5	 	40367.841	37.0502	 
1135.0	1.0	0.0	7.32634	7.45995	-5.17065	19.69542	30.68025	1.49557	0.66864	101.10355	107.74237	37.62404	0.3436	 	273500.689	 	2.51291E-5	 	40182.841	37.0	 
1130.0	1.0	0.0	7.32876	7.45748	-5.20202	19.67821	30.61695	1.49334	0.66964	101.6056	108.13298	37.81675	0.34339	 	295809.8853	 	2.31514E-5	 	39998.091	36.95	 
1125.0	1.0	0.0	7.33119	7.45502	-5.23334	19.661	30.55364	1.49111	0.67064	102.10801	108.52292	38.00966	0.34319	 	320124.2426	 	2.13168E-5	 	39813.59	36.9002	 
1120.0	1.0	0.0	7.33361	7.45256	-5.26461	19.64381	30.49032	1.48886	0.67166	102.61076	108.9122	38.20274	0.34298	 	346640.0965	 	1.96158E-5	 	39629.336	36.8508	 
1115.0	1.0	0.0	7.33602	7.4501	-5.29583	19.62663	30.42699	1.4866	0.67267	103.11384	109.30078	38.39601	0.34277	 	375574.5453	 	1.80396E-5	 	39445.328	36.8016	 
1110.0	1.0	0.0	7.33844	7.44765	-5.327	19.60946	30.36366	1.48434	0.6737	103.61722	109.68866	38.58946	0.34256	 	407167.8058	 	1.65799E-5	 	39261.565	36.7526	 
1105.0	1.0	0.0	7.34085	7.4452	-5.35813	19.5923	30.30031	1.48206	0.67473	104.12089	110.07582	38.78307	0.34235	 	441685.8534	 	1.52289E-5	 	39078.045	36.704	 
1100.0	1.0	0.0	7.34326	7.44276	-5.3892	19.57516	30.23696	1.47978	0.67578	104.62485	110.46225	38.97685	0.34214	 	479423.3844	 	1.39793E-5	 	38894.767	36.6556	 
1095.0	1.0	0.0	7.34567	7.44032	-5.42023	19.55802	30.1736	1.47749	0.67682	105.12906	110.84793	39.17078	0.34193	 	520707.1412	 	1.28241E-5	 	38711.73	36.6074	 
1090.0	1.0	0.0	7.34808	7.43788	-5.4512	19.5409	30.11024	1.47519	0.67788	105.63352	111.23286	39.36487	0.34172	 	565899.6489	 	1.17568E-5	 	38528.931	36.5598	 
1085.0	1.0	0.0	7.35048	7.43545	-5.48213	19.52379	30.04686	1.47288	0.67894	106.13821	111.61702	39.55911	0.34151	 	615403.4156	 	1.07715E-5	 	38346.37	36.5122	 
1080.0	1.0	0.0	7.35289	7.43302	-5.51301	19.50669	29.98348	1.47056	0.68001	106.64312	112.00039	39.75348	0.34131	 	669665.6583	 	9.86222E-6	 	38164.045	36.465	 
1075.0	1.0	0.0	7.35529	7.43059	-5.54384	19.4896	29.92008	1.46823	0.68109	107.14822	112.38296	39.94799	0.3411	 	729183.6256	 	9.02377E-6	 	37981.953	36.4184	 
1070.0	1.0	0.0	7.35768	7.42817	-5.57462	19.47253	29.85668	1.46589	0.68218	107.65351	112.76473	40.14263	0.34089	 	794510.594	 	8.25109E-6	 	37800.092	36.3722	 
1065.0	1.0	0.0	7.36008	7.42575	-5.60535	19.45546	29.79328	1.46354	0.68328	108.15898	113.14567	40.33739	0.34068	 	866262.632	 	7.53949E-6	 	37618.461	36.3262	 
1060.0	1.0	0.0	7.36247	7.42334	-5.63603	19.43841	29.72986	1.46118	0.68438	108.66459	113.52578	40.53227	0.34047	 	945126.2329	 	6.88456E-6	 	37437.058	36.2806	 
1055.0	1.0	0.0	7.36486	7.42093	-5.66667	19.42137	29.66643	1.45881	0.68549	109.17035	113.90504	40.72727	0.34026	 	1031866.937	 	6.28218E-6	 	37255.882	36.2352	 
1050.0	1.0	0.0	7.36725	7.41852	-5.69725	19.40434	29.603	1.45643	0.68661	109.67623	114.28344	40.92237	0.34005	 	1127339.08	 	5.7285E-6	 	37074.93	36.1904	 
1045.0	1.0	0.0	7.36964	7.41612	-5.72779	19.38732	29.53956	1.45405	0.68774	110.18223	114.66097	41.11757	0.33984	 	1232496.816	 	5.21994E-6	 	36894.201	36.1458	 
1040.0	1.0	0.0	7.37202	7.41372	-5.75828	19.37031	29.47611	1.45165	0.68887	110.68832	115.03762	41.31288	0.33963	 	1348406.609	 	4.75314E-6	 	36713.694	36.1014	 
1035.0	1.0	0.0	7.3744	7.41133	-5.78872	19.35331	29.41265	1.44924	0.69002	111.19449	115.41337	41.50827	0.33943	 	1476261.378	 	4.32495E-6	 	36533.405	36.0578	 
1030.0	1.0	0.0	7.37678	7.40894	-5.81911	19.33633	29.34918	1.44683	0.69117	111.70072	115.78822	41.70375	0.33922	 	1617396.546	 	3.93246E-6	 	36353.334	36.0142	 
1025.0	1.0	0.0	7.37916	7.40655	-5.84945	19.31936	29.2857	1.4444	0.69233	112.20701	116.16214	41.8993	0.33901	 	1773308.256	 	3.57295E-6	 	36173.477	35.9714	 
1020.0	1.0	0.0	7.38154	7.40417	-5.87975	19.3024	29.22222	1.44196	0.6935	112.71334	116.53514	42.09494	0.3388	 	1945674.066	 	3.24389E-6	 	35993.835	35.9284	 
1015.0	1.0	0.0	7.38391	7.40179	-5.90999	19.28545	29.15872	1.43951	0.69468	113.21969	116.9072	42.29064	0.33859	 	2136376.482	 	2.9429E-6	 	35814.403	35.8864	 
1010.0	1.0	0.0	7.38628	7.39941	-5.94019	19.26851	29.09522	1.43706	0.69587	113.72605	117.27831	42.48641	0.33838	 	2347529.736	 	2.6678E-6	 	35635.18	35.8446	 
1005.0	1.0	0.0	7.38865	7.39704	-5.97034	19.25159	29.03171	1.43459	0.69706	114.2324	117.64845	42.68224	0.33817	 	2581510.293	 	2.41654E-6	 	35456.165	35.803	 
1000.0	1.0	0.0	7.39101	7.39467	-6.00044	19.23467	28.96819	1.43211	0.69827	114.73874	118.01762	42.87812	0.33796	 	2840991.631	 	2.18724E-6	 	35277.354	35.7622	 
995.0	1.0	0.0	7.39338	7.39231	-6.0305	19.21777	28.90467	1.42962	0.69949	115.24504	118.38581	43.07405	0.33775	 	3128983.926	 	1.97813E-6	 	35098.745	35.7218	 
990.0	1.0	0.0	7.39574	7.38995	-6.0605	19.20088	28.84113	1.42712	0.70071	115.75129	118.753	43.27002	0.33755	 	3448879.38	 	1.78757E-6	 	34920.337	35.6816	 
985.0	1.0	0.0	7.3981	7.38759	-6.09046	19.184	28.77759	1.42461	0.70195	116.25748	119.11918	43.46603	0.33734	 	3804504.043	 	1.61407E-6	 	34742.127	35.642	 
980.0	1.0	0.0	7.40046	7.38524	-6.12037	19.16713	28.71403	1.42209	0.70319	116.7636	119.48435	43.66207	0.33713	 	4200177.107	 	1.4562E-6	 	34564.112	35.603	 
975.0	1.0	0.0	7.40281	7.38289	-6.15023	19.15027	28.65047	1.41956	0.70445	117.26963	119.8485	43.85814	0.33692	 	4640778.824	 	1.31269E-6	 	34386.289	35.5646	 
970.0	1.0	0.0	7.40516	7.38054	-6.18004	19.13343	28.5869	1.41701	0.70571	117.77555	120.21161	44.05424	0.33671	 	5131828.364	 	1.18233E-6	 	34208.657	35.5264	 
965.0	1.0	0.0	7.40751	7.3782	-6.20981	19.11659	28.52332	1.41446	0.70698	118.28135	120.57367	44.25035	0.3365	 	5679573.169	 	1.06401E-6	 	34031.213	35.4888	 
960.0	1.0	0.0	7.40986	7.37587	-6.23953	19.09977	28.45973	1.4119	0.70827	118.78703	120.93467	44.44647	0.33629	 	6291091.588	 	9.56702E-7	 	33853.954	35.4518	 
