T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.94059	7.86057	0.0	26.16843	31.38808	1.84077	0.54325	0.0	105.43756	0.0	0.49974	6.70421	6.70421	1.29088	1.29088	1763.01227	64834.037	 	0.0
1495.0	0.0	1.0	6.94447	7.85618	-0.0558487	26.11614	31.31387	1.83992	0.5435	0.0	105.62411	0.0	0.49974	6.76259	6.76259	1.27612	1.27612	1764.78247	64612.301	44.3472	0.0
1490.0	0.0	1.0	6.94834	7.8518	-0.11154	26.06388	31.23966	1.83908	0.54375	0.0	105.81066	0.0	0.49974	6.82181	6.82181	1.26147	1.26147	1766.54931	64391.082	44.2438	0.0
1485.0	0.0	1.0	6.95221	7.84744	-0.16708	26.01166	31.16544	1.83823	0.544	0.0	105.99721	0.0	0.49974	6.88189	6.88189	1.24691	1.24691	1768.31276	64170.378	44.1408	0.0
1480.0	0.0	1.0	6.95607	7.84308	-0.22246	25.95947	31.09123	1.83738	0.54425	0.0	106.18375	0.0	0.49974	6.94285	6.94285	1.23245	1.23245	1770.07279	63950.184	44.0388	0.0
1475.0	0.0	1.0	6.95992	7.83874	-0.27769	25.90733	31.01702	1.83652	0.54451	0.0	106.3703	0.0	0.49974	7.0047	7.0047	1.21808	1.21808	1771.82934	63730.498	43.9372	0.0
1470.0	0.0	1.0	6.96377	7.83441	-0.33276	25.85523	30.9428	1.83566	0.54476	0.0	106.55685	0.0	0.49974	7.06746	7.06746	1.20381	1.20381	1773.58238	63511.317	43.8362	0.0
1465.0	0.0	1.0	6.96761	7.8301	-0.38768	25.80316	30.86859	1.8348	0.54502	0.0	106.7434	0.0	0.49974	7.13115	7.13115	1.18964	1.18964	1775.33187	63292.636	43.7362	0.0
1460.0	0.0	1.0	6.97144	7.82579	-0.44244	25.75114	30.79438	1.83393	0.54528	0.0	106.92995	0.0	0.49974	7.19579	7.19579	1.17556	1.17556	1777.07776	63074.452	43.6368	0.0
1455.0	0.0	1.0	6.97526	7.8215	-0.49704	25.69915	30.72016	1.83306	0.54554	0.0	107.11649	0.0	0.49974	7.26139	7.26139	1.16158	1.16158	1778.82002	62856.764	43.5376	0.0
1450.0	0.0	1.0	6.97908	7.81722	-0.55149	25.64721	30.64595	1.83218	0.5458	0.0	107.30304	0.0	0.49974	7.32797	7.32797	1.14769	1.14769	1780.5586	62639.589	43.435	0.0
1445.0	0.0	1.0	6.9829	7.81295	-0.60578	25.59531	30.57174	1.8313	0.54606	0.0	107.48959	0.0	0.49974	7.39556	7.39556	1.1339	1.1339	1782.29346	62422.962	43.3254	0.0
1444.35	0.0	1.0	6.98339	7.8124	-0.61281	25.58858	30.56212	1.83118	0.5461	0.0	107.51376	0.0	0.49974	7.40439	7.40439	1.13213	1.13213	1782.51794	62394.933	43.272	0.0050
1440.0	0.15399	0.84601	7.01074	7.78194	-1.00028	24.64883	31.07797	1.79622	0.55672	0.0313207	101.68401	0.0106017	0.47716	7.43034	11.00977	1.12531	0.75946	1781.04007	60843.122	356.553	1363.752
