T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.288	7.87751	0.0	31.12987	29.14783	1.40635	0.71106	0.0	123.72877	0.0	0.5	6.97155	6.97155	1.17136	1.17136	1763.4787	46395.49	 	0.0
1395.0	0.0	1.0	7.292	7.87319	-0.054807	31.09301	29.06709	1.40605	0.71121	0.0	123.87333	0.0	0.5	7.04667	7.04667	1.15541	1.15541	1766.2121	46191.672	40.7636	0.0
1390.0	0.0	1.0	7.29599	7.86889	-0.10946	31.05631	28.98635	1.40574	0.71137	0.0	124.01789	0.0	0.5	7.12306	7.12306	1.1396	1.1396	1768.97882	45988.324	40.6696	0.0
1385.0	0.0	1.0	7.29997	7.8646	-0.16395	31.01977	28.90562	1.40542	0.71153	0.0	124.16245	0.0	0.5	7.20075	7.20075	1.12391	1.12391	1771.7792	45785.444	40.576	0.0
1380.0	0.0	1.0	7.30394	7.86032	-0.21829	30.9834	28.82488	1.40511	0.71169	0.0	124.30701	0.0	0.5	7.27975	7.27975	1.10836	1.10836	1774.61358	45583.029	40.483	0.0
1375.0	0.0	1.0	7.30791	7.85605	-0.27247	30.9472	28.74414	1.4048	0.71185	0.0	124.45157	0.0	0.5	7.36012	7.36012	1.09295	1.09295	1777.48223	45381.076	40.3906	0.0
1370.0	0.0	1.0	7.31187	7.85179	-0.32649	30.91117	28.66341	1.40448	0.71201	0.0	124.59613	0.0	0.5	7.44186	7.44186	1.07766	1.07766	1780.38546	45179.583	40.2986	0.0
1365.0	0.0	1.0	7.31583	7.84755	-0.38036	30.87531	28.58267	1.40416	0.71217	0.0	124.7407	0.0	0.5	7.52503	7.52503	1.06251	1.06251	1783.32352	44978.547	40.2072	0.0
1360.0	0.0	1.0	7.31977	7.84332	-0.43406	30.83962	28.50194	1.40384	0.71233	0.0	124.88526	0.0	0.5	7.60964	7.60964	1.04749	1.04749	1786.29664	44777.967	40.116	0.0
1355.0	0.0	1.0	7.32371	7.8391	-0.48762	30.8041	28.4212	1.40352	0.7125	0.0	125.02982	0.0	0.5	7.69573	7.69573	1.0326	1.0326	1789.30506	44577.838	40.0258	0.0
