T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0296	0.9704	10.46474	0.0	62.71105	26.20493	1.58893	5.34496E-5	0.49593	16310.86	 	0.0
395.0	0.03153	0.96847	10.47233	-0.0714849	62.86905	25.77684	1.57467	6.92409E-5	0.49567	16083.079	45.5562	74.977
390.0	0.03337	0.96663	10.47984	-0.14332	63.02795	25.36046	1.56092	8.74969E-5	0.49542	15858.382	44.9394	146.812
385.0	0.03513	0.96487	10.48726	-0.21395	63.20319	24.95581	1.54768	1.08241E-4	0.49517	15636.623	44.3518	215.648
380.0	0.03682	0.96318	10.49459	-0.28378	63.39152	24.56252	1.53495	1.31486E-4	0.49494	15417.67	43.7906	281.617
375.0	0.03844	0.96156	10.50186	-0.3533	63.58829	24.18005	1.5227	1.57202E-4	0.49471	15201.399	43.2542	344.845
370.0	0.03999	0.96001	10.50904	-0.42083	63.81137	23.80846	1.51096	1.85333E-4	0.4945	14987.693	42.7412	405.446
365.0	0.04148	0.95852	10.51615	-0.48874	64.03696	23.44698	1.49968	2.15841E-4	0.49429	14776.444	42.2498	463.529
360.0	0.0429	0.9571	10.52319	-0.55463	64.2909	23.0957	1.48888	2.4863E-4	0.49409	14567.55	41.7788	519.196
355.0	0.04427	0.95573	10.53017	-0.62059	64.55171	22.75415	1.47853	2.83624E-4	0.4939	14360.916	41.3268	572.543
350.0	0.04558	0.95442	10.53707	-0.68589	64.82782	22.42213	1.46865	3.20683E-4	0.49372	14156.451	40.893	623.658
345.0	0.04683	0.95317	10.54391	-0.75015	65.12413	22.0994	1.45922	3.59729E-4	0.49354	13954.07	40.4762	672.628
340.0	0.04804	0.95196	10.55068	-0.81433	65.43086	21.78549	1.45022	4.00601E-4	0.49337	13753.694	40.0752	719.531
335.0	0.04919	0.95081	10.5574	-0.87699	65.7649	21.48062	1.44168	4.4321E-4	0.49321	13555.246	39.6896	764.445
330.0	0.0503	0.9497	10.56405	-0.93909	66.11634	21.18423	1.43358	4.87347E-4	0.49306	13358.653	39.3186	807.44
325.0	0.05136	0.94864	10.57065	-1.00113	66.48032	20.89595	1.42589	5.3294E-4	0.49291	13163.909	38.9488	848.588
320.0	0.05238	0.94762	10.57718	-1.06224	66.86797	20.61601	1.41865	5.79825E-4	0.49277	12971.335	38.5148	887.977
315.0	0.05335	0.94665	10.58366	-1.12265	67.27743	20.34402	1.41183	6.27858E-4	0.49263	12780.923	38.0824	925.67
310.0	0.05429	0.94571	10.59009	-1.18271	67.70571	20.07953	1.40542	6.76899E-4	0.4925	12592.604	37.6638	961.728
308.98	0.05447	0.94553	10.59139	-1.19537	67.7894	20.02667	1.40418	6.87009E-4	0.49247	12554.504	37.416	968.874
308.62	1.0	0.0	10.92138	-4.18055	30.31602	34.02357	2.38704	11.20197	0.43357	7754.103	 	5758.398
300.0	1.0	0.0	10.93073	-4.26246	30.20379	34.14471	2.43158	11.4485	0.43357	7504.258	562.28	 
295.0	1.0	0.0	10.93612	-4.30967	30.13921	34.21494	2.45803	11.59064	0.43357	7359.675	28.9166	 
290.0	1.0	0.0	10.94149	-4.35667	30.07498	34.28517	2.48494	11.73219	0.43357	7215.293	28.8764	 
285.0	1.0	0.0	10.94685	-4.40346	30.01111	34.35541	2.51234	11.87317	0.43357	7071.111	28.8364	 
280.0	1.0	0.0	10.95219	-4.45005	29.9476	34.42564	2.54023	12.01356	0.43357	6927.127	28.7968	 
275.0	1.0	0.0	10.95751	-4.49644	29.88444	34.49588	2.56863	12.15337	0.43357	6783.341	28.7572	 
270.0	1.0	0.0	10.96281	-4.54262	29.82164	34.56611	2.59755	12.29261	0.43357	6639.751	28.718	 
265.0	1.0	0.0	10.96809	-4.58861	29.75919	34.63635	2.62702	12.43127	0.43357	6496.356	28.679	 
260.0	1.0	0.0	10.97336	-4.63439	29.69711	34.70659	2.65703	12.56936	0.43357	6353.154	28.6404	 
255.0	1.0	0.0	10.9786	-4.67998	29.63537	34.77683	2.68761	12.70688	0.43357	6210.144	28.602	 
250.0	1.0	0.0	10.98384	-4.72537	29.574	34.84707	2.71878	12.84383	0.43356	6067.323	28.5642	 
245.0	1.0	0.0	10.98905	-4.77057	29.51298	34.91732	2.75055	12.98021	0.43356	5924.691	28.5264	 
240.0	1.0	0.0	10.99424	-4.81558	29.45232	34.98758	2.78294	13.11602	0.43356	5782.245	28.4892	 
235.0	1.0	0.0	10.99942	-4.8604	29.39202	35.05783	2.81596	13.25126	0.43356	5639.982	28.4526	 
230.0	1.0	0.0	11.00459	-4.90502	29.33207	35.1281	2.84965	13.38594	0.43356	5497.905	28.4154	 
225.0	1.0	0.0	11.00973	-4.94946	29.27248	35.19837	2.88401	13.52006	0.43356	5356.037	28.3736	 
220.0	1.0	0.0	11.01486	-4.99371	29.21325	35.26864	2.91906	13.65361	0.43356	5214.385	28.3304	 
215.0	1.0	0.0	11.01997	-5.03778	29.15437	35.33893	2.95484	13.7866	0.43356	5072.95	28.287	 
210.0	1.0	0.0	11.02506	-5.08166	29.09585	35.40922	2.99136	13.91904	0.43356	4931.731	28.2438	 
205.0	1.0	0.0	11.03014	-5.12536	29.03769	35.47952	3.02864	14.05091	0.43356	4790.727	28.2008	 
200.0	1.0	0.0	11.03521	-5.16888	28.97988	35.54983	3.06671	14.18222	0.43356	4649.939	28.1576	 
195.0	1.0	0.0	11.04025	-5.21223	28.92243	35.62015	3.10559	14.31298	0.43356	4509.365	28.1148	 
190.0	1.0	0.0	11.04528	-5.25539	28.86534	35.69048	3.14532	14.44319	0.43355	4369.006	28.0718	 
185.0	1.0	0.0	11.0503	-5.29838	28.8086	35.76082	3.18591	14.57284	0.43355	4228.861	28.029	 
180.0	1.0	0.0	11.05529	-5.34119	28.75222	35.83118	3.2274	14.70193	0.43355	4088.93	27.9862	 
175.0	1.0	0.0	11.06028	-5.38383	28.6962	35.90155	3.26982	14.83047	0.43355	3949.212	27.9436	 
170.0	1.0	0.0	11.06524	-5.4263	28.64053	35.97194	3.31319	14.95847	0.43355	3809.708	27.9008	 
165.0	1.0	0.0	11.07019	-5.4686	28.58522	36.04234	3.35756	15.08591	0.43355	3670.416	27.8584	 
160.0	1.0	0.0	11.07513	-5.51074	28.53027	36.11276	3.40296	15.2128	0.43355	3531.337	27.8158	 
155.0	1.0	0.0	11.08005	-5.5527	28.47567	36.18319	3.44941	15.33914	0.43355	3392.469	27.7736	 
150.0	1.0	0.0	11.08496	-5.5945	28.42143	36.25365	3.49697	15.46493	0.43355	3253.813	27.7312	 
145.0	1.0	0.0	11.08985	-5.63613	28.36755	36.32413	3.54566	15.59018	0.43355	3115.369	27.6888	 
140.0	1.0	0.0	11.09472	-5.6776	28.31402	36.39463	3.59553	15.71488	0.43355	2977.135	27.6468	 
135.0	1.0	0.0	11.09958	-5.71892	28.26085	36.46515	3.64663	15.83903	0.43355	2839.112	27.6046	 
130.0	1.0	0.0	11.10443	-5.76007	28.20804	36.5357	3.699	15.96264	0.43355	2701.299	27.5626	 
125.0	1.0	0.0	11.10926	-5.80106	28.15559	36.60628	3.75269	16.08571	0.43354	2563.695	27.5208	 
120.0	1.0	0.0	11.11408	-5.8419	28.10349	36.67688	3.80775	16.20823	0.43354	2426.301	27.4788	 
115.0	1.0	0.0	11.11889	-5.88258	28.05174	36.74752	3.86422	16.3302	0.43354	2289.115	27.4372	 
110.0	1.0	0.0	11.12368	-5.92311	28.00036	36.81818	3.92218	16.45164	0.43354	2152.138	27.3954	 
105.0	1.0	0.0	11.12845	-5.96349	27.94933	36.88888	3.98167	16.57254	0.43354	2015.368	27.354	 
100.0	1.0	0.0	11.13321	-6.00371	27.89866	36.95962	4.04276	16.69289	0.43354	1878.806	27.3124	 
95.0	1.0	0.0	11.13796	-6.04379	27.84834	37.03039	4.10551	16.8127	0.43354	1742.451	27.271	 
90.0	1.0	0.0	11.1427	-6.08372	27.79838	37.1012	4.17	16.93198	0.43354	1606.302	27.2298	 
85.0	1.0	0.0	11.14742	-6.1235	27.74878	37.17206	4.23629	17.05071	0.43354	1470.359	27.1886	 
80.0	1.0	0.0	11.15213	-6.16314	27.69953	37.24296	4.30446	17.16891	0.43354	1334.621	27.1476	 
75.0	1.0	0.0	11.15683	-6.20264	27.65064	37.31391	4.3746	17.28657	0.43354	1199.088	27.1066	 
70.0	1.0	0.0	11.16151	-6.24199	27.60211	37.3849	4.44679	17.40369	0.43354	1063.76	27.0656	 
65.0	1.0	0.0	11.16618	-6.28121	27.55393	37.45595	4.52111	17.52028	0.43354	928.635	27.025	 
