T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	10.50038	0.0	63.37669	20.36563	1.23487	0.0	0.5	16187.775	 	0.0
395.0	0.0	1.0	10.50664	-0.0595663	63.65824	20.30065	1.24014	0.0	0.5	16035.425	30.47	0.0
390.0	0.0	1.0	10.51288	-0.11885	63.95031	20.23568	1.24549	0.0	0.5	15883.005	30.484	0.0
385.0	0.0	1.0	10.51909	-0.17784	64.25335	20.17071	1.25092	0.0	0.5	15730.516	30.4978	0.0
380.0	0.0	1.0	10.52528	-0.23654	64.56781	20.10573	1.25644	0.0	0.5	15577.958	30.5116	0.0
375.0	0.0	1.0	10.53145	-0.29496	64.89419	20.04076	1.26204	0.0	0.5	15425.33	30.5256	0.0
370.0	0.0	1.0	10.53759	-0.35309	65.23301	19.97578	1.26773	0.0	0.5	15272.632	30.5396	0.0
365.0	0.0	1.0	10.54371	-0.41093	65.58481	19.91081	1.2735	0.0	0.5	15119.865	30.5534	0.0
360.0	0.0	1.0	10.54981	-0.46848	65.95018	19.84584	1.27937	0.0	0.5	14967.028	30.5674	0.0
355.0	0.0	1.0	10.55588	-0.52575	66.32973	19.78086	1.28533	0.0	0.5	14814.12	30.5816	0.0
350.0	0.0	1.0	10.56193	-0.58273	66.72411	19.71589	1.29139	0.0	0.5	14661.143	30.5954	0.0
345.0	0.0	1.0	10.56796	-0.63942	67.13403	19.65091	1.29755	0.0	0.5	14508.095	30.6096	0.0
340.0	0.0	1.0	10.57396	-0.69583	67.56022	19.58594	1.3038	0.0	0.5	14354.976	30.6238	0.0
335.0	0.0	1.0	10.57994	-0.75194	68.00347	19.52097	1.31016	0.0	0.5	14201.786	30.638	0.0
330.0	0.0	1.0	10.58589	-0.80777	68.46461	19.45599	1.31662	0.0	0.5	14048.526	30.652	0.0
325.0	0.0	1.0	10.59182	-0.86331	68.94455	19.39102	1.3232	0.0	0.5	13895.262	30.6528	0.0
320.0	0.0	1.0	10.59773	-0.91857	69.44424	19.32604	1.32988	0.0	0.5	13742.418	30.5688	0.0
318.97	0.0	1.0	10.59894	-0.92986	69.54921	19.31272	1.33126	0.0	0.5	13711.143	30.5101	0.0010
315.0	8.1E-4	0.99919	10.60424	-0.97954	69.89081	19.11007	1.3262	3.41285E-11	0.49989	13555.844	39.0696	34.212
310.0	0.0018	0.9982	10.61087	-1.04195	70.33499	18.86171	1.32018	8.19558E-10	0.49975	13362.553	38.6582	75.611
308.67	0.00205	0.99795	10.61262	-1.0581	70.46198	18.79675	1.31865	1.39598E-9	0.49971	13311.42	 	86.342
307.97	1.0	0.0	10.9617	-4.20859	30.87718	32.15878	2.25874	10.12971	0.43724	8032.721	 	5343.988
