T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.95813	0.0	54.59338	28.27476	1.71444	0.0	0.5	18379.015	 	0.0
395.0	0.0	1.0	7.96245	-0.0542915	54.81197	28.18257	1.72163	0.0	0.5	18233.803	29.0424	0.0
390.0	0.0	1.0	7.96676	-0.10837	55.0386	28.09037	1.72894	0.0	0.5	18088.538	29.053	0.0
385.0	0.0	1.0	7.97106	-0.16224	55.27358	27.99817	1.73636	0.0	0.5	17943.218	29.064	0.0
380.0	0.0	1.0	7.97535	-0.2159	55.51728	27.90598	1.74389	0.0	0.5	17797.839	29.0758	0.0
375.0	0.0	1.0	7.97962	-0.26936	55.77006	27.81378	1.75153	0.0	0.5	17652.399	29.088	0.0
370.0	0.0	1.0	7.98388	-0.3226	56.03233	27.72158	1.7593	0.0	0.5	17506.892	29.1014	0.0
365.0	0.0	1.0	7.98813	-0.37563	56.3045	27.62939	1.76719	0.0	0.5	17361.316	29.1152	0.0
360.0	0.0	1.0	7.99237	-0.42845	56.58701	27.53719	1.7752	0.0	0.5	17215.667	29.1298	0.0
355.0	0.0	1.0	7.99659	-0.48106	56.88034	27.44499	1.78334	0.0	0.5	17069.939	29.1456	0.0
350.0	0.0	1.0	8.00081	-0.53346	57.18498	27.3528	1.79161	0.0	0.5	16924.128	29.1622	0.0
345.0	0.0	1.0	8.00501	-0.58565	57.50147	27.2606	1.80001	0.0	0.5	16778.23	29.1796	0.0
340.0	0.0	1.0	8.00919	-0.63762	57.83036	27.1684	1.80855	0.0	0.5	16632.24	29.198	0.0
335.0	0.0	1.0	8.01337	-0.68939	58.17227	27.07621	1.81723	0.0	0.5	16486.151	29.2178	0.0
330.0	0.0	1.0	8.01753	-0.74095	58.52782	26.98401	1.82606	0.0	0.5	16339.959	29.2384	0.0
325.0	0.0	1.0	8.02168	-0.7923	58.8977	26.89181	1.83503	0.0	0.5	16193.677	29.2564	0.0
320.0	0.0	1.0	8.02582	-0.84344	59.28265	26.79962	1.84416	0.0	0.5	16047.42	29.2514	0.0
315.0	0.0	1.0	8.02994	-0.89437	59.68343	26.70742	1.85344	0.0	0.5	15901.199	29.2442	0.0
310.0	0.0	1.0	8.03405	-0.94509	60.10088	26.61522	1.86288	0.0	0.5	15755.004	29.239	0.0
305.0	0.0	1.0	8.03815	-0.99559	60.5359	26.52303	1.87248	0.0	0.5	15608.825	29.2358	0.0
300.0	0.0	1.0	8.04224	-1.04589	60.98944	26.43083	1.88225	0.0	0.5	15462.652	29.2346	0.0
295.0	0.0	1.0	8.04631	-1.09598	61.46253	26.33863	1.89219	0.0	0.5	15316.473	29.2358	0.0
290.0	0.0	1.0	8.05037	-1.14585	61.95629	26.24644	1.90231	0.0	0.5	15170.277	29.2392	0.0
285.0	0.0	1.0	8.05442	-1.19552	62.47189	26.15424	1.9126	0.0	0.5	15024.054	29.2446	0.0
280.0	0.0	1.0	8.05845	-1.24498	63.01063	26.06204	1.92309	0.0	0.5	14877.792	29.2524	0.0
275.0	0.0	1.0	8.06247	-1.29422	63.5739	25.96985	1.93377	0.0	0.5	14731.478	29.2628	0.0
270.0	0.0	1.0	8.06648	-1.34326	64.16319	25.87765	1.94464	0.0	0.5	14585.101	29.2754	0.0
265.0	0.0	1.0	8.07047	-1.39209	64.78013	25.78545	1.95571	0.0	0.5	14438.647	29.2908	0.0
260.0	0.0	1.0	8.07445	-1.4407	65.42649	25.69326	1.967	0.0	0.5	14292.104	29.3086	0.0
255.0	0.0	1.0	8.07842	-1.48911	66.10419	25.60106	1.97849	0.0	0.5	14145.457	29.3294	0.0
250.0	0.0	1.0	8.08238	-1.5373	66.81532	25.50886	1.99021	0.0	0.5	13998.694	29.3526	0.0
245.0	0.0	1.0	8.08632	-1.58529	67.56214	25.41667	2.00215	0.0	0.5	13851.799	29.379	0.0
240.0	0.0	1.0	8.09024	-1.63306	68.34717	25.32447	2.01433	0.0	0.5	13704.758	29.4082	0.0
235.0	0.0	1.0	8.09416	-1.68063	69.17311	25.23227	2.02674	0.0	0.5	13557.554	29.4408	0.0
230.0	0.0	1.0	8.09806	-1.72798	70.04298	25.14008	2.0394	0.0	0.5	13410.199	29.471	0.0
225.0	0.0	1.0	8.10195	-1.77513	70.96006	25.04788	2.05232	0.0	0.5	13262.96	29.4478	0.0
220.0	0.0	1.0	8.10582	-1.82206	71.92798	24.95568	2.0655	0.0	0.5	13115.917	29.4086	0.0
215.0	0.0	1.0	8.10968	-1.86879	72.95076	24.86349	2.07894	0.0	0.5	12969.08	29.3674	0.0
210.0	0.0	1.0	8.11352	-1.9153	74.03284	24.77129	2.09267	0.0	0.5	12822.458	29.3244	0.0
205.0	0.0	1.0	8.11736	-1.9616	75.17917	24.67909	2.10668	0.0	0.5	12676.063	29.279	0.0
200.0	0.0	1.0	8.12117	-2.0077	76.39526	24.5869	2.12099	0.0	0.5	12529.902	29.2322	0.0
195.0	0.0	1.0	8.12498	-2.05358	77.68725	24.4947	2.13561	0.0	0.5	12383.986	29.1832	0.0
190.0	0.0	1.0	8.12877	-2.09925	79.06206	24.4025	2.15054	0.0	0.5	12238.324	29.1324	0.0
185.0	0.0	1.0	8.13255	-2.14471	80.52744	24.31031	2.16579	0.0	0.5	12092.922	29.0804	0.0
181.16	0.0	1.0	8.13544	-2.17948	81.71941	24.23952	2.17773	0.0	0.5	11981.472	29.0324	0.0
181.04	0.00293	0.99707	8.13637	-2.19018	81.53821	24.27817	2.18177	4.1063E-9	0.49955	11954.411	 	23.66
180.66	0.27027	0.72973	8.19427	-2.88141	66.02902	27.91453	2.51069	0.0341341	0.46872	10301.107	 	1665.754
180.66	1.0	0.0	8.3517	-4.71209	24.41807	45.80134	4.11946	28.67669	0.38264	5681.238	 	6285.623
175.0	1.0	0.0	8.35531	-4.75327	24.36782	45.91298	4.18163	29.11099	0.38264	5515.511	1049.47	 
170.0	1.0	0.0	8.35849	-4.78952	24.32353	46.01293	4.23802	29.4909	0.38264	5369.458	29.2106	 
165.0	1.0	0.0	8.36167	-4.82564	24.27935	46.11415	4.29581	29.86715	0.38264	5223.795	29.1326	 
160.0	1.0	0.0	8.36483	-4.86164	24.23529	46.21668	4.35506	30.23975	0.38264	5078.523	29.0544	 
155.0	1.0	0.0	8.36798	-4.8975	24.19134	46.32056	4.41582	30.60868	0.38264	4933.643	28.976	 
150.0	1.0	0.0	8.37113	-4.93324	24.14751	46.42584	4.47816	30.97397	0.38264	4789.156	28.8974	 
145.0	1.0	0.0	8.37427	-4.96884	24.10379	46.53258	4.54212	31.33561	0.38263	4645.064	28.8184	 
140.0	1.0	0.0	8.37739	-5.00433	24.06018	46.64083	4.60779	31.6936	0.38263	4501.367	28.7394	 
135.0	1.0	0.0	8.38051	-5.03968	24.01669	46.75064	4.67522	32.04795	0.38263	4358.067	28.66	 
130.0	1.0	0.0	8.38362	-5.07491	23.97331	46.86207	4.74448	32.39867	0.38263	4215.164	28.5806	 
125.0	1.0	0.0	8.38673	-5.11001	23.93005	46.97519	4.81566	32.74575	0.38263	4072.659	28.501	 
120.0	1.0	0.0	8.38982	-5.14499	23.8869	47.09006	4.88883	33.08919	0.38263	3930.552	28.4214	 
115.0	1.0	0.0	8.3929	-5.17984	23.84387	47.20675	4.96408	33.42901	0.38263	3788.845	28.3414	 
110.0	1.0	0.0	8.39598	-5.21457	23.80095	47.32533	5.04149	33.7652	0.38263	3647.537	28.2616	 
105.0	1.0	0.0	8.39904	-5.24917	23.75814	47.44588	5.12116	34.09776	0.38263	3506.629	28.1816	 
100.0	1.0	0.0	8.4021	-5.28365	23.71545	47.56848	5.20319	34.4267	0.38263	3366.121	28.1016	 
95.0	1.0	0.0	8.40515	-5.31801	23.67287	47.69321	5.28769	34.75201	0.38262	3226.012	28.0218	 
90.0	1.0	0.0	8.40819	-5.35224	23.63041	47.82016	5.37476	35.07371	0.38262	3086.302	27.942	 
85.0	1.0	0.0	8.41122	-5.38635	23.58806	47.94943	5.46453	35.39179	0.38262	2946.992	27.862	 
80.0	1.0	0.0	8.41424	-5.42034	23.54582	48.08111	5.55711	35.70625	0.38262	2808.079	27.7826	 
75.0	1.0	0.0	8.41726	-5.45421	23.5037	48.21531	5.65266	36.01709	0.38262	2669.564	27.703	 
