T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.977	0.0	54.36784	28.08108	1.70269	0.0	0.5	18394.945	 	0.0
395.0	0.0	1.0	7.98134	-0.0543085	54.58335	27.98922	1.70982	0.0	0.5	18249.694	29.0502	0.0
390.0	0.0	1.0	7.98566	-0.10841	54.80681	27.89737	1.71706	0.0	0.5	18104.391	29.0606	0.0
385.0	0.0	1.0	7.98997	-0.16229	55.03855	27.80552	1.72441	0.0	0.5	17959.033	29.0716	0.0
380.0	0.0	1.0	7.99427	-0.21597	55.27892	27.71367	1.73187	0.0	0.5	17813.618	29.083	0.0
375.0	0.0	1.0	7.99856	-0.26943	55.52829	27.62182	1.73944	0.0	0.5	17668.142	29.0952	0.0
370.0	0.0	1.0	8.00283	-0.32268	55.78706	27.52996	1.74714	0.0	0.5	17522.6	29.1084	0.0
365.0	0.0	1.0	8.00709	-0.37573	56.05563	27.43811	1.75495	0.0	0.5	17376.989	29.1222	0.0
360.0	0.0	1.0	8.01134	-0.42856	56.33445	27.34626	1.76289	0.0	0.5	17231.306	29.1366	0.0
355.0	0.0	1.0	8.01557	-0.48118	56.62398	27.25441	1.77095	0.0	0.5	17085.545	29.1522	0.0
350.0	0.0	1.0	8.0198	-0.53359	56.92471	27.16256	1.77915	0.0	0.5	16939.702	29.1686	0.0
345.0	0.0	1.0	8.02401	-0.58578	57.23718	27.0707	1.78747	0.0	0.5	16793.772	29.186	0.0
340.0	0.0	1.0	8.02821	-0.63777	57.56194	26.97885	1.79594	0.0	0.5	16647.751	29.2042	0.0
335.0	0.0	1.0	8.03239	-0.68955	57.89958	26.887	1.80454	0.0	0.5	16501.633	29.2236	0.0
330.0	0.0	1.0	8.03656	-0.74111	58.25074	26.79515	1.81328	0.0	0.5	16355.412	29.2442	0.0
325.0	0.0	1.0	8.04072	-0.79246	58.61609	26.70329	1.82217	0.0	0.5	16209.103	29.2618	0.0
320.0	0.0	1.0	8.04487	-0.84361	58.99636	26.61144	1.83121	0.0	0.5	16062.823	29.256	0.0
315.0	0.0	1.0	8.04901	-0.89454	59.39232	26.51959	1.8404	0.0	0.5	15916.582	29.2482	0.0
310.0	0.0	1.0	8.05313	-0.94526	59.80479	26.42774	1.84975	0.0	0.5	15770.372	29.242	0.0
305.0	0.0	1.0	8.05724	-0.99577	60.23466	26.33589	1.85927	0.0	0.5	15624.182	29.238	0.0
300.0	0.0	1.0	8.06133	-1.04606	60.68288	26.24403	1.86894	0.0	0.5	15478.001	29.2362	0.0
295.0	0.0	1.0	8.06541	-1.09615	61.15046	26.15218	1.87879	0.0	0.5	15331.819	29.2364	0.0
290.0	0.0	1.0	8.06948	-1.14603	61.6385	26.06033	1.88882	0.0	0.5	15185.625	29.2388	0.0
285.0	0.0	1.0	8.07354	-1.19569	62.14819	25.96848	1.89902	0.0	0.5	15039.407	29.2436	0.0
280.0	0.0	1.0	8.07758	-1.24514	62.6808	25.87663	1.90941	0.0	0.5	14893.154	29.2506	0.0
275.0	0.0	1.0	8.08161	-1.29439	63.23769	25.78477	1.91998	0.0	0.5	14746.854	29.26	0.0
270.0	0.0	1.0	8.08563	-1.34342	63.82036	25.69292	1.93076	0.0	0.5	14600.495	29.2718	0.0
265.0	0.0	1.0	8.08963	-1.39224	64.43042	25.60107	1.94173	0.0	0.5	14454.064	29.2862	0.0
260.0	0.0	1.0	8.09362	-1.44085	65.06962	25.50922	1.95291	0.0	0.5	14307.547	29.3034	0.0
255.0	0.0	1.0	8.0976	-1.48924	65.73986	25.41736	1.9643	0.0	0.5	14160.932	29.323	0.0
250.0	0.0	1.0	8.10156	-1.53743	66.4432	25.32551	1.9759	0.0	0.5	14014.205	29.3454	0.0
245.0	0.0	1.0	8.10551	-1.58541	67.18191	25.23366	1.98774	0.0	0.5	13867.35	29.371	0.0
240.0	0.0	1.0	8.10945	-1.63317	67.95845	25.14181	1.9998	0.0	0.5	13720.354	29.3992	0.0
235.0	0.0	1.0	8.11337	-1.68072	68.77552	25.04996	2.0121	0.0	0.5	13573.201	29.4306	0.0
230.0	0.0	1.0	8.11728	-1.72807	69.63609	24.9581	2.02464	0.0	0.5	13425.9	29.4602	0.0
225.0	0.0	1.0	8.12117	-1.7752	70.54342	24.86625	2.03744	0.0	0.5	13278.718	29.4364	0.0
220.0	0.0	1.0	8.12505	-1.82212	71.50112	24.7744	2.05049	0.0	0.5	13131.732	29.3972	0.0
215.0	0.0	1.0	8.12892	-1.86883	72.51315	24.68255	2.06381	0.0	0.5	12984.953	29.3558	0.0
210.0	0.0	1.0	8.13277	-1.91533	73.58391	24.5907	2.07741	0.0	0.5	12838.391	29.3124	0.0
205.0	0.0	1.0	8.13661	-1.96161	74.71832	24.49884	2.0913	0.0	0.5	12692.055	29.2672	0.0
200.0	0.0	1.0	8.14044	-2.00769	75.92181	24.40699	2.10547	0.0	0.5	12545.954	29.2202	0.0
195.0	0.0	1.0	8.14425	-2.05355	77.20049	24.31514	2.11995	0.0	0.5	12400.098	29.1712	0.0
190.0	0.0	1.0	8.14805	-2.09921	78.56119	24.22329	2.13474	0.0	0.5	12254.496	29.1204	0.0
185.0	0.0	1.0	8.15183	-2.14465	80.0116	24.13144	2.14986	0.0	0.5	12109.155	29.0682	0.0
181.43	0.0	1.0	8.15453	-2.17696	81.10671	24.06586	2.16085	0.0	0.5	12005.558	29.0223	0.0
181.14	0.00251	0.99749	8.15508	-2.18257	81.1302	24.08793	2.16421	3.33618E-10	0.49983	11987.393	 	9.764
180.66	0.00836	0.99164	8.15612	-2.19531	81.09244	24.14674	2.1718	3.26303E-8	0.49939	11941.895	 	41.25
180.66	1.0	0.0	8.36949	-4.68904	24.42418	45.36296	4.08003	28.58278	0.38297	5644.074	 	6339.071
175.0	1.0	0.0	8.37311	-4.73024	24.37391	45.47153	4.14143	29.01379	0.38297	5478.433	1015.04	 
170.0	1.0	0.0	8.37629	-4.76651	24.32962	45.56872	4.19711	29.39082	0.38297	5332.455	29.1956	 
165.0	1.0	0.0	8.37947	-4.80265	24.28544	45.66714	4.25417	29.76422	0.38297	5186.865	29.118	 
160.0	1.0	0.0	8.38265	-4.83866	24.24138	45.76681	4.31267	30.134	0.38297	5041.665	29.04	 
155.0	1.0	0.0	8.38581	-4.87454	24.19743	45.86779	4.37266	30.50014	0.38297	4896.855	28.962	 
150.0	1.0	0.0	8.38896	-4.91029	24.1536	45.97012	4.4342	30.86267	0.38297	4752.438	28.8834	 
145.0	1.0	0.0	8.3921	-4.94591	24.10989	46.07384	4.49735	31.22159	0.38296	4608.413	28.805	 
140.0	1.0	0.0	8.39524	-4.98141	24.06629	46.17903	4.56216	31.57689	0.38296	4464.782	28.7262	 
135.0	1.0	0.0	8.39837	-5.01678	24.02281	46.28571	4.62872	31.92858	0.38296	4321.546	28.6472	 
130.0	1.0	0.0	8.40148	-5.05203	23.97944	46.39397	4.69709	32.27667	0.38296	4178.705	28.5682	 
125.0	1.0	0.0	8.40459	-5.08715	23.93619	46.50385	4.76734	32.62115	0.38296	4036.261	28.4888	 
120.0	1.0	0.0	8.40769	-5.12214	23.89306	46.61542	4.83955	32.96204	0.38296	3894.214	28.4094	 
115.0	1.0	0.0	8.41078	-5.15701	23.85004	46.72874	4.91381	33.29932	0.38296	3752.563	28.3302	 
110.0	1.0	0.0	8.41387	-5.19175	23.80714	46.84389	4.9902	33.63301	0.38296	3611.311	28.2504	 
105.0	1.0	0.0	8.41694	-5.22637	23.76435	46.96093	5.06882	33.96311	0.38296	3470.456	28.171	 
100.0	1.0	0.0	8.42	-5.26087	23.72168	47.07996	5.14975	34.28962	0.38296	3329.999	28.0914	 
95.0	1.0	0.0	8.42306	-5.29524	23.67913	47.20104	5.23312	34.61254	0.38295	3189.94	28.0118	 
90.0	1.0	0.0	8.42611	-5.32949	23.6367	47.32426	5.31902	34.93188	0.38295	3050.278	27.9324	 
85.0	1.0	0.0	8.42915	-5.36362	23.59438	47.44971	5.40758	35.24762	0.38295	2911.013	27.853	 
80.0	1.0	0.0	8.43218	-5.39763	23.55217	47.5775	5.49891	35.55979	0.38295	2772.144	27.7738	 
75.0	1.0	0.0	8.4352	-5.43152	23.51009	47.70772	5.59315	35.86837	0.38295	2633.671	27.6946	 
70.0	1.0	0.0	8.43821	-5.46528	23.46811	47.84047	5.69043	36.17338	0.38295	2495.592	27.6158	 
65.0	1.0	0.0	8.44121	-5.49893	23.42626	47.97588	5.79092	36.4748	0.38295	2357.906	27.5372	 
60.0	1.0	0.0	8.44421	-5.53246	23.38452	48.11406	5.89476	36.77265	0.38295	2220.61	27.4592	 
55.0	1.0	0.0	8.4472	-5.56587	23.34289	48.25513	6.00212	37.06691	0.38295	2083.705	27.381	 
50.0	1.0	0.0	8.45018	-5.59916	23.30139	48.39924	6.1132	37.35761	0.38295	1947.186	27.3038	 
45.0	1.0	0.0	8.45315	-5.63233	23.26	48.54653	6.22817	37.64473	0.38294	1811.052	27.2268	 
40.0	1.0	0.0	8.45611	-5.66538	23.21872	48.69714	6.34724	37.92827	0.38294	1675.299	27.1506	 
35.0	1.0	0.0	8.45906	-5.69832	23.17757	48.85125	6.47064	38.20824	0.38294	1539.925	27.0748	 
30.0	1.0	0.0	8.46201	-5.73114	23.13653	49.00901	6.59861	38.48464	0.38294	1404.925	27.0	 
25.0	1.0	0.0	8.46494	-5.76384	 	49.17063	6.73139	38.75746	0.38294	1270.296	 	 
