T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	8.29685	0.0	53.51437	26.74903	1.62192	0.0	0.5	18386.028	 	0.0
395.0	0.0	1.0	8.30141	-0.0549853	53.71235	26.66079	1.62867	0.0	0.5	18239.998	29.206	0.0
390.0	0.0	1.0	8.30596	-0.10975	53.9179	26.57256	1.63552	0.0	0.5	18093.914	29.2168	0.0
385.0	0.0	1.0	8.3105	-0.16429	54.13133	26.48432	1.64247	0.0	0.5	17947.772	29.2284	0.0
380.0	0.0	1.0	8.31502	-0.21861	54.35297	26.39609	1.64953	0.0	0.5	17801.571	29.2402	0.0
375.0	0.0	1.0	8.31954	-0.27271	54.58318	26.30785	1.6567	0.0	0.5	17655.306	29.253	0.0
370.0	0.0	1.0	8.32403	-0.32659	54.82233	26.21962	1.66398	0.0	0.5	17508.975	29.2662	0.0
365.0	0.0	1.0	8.32852	-0.38025	55.07081	26.13138	1.67137	0.0	0.5	17362.574	29.2802	0.0
360.0	0.0	1.0	8.33299	-0.43369	55.32904	26.04315	1.67888	0.0	0.5	17216.099	29.295	0.0
355.0	0.0	1.0	8.33744	-0.4869	55.59747	25.95491	1.68651	0.0	0.5	17069.547	29.3104	0.0
350.0	0.0	1.0	8.34188	-0.5399	55.87656	25.86668	1.69427	0.0	0.5	16922.913	29.3268	0.0
345.0	0.0	1.0	8.34631	-0.59267	56.16681	25.77844	1.70215	0.0	0.5	16776.194	29.3438	0.0
340.0	0.0	1.0	8.35073	-0.64522	56.46877	25.69021	1.71015	0.0	0.5	16629.384	29.362	0.0
335.0	0.0	1.0	8.35513	-0.69755	56.78298	25.60197	1.71829	0.0	0.5	16482.48	29.3808	0.0
330.0	0.0	1.0	8.35951	-0.74966	57.11006	25.51374	1.72656	0.0	0.5	16335.477	29.4006	0.0
325.0	0.0	1.0	8.36389	-0.80155	57.45065	25.4255	1.73498	0.0	0.5	16188.393	29.4168	0.0
320.0	0.0	1.0	8.36825	-0.85322	57.80543	25.33727	1.74353	0.0	0.5	16041.386	29.4014	0.0
315.0	0.0	1.0	8.37259	-0.90466	58.17515	25.24903	1.75223	0.0	0.5	15894.472	29.3828	0.0
310.0	0.0	1.0	8.37692	-0.95589	58.56058	25.16079	1.76108	0.0	0.5	15747.64	29.3664	0.0
305.0	0.0	1.0	8.38124	-1.00689	58.96256	25.07256	1.77008	0.0	0.5	15600.881	29.3518	0.0
300.0	0.0	1.0	8.38554	-1.05767	59.38201	24.98432	1.77923	0.0	0.5	15454.183	29.3396	0.0
295.0	0.0	1.0	8.38983	-1.10824	59.81989	24.89609	1.78855	0.0	0.5	15307.537	29.3292	0.0
290.0	0.0	1.0	8.3941	-1.15858	60.27724	24.80785	1.79804	0.0	0.5	15160.931	29.3212	0.0
285.0	0.0	1.0	8.39836	-1.20869	60.75519	24.71962	1.80769	0.0	0.5	15014.354	29.3154	0.0
280.0	0.0	1.0	8.4026	-1.25859	61.25495	24.63138	1.81752	0.0	0.5	14867.794	29.312	0.0
275.0	0.0	1.0	8.40683	-1.30827	61.77782	24.54315	1.82753	0.0	0.5	14721.241	29.3106	0.0
270.0	0.0	1.0	8.41105	-1.35772	62.32523	24.45491	1.83772	0.0	0.5	14574.681	29.312	0.0
265.0	0.0	1.0	8.41525	-1.40696	62.8987	24.36668	1.84811	0.0	0.5	14428.104	29.3154	0.0
