T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.88629	7.87242	0.0	24.94929	32.19744	1.79449	0.55726	0.0	103.58991	0.0	0.49587	6.63	6.63	1.30533	1.30533	1661.32174	64735.985	 	0.0
1495.0	0.0	1.0	6.8901	7.86807	-0.0552712	24.89499	32.12835	1.79328	0.55764	0.0	103.78297	0.0	0.49587	6.68743	6.68743	1.29047	1.29047	1662.11699	64515.158	44.1654	0.0
1490.0	0.0	1.0	6.8939	7.86373	-0.11039	24.8407	32.05926	1.79206	0.55802	0.0	103.97603	0.0	0.49587	6.74569	6.74569	1.2757	1.2757	1662.8977	64294.855	44.0606	0.0
1485.0	0.0	1.0	6.8977	7.85941	-0.16535	24.78643	31.99017	1.79084	0.5584	0.0	104.16909	0.0	0.49587	6.8048	6.8048	1.26104	1.26104	1663.6637	64075.072	43.9566	0.0
1480.0	0.0	1.0	6.90149	7.85509	-0.22016	24.73218	31.92107	1.78961	0.55878	0.0	104.36214	0.0	0.49587	6.86476	6.86476	1.24647	1.24647	1664.41481	63855.807	43.853	0.0
1475.0	0.0	1.0	6.90527	7.85079	-0.27481	24.67795	31.85196	1.78838	0.55916	0.0	104.5552	0.0	0.49587	6.9256	6.9256	1.23199	1.23199	1665.15085	63637.056	43.7502	0.0
1470.0	0.0	1.0	6.90905	7.8465	-0.32931	24.62374	31.78286	1.78714	0.55955	0.0	104.74826	0.0	0.49587	6.98733	6.98733	1.21762	1.21762	1665.87163	63418.815	43.6482	0.0
1465.0	0.0	1.0	6.91282	7.84222	-0.38366	24.56955	31.71374	1.7859	0.55994	0.0	104.94132	0.0	0.49587	7.04997	7.04997	1.20334	1.20334	1666.57697	63201.083	43.5464	0.0
1460.0	0.0	1.0	6.91658	7.83795	-0.43785	24.51538	31.64462	1.78465	0.56033	0.0	105.13438	0.0	0.49587	7.11354	7.11354	1.18915	1.18915	1667.26667	62983.856	43.4454	0.0
1455.0	0.0	1.0	6.92033	7.8337	-0.49189	24.46123	31.5755	1.7834	0.56073	0.0	105.32743	0.0	0.49587	7.17806	7.17806	1.17506	1.17506	1667.94055	62767.13	43.3452	0.0
1450.0	0.0	1.0	6.92408	7.82946	-0.54577	24.4071	31.50637	1.78214	0.56112	0.0	105.52049	0.0	0.49587	7.24354	7.24354	1.16107	1.16107	1668.59841	62550.915	43.243	0.0
1447.27	0.0	1.0	6.92613	7.82715	-0.57511	24.37757	31.46865	1.78145	0.56134	0.0	105.62583	0.0	0.49587	7.27968	7.27968	1.15348	1.15348	1668.95053	62433.162	43.163	0.0060
1445.0	0.0680102	0.93199	6.93766	7.81424	-0.73908	23.98916	31.67224	1.76767	0.56572	0.00122432	103.30863	4.11957E-4	0.48598	7.2894	8.03518	1.15042	1.04364	1665.66967	61743.467	303.576	591.76
1440.0	0.19745	0.80255	6.96025	7.78885	-1.06163	23.23022	32.05817	1.7413	0.57428	0.0886005	98.94024	0.0301973	0.46703	7.31066	14.54993	1.14373	0.57467	1658.65079	60403.126	268.068	1716.938
1435.0	0.30257	0.69743	6.97927	7.76776	-1.32948	22.60947	32.3685	1.71958	0.58154	0.49669	95.46448	0.17109	0.45153	7.33265	40.31023	1.13698	0.20682	1651.88642	59276.619	225.301	2628.804
1430.0	0.38917	0.61083	6.99558	7.74982	-1.5574	22.08951	32.61949	1.70135	0.58777	1.37995	92.67288	0.47959	0.43867	7.35495	96.59104	1.13021	0.0860603	1645.36284	58313.379	192.648	3377.918
1425.0	0.46145	0.53855	7.00975	7.73441	-1.75319	21.65075	32.82338	1.68582	0.59318	2.76574	90.41495	0.96848	0.42788	7.37788	188.19238	1.12339	0.0440414	1639.06256	57476.671	167.342	4001.015
1420.0	0.5224	0.4776	7.02221	7.72102	-1.92318	21.27731	32.9891	1.67241	0.59794	4.60197	88.58242	1.62187	0.41872	7.40146	315.39362	1.11652	0.0262017	1632.96905	56740.173	147.3	4524.411
1415.0	0.57428	0.42572	7.03332	7.70916	-2.07382	20.95273	33.12307	1.66073	0.60215	6.80364	87.09093	2.41113	0.41088	7.42532	476.18566	1.10964	0.017303	1627.07184	56083.91	131.253	4968.081
1410.0	0.61883	0.38117	7.04331	7.6986	-2.20796	20.66989	33.23073	1.65044	0.6059	9.27932	85.87787	3.30433	0.40411	7.44979	667.70473	1.10272	0.0123034	1621.35645	55492.676	118.247	5347.225
1405.0	0.65734	0.34266	7.05239	7.68911	-2.32861	20.42118	33.31648	1.64131	0.60927	11.94495	84.8944	4.27146	0.39823	7.47456	887.01024	1.0958	0.00923398	1615.81063	54954.76	107.583	5673.552
1400.0	0.69087	0.30913	7.0607	7.68047	-2.43834	20.20006	33.38359	1.63313	0.61232	14.73035	84.10061	5.28701	0.39307	7.49985	1131.55778	1.08885	0.0072168	1610.42486	54461.003	98.7514	5956.216
1395.0	0.72028	0.27972	7.06837	7.67262	-2.53797	20.00463	33.43539	1.62572	0.61511	17.58227	83.46598	6.33128	0.38852	7.52575	1399.60305	1.08186	0.00581724	1605.18458	54003.653	91.47	6202.97
1390.0	0.74617	0.25383	7.07549	7.66538	-2.63003	19.82828	33.47361	1.619	0.61767	20.45077	82.96628	7.38564	0.38449	7.55219	1689.10186	1.07484	0.00480576	1600.08557	53577.54	85.2226	6418.976
1385.0	0.76904	0.23096	7.08214	7.65866	-2.71529	19.66911	33.50032	1.61284	0.62002	23.3007	82.58236	8.43672	0.38091	7.57891	1998.83975	1.06783	0.00404886	1595.11817	53177.965	79.915	6608.933
1380.0	0.78936	0.21064	7.08837	7.65241	-2.79468	19.52484	33.51713	1.60717	0.62221	26.10554	82.29767	9.47429	0.3777	7.60615	2327.97876	1.0608	0.00346593	1590.27413	52801.093	75.3744	6776.673
1375.0	0.80745	0.19255	7.09425	7.64657	-2.86889	19.3937	33.52538	1.60192	0.62425	28.84695	82.09868	10.49111	0.37483	7.63393	2676.14684	1.05374	0.00300589	1585.54605	52443.77	71.4646	6925.345
1371.24	0.82168	0.17832	7.09904	7.64199	-2.92714	19.28767	33.53149	1.59798	0.62579	31.15728	81.93981	11.34993	0.37258	7.65509	2978.01206	1.04844	0.00269504	1582.06315	52172.435	 	7040.191
1370.0	0.82807	0.17193	7.10086	7.64018	-2.95012	19.24225	33.53314	1.59669	0.6263	32.25078	81.93007	11.75634	0.37163	7.66563	3120.83759	1.0462	0.00256976	1580.23512	52054.728	77.8084	7106.217
1365.0	0.85138	0.14862	7.10775	7.63322	-3.03853	19.06985	33.5329	1.59184	0.6282	36.53243	81.94766	13.35085	0.36817	7.70898	3710.95767	1.03715	0.00215454	1573.02349	51606.353	89.675	7346.899
1360.0	0.87104	0.12896	7.11406	7.62689	-3.11891	18.91839	33.52294	1.58746	0.62994	40.54312	82.0412	14.84871	0.36521	7.75452	4318.49437	1.02792	0.00184578	1566.02738	51196.245	82.0216	7549.79
1355.0	0.88774	0.11226	7.11989	7.62104	-3.19316	18.7829	33.5049	1.58345	0.63153	44.26898	82.19633	16.24363	0.36266	7.80193	4941.78305	1.01854	0.00160804	1559.24229	50817.458	75.7574	7721.83
1350.0	0.90196	0.0980404	7.12531	7.6156	-3.2623	18.66062	33.48017	1.57975	0.63301	47.71313	82.40183	17.53582	0.36045	7.85144	5580.80468	1.00901	0.00141954	1552.65987	50464.484	70.5948	7868.527
1348.15	0.90672	0.0932843	7.12724	7.61367	-3.28686	18.61797	33.46964	1.57845	0.63353	48.92229	82.48725	17.99007	0.3597	7.87005	5821.69959	1.00548	0.00135926	1550.27755	50339.501	 	7917.467
