T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	6.89264	0.0	59.5618	36.14403	2.19159	0.0	0.5	17951.747	 	0.0
395.0	0.0	1.0	6.89623	-0.0520154	59.86668	36.03534	2.20135	0.0	0.5	17809.031	28.5432	0.0
390.0	0.0	1.0	6.89981	-0.10386	60.18159	35.92663	2.21125	0.0	0.5	17666.272	28.5518	0.0
385.0	0.0	1.0	6.90338	-0.15553	60.50696	35.8179	2.22131	0.0	0.5	17523.467	28.561	0.0
380.0	0.0	1.0	6.90694	-0.20703	60.84321	35.70916	2.23152	0.0	0.5	17380.611	28.5712	0.0
375.0	0.0	1.0	6.91049	-0.25835	61.19083	35.6004	2.24188	0.0	0.5	17237.698	28.5826	0.0
370.0	0.0	1.0	6.91404	-0.30951	61.55029	35.49163	2.25241	0.0	0.5	17094.725	28.5946	0.0
365.0	0.0	1.0	6.91758	-0.36049	61.92213	35.38284	2.2631	0.0	0.5	16951.686	28.6078	0.0
360.0	0.0	1.0	6.92111	-0.4113	62.3069	35.27403	2.27396	0.0	0.5	16808.575	28.6222	0.0
355.0	0.0	1.0	6.92463	-0.46194	62.70518	35.1652	2.28499	0.0	0.5	16665.386	28.6378	0.0
350.0	0.0	1.0	6.92814	-0.5124	63.11761	35.05636	2.29619	0.0	0.5	16522.114	28.6544	0.0
345.0	0.0	1.0	6.93164	-0.56269	63.54484	34.9475	2.30758	0.0	0.5	16378.751	28.6726	0.0
340.0	0.0	1.0	6.93514	-0.61281	63.98757	34.83862	2.31915	0.0	0.5	16235.292	28.6918	0.0
335.0	0.0	1.0	6.93863	-0.66276	64.44657	34.72972	2.3309	0.0	0.5	16091.728	28.7128	0.0
330.0	0.0	1.0	6.94211	-0.71254	64.92262	34.62081	2.34286	0.0	0.5	15948.052	28.7352	0.0
325.0	0.0	1.0	6.94558	-0.76214	65.41659	34.51188	2.35501	0.0	0.5	15804.256	28.7592	0.0
320.0	0.0	1.0	6.94904	-0.81157	65.92937	34.40292	2.36736	0.0	0.5	15660.333	28.7846	0.0
315.0	0.0	1.0	6.95249	-0.86083	66.46195	34.29395	2.37993	0.0	0.5	15516.272	28.8122	0.0
310.0	0.0	1.0	6.95593	-0.90992	67.01537	34.18496	2.3927	0.0	0.5	15372.066	28.8412	0.0
305.0	0.0	1.0	6.95937	-0.95883	67.59074	34.07595	2.4057	0.0	0.5	15227.704	28.8724	0.0
300.0	0.0	1.0	6.9628	-1.00757	68.18926	33.96692	2.41892	0.0	0.5	15083.176	28.9056	0.0
295.0	0.0	1.0	6.96621	-1.05614	68.81222	33.85787	2.43238	0.0	0.5	14938.473	28.9406	0.0
290.0	0.0	1.0	6.96962	-1.10454	69.461	33.7488	2.44607	0.0	0.5	14793.581	28.9784	0.0
285.0	0.0	1.0	6.97302	-1.15277	70.13709	33.63971	2.46	0.0	0.5	14648.491	29.018	0.0
280.0	0.0	1.0	6.97641	-1.20082	70.8421	33.5306	2.47419	0.0	0.5	14503.19	29.0602	0.0
275.0	0.0	1.0	6.9798	-1.2487	71.57775	33.42146	2.48863	0.0	0.5	14357.665	29.105	0.0
270.0	0.0	1.0	6.98317	-1.29641	72.34594	33.3123	2.50333	0.0	0.5	14211.902	29.1526	0.0
265.0	0.0	1.0	6.98654	-1.34394	73.14869	33.20312	2.51831	0.0	0.5	14065.888	29.2028	0.0
260.0	0.0	1.0	6.98989	-1.39131	73.9882	33.09392	2.53357	0.0	0.5	13919.608	29.256	0.0
255.0	0.0	1.0	6.99324	-1.4385	74.86687	32.98469	2.54911	0.0	0.5	13773.047	29.3122	0.0
250.0	0.0	1.0	6.99658	-1.48552	75.78733	32.87545	2.56495	0.0	0.5	13626.188	29.3718	0.0
245.0	0.0	1.0	6.9999	-1.53236	76.75241	32.76617	2.5811	0.0	0.5	13479.015	29.4346	0.0
240.0	0.0	1.0	7.00322	-1.57904	77.76522	32.65687	2.59755	0.0	0.5	13331.51	29.501	0.0
239.32	0.0	1.0	7.00368	-1.58542	77.90785	32.6419	2.59983	0.0	0.5	13311.279	29.5408	0.0
235.0	5.5E-4	0.99945	7.00673	-1.62794	78.78859	32.53271	2.61314	5.16712E-12	0.49993	13173.035	32.0369	10.621
230.0	0.00116	0.99884	7.01025	-1.67693	79.86026	32.40689	2.6289	1.02909E-10	0.49985	13013.026	32.0018	22.439
225.0	0.00174	0.99826	7.01375	-1.72667	80.97214	32.28136	2.645	5.24868E-10	0.49977	12853.583	31.8886	33.726
224.96	0.00175	0.99825	7.01378	-1.72633	80.99336	32.28063	2.64514	5.29984E-10	0.49978	12852.392	 	33.808
220.0	0.52462	0.47538	7.13825	-3.44081	51.78352	44.26266	3.66347	2.3247	0.42739	8974.837	775.749	3764.459
216.5	0.6544	0.3456	7.1711	-3.88441	44.49113	48.62727	4.05348	5.84605	0.40903	7933.854	 	4701.913
215.0	1.0	0.0	7.25959	-5.06027	22.83079	59.3828	4.96525	33.67938	0.36008	5102.562	774.455	7488.882
210.0	1.0	0.0	7.2622	-5.0944	22.79173	59.48246	5.02506	34.25431	0.36008	5064.539	7.6046	 
205.0	1.0	0.0	7.2648	-5.12842	22.75268	59.58376	5.08625	34.8236	0.36008	4913.507	30.2064	 
200.0	1.0	0.0	7.2674	-5.16232	22.71363	59.68676	5.14888	35.38725	0.36008	4762.907	30.12	 
195.0	1.0	0.0	7.26999	-5.19612	22.67458	59.79151	5.21301	35.94528	0.36008	4612.741	30.0332	 
190.0	1.0	0.0	7.27257	-5.22981	22.63553	59.89806	5.27868	36.49768	0.36007	4463.013	29.9456	 
185.0	1.0	0.0	7.27515	-5.26339	22.59647	60.00648	5.34594	37.04448	0.36007	4313.725	29.8576	 
180.0	1.0	0.0	7.27772	-5.29686	22.55742	60.11683	5.41487	37.58567	0.36007	4164.879	29.7692	 
175.0	1.0	0.0	7.28029	-5.33021	22.51837	60.22917	5.48551	38.12127	0.36007	4016.479	29.68	 
170.0	1.0	0.0	7.28285	-5.36346	22.47932	60.34357	5.55794	38.65128	0.36006	3868.525	29.5908	 
165.0	1.0	0.0	7.2854	-5.3966	22.44027	60.46011	5.63223	39.17571	0.36006	3721.021	29.5008	 
160.0	1.0	0.0	7.28794	-5.42963	22.40123	60.57885	5.70843	39.69456	0.36006	3573.965	29.4112	 
155.0	1.0	0.0	7.29048	-5.46255	22.36218	60.69988	5.78663	40.20784	0.36006	3427.362	29.3206	 
150.0	1.0	0.0	7.29301	-5.49536	22.32313	60.82328	5.86691	40.71556	0.36006	3281.218	29.2288	 
145.0	1.0	0.0	7.29553	-5.52806	22.28408	60.94913	5.94935	41.21772	0.36005	3135.533	29.137	 
140.0	1.0	0.0	7.29805	-5.56065	22.24503	61.07752	6.03403	41.71433	0.36005	2990.308	29.045	 
135.0	1.0	0.0	7.30056	-5.59313	22.20599	61.20855	6.12105	42.20539	0.36005	2845.543	28.953	 
130.0	1.0	0.0	7.30307	-5.6255	22.16694	61.34231	6.21051	42.6909	0.36005	2701.241	28.8604	 
125.0	1.0	0.0	7.30556	-5.65776	22.12789	61.47891	6.30251	43.17087	0.36005	2557.402	28.7678	 
120.0	1.0	0.0	7.30805	-5.68991	22.08885	61.61846	6.39715	43.64531	0.36004	2414.028	28.6748	 
115.0	1.0	0.0	7.31054	-5.72195	22.0498	61.76107	6.49455	44.11421	0.36004	2271.119	28.5818	 
110.0	1.0	0.0	7.31301	-5.75388	22.01076	61.90687	6.59483	44.57759	0.36004	2128.676	28.4886	 
105.0	1.0	0.0	7.31548	-5.7857	21.97171	62.05598	6.69813	45.03544	0.36004	1986.7	28.3952	 
100.0	1.0	0.0	7.31795	-5.81741	21.93267	62.20853	6.80457	45.48777	0.36004	1845.191	28.3018	 
95.0	1.0	0.0	7.3204	-5.84901	21.89362	62.36466	6.91429	45.93459	0.36003	1704.148	28.2086	 
90.0	1.0	0.0	7.32285	-5.8805	21.85458	62.52453	7.02746	46.37589	0.36003	1563.572	28.1152	 
85.0	1.0	0.0	7.3253	-5.91188	21.81554	62.68828	7.14423	46.81168	0.36003	1423.462	28.022	 
80.0	1.0	0.0	7.32773	-5.94316	21.77649	62.8561	7.26477	47.24195	0.36003	1283.818	27.9288	 
75.0	1.0	0.0	7.33016	-5.97432	21.73745	63.02815	7.38928	47.66673	0.36002	1144.638	27.836	 
70.0	1.0	0.0	7.33258	-6.00537	21.69841	63.20461	7.51794	48.086	0.36002	1005.92	27.7436	 
65.0	1.0	0.0	7.335	-6.03631	21.65937	63.38569	7.65096	48.49977	0.36002	867.664	27.6512	 
60.0	1.0	0.0	7.3374	-6.06715	21.62033	63.57158	7.78856	48.90804	0.36002	729.867	27.5594	 
55.0	1.0	0.0	7.3398	-6.09787	21.58128	63.76253	7.93098	49.31081	0.36002	592.526	27.4682	 
50.0	1.0	0.0	7.3422	-6.12848	21.54224	63.95875	8.07848	49.70809	0.36001	455.639	27.3774	 
45.0	1.0	0.0	7.34458	-6.15899	21.5032	64.16049	8.23132	50.09988	0.36001	319.202	27.2874	 
40.0	1.0	0.0	7.34696	-6.18938	21.46417	64.36803	8.3898	50.48618	0.36001	183.21	27.1984	 
35.0	1.0	0.0	7.34934	-6.21967	21.42513	64.58165	8.55423	50.867	0.36001	47.661	27.1098	 
30.0	1.0	0.0	7.3517	-6.24984	21.38611	64.80164	8.72494	51.24232	0.36001	-87.453	27.0228	 
25.0	1.0	0.0	7.35406	-6.2799	 	65.02832	8.90229	51.61216	0.36	-222.136	 	 
