T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	8.56555	0.0	4.30121	28.01632	1.69876	0.0	0.5	20317.221	 	0.0
395.0	0.0	1.0	8.57057	-0.0586337	3.82855	27.93317	1.7064	0.0	0.5	20174.007	28.6428	0.0
390.0	0.0	1.0	8.57559	-0.11713	3.34415	27.85002	1.71415	0.0	0.5	20030.713	28.6588	0.0
385.0	0.0	1.0	8.5806	-0.1755	2.84754	27.76687	1.72201	0.0	0.5	19887.334	28.6758	0.0
380.0	0.0	1.0	8.58561	-0.23374	2.33819	27.68372	1.73	0.0	0.5	19743.865	28.6938	0.0
375.0	0.0	1.0	8.59062	-0.29184	1.81555	27.60057	1.73811	0.0	0.5	19600.297	28.7136	0.0
370.0	0.0	1.0	8.59561	-0.34981	1.27906	27.51742	1.74634	0.0	0.5	19456.625	28.7344	0.0
365.0	0.0	1.0	8.60061	-0.40765	0.7281	27.43427	1.75471	0.0	0.5	19312.841	28.7568	0.0
360.0	0.0	1.0	8.60559	-0.46535	0.16202	27.35112	1.7632	0.0	0.5	19168.936	28.781	0.0
355.0	0.0	1.0	8.61057	-0.52292	-0.41987	27.26798	1.77184	0.0	0.5	19024.902	28.8068	0.0
350.0	0.0	1.0	8.61555	-0.58036	-1.0183	27.18483	1.78061	0.0	0.5	18880.73	28.8344	0.0
345.0	0.0	1.0	8.62052	-0.63767	-1.63403	27.10168	1.78952	0.0	0.5	18736.408	28.8644	0.0
340.0	0.0	1.0	8.62548	-0.69484	-2.26791	27.01853	1.79858	0.0	0.5	18591.927	28.8962	0.0
