T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.15345	0.0	43.78128	35.99756	2.18271	0.0	0.5	17817.566	 	0.0
395.0	0.0	1.0	7.15734	-0.0542539	43.86007	35.89596	2.19283	0.0	0.5	17675.243	28.4646	0.0
390.0	0.0	1.0	7.16121	-0.10835	43.94254	35.79441	2.20312	0.0	0.5	17532.868	28.475	0.0
385.0	0.0	1.0	7.16508	-0.16229	44.02885	35.69294	2.21356	0.0	0.5	17390.436	28.4864	0.0
380.0	0.0	1.0	7.16894	-0.21606	44.11915	35.59152	2.22417	0.0	0.5	17247.944	28.4984	0.0
375.0	0.0	1.0	7.1728	-0.26968	44.21362	35.49017	2.23494	0.0	0.5	17105.387	28.5114	0.0
370.0	0.0	1.0	7.17665	-0.32314	44.31243	35.38888	2.24589	0.0	0.5	16962.759	28.5256	0.0
365.0	0.0	1.0	7.18049	-0.37644	44.41579	35.28766	2.25701	0.0	0.5	16820.056	28.5406	0.0
360.0	0.0	1.0	7.18432	-0.42958	44.52389	35.1865	2.26831	0.0	0.5	16677.272	28.5568	0.0
355.0	0.0	1.0	7.18814	-0.48257	44.63695	35.0854	2.2798	0.0	0.5	16534.401	28.5742	0.0
350.0	0.0	1.0	7.19196	-0.53539	44.7552	34.98437	2.29148	0.0	0.5	16391.437	28.5928	0.0
345.0	0.0	1.0	7.19577	-0.58806	44.87888	34.8834	2.30334	0.0	0.5	16248.373	28.6128	0.0
340.0	0.0	1.0	7.19957	-0.64056	45.00825	34.7825	2.31541	0.0	0.5	16105.203	28.634	0.0
335.0	0.0	1.0	7.20337	-0.69291	45.14358	34.68166	2.32768	0.0	0.5	15961.919	28.6568	0.0
330.0	0.0	1.0	7.20716	-0.7451	45.28517	34.58088	2.34015	0.0	0.5	15818.513	28.6812	0.0
325.0	0.0	1.0	7.21094	-0.79713	45.43333	34.48017	2.35284	0.0	0.5	15674.978	28.707	0.0
320.0	0.0	1.0	7.21471	-0.849	45.5884	34.37952	2.36575	0.0	0.5	15531.305	28.7346	0.0
315.0	0.0	1.0	7.21847	-0.90072	45.75073	34.27893	2.37888	0.0	0.5	15387.486	28.7638	0.0
310.0	0.0	1.0	7.22223	-0.95227	45.92071	34.17841	2.39224	0.0	0.5	15243.51	28.7952	0.0
305.0	0.0	1.0	7.22598	-1.00367	46.09874	34.07795	2.40584	0.0	0.5	15099.368	28.8284	0.0
300.0	0.0	1.0	7.22972	-1.0549	46.28526	33.97756	2.41968	0.0	0.5	14955.049	28.8638	0.0
295.0	0.0	1.0	7.23346	-1.10598	46.48075	33.87722	2.43377	0.0	0.5	14810.543	28.9012	0.0
290.0	0.0	1.0	7.23718	-1.1569	46.68571	33.77696	2.44811	0.0	0.5	14665.839	28.9408	0.0
285.0	0.0	1.0	7.2409	-1.20766	46.9007	33.67675	2.46271	0.0	0.5	14520.924	28.983	0.0
