T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	6.93515	0.0	60.33248	38.358	2.32583	0.0	0.5	18136.474	 	0.0
395.0	0.0	1.0	6.93877	-0.0521796	60.64579	38.24945	2.3366	0.0	0.5	17993.989	28.497	0.0
390.0	0.0	1.0	6.94238	-0.10419	60.96935	38.1409	2.34754	0.0	0.5	17851.466	28.5046	0.0
385.0	0.0	1.0	6.94598	-0.15603	61.30358	38.03235	2.35864	0.0	0.5	17708.899	28.5134	0.0
380.0	0.0	1.0	6.94958	-0.2077	61.64893	37.92379	2.36992	0.0	0.5	17566.285	28.5228	0.0
375.0	0.0	1.0	6.95317	-0.25919	62.00588	37.81524	2.38136	0.0	0.5	17423.618	28.5334	0.0
370.0	0.0	1.0	6.95675	-0.31052	62.37494	37.70669	2.39299	0.0	0.5	17280.894	28.5448	0.0
365.0	0.0	1.0	6.96032	-0.36168	62.75664	37.59814	2.40479	0.0	0.5	17138.109	28.557	0.0
360.0	0.0	1.0	6.96388	-0.41266	63.15155	37.48958	2.41678	0.0	0.5	16995.255	28.5708	0.0
355.0	0.0	1.0	6.96744	-0.46348	63.56026	37.38103	2.42897	0.0	0.5	16852.327	28.5856	0.0
350.0	0.0	1.0	6.97098	-0.51413	63.98341	37.27248	2.44135	0.0	0.5	16709.32	28.6014	0.0
345.0	0.0	1.0	6.97452	-0.5646	64.42168	37.16393	2.45393	0.0	0.5	16566.227	28.6186	0.0
340.0	0.0	1.0	6.97805	-0.61491	64.87579	37.05538	2.46671	0.0	0.5	16423.04	28.6374	0.0
335.0	0.0	1.0	6.98158	-0.66504	65.34651	36.94682	2.47971	0.0	0.5	16279.754	28.6572	0.0
330.0	0.0	1.0	6.98509	-0.715	65.83465	36.83827	2.49292	0.0	0.5	16136.36	28.6788	0.0
325.0	0.0	1.0	6.98859	-0.7648	66.34109	36.72972	2.50635	0.0	0.5	15992.851	28.7018	0.0
320.0	0.0	1.0	6.99209	-0.81442	66.86674	36.62117	2.52001	0.0	0.5	15849.218	28.7266	0.0
315.0	0.0	1.0	6.99558	-0.86387	67.41262	36.51261	2.5339	0.0	0.5	15705.453	28.753	0.0
310.0	0.0	1.0	6.99906	-0.91315	67.97978	36.40406	2.54802	0.0	0.5	15561.547	28.7812	0.0
305.0	0.0	1.0	7.00253	-0.96226	68.56936	36.29551	2.5624	0.0	0.5	15417.49	28.8114	0.0
300.0	0.0	1.0	7.00599	-1.01121	69.18259	36.18696	2.57702	0.0	0.5	15273.272	28.8436	0.0
295.0	0.0	1.0	7.00944	-1.05998	69.82078	36.0784	2.5919	0.0	0.5	15128.883	28.8778	0.0
290.0	0.0	1.0	7.01289	-1.10858	70.48534	35.96985	2.60704	0.0	0.5	14984.311	28.9144	0.0
285.0	0.0	1.0	7.01632	-1.15701	71.17779	35.8613	2.62246	0.0	0.5	14839.547	28.9528	0.0
280.0	0.0	1.0	7.01975	-1.20526	71.89978	35.75275	2.63816	0.0	0.5	14694.576	28.9942	0.0
275.0	0.0	1.0	7.02317	-1.25335	72.65307	35.64419	2.65414	0.0	0.5	14549.387	29.0378	0.0
270.0	0.0	1.0	7.02658	-1.30127	73.43959	35.53564	2.67041	0.0	0.5	14403.967	29.084	0.0
265.0	0.0	1.0	7.02998	-1.34902	74.26141	35.42709	2.68699	0.0	0.5	14258.302	29.133	0.0
260.0	0.0	1.0	7.03337	-1.3966	75.12078	35.31854	2.70388	0.0	0.5	14112.376	29.1852	0.0
255.0	0.0	1.0	7.03676	-1.444	76.02015	35.20998	2.72109	0.0	0.5	13966.176	29.24	0.0
250.0	0.0	1.0	7.04013	-1.49124	76.96219	35.10143	2.73862	0.0	0.5	13819.685	29.2982	0.0
245.0	0.0	1.0	7.0435	-1.53831	77.94981	34.99288	2.7565	0.0	0.5	13672.886	29.3598	0.0
240.0	0.0	1.0	7.04685	-1.5852	78.98618	34.88433	2.77472	0.0	0.5	13525.763	29.4246	0.0
235.0	0.0	1.0	7.0502	-1.63193	80.0748	34.77577	2.79331	0.0	0.5	13378.296	29.4934	0.0
230.0	0.0	1.0	7.05354	-1.67848	81.21948	34.66722	2.81226	0.0	0.5	13230.502	29.5588	0.0
225.0	0.0	1.0	7.05687	-1.72486	82.42443	34.55867	2.83159	0.0	0.5	13082.743	29.5518	0.0
220.7	0.0	1.0	7.05972	-1.76463	83.51262	34.4653	2.84854	0.0	0.5	12955.761	29.5251	0.0
220.53	0.01616	0.98384	7.06355	-1.81772	82.61859	34.79345	2.87665	2.024E-6	0.49778	12837.336	 	113.415
220.53	1.0	0.0	7.30797	-5.10132	22.84115	59.41131	4.912	33.11173	0.36028	5470.316	 	7480.436
215.0	1.0	0.0	7.31088	-5.1391	22.79819	59.51683	4.97646	33.75041	0.36028	5302.645	1342.85	 
210.0	1.0	0.0	7.31351	-5.17314	22.75934	59.61389	5.03616	34.32197	0.36028	5151.473	30.2344	 
205.0	1.0	0.0	7.31613	-5.20707	22.7205	59.71255	5.09724	34.88787	0.36028	5000.725	30.1496	 
200.0	1.0	0.0	7.31874	-5.2409	22.68165	59.81287	5.15976	35.44814	0.36028	4850.405	30.064	 
195.0	1.0	0.0	7.32134	-5.27461	22.6428	59.9149	5.22377	36.00278	0.36028	4700.514	29.9782	 
190.0	1.0	0.0	7.32394	-5.30822	22.60396	60.0187	5.28931	36.55181	0.36028	4551.055	29.8918	 
185.0	1.0	0.0	7.32653	-5.34171	22.56511	60.12432	5.35644	37.09523	0.36028	4402.032	29.8046	 
180.0	1.0	0.0	7.32912	-5.3751	22.52627	60.23183	5.42523	37.63306	0.36028	4253.446	29.7172	 
175.0	1.0	0.0	7.3317	-5.40838	22.48743	60.3413	5.49573	38.1653	0.36028	4105.3	29.6292	 
170.0	1.0	0.0	7.33427	-5.44155	22.44859	60.45278	5.568	38.69197	0.36028	3957.597	29.5406	 
165.0	1.0	0.0	7.33683	-5.47461	22.40975	60.56635	5.64212	39.21307	0.36028	3810.337	29.452	 
160.0	1.0	0.0	7.33939	-5.50756	22.37091	60.68208	5.71816	39.72862	0.36028	3663.524	29.3626	 
155.0	1.0	0.0	7.34194	-5.5404	22.33207	60.80005	5.79618	40.23861	0.36028	3517.16	29.2728	 
150.0	1.0	0.0	7.34449	-5.57314	22.29323	60.92034	5.87627	40.74307	0.36028	3371.246	29.1828	 
