T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.91611	0.0	55.19042	29.02093	1.75968	0.0	0.5	18305.922	 	0.0
395.0	0.0	1.0	7.92041	-0.0543128	55.41655	28.92763	1.76715	0.0	0.5	18160.777	29.029	0.0
390.0	0.0	1.0	7.9247	-0.10842	55.65089	28.83432	1.77473	0.0	0.5	18015.576	29.0402	0.0
385.0	0.0	1.0	7.92898	-0.16232	55.89378	28.74102	1.78242	0.0	0.5	17870.318	29.0516	0.0
380.0	0.0	1.0	7.93325	-0.21601	56.14558	28.64771	1.79024	0.0	0.5	17724.997	29.0642	0.0
375.0	0.0	1.0	7.9375	-0.26949	56.40667	28.55441	1.79817	0.0	0.5	17579.611	29.0772	0.0
370.0	0.0	1.0	7.94174	-0.32276	56.67746	28.4611	1.80623	0.0	0.5	17434.155	29.0912	0.0
365.0	0.0	1.0	7.94597	-0.37583	56.95838	28.3678	1.81442	0.0	0.5	17288.627	29.1056	0.0
360.0	0.0	1.0	7.95019	-0.42869	57.24987	28.27449	1.82273	0.0	0.5	17143.02	29.1214	0.0
355.0	0.0	1.0	7.9544	-0.48135	57.55243	28.18119	1.83117	0.0	0.5	16997.332	29.1376	0.0
350.0	0.0	1.0	7.95859	-0.53379	57.86655	28.08788	1.83976	0.0	0.5	16851.558	29.1548	0.0
345.0	0.0	1.0	7.96278	-0.58603	58.19279	27.99458	1.84848	0.0	0.5	16705.691	29.1734	0.0
340.0	0.0	1.0	7.96694	-0.63806	58.53172	27.90127	1.85734	0.0	0.5	16559.728	29.1926	0.0
335.0	0.0	1.0	7.9711	-0.68988	58.88394	27.80797	1.86635	0.0	0.5	16413.663	29.213	0.0
330.0	0.0	1.0	7.97525	-0.7415	59.25013	27.71466	1.8755	0.0	0.5	16267.49	29.2346	0.0
325.0	0.0	1.0	7.97938	-0.7929	59.63097	27.62136	1.88482	0.0	0.5	16121.222	29.2536	0.0
320.0	0.0	1.0	7.9835	-0.8441	60.02721	27.52805	1.89428	0.0	0.5	15974.968	29.2508	0.0
315.0	0.0	1.0	7.98761	-0.8951	60.43965	27.43475	1.90391	0.0	0.5	15828.738	29.246	0.0
310.0	0.0	1.0	7.9917	-0.94588	60.86913	27.34144	1.91371	0.0	0.5	15682.523	29.243	0.0
305.0	0.0	1.0	7.99579	-0.99646	61.31658	27.24814	1.92367	0.0	0.5	15536.313	29.242	0.0
300.0	0.0	1.0	7.99986	-1.04683	61.78298	27.15483	1.93381	0.0	0.5	15390.095	29.2436	0.0
295.0	0.0	1.0	8.00391	-1.09699	62.26936	27.06153	1.94412	0.0	0.5	15243.861	29.2468	0.0
290.0	0.0	1.0	8.00796	-1.14695	62.77688	26.96822	1.95462	0.0	0.5	15097.598	29.2526	0.0
285.0	0.0	1.0	8.01199	-1.19669	63.30673	26.87492	1.96531	0.0	0.5	14951.295	29.2606	0.0
280.0	0.0	1.0	8.01601	-1.24623	63.86025	26.78161	1.97619	0.0	0.5	14804.941	29.2708	0.0
275.0	0.0	1.0	8.02002	-1.29557	64.43885	26.68831	1.98726	0.0	0.5	14658.523	29.2836	0.0
270.0	0.0	1.0	8.02401	-1.34469	65.04406	26.595	1.99855	0.0	0.5	14512.029	29.2988	0.0
265.0	0.0	1.0	8.02799	-1.39361	65.67755	26.5017	2.01004	0.0	0.5	14365.445	29.3168	0.0
260.0	0.0	1.0	8.03196	-1.44232	66.34112	26.40839	2.02175	0.0	0.5	14218.76	29.337	0.0
255.0	0.0	1.0	8.03591	-1.49082	67.03674	26.31509	2.03367	0.0	0.5	14071.958	29.3604	0.0
250.0	0.0	1.0	8.03985	-1.53912	67.76654	26.22178	2.04583	0.0	0.5	13925.025	29.3866	0.0
245.0	0.0	1.0	8.04378	-1.5872	68.53286	26.12848	2.05822	0.0	0.5	13777.948	29.4154	0.0
240.0	0.0	1.0	8.0477	-1.63508	69.33823	26.03517	2.07086	0.0	0.5	13630.709	29.4478	0.0
235.0	0.0	1.0	8.0516	-1.68276	70.18545	25.94187	2.08374	0.0	0.5	13483.294	29.483	0.0
230.0	0.0	1.0	8.05549	-1.73022	71.07758	25.84856	2.09688	0.0	0.5	13335.714	29.516	0.0
225.0	0.0	1.0	8.05936	-1.77748	72.01799	25.75526	2.11028	0.0	0.5	13188.245	29.4938	0.0
220.0	0.0	1.0	8.06323	-1.82453	73.0104	25.66195	2.12395	0.0	0.5	13040.97	29.455	0.0
215.0	0.0	1.0	8.06708	-1.87137	74.05891	25.56865	2.13791	0.0	0.5	12893.898	29.4144	0.0
210.0	0.0	1.0	8.07091	-1.91801	75.16806	25.47534	2.15215	0.0	0.5	12747.041	29.3714	0.0
205.0	0.0	1.0	8.07473	-1.96443	76.34291	25.38204	2.16669	0.0	0.5	12600.409	29.3264	0.0
200.0	0.0	1.0	8.07854	-2.01065	77.58909	25.28873	2.18153	0.0	0.5	12454.012	29.2794	0.0
195.0	0.0	1.0	8.08234	-2.05667	78.91291	25.19543	2.1967	0.0	0.5	12307.859	29.2306	0.0
190.0	0.0	1.0	8.08612	-2.10247	80.3214	25.10212	2.21219	0.0	0.5	12161.96	29.1798	0.0
185.0	0.0	1.0	8.08989	-2.14807	81.82252	25.00882	2.22802	0.0	0.5	12016.323	29.1274	0.0
183.48	0.0	1.0	8.09103	-2.1619	82.29904	24.98043	2.23291	0.0	0.5	11972.058	29.0922	0.0
183.0	0.01318	0.98682	8.0952	-2.21256	81.41367	25.16131	2.25144	1.62662E-6	0.49798	11849.769	 	108.355
183.0	1.0	0.0	8.31112	-4.75278	24.49465	47.22863	4.22603	28.69841	0.38204	5701.611	 	6256.512
175.0	1.0	0.0	8.31621	-4.81116	24.4232	47.39777	4.31686	29.33045	0.38204	5466.682	767.283	 
170.0	1.0	0.0	8.31939	-4.84747	24.37868	47.50522	4.37547	29.72059	0.38203	5320.349	29.2666	 
165.0	1.0	0.0	8.32255	-4.88366	24.33427	47.61405	4.43554	30.10695	0.38203	5174.41	29.1878	 
160.0	1.0	0.0	8.32571	-4.91972	24.28997	47.72432	4.49713	30.48953	0.38203	5028.867	29.1086	 
155.0	1.0	0.0	8.32885	-4.95564	24.24578	47.83607	4.5603	30.86834	0.38203	4883.722	29.029	 
150.0	1.0	0.0	8.33199	-4.99144	24.2017	47.94935	4.62511	31.24338	0.38203	4738.976	28.9492	 
145.0	1.0	0.0	8.33512	-5.02711	24.15773	48.06423	4.69163	31.61464	0.38203	4594.629	28.8694	 
140.0	1.0	0.0	8.33824	-5.06266	24.11387	48.18076	4.75992	31.98215	0.38203	4450.684	28.789	 
135.0	1.0	0.0	8.34135	-5.09807	24.07012	48.29901	4.83006	32.34589	0.38203	4307.142	28.7084	 
130.0	1.0	0.0	8.34446	-5.13336	24.02648	48.41903	4.90211	32.70587	0.38203	4164.002	28.628	 
125.0	1.0	0.0	8.34755	-5.16852	23.98295	48.54089	4.97617	33.0621	0.38203	4021.267	28.547	 
120.0	1.0	0.0	8.35064	-5.20356	23.93953	48.66467	5.0523	33.41457	0.38203	3878.937	28.466	 
115.0	1.0	0.0	8.35371	-5.23847	23.89622	48.79045	5.13061	33.76329	0.38202	3737.012	28.385	 
110.0	1.0	0.0	8.35678	-5.27326	23.85302	48.91828	5.21118	34.10826	0.38202	3595.493	28.3038	 
105.0	1.0	0.0	8.35984	-5.30792	23.80992	49.04827	5.29412	34.44948	0.38202	3454.38	28.2226	 
100.0	1.0	0.0	8.36289	-5.34246	23.76694	49.1805	5.37952	34.78695	0.38202	3313.673	28.1414	 
95.0	1.0	0.0	8.36593	-5.37687	23.72406	49.31506	5.4675	35.12068	0.38202	3173.372	28.0602	 
90.0	1.0	0.0	8.36896	-5.41116	23.6813	49.45204	5.55817	35.45066	0.38202	3033.477	27.979	 
85.0	1.0	0.0	8.37199	-5.44533	23.63865	49.59155	5.65167	35.7769	0.38202	2893.987	27.898	 
80.0	1.0	0.0	8.375	-5.47938	23.5961	49.73369	5.74811	36.0994	0.38202	2754.902	27.817	 
75.0	1.0	0.0	8.37801	-5.5133	23.55367	49.87858	5.84765	36.41816	0.38202	2616.22	27.7364	 
70.0	1.0	0.0	8.38101	-5.5471	23.51134	50.02634	5.95043	36.73318	0.38202	2477.942	27.6556	 
65.0	1.0	0.0	8.384	-5.58079	23.46913	50.1771	6.05662	37.04446	0.38202	2340.064	27.5756	 
60.0	1.0	0.0	8.38698	-5.61435	23.42702	50.33098	6.16637	37.352	0.38201	2202.585	27.4958	 
55.0	1.0	0.0	8.38995	-5.64779	23.38503	50.48814	6.27987	37.65581	0.38201	2065.504	27.4162	 
50.0	1.0	0.0	8.39292	-5.68111	23.34314	50.64872	6.39732	37.95588	0.38201	1928.817	27.3374	 
45.0	1.0	0.0	8.39587	-5.71432	23.30136	50.81289	6.51892	38.25221	0.38201	1792.523	27.2588	 
40.0	1.0	0.0	8.39882	-5.7474	23.25969	50.98082	6.6449	38.54481	0.38201	1656.618	27.181	 
35.0	1.0	0.0	8.40176	-5.78037	23.21812	51.15269	6.77548	38.83368	0.38201	1521.098	27.104	 
30.0	1.0	0.0	8.40469	-5.81322	23.17667	51.32869	6.91093	39.11881	0.38201	1385.96	27.0276	 
25.0	1.0	0.0	8.40761	-5.84595	 	51.50903	7.05152	39.40021	0.38201	1251.198	 	 
