T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	6.97599	0.0	61.36675	44.0804	2.67281	0.0	0.5	18435.803	 	0.0
395.0	0.0	1.0	6.97956	-0.0511729	61.70318	43.95325	2.68504	0.0	0.5	18293.806	28.3994	0.0
390.0	0.0	1.0	6.98312	-0.10217	62.0505	43.82598	2.69745	0.0	0.5	18151.782	28.4048	0.0
385.0	0.0	1.0	6.98668	-0.15301	62.40916	43.69858	2.71004	0.0	0.5	18009.727	28.411	0.0
380.0	0.0	1.0	6.99023	-0.20367	62.77964	43.57106	2.72282	0.0	0.5	17867.636	28.4182	0.0
375.0	0.0	1.0	6.99377	-0.25416	63.16244	43.4434	2.73579	0.0	0.5	17725.506	28.426	0.0
370.0	0.0	1.0	6.9973	-0.30448	63.5581	43.31562	2.74895	0.0	0.5	17583.332	28.4348	0.0
365.0	0.0	1.0	7.00082	-0.35462	63.96718	43.1877	2.7623	0.0	0.5	17441.109	28.4446	0.0
360.0	0.0	1.0	7.00433	-0.4046	64.3903	43.05965	2.77586	0.0	0.5	17298.832	28.4554	0.0
355.0	0.0	1.0	7.00783	-0.45441	64.82807	42.93146	2.78963	0.0	0.5	17156.496	28.4672	0.0
350.0	0.0	1.0	7.01133	-0.50404	65.28119	42.80313	2.80361	0.0	0.5	17014.095	28.4802	0.0
345.46	0.0	1.0	7.01449	-0.54892	65.70606	42.68661	2.81647	0.0	0.5	16884.87	28.4939	0.0
345.0	5.2E-4	0.99948	7.015	-0.55652	65.71685	42.65148	2.81627	3.34328E-12	0.49994	16860.115	53.2572	11.508
340.0	0.0060	0.994	7.02039	-0.6325	65.90049	42.28149	2.81461	5.84725E-8	0.49927	16597.054	52.6122	132.019
335.0	0.01121	0.98879	7.02567	-0.7071	66.10582	41.9237	2.81373	7.19216E-7	0.49864	16339.706	51.4696	246.733
330.0	0.01617	0.98383	7.03085	-0.78101	66.32602	41.57712	2.8136	3.14315E-6	0.49803	16087.709	50.3994	356.007
325.0	0.0209	0.9791	7.03594	-0.85265	66.58052	41.24165	2.81423	8.84387E-6	0.49745	15840.735	49.3948	460.159
320.0	0.02541	0.97459	7.04094	-0.92256	66.86452	40.9166	2.81559	1.9483E-5	0.4969	15598.487	48.4496	559.48
315.0	0.02971	0.97029	7.04585	-0.99223	67.16129	40.60089	2.81761	3.67221E-5	0.49636	15360.695	47.5584	654.231
310.0	0.03382	0.96618	7.05069	-1.06	67.49213	40.29466	2.82034	6.21248E-5	0.49586	15127.112	46.7166	744.652
305.0	0.03774	0.96226	7.05544	-1.12617	67.85527	39.99761	2.82376	9.70933E-5	0.49537	14897.51	45.9204	830.96
300.0	0.04148	0.95852	7.06013	-1.19225	68.23274	39.70849	2.8278	1.42834E-4	0.4949	14671.682	45.1656	913.355
295.0	0.04505	0.95495	7.06474	-1.25646	68.64885	39.4277	2.83252	2.00315E-4	0.49445	14449.435	44.4494	992.021
290.0	0.04846	0.95154	7.06929	-1.32006	69.08892	39.15458	2.83787	2.70282E-4	0.49402	14230.589	43.7692	1067.124
285.0	0.05172	0.94828	7.07377	-1.38224	69.56523	38.88922	2.84389	3.53227E-4	0.49361	14014.98	43.1218	1138.821
280.0	0.05483	0.94517	7.0782	-1.44445	70.05998	38.63059	2.85051	4.49483E-4	0.49322	13802.451	42.5058	1207.256
275.0	0.0578	0.9422	7.08256	-1.50485	70.60021	38.37907	2.85778	5.59052E-4	0.49284	13592.858	41.9186	1272.564
270.0	0.06063	0.93937	7.08686	-1.56458	71.17233	38.1342	2.86569	6.81799E-4	0.49248	13386.062	41.3592	1334.867
265.0	0.06333	0.93667	7.09111	-1.62393	71.77377	37.89552	2.87421	8.17447E-4	0.49213	13181.935	40.8254	1394.285
260.0	0.06591	0.93409	7.09531	-1.68208	72.41911	37.66315	2.88337	9.6545E-4	0.4918	12980.353	40.3164	1450.927
255.0	0.06837	0.93163	7.09945	-1.7392	73.10859	37.43689	2.89319	0.00112517	0.49148	12781.198	39.831	1504.895
250.0	0.0707	0.9293	7.10355	-1.79546	73.8421	37.21645	2.90364	0.00129584	0.49118	12584.358	39.368	1556.289
245.0	0.07293	0.92707	7.10759	-1.85206	74.60353	37.00121	2.9147	0.00147669	0.49088	12389.723	38.927	1605.202
240.0	0.07504	0.92496	7.11159	-1.90724	75.42408	36.79151	2.92642	0.00166657	0.4906	12197.189	38.5068	1651.723
235.0	0.07705	0.92295	7.11554	-1.96105	76.30663	36.58728	2.93881	0.00186439	0.49034	12006.652	38.1074	1695.937
230.0	0.07896	0.92104	7.11945	-2.01553	77.22087	36.38766	2.95182	0.00206902	0.49008	11818.05	37.7204	1737.925
225.0	0.08077	0.91923	7.12332	-2.06822	78.21263	36.19324	2.96552	0.00227957	0.48984	11631.667	37.2766	1777.736
220.0	0.08249	0.91751	7.12714	-2.12107	79.25226	36.00344	2.97988	0.00249513	0.48961	11447.539	36.8256	1815.437
216.86	0.08352	0.91648	7.12952	-2.15396	79.93677	35.88652	2.98921	0.00263168	0.48947	11333.185	 	1838.034
216.06	0.15793	0.84207	7.14762	-2.40127	75.66144	37.40567	3.12089	0.00442009	0.47915	10778.275	 	2369.359
216.06	1.0	0.0	7.36212	-5.24505	22.62153	57.63747	4.8089	36.75167	0.3603	4396.701	 	8750.934
210.0	1.0	0.0	7.3653	-5.28591	22.57524	57.71429	4.87568	37.45655	0.36028	4215.267	723.227	 
205.0	1.0	0.0	7.36791	-5.31951	22.53703	57.77901	4.93219	38.03147	0.36027	4065.961	29.8612	 
200.0	1.0	0.0	7.37052	-5.35301	22.49882	57.84496	4.99	38.60022	0.36025	3917.064	29.7794	 
195.0	1.0	0.0	7.37312	-5.3864	22.46062	57.91218	5.04916	39.16283	0.36024	3768.578	29.6972	 
190.0	1.0	0.0	7.37571	-5.41969	22.42242	57.98071	5.1097	39.71936	0.36022	3620.506	29.6144	 
185.0	1.0	0.0	7.3783	-5.45286	22.38422	58.05059	5.17169	40.26983	0.3602	3472.85	29.5312	 
180.0	1.0	0.0	7.38088	-5.48593	22.34602	58.12189	5.23518	40.81428	0.36019	3325.614	29.4472	 
175.0	1.0	0.0	7.38346	-5.5189	22.30783	58.19464	5.30022	41.35275	0.36017	3178.798	29.3632	 
170.0	1.0	0.0	7.38603	-5.55175	22.26963	58.2689	5.36686	41.88527	0.36016	3032.407	29.2782	 
165.0	1.0	0.0	7.38859	-5.5845	22.23144	58.34472	5.43516	42.41187	0.36014	2886.441	29.1932	 
