T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	8.50964	0.0	1.9877	25.2708	1.53229	0.0	0.5	19492.94	 	0.0
395.0	0.0	1.0	8.51467	-0.0590625	1.48128	25.19004	1.53882	0.0	0.5	19349.754	28.6372	0.0
390.0	0.0	1.0	8.51969	-0.11799	0.96218	25.10929	1.54546	0.0	0.5	19206.475	28.6558	0.0
385.0	0.0	1.0	8.52471	-0.17679	0.42989	25.02856	1.55219	0.0	0.5	19063.096	28.6758	0.0
380.0	0.0	1.0	8.52972	-0.23546	-0.11617	24.94785	1.55903	0.0	0.5	18919.612	28.6968	0.0
375.0	0.0	1.0	8.53473	-0.294	-0.67657	24.86716	1.56597	0.0	0.5	18776.016	28.7192	0.0
370.0	0.0	1.0	8.53973	-0.35241	-1.25195	24.78648	1.57303	0.0	0.5	18632.301	28.743	0.0
365.0	0.0	1.0	8.54473	-0.41068	-1.84296	24.70582	1.58019	0.0	0.5	18488.459	28.7684	0.0
360.0	0.0	1.0	8.54972	-0.46882	-2.4503	24.62518	1.58747	0.0	0.5	18344.482	28.7954	0.0
355.0	0.0	1.0	8.55471	-0.52684	-3.07472	24.54455	1.59487	0.0	0.5	18200.361	28.8242	0.0
350.0	0.0	1.0	8.55969	-0.58472	-3.717	24.46395	1.60239	0.0	0.5	18056.087	28.8548	0.0
345.0	0.0	1.0	8.56466	-0.64247	-4.37798	24.38335	1.61003	0.0	0.5	17911.649	28.8876	0.0
340.0	0.0	1.0	8.56963	-0.70008	-5.05855	24.30278	1.61779	0.0	0.5	17767.037	28.9224	0.0
335.0	0.0	1.0	8.5746	-0.75757	-5.75966	24.22223	1.62569	0.0	0.5	17622.238	28.9598	0.0
330.0	0.0	1.0	8.57956	-0.81493	-6.48232	24.14169	1.63371	0.0	0.5	17477.242	28.9992	0.0
325.0	0.0	1.0	8.58451	-0.87215	-7.2276	24.06116	1.64188	0.0	0.5	17332.034	29.0416	0.0
320.0	0.0	1.0	8.58946	-0.92924	-7.99667	23.98066	1.65018	0.0	0.5	17186.6	29.0868	0.0
315.0	0.0	1.0	8.5944	-0.98621	-8.79074	23.90017	1.65862	0.0	0.5	17040.926	29.1348	0.0
310.0	0.0	1.0	8.59933	-1.04304	-9.61113	23.8197	1.66721	0.0	0.5	16894.997	29.1858	0.0
305.0	0.0	1.0	8.60426	-1.09973	-10.45926	23.73925	1.67595	0.0	0.5	16748.796	29.2402	0.0
300.0	0.0	1.0	8.60919	-1.1563	-11.33663	23.65882	1.68484	0.0	0.5	16602.304	29.2984	0.0
295.0	0.0	1.0	8.61411	-1.21274	-12.24487	23.5784	1.69389	0.0	0.5	16455.505	29.3598	0.0
290.0	0.0	1.0	8.61902	-1.26904	-13.18573	23.498	1.7031	0.0	0.5	16308.378	29.4254	0.0
285.0	0.0	1.0	8.62393	-1.32522	-14.16109	23.41761	1.71248	0.0	0.5	16160.903	29.495	0.0
280.0	0.0	1.0	8.62883	-1.38126	-15.17298	23.33725	1.72203	0.0	0.5	16013.057	29.5692	0.0
