T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	8.58712	0.0	0.93452	24.68364	1.49669	0.0	0.5	19767.213	 	0.0
395.0	0.0	1.0	8.5922	-0.0591216	0.41396	24.60337	1.50298	0.0	0.5	19623.906	28.6614	0.0
390.0	0.0	1.0	8.59727	-0.11811	-0.11966	24.52311	1.50938	0.0	0.5	19480.505	28.6802	0.0
385.0	0.0	1.0	8.60234	-0.17697	-0.66688	24.44285	1.51587	0.0	0.5	19337.002	28.7006	0.0
380.0	0.0	1.0	8.60741	-0.2357	-1.22828	24.36258	1.52245	0.0	0.5	19193.393	28.7218	0.0
375.0	0.0	1.0	8.61247	-0.29429	-1.80447	24.28232	1.52914	0.0	0.5	19049.67	28.7446	0.0
370.0	0.0	1.0	8.61752	-0.35276	-2.3961	24.20206	1.53594	0.0	0.5	18905.827	28.7686	0.0
365.0	0.0	1.0	8.62257	-0.41109	-3.00383	24.1218	1.54284	0.0	0.5	18761.854	28.7946	0.0
360.0	0.0	1.0	8.62761	-0.46929	-3.62839	24.04153	1.54985	0.0	0.5	18617.744	28.822	0.0
355.0	0.0	1.0	8.63265	-0.52736	-4.27055	23.96127	1.55697	0.0	0.5	18473.488	28.8512	0.0
350.0	0.0	1.0	8.63768	-0.5853	-4.93113	23.88101	1.56421	0.0	0.5	18329.075	28.8826	0.0
345.0	0.0	1.0	8.6427	-0.64311	-5.61097	23.80075	1.57156	0.0	0.5	18184.496	28.9158	0.0
340.0	0.0	1.0	8.64772	-0.70079	-6.31101	23.72048	1.57903	0.0	0.5	18039.738	28.9516	0.0
335.0	0.0	1.0	8.65274	-0.75833	-7.03221	23.64022	1.58663	0.0	0.5	17894.791	28.9894	0.0
330.0	0.0	1.0	8.65774	-0.81575	-7.77562	23.55996	1.59435	0.0	0.5	17749.641	29.03	0.0
325.0	0.0	1.0	8.66275	-0.87303	-8.54235	23.4797	1.6022	0.0	0.5	17604.275	29.0732	0.0
320.0	0.0	1.0	8.66774	-0.93018	-9.33358	23.39943	1.61018	0.0	0.5	17458.679	29.1192	0.0
315.0	0.0	1.0	8.67274	-0.9872	-10.15059	23.31917	1.6183	0.0	0.5	17312.837	29.1684	0.0
310.0	0.0	1.0	8.67772	-1.04408	-10.99472	23.23891	1.62656	0.0	0.5	17166.734	29.2206	0.0
305.0	0.0	1.0	8.6827	-1.10084	-11.86744	23.15865	1.63496	0.0	0.5	17020.351	29.2766	0.0
300.0	0.0	1.0	8.68768	-1.15747	-12.77029	23.07838	1.6435	0.0	0.5	16873.672	29.3358	0.0
295.0	0.0	1.0	8.69264	-1.21396	-13.70497	22.99812	1.6522	0.0	0.5	16726.677	29.399	0.0
290.0	0.0	1.0	8.69761	-1.27032	-14.67325	22.91786	1.66105	0.0	0.5	16579.346	29.4662	0.0
285.0	0.0	1.0	8.70256	-1.32655	-15.6771	22.83759	1.67006	0.0	0.5	16431.658	29.5376	0.0
280.0	0.0	1.0	8.70751	-1.38265	-16.71859	22.75733	1.67924	0.0	0.5	16283.589	29.6138	0.0
275.0	0.0	1.0	8.71246	-1.43862	-17.79998	22.67707	1.68858	0.0	0.5	16135.118	29.6942	0.0
