T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	6.84349	0.0	55.40208	30.27894	1.83596	0.0	0.5	18285.414	 	0.0
395.0	0.0	1.0	6.84702	-0.0515445	55.65744	30.17687	1.84346	0.0	0.5	18142.911	28.5006	0.0
390.0	0.0	1.0	6.85054	-0.10291	55.92155	30.0748	1.85108	0.0	0.5	18000.379	28.5064	0.0
385.0	0.0	1.0	6.85405	-0.15409	56.19477	29.97273	1.85881	0.0	0.5	17857.813	28.5132	0.0
380.0	0.0	1.0	6.85755	-0.2051	56.47747	29.87066	1.86666	0.0	0.5	17715.209	28.5208	0.0
375.0	0.0	1.0	6.86105	-0.25592	56.77007	29.76859	1.87463	0.0	0.5	17572.562	28.5294	0.0
370.0	0.0	1.0	6.86453	-0.30657	57.073	29.66652	1.88273	0.0	0.5	17429.867	28.539	0.0
365.0	0.0	1.0	6.86801	-0.35704	57.38671	29.56445	1.89095	0.0	0.5	17287.118	28.5498	0.0
360.0	0.0	1.0	6.87148	-0.40732	57.71168	29.46238	1.89931	0.0	0.5	17144.31	28.5616	0.0
355.0	0.0	1.0	6.87494	-0.45743	58.04843	29.36031	1.90779	0.0	0.5	17001.437	28.5746	0.0
350.0	0.0	1.0	6.87839	-0.50736	58.3975	29.25824	1.91641	0.0	0.5	16858.493	28.5888	0.0
345.0	0.0	1.0	6.88183	-0.5571	58.75947	29.15617	1.92518	0.0	0.5	16715.472	28.6042	0.0
340.0	0.0	1.0	6.88526	-0.60667	59.13495	29.0541	1.93408	0.0	0.5	16572.366	28.6212	0.0
335.0	0.0	1.0	6.88868	-0.65606	59.52459	28.95203	1.94313	0.0	0.5	16429.168	28.6396	0.0
330.0	0.0	1.0	6.8921	-0.70526	59.9291	28.84996	1.95233	0.0	0.5	16285.871	28.6594	0.0
325.0	0.0	1.0	6.8955	-0.75429	60.34921	28.74789	1.96169	0.0	0.5	16142.468	28.6806	0.0
320.0	0.0	1.0	6.8989	-0.80314	60.78572	28.64582	1.9712	0.0	0.5	15998.949	28.7038	0.0
315.0	0.0	1.0	6.90228	-0.85181	61.23948	28.54375	1.98087	0.0	0.5	15855.306	28.7286	0.0
310.0	0.0	1.0	6.90566	-0.9003	61.7114	28.44168	1.99071	0.0	0.5	15711.531	28.755	0.0
305.0	0.0	1.0	6.90903	-0.9486	62.20244	28.33961	2.00072	0.0	0.5	15567.612	28.7838	0.0
300.0	0.0	1.0	6.91239	-0.99673	62.71365	28.23754	2.01091	0.0	0.5	15423.542	28.814	0.0
295.0	0.0	1.0	6.91574	-1.04468	63.24616	28.13547	2.02127	0.0	0.5	15279.309	28.8466	0.0
290.0	0.0	1.0	6.91908	-1.09245	63.80116	28.0334	2.03182	0.0	0.5	15134.902	28.8814	0.0
285.0	0.0	1.0	6.92241	-1.14004	64.37995	27.93133	2.04256	0.0	0.5	14990.311	28.9182	0.0
280.0	0.0	1.0	6.92573	-1.18745	64.98394	27.82926	2.05349	0.0	0.5	14845.522	28.9578	0.0
275.0	0.0	1.0	6.92904	-1.23468	65.61464	27.72719	2.06462	0.0	0.5	14700.524	28.9996	0.0
270.0	0.0	1.0	6.93234	-1.28173	66.27367	27.62512	2.07596	0.0	0.5	14555.303	29.0442	0.0
265.0	0.0	1.0	6.93564	-1.3286	66.96282	27.52305	2.0875	0.0	0.5	14409.846	29.0914	0.0
260.0	0.0	1.0	6.93892	-1.37529	67.684	27.42098	2.09927	0.0	0.5	14264.138	29.1416	0.0
