T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/g)-TOTAL	Specific heat (J/(g K))-TOTAL	Latent heat (J/g)-TOTAL
400.0	0.0	1.0	10.08705	0.0	55.99144	18.49201	1.12126	0.0	0.5	85.753	 	0.0
395.0	0.0	1.0	10.09298	-0.0587887	56.18509	18.42538	1.12558	0.0	0.5	84.976	0.1554	0.0
390.0	0.0	1.0	10.09889	-0.1173	56.38674	18.35876	1.12997	0.0	0.5	84.2	0.1552	0.0
385.0	0.0	1.0	10.10478	-0.17553	56.59673	18.29213	1.13442	0.0	0.5	83.423	0.1554	0.0
380.0	0.0	1.0	10.11065	-0.23349	56.8154	18.22551	1.13894	0.0	0.5	82.646	0.1554	0.0
375.0	0.0	1.0	10.1165	-0.29117	57.04314	18.15888	1.14353	0.0	0.5	81.868	0.1556	0.0
370.0	0.0	1.0	10.12233	-0.34857	57.28032	18.09226	1.14819	0.0	0.5	81.09	0.1556	0.0
365.0	0.0	1.0	10.12813	-0.40569	57.52738	18.02564	1.15293	0.0	0.5	80.312	0.1556	0.0
360.0	0.0	1.0	10.13392	-0.46253	57.78475	17.95901	1.15774	0.0	0.5	79.533	0.1558	0.0
355.0	0.0	1.0	10.13968	-0.5191	58.05289	17.89239	1.16262	0.0	0.5	78.753	0.156	0.0
350.0	0.0	1.0	10.14542	-0.57539	58.33232	17.82576	1.16759	0.0	0.5	77.974	0.1558	0.0
345.0	0.0	1.0	10.15114	-0.6314	58.62355	17.75914	1.17263	0.0	0.5	77.194	0.156	0.0
340.0	0.0	1.0	10.15684	-0.68714	58.92715	17.69251	1.17776	0.0	0.5	76.413	0.1562	0.0
335.0	0.0	1.0	10.16251	-0.74259	59.24372	17.62589	1.18297	0.0	0.5	75.632	0.1562	0.0
330.0	0.0	1.0	10.16816	-0.79777	59.5739	17.55926	1.18827	0.0	0.5	74.851	0.1562	0.0
325.0	0.0	1.0	10.17379	-0.85267	59.91836	17.49264	1.19366	0.0	0.5	74.069	0.1564	0.0
320.0	0.0	1.0	10.1794	-0.9073	60.27783	17.42602	1.19913	0.0	0.5	73.29	0.1558	0.0
315.0	0.0	1.0	10.18499	-0.96164	60.65309	17.35939	1.2047	0.0	0.5	72.512	0.1556	0.0
310.0	0.0	1.0	10.19055	-1.01571	61.04497	17.29277	1.21037	0.0	0.5	71.737	0.155	0.0
305.0	0.0	1.0	10.19609	-1.0695	61.45435	17.22614	1.21613	0.0	0.5	70.963	0.1548	0.0
300.0	0.0	1.0	10.20161	-1.12302	61.88221	17.15952	1.222	0.0	0.5	70.192	0.1542	0.0
297.91	0.0	1.0	10.20391	-1.14525	62.06637	17.13173	1.22448	0.0	0.5	69.871	0.15391	0.0
295.0	0.24672	0.75328	10.27323	-1.81244	53.98062	19.53505	1.40341	0.0356494	0.48381	63.523	2.17813	5.538
290.0	0.51675	0.48325	10.35034	-2.54389	45.21898	22.88504	1.65868	0.73098	0.46547	56.439	1.4168	11.573
285.0	0.66732	0.33268	10.39516	-2.96407	40.36234	25.28222	1.84884	2.1231	0.45492	52.227	0.8424	14.927
280.0	0.75879	0.24121	10.424	-3.2326	37.42242	26.95079	1.98867	3.67187	0.44834	49.414	0.5626	16.956
275.0	0.81804	0.18196	10.4442	-3.41973	35.51855	28.12039	2.0939	5.10395	0.44399	47.353	0.4122	18.265
270.0	0.85838	0.14162	10.45937	-3.55977	34.21817	28.96143	2.17638	6.34423	0.44097	45.727	0.3252	19.154
265.0	0.88697	0.11303	10.47144	-3.67092	33.29011	29.58546	2.24393	7.39694	0.43879	44.368	0.2718	19.781
260.0	0.90789	0.092114	10.4815	-3.76345	32.60324	30.06314	2.30154	8.28926	0.43717	43.18	0.2376	20.239
255.0	0.9236	0.076398	10.49023	-3.84346	32.07942	30.43943	2.35241	9.05042	0.43594	42.107	0.2146	20.583
250.0	0.93566	0.064341	10.49801	-3.91477	31.66929	30.7438	2.39864	9.70606	0.43498	41.114	0.1986	20.846
245.0	0.94507	0.054933	10.50512	-3.97981	31.34141	30.99576	2.44163	10.27657	0.43422	40.178	0.1872	21.052
240.0	0.9525	0.047499	10.51173	-4.04023	31.07463	31.20866	2.48236	10.77801	0.43361	39.284	0.1788	21.215
235.0	0.95843	0.041566	10.51797	-4.09713	30.85446	31.39187	2.5215	11.2227	0.43312	38.422	0.1724	21.346
230.0	0.9632	0.036797	10.52392	-4.15131	30.67048	31.55214	2.55956	11.62043	0.43272	37.584	0.1676	21.452
225.0	0.96706	0.032941	10.52964	-4.20335	30.51521	31.69451	2.59692	11.97917	0.43239	36.767	0.1634	21.538
