T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	6.86208	7.99797	0.0	32.62533	27.98789	1.46464	0.68276	0.0	119.52961	0.0	0.5	6.39071	6.39071	1.27783	1.27783	1735.4676	48756.108	 	0.0
1395.0	0.0	1.0	6.86596	7.99346	-0.0564266	32.58863	27.91083	1.46429	0.68292	0.0	119.68314	0.0	0.5	6.45661	6.45661	1.26101	1.26101	1737.45642	48554.286	40.3644	0.0
1390.0	0.0	1.0	6.86982	7.98896	-0.11269	32.55211	27.83377	1.46395	0.68308	0.0	119.83667	0.0	0.5	6.5236	6.5236	1.24432	1.24432	1739.46185	48352.902	40.2768	0.0
1385.0	0.0	1.0	6.87369	7.98447	-0.1688	32.51576	27.75672	1.4636	0.68325	0.0	119.9902	0.0	0.5	6.59169	6.59169	1.22776	1.22776	1741.48412	48151.956	40.1892	0.0
1380.0	0.0	1.0	6.87754	7.97999	-0.22475	32.47959	27.67966	1.46325	0.68341	0.0	120.14373	0.0	0.5	6.6609	6.6609	1.21134	1.21134	1743.52342	47951.443	40.1026	0.0
1375.0	0.0	1.0	6.88139	7.97553	-0.28053	32.4436	27.6026	1.46289	0.68358	0.0	120.29726	0.0	0.5	6.73128	6.73128	1.19505	1.19505	1745.57993	47751.363	40.016	0.0
1370.0	0.0	1.0	6.88523	7.97108	-0.33616	32.4078	27.52554	1.46254	0.68374	0.0	120.45079	0.0	0.5	6.80283	6.80283	1.17889	1.17889	1747.65384	47551.712	39.9302	0.0
1365.0	0.0	1.0	6.88906	7.96665	-0.39163	32.37217	27.44848	1.46218	0.68391	0.0	120.60432	0.0	0.5	6.87558	6.87558	1.16287	1.16287	1749.74532	47352.489	39.8446	0.0
1360.0	0.0	1.0	6.89289	7.96222	-0.44693	32.33674	27.37142	1.46182	0.68408	0.0	120.75785	0.0	0.5	6.94957	6.94957	1.14698	1.14698	1751.85452	47153.692	39.7594	0.0
1355.0	0.0	1.0	6.89671	7.95781	-0.50208	32.30149	27.29436	1.46146	0.68425	0.0	120.91138	0.0	0.5	7.02481	7.02481	1.13122	1.13122	1753.98161	46955.318	39.6748	0.0
