T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.28016	7.79128	0.0	29.06189	29.29372	1.39935	0.71462	0.0	125.57213	0.0	0.5	7.10392	7.10392	1.14954	1.14954	1756.69158	54880.842	 	0.0
1395.0	0.0	1.0	7.28408	7.78708	-0.0539005	29.02109	29.21474	1.39894	0.71483	0.0	125.73057	0.0	0.5	7.17968	7.17968	1.13401	1.13401	1758.92068	54675.411	41.0862	0.0
1390.0	0.0	1.0	7.288	7.7829	-0.10764	28.98042	29.13577	1.39853	0.71504	0.0	125.88901	0.0	0.5	7.25671	7.25671	1.11861	1.11861	1761.16492	54470.455	40.9912	0.0
1385.0	0.0	1.0	7.29191	7.77872	-0.16123	28.93988	29.05679	1.39811	0.71525	0.0	126.04744	0.0	0.5	7.33504	7.33504	1.10334	1.10334	1763.42427	54265.974	40.8962	0.0
1380.0	0.0	1.0	7.29582	7.77456	-0.21466	28.89948	28.97781	1.3977	0.71546	0.0	126.20588	0.0	0.5	7.41469	7.41469	1.08819	1.08819	1765.69864	54061.963	40.8022	0.0
1375.0	0.0	1.0	7.29971	7.77041	-0.26793	28.85921	28.89883	1.39728	0.71568	0.0	126.36431	0.0	0.5	7.49571	7.49571	1.07318	1.07318	1767.98796	53858.422	40.7082	0.0
1370.0	0.0	1.0	7.3036	7.76627	-0.32104	28.81908	28.81985	1.39686	0.71589	0.0	126.52275	0.0	0.5	7.5781	7.5781	1.05829	1.05829	1770.29211	53655.346	40.6152	0.0
1365.0	0.0	1.0	7.30749	7.76214	-0.374	28.77909	28.74088	1.39643	0.71611	0.0	126.68119	0.0	0.5	7.66192	7.66192	1.04352	1.04352	1772.61099	53452.734	40.5224	0.0
1360.0	0.0	1.0	7.31136	7.75803	-0.4268	28.73924	28.6619	1.39601	0.71633	0.0	126.83962	0.0	0.5	7.74719	7.74719	1.02889	1.02889	1774.94445	53250.584	40.43	0.0
1355.0	0.0	1.0	7.31523	7.75393	-0.47944	28.69953	28.58292	1.39558	0.71655	0.0	126.99806	0.0	0.5	7.83393	7.83393	1.01438	1.01438	1777.29237	53048.893	40.3382	0.0
1350.37	0.0	1.0	7.31881	7.75014	-0.52809	28.66285	28.50972	1.39518	0.71675	0.0	127.1449	0.0	0.5	7.91568	7.91568	1.00105	1.00105	1779.48125	52862.376	40.24837	0.0
1350.0	0.01215	0.98785	7.32179	7.74701	-0.56818	28.55782	28.54903	1.39294	0.7179	2.05992E-6	127.14514	6.87405E-7	0.49833	7.92439	8.05476	0.99972	0.98354	1779.3822	52663.163	544.52098	184.493
1345.0	0.16732	0.83268	7.36007	7.70665	-1.08627	27.20085	29.05787	1.36434	0.73296	0.0760059	127.14646	0.0257328	0.47683	8.04322	39.87983	0.98192	0.19804	1778.10098	50119.326	508.7674	2527.549
1340.0	0.29079	0.70921	7.39114	7.67428	-1.50172	26.12493	29.46303	1.34142	0.74548	0.70757	127.22198	0.2424	0.4595	8.16362	301.40128	0.96445	0.0261226	1776.96768	48068.789	410.1074	4377.759
1335.0	0.39039	0.60961	7.41673	7.64778	-1.84178	25.25562	29.78955	1.3226	0.75609	2.33819	127.3552	0.80886	0.44536	8.2856	1013.54064	0.9473	0.00774412	1775.97586	46388.348	336.0882	5858.321
1330.0	0.47172	0.52828	7.43811	7.62584	-2.12346	24.54664	30.05409	1.30688	0.76518	5.05853	127.53648	1.76416	0.43369	8.40932	2282.75117	0.93046	0.0034277	1775.1179	44990.047	279.6602	7057.19
1325.0	0.53884	0.46116	7.4562	7.60732	-2.36112	23.95862	30.26795	1.2936	0.77304	8.72504	127.75551	3.06363	0.42397	8.53488	4125.77065	0.91392	0.0018906	1774.38651	43809.938	236.0218	8038.314
1320.0	0.5948	0.4052	7.4717	7.59154	-2.56364	23.46735	30.43999	1.28227	0.77987	13.1041	128.00601	4.62783	0.41579	8.66241	6514.54215	0.89765	0.0011936	1773.77375	42800.766	201.8344	8848.943
1315.0	0.64184	0.35816	7.48514	7.57793	-2.7384	23.05258	30.57712	1.27251	0.78585	17.95385	128.28223	6.37178	0.40886	8.79188	9404.34447	0.88165	8.24232E-4	1773.27218	41927.09	174.7352	9524.516
1310.0	0.68172	0.31828	7.49691	7.56601	-2.89137	22.6979	30.68477	1.26405	0.79111	23.06517	128.57877	8.22038	0.40293	8.92341	12750.92893	0.86592	6.05992E-4	1772.87475	41161.972	153.0236	10091.97
1305.0	0.71576	0.28424	7.50732	7.55547	-3.02663	22.3921	30.76743	1.25668	0.79575	28.27221	128.89204	10.11298	0.39782	9.05722	16517.90211	0.85043	4.66316E-4	1772.57458	40484.685	135.4574	10572.029
1300.0	0.74502	0.25498	7.51663	7.54611	-3.14669	22.12841	30.82922	1.25018	0.79988	33.4534	129.22035	12.0043	0.39339	9.19329	20680.7752	0.83519	3.7127E-4	1772.36474	39879.101	121.1168	10980.821
1295.0	0.77031	0.22969	7.52501	7.53769	-3.25486	21.89757	30.87302	1.24444	0.80357	38.52081	129.56013	13.86109	0.38953	9.33178	25223.19775	0.82018	3.03441E-4	1772.23961	39332.54	109.3122	11331.019
1290.0	0.79231	0.20769	7.53264	7.53005	-3.35286	21.69494	30.9017	1.23932	0.80689	43.41927	129.90983	15.66193	0.38614	9.47273	30142.13598	0.8054	2.53112E-4	1772.19322	38834.941	99.5198	11632.686
1285.0	0.81154	0.18846	7.53962	7.52307	-3.44249	21.51548	30.91733	1.23473	0.80989	48.11054	130.2675	17.39166	0.38315	9.61625	35439.58878	0.79084	2.14589E-4	1772.22047	38378.246	91.339	11893.876
1280.0	0.82842	0.17158	7.54605	7.51662	-3.52523	21.35508	30.92167	1.2306	0.81261	52.57434	130.63138	19.04183	0.3805	9.76251	41126.38355	0.77649	1.84323E-4	1772.31666	37955.954	84.4584	12121.088
1275.0	0.84331	0.15669	7.55203	7.51066	-3.60176	21.21196	30.91649	1.22684	0.8151	56.80603	131.00105	20.60982	0.37813	9.91154	47224.34543	0.76236	1.60005E-4	1772.47683	37562.776	78.6356	12319.61
1270.0	0.8565	0.1435	7.55762	7.50508	-3.6733	21.08265	30.90286	1.22342	0.81738	60.80088	131.37488	22.09316	0.37601	10.06346	53753.91172	0.74842	1.40115E-4	1772.69726	37194.381	73.679	12493.771
1265.0	0.86824	0.13176	7.56287	7.49986	-3.7404	20.96566	30.882	1.22028	0.81948	64.56623	131.75235	23.49392	0.37411	10.21843	60747.31277	0.73468	1.23583E-4	1772.97387	36847.197	69.4368	12647.139
1260.0	0.87871	0.12129	7.56783	7.49492	-3.80373	20.85912	30.85484	1.21738	0.82143	68.11117	132.13266	24.81493	0.37238	10.37648	68240.58168	0.72114	1.09655E-4	1773.30325	36518.262	65.787	12782.675
1255.0	0.88808	0.11192	7.57254	7.49026	-3.86363	20.76214	30.82216	1.2147	0.82325	71.44698	132.51552	26.05992	0.37082	10.53785	76275.77622	0.70778	9.77836E-5	1773.68184	36205.105	62.6314	12902.847
1250.0	0.89651	0.10349	7.57703	7.4858	-3.92087	20.67245	30.78456	1.2122	0.82494	74.58318	132.89979	27.2321	0.3694	10.70254	84895.4106	0.69461	8.75679E-5	1774.10736	35905.653	59.8904	13009.728
1245.0	0.90411	0.0958938	7.58132	7.48154	-3.97554	20.58991	30.74273	1.20987	0.82654	77.53555	133.28551	28.337	0.3681	10.87073	94155.76844	0.68162	7.86963E-5	1774.57647	35618.157	57.4992	13105.063
