T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.82868	7.95835	0.0	30.36556	31.45383	1.83692	0.54439	0.0	104.50412	0.0	0.49872	6.54907	6.54907	1.32146	1.32146	1758.90146	64035.013	 	0.0
1495.0	0.0	1.0	6.83248	7.95393	-0.0555805	30.32587	31.37883	1.83612	0.54463	0.0	104.68849	0.0	0.49872	6.60572	6.60572	1.30643	1.30643	1760.69313	63813.895	44.2236	0.0
1490.0	0.0	1.0	6.83627	7.94952	-0.11101	30.28631	31.30382	1.83531	0.54487	0.0	104.87285	0.0	0.49872	6.66318	6.66318	1.2915	1.2915	1762.48145	63593.295	44.12	0.0
1485.0	0.0	1.0	6.84005	7.94512	-0.16628	30.24688	31.22881	1.8345	0.54511	0.0	105.05721	0.0	0.49872	6.72148	6.72148	1.27667	1.27667	1764.26641	63373.208	44.0174	0.0
1480.0	0.0	1.0	6.84383	7.94073	-0.2214	30.20758	31.1538	1.83369	0.54535	0.0	105.24157	0.0	0.49872	6.78062	6.78062	1.26193	1.26193	1766.04794	63153.631	43.9154	0.0
1475.0	0.0	1.0	6.8476	7.93636	-0.27636	30.16841	31.0788	1.83287	0.54559	0.0	105.42594	0.0	0.49872	6.84063	6.84063	1.2473	1.2473	1767.82602	62934.561	43.814	0.0
1470.0	0.0	1.0	6.85137	7.93199	-0.33118	30.12937	31.00379	1.83205	0.54584	0.0	105.6103	0.0	0.49872	6.90151	6.90151	1.23276	1.23276	1769.60061	62715.995	43.7132	0.0
1465.0	0.0	1.0	6.85513	7.92764	-0.38583	30.09047	30.92878	1.83123	0.54608	0.0	105.79466	0.0	0.49872	6.9633	6.9633	1.21831	1.21831	1771.37166	62497.929	43.6132	0.0
1460.0	0.0	1.0	6.85888	7.92331	-0.44034	30.05169	30.85377	1.8304	0.54633	0.0	105.97903	0.0	0.49872	7.02599	7.02599	1.20397	1.20397	1773.13914	62280.361	43.5136	0.0
1455.0	0.0	1.0	6.86263	7.91898	-0.49469	30.01305	30.77876	1.82957	0.54658	0.0	106.16339	0.0	0.49872	7.08962	7.08962	1.18972	1.18972	1774.90299	62063.286	43.415	0.0
1450.0	0.0	1.0	6.86637	7.91467	-0.54888	29.97455	30.70376	1.82873	0.54683	0.0	106.34775	0.0	0.49872	7.1542	7.1542	1.17557	1.17557	1776.66319	61846.724	43.3124	0.0
1445.0	0.0	1.0	6.8701	7.91037	-0.60293	29.93619	30.62875	1.82789	0.54708	0.0	106.53211	0.0	0.49872	7.21975	7.21975	1.16152	1.16152	1778.41968	61630.709	43.203	0.0
1440.0	0.0	1.0	6.87383	7.90608	-0.65682	29.89797	30.55374	1.82704	0.54733	0.0	106.71648	0.0	0.49872	7.28629	7.28629	1.14756	1.14756	1780.17242	61415.235	43.0948	0.0
1435.0	0.0	1.0	6.87755	7.9018	-0.71055	29.85989	30.47873	1.82619	0.54759	0.0	106.90084	0.0	0.49872	7.35383	7.35383	1.1337	1.1337	1781.92137	61200.297	42.9876	0.0
1430.0	0.0	1.0	6.88126	7.89754	-0.76413	29.82195	30.40373	1.82534	0.54784	0.0	107.0852	0.0	0.49872	7.42241	7.42241	1.11994	1.11994	1783.66648	60985.891	42.8812	0.0
1425.0	0.0	1.0	6.88497	7.89329	-0.81756	29.78415	30.32872	1.82448	0.5481	0.0	107.26957	0.0	0.49872	7.49203	7.49203	1.10628	1.10628	1785.4077	60772.015	42.7752	0.0
1422.52	0.0	1.0	6.8868	7.89118	-0.84398	29.76547	30.29154	1.82406	0.54823	0.0	107.36094	0.0	0.49872	7.52693	7.52693	1.09954	1.09954	1786.26926	60666.204	42.6972	0.0010
1420.0	0.0532601	0.94674	6.89663	7.87998	-0.98475	29.43774	30.44661	1.81207	0.55186	4.19009E-4	105.37688	1.40514E-4	0.49099	7.5446	8.12116	1.09533	1.01757	1785.80206	60084.116	230.82	474.547
1415.0	0.14592	0.85408	6.91411	7.86007	-1.23498	28.86293	30.71434	1.79097	0.55836	0.0240165	101.97222	0.00812763	0.47746	7.57995	11.09313	1.087	0.74275	1784.94876	59048.221	207.179	1297.614
1411.69	0.19868	0.80132	6.92434	7.84855	-1.37973	28.53702	30.86472	1.77875	0.56219	0.0834248	100.06969	0.0283813	0.46971	7.60382	16.68964	1.08147	0.49272	1784.41824	58440.776	 	1764.621
1410.0	0.233	0.767	6.93057	7.8414	-1.46953	28.32678	30.91699	1.77396	0.56371	0.11291	99.5226	0.0385345	0.46506	7.61611	25.49944	1.07864	0.32217	1783.85186	57997.874	210.069	2135.65
1405.0	0.32184	0.67816	6.94706	7.82283	-1.70288	27.79003	31.04545	1.76137	0.56774	0.24765	98.32034	0.0852231	0.45294	7.65324	82.60278	1.07022	0.0991569	1782.31984	56826.245	234.326	3095.481
1400.0	0.39434	0.60566	6.96099	7.80728	-1.89825	27.35381	31.14023	1.75078	0.57117	0.49429	97.51503	0.17128	0.44297	7.69181	196.73243	1.06168	0.0415093	1780.92126	55834.266	198.396	3876.177
1395.0	0.45447	0.54553	6.97309	7.79383	-2.06723	26.98724	31.20893	1.7417	0.57415	0.8948	96.9692	0.31186	0.43464	7.73114	373.75972	1.05312	0.0217836	1779.64335	54978.537	171.146	4521.128
1390.0	0.50505	0.49495	6.98376	7.78201	-2.21573	26.67473	31.25716	1.7338	0.57677	1.47022	96.60909	0.51494	0.42757	7.7715	613.81841	1.04451	0.0132245	1778.47211	54228.277	150.052	5061.114
1385.0	0.54812	0.45188	6.99328	7.7716	-2.34656	26.40907	31.28962	1.7268	0.57911	2.22472	96.38792	0.78253	0.4215	7.81321	914.82466	1.03581	0.00884652	1777.39072	53561.135	133.428	5518.482
1380.0	0.58519	0.41481	7.00193	7.76214	-2.46541	26.17485	31.30885	1.72053	0.58122	3.15104	96.27159	1.11247	0.41623	7.8559	1273.96323	1.02708	0.00633348	1776.39469	52960.544	120.118	5909.798
1378.42	0.59574	0.40426	7.00448	7.75935	-2.5005	26.10746	31.31238	1.71869	0.58184	3.47457	96.25209	1.22801	0.41472	7.86958	1398.08363	1.02431	0.00576567	1776.08812	52783.418	 	6020.717
1375.0	0.62652	0.37348	7.0145	7.74841	-2.63797	25.78847	31.34703	1.71324	0.58369	4.64825	96.0107	1.64792	0.41034	7.90935	1786.55484	1.01705	0.00450264	1776.05005	52301.872	131.734	6359.689
1370.0	0.6652	0.3348	7.02752	7.73433	-2.81486	25.38704	31.38107	1.70619	0.5861	6.64475	95.78618	2.36505	0.40478	7.96861	2419.47723	1.00643	0.00331469	1776.05948	51670.947	126.185	6782.325
1365.0	0.69767	0.30233	7.03896	7.72204	-2.96937	25.04578	31.39987	1.69998	0.58824	8.91561	95.67783	3.18404	0.40005	8.029	3118.05587	0.99582	0.00256423	1776.13368	51112.249	111.74	7133.222
1360.0	0.72529	0.27471	7.04914	7.71122	-3.10531	24.75456	31.40678	1.69442	0.59017	11.40363	95.65935	4.08447	0.39597	8.09099	3877.22001	0.98517	0.00205585	1776.26027	50610.042	100.441	7428.114
1355.0	0.74902	0.25098	7.05835	7.7015	-3.22743	24.50042	31.40397	1.68938	0.59193	14.05258	95.70999	5.04608	0.39243	8.15417	4694.29724	0.97454	0.00169282	1776.43778	50152.851	91.4382	7678.472
1350.0	0.76963	0.23037	7.0668	7.69265	-3.33869	24.27536	31.39299	1.68478	0.59355	16.81392	95.81485	6.05121	0.3893	8.21855	5569.46167	0.96394	0.00142243	1776.66217	49731.987	84.1728	7892.982
1345.0	0.7877	0.2123	7.0746	7.68453	-3.44062	24.07534	31.37598	1.6805	0.59506	19.64207	95.96328	7.08319	0.38653	8.28449	6503.9857	0.95332	0.0012143	1776.92571	49340.883	78.2208	8078.209
1340.0	0.80364	0.19636	7.08189	7.67701	-3.5351	23.89519	31.35367	1.6765	0.59648	22.49849	96.14673	8.12781	0.38404	8.35165	7500.20237	0.94273	0.00104976	1777.22618	48974.455	73.2856	8239.233
1335.91	0.81538	0.18462	7.08755	7.67122	-3.60788	23.75983	31.33221	1.6734	0.59759	24.84176	96.31775	8.98637	0.38219	8.40784	8365.23657	0.93406	9.38816E-4	1777.4936	48690.09	 	8355.899
