T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.00216	0.99784	1.66168	15.32165	0.0	52.75277	81.45668	0.2927	3.4165	4.49332E-12	23.70131	1.49787E-12	0.4999	1.28296	1.28296	3.70215	3.70215	543.84978	27471.338	 	0.0
695.0	0.0023	0.9977	1.663	15.30948	-0.0794323	52.70905	81.10736	0.29245	3.41941	5.82844E-12	23.77505	1.94295E-12	0.49989	1.29775	1.29775	3.64115	3.64115	545.58704	27296.967	34.8742	1.254
690.0	0.00244	0.99756	1.66432	15.29736	-0.15849	52.66673	80.75811	0.2922	3.42236	7.428E-12	23.84881	2.47618E-12	0.49989	1.31287	1.31287	3.58063	3.58063	547.32436	27122.565	34.8804	2.495
685.0	0.00257	0.99743	1.66564	15.28515	-0.2382	52.62019	80.40815	0.29194	3.42531	9.31989E-12	23.92234	3.10688E-12	0.49988	1.32833	1.32833	3.52058	3.52058	549.06174	26948.132	34.8866	3.723
680.0	0.00271	0.99729	1.66695	15.27315	-0.31653	52.58063	80.05908	0.29169	3.42833	1.15326E-11	23.99612	3.84451E-12	0.49987	1.34414	1.34414	3.46101	3.46101	550.79917	26773.668	34.8928	4.936
675.0	0.00285	0.99715	1.66826	15.2612	-0.3945	52.54254	79.7101	0.29143	3.43139	1.40947E-11	24.06991	4.69866E-12	0.49987	1.36031	1.36031	3.40192	3.40192	552.53667	26599.174	34.8988	6.136
670.0	0.00298	0.99702	1.66957	15.24915	-0.47317	52.49987	79.36034	0.29117	3.43445	1.70372E-11	24.14345	5.67961E-12	0.49986	1.37686	1.37686	3.34332	3.34332	554.27423	26424.648	34.9052	7.321
665.0	0.00311	0.99689	1.67087	15.23732	-0.5504	52.46478	79.01153	0.2909	3.43757	2.03864E-11	24.21726	6.79612E-12	0.49985	1.39379	1.39379	3.28521	3.28521	556.01184	26250.091	34.9114	8.493
660.0	0.00324	0.99676	1.67217	15.22554	-0.62727	52.43126	78.6628	0.29064	3.44074	2.41714E-11	24.29108	8.05794E-12	0.49985	1.41111	1.41111	3.22758	3.22758	557.7495	26075.504	34.9174	9.651
655.0	0.00337	0.99663	1.67347	15.21367	-0.70477	52.39352	78.31337	0.29037	3.44391	2.84214E-11	24.36467	9.47479E-12	0.49984	1.42885	1.42885	3.17044	3.17044	559.48724	25900.885	34.9238	10.795
650.0	0.0035	0.9965	1.67476	15.202	-0.78091	52.36323	77.96481	0.29009	3.44715	3.31633E-11	24.43851	1.10556E-11	0.49984	1.447	1.447	3.11379	3.11379	561.22503	25726.236	34.9298	11.925
645.0	0.00362	0.99638	1.67605	15.19024	-0.85768	52.32866	77.61556	0.28982	3.4504	3.84258E-11	24.51212	1.281E-11	0.49983	1.4656	1.4656	3.05764	3.05764	562.96237	25551.882	34.8708	13.041
640.0	0.00375	0.99625	1.67734	15.17852	-0.93415	52.29537	77.26633	0.28955	3.45368	4.42274E-11	24.58572	1.47442E-11	0.49982	1.48464	1.48464	3.00199	3.00199	564.70031	25378.174	34.7416	14.143
635.0	0.00387	0.99613	1.67862	15.16702	-1.00919	52.27016	76.91803	0.28926	3.45704	5.06021E-11	24.65959	1.68694E-11	0.49982	1.50414	1.50414	2.94683	2.94683	566.4383	25205.106	34.6136	15.232
633.17	0.00392	0.99608	1.67909	15.16277	-1.03696	52.25886	76.79036	0.28916	3.45827	5.30819E-11	24.6865	1.76961E-11	0.49982	1.5114	1.5114	2.92678	2.92678	567.07385	25141.978	34.5277	15.627
633.17	0.00392	0.99608	1.67909	15.16277	-1.03698	52.25875	76.79031	0.28916	3.45826	5.30826E-11	24.68648	1.76964E-11	0.49982	1.5114	1.51361	2.92678	2.9225	567.0739	25141.919	 	15.682
630.0	0.11452	0.88548	1.68682	15.09323	-1.49083	49.76504	82.44001	0.2684	3.72574	0.00396243	24.7977	0.00133759	0.48119	1.52826	2.18353	2.88435	2.01877	568.39657	24084.066	333.55	964.907
625.0	0.25915	0.74085	1.69717	15.00122	-2.09137	46.48697	90.70349	0.2426	4.12201	0.11646	24.97848	0.0399835	0.45641	1.55788	14.62464	2.81385	0.29974	570.54922	22669.857	282.842	2208.356
620.0	0.36797	0.63203	1.70524	14.93028	-2.55432	44.007	98.07263	0.22312	4.48185	0.49544	25.15402	0.17233	0.43745	1.58965	58.94513	2.74227	0.0739543	572.74391	21565.749	220.822	3142.299
615.0	0.45045	0.54955	1.7116	14.87471	-2.91704	42.11179	104.61375	0.208	4.80769	1.14637	25.32398	0.40284	0.42285	1.62293	143.06095	2.671	0.0303006	574.96335	20690.918	174.966	3847.549
610.0	0.51415	0.48585	1.71674	14.83021	-3.20749	40.63994	110.22701	0.1963	5.09433	1.99033	25.48927	0.70508	0.41143	1.65736	265.99674	2.60078	0.0162048	577.19745	19980.013	142.181	4389.451
605.0	0.5644	0.4356	1.72098	14.79361	-3.44634	39.47097	115.19436	0.18677	5.35422	2.9442	25.65068	1.04978	0.40229	1.69275	424.85112	2.53199	0.0100883	579.44042	19386.678	118.667	4814.346
600.0	0.60485	0.39515	1.72458	14.76275	-3.64779	38.52159	119.47868	0.17905	5.58516	3.94535	25.80875	1.41427	0.39484	1.729	617.5716	2.46479	0.00690062	581.68889	18879.095	101.517	5154.048
595.0	0.63803	0.36197	1.7277	14.73614	-3.82146	37.7354	123.16812	0.17269	5.79079	4.95314	25.96396	1.78345	0.38864	1.76606	843.77592	2.39925	0.00502174	583.94084	18435.368	88.7454	5430.441
590.0	0.66567	0.33433	1.73044	14.7128	-3.97376	37.07483	126.34877	0.16737	5.97474	5.94304	26.11674	2.14797	0.38341	1.8039	1104.69136	2.3354	0.00381357	586.19499	18040.199	79.0338	5658.815
587.64	0.67714	0.32286	1.73163	14.70271	-4.03962	36.79845	127.69411	0.16516	6.05491	6.39859	26.18812	2.3163	0.38121	1.82202	1240.32826	2.30585	0.00338725	587.25912	17867.529	 	5752.955
585.0	0.68898	0.31102	1.73289	14.69196	-4.1098	36.50957	129.09511	0.16286	6.14017	6.89891	26.26734	2.50154	0.37893	1.84245	1402.35647	2.27328	0.0029867	588.44878	17682.808	71.4782	5849.941
580.0	0.70898	0.29102	1.73513	14.67305	-4.23325	36.01788	131.47902	0.15898	6.29021	7.81831	26.41569	2.84295	0.37503	1.88178	1741.42963	2.2128	0.00239115	590.70266	17354.432	65.6752	6012.574
576.44	0.72151	0.27849	1.7366	14.66059	-4.31453	35.7063	132.98343	0.15652	6.38881	8.44665	26.52011	3.07698	0.37256	1.91025	2010.10277	2.17074	0.00206291	592.30627	17135.783	 	6113.651
575.0	0.72694	0.27306	1.73721	14.65546	-4.348	35.57557	133.62465	0.15551	6.43055	8.72907	26.56493	3.18233	0.37149	1.92204	2134.1632	2.15375	0.00193969	592.95849	17041.743	62.5378	6160.033
570.0	0.74402	0.25598	1.7392	14.63864	-4.45782	35.15848	135.64247	0.15229	6.56636	9.67316	26.71762	3.53526	0.3681	1.9634	2599.82118	2.09595	0.00158288	595.21765	16732.22	61.9046	6304.831
565.0	0.75879	0.24121	1.74105	14.62317	-4.5588	34.79411	137.38493	0.14947	6.69039	10.56147	26.86722	3.86835	0.36511	2.0056	3125.87851	2.03969	0.00130869	597.47704	16444.531	57.5378	6428.292
