T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.00137	0.99863	1.65989	15.32977	0.0	70.10521	81.55007	0.29236	3.42041	7.37519E-13	23.59667	2.4585E-13	0.49994	1.28035	1.28035	3.70969	3.70969	543.73085	27467.754	 	0.0
695.0	0.00151	0.99849	1.66121	15.31745	-0.0803763	70.28076	81.19949	0.29212	3.4233	1.08799E-12	23.67017	3.62679E-13	0.49993	1.2951	1.2951	3.64859	3.64859	545.46853	27293.305	34.8898	1.236
690.0	0.00165	0.99835	1.66253	15.30533	-0.15944	70.47478	80.84975	0.29186	3.42625	1.54651E-12	23.74392	5.15531E-13	0.49992	1.31018	1.31018	3.58798	3.58798	547.20626	27118.822	34.8966	2.458
685.0	0.00178	0.99822	1.66384	15.29327	-0.23808	70.6788	80.50016	0.29161	3.42923	2.13127E-12	23.81769	7.10463E-13	0.49992	1.3256	1.3256	3.52783	3.52783	548.94404	26944.307	34.903	3.666
680.0	0.00192	0.99808	1.66516	15.28112	-0.31735	70.88216	80.14984	0.29136	3.43222	2.86126E-12	23.89122	9.53811E-13	0.49991	1.34137	1.34137	3.46817	3.46817	550.68189	26769.759	34.9096	4.861
675.0	0.00205	0.99795	1.66647	15.26918	-0.39526	71.10624	79.80042	0.2911	3.43528	3.75634E-12	23.96501	1.25219E-12	0.49991	1.35749	1.35749	3.40899	3.40899	552.41978	26595.177	34.9164	6.042
670.0	0.00218	0.99782	1.66777	15.25714	-0.4738	71.33016	79.45028	0.29084	3.43834	4.83634E-12	24.03857	1.61222E-12	0.4999	1.37399	1.37399	3.35029	3.35029	554.15774	26420.563	34.9228	7.209
665.0	0.00231	0.99769	1.66908	15.24531	-0.55097	71.57614	79.10103	0.29057	3.44147	6.12171E-12	24.11238	2.04072E-12	0.49989	1.39088	1.39088	3.29208	3.29208	555.89574	26245.916	34.9294	8.363
660.0	0.00243	0.99757	1.67038	15.23338	-0.62878	71.82266	78.75106	0.29031	3.4446	7.63379E-12	24.18595	2.54479E-12	0.49988	1.40815	1.40815	3.23436	3.23436	557.63381	26071.237	34.9358	9.502
655.0	0.00256	0.99744	1.67167	15.22166	-0.70522	72.09254	78.40198	0.29004	3.44781	9.39174E-12	24.25978	3.13083E-12	0.49988	1.42584	1.42584	3.17713	3.17713	559.37192	25896.524	34.9426	10.628
650.0	0.00268	0.99732	1.67296	15.20984	-0.78237	72.36298	78.05212	0.28977	3.45101	1.14188E-11	24.33336	3.80657E-12	0.49987	1.44394	1.44394	3.12039	3.12039	561.1101	25721.778	34.9492	11.741
645.0	0.0028	0.9972	1.67425	15.19808	-0.85908	72.64747	77.70241	0.2895	3.45426	1.37332E-11	24.40697	4.57813E-12	0.49987	1.46248	1.46248	3.06415	3.06415	562.84788	25547.326	34.8904	12.839
640.0	0.00293	0.99707	1.67554	15.18653	-0.93442	72.95772	77.35357	0.28922	3.45758	1.63563E-11	24.48083	5.4526E-12	0.49986	1.48147	1.48147	3.0084	3.0084	564.58619	25373.519	34.7614	13.924
635.0	0.00305	0.99695	1.67682	15.17488	-1.0104	73.27076	77.00403	0.28894	3.46091	1.93074E-11	24.55445	6.43641E-12	0.49986	1.50092	1.50092	2.95315	2.95315	566.32455	25200.35	34.6338	14.995
633.83	0.00307	0.99693	1.67712	15.17221	-1.0278	73.34949	76.92266	0.28888	3.4617	2.00451E-11	24.57171	6.68232E-12	0.49986	1.50553	1.50553	2.94033	2.94033	566.73037	25160.016	34.5559	15.243
633.83	0.00309	0.99691	1.67712	15.17221	-1.0278	73.34953	76.92254	0.28888	3.46169	2.00448E-11	24.57164	6.68226E-12	0.49985	1.50554	1.5073	2.94032	2.93688	566.73056	25159.813	 	15.431
630.0	0.13925	0.86075	1.68662	15.08668	-1.58577	67.41984	83.998	0.26343	3.79615	0.00911081	24.70654	0.00308446	0.47689	1.52614	2.75826	2.88837	1.59813	568.33312	23858.066	339.687	1185.796
625.0	0.28213	0.71787	1.69683	14.99586	-2.17819	61.14921	92.48503	0.23793	4.20297	0.16619	24.88574	0.0572135	0.45236	1.55605	19.93996	2.81716	0.21984	570.49154	22459.558	279.702	2413.423
620.0	0.38951	0.61049	1.70474	14.92594	-2.63428	56.40035	100.10651	0.21859	4.5748	0.62665	25.05998	0.21855	0.43364	1.58805	73.8477	2.74502	0.0590302	572.69109	21372.862	217.339	3329.833
615.0	0.47108	0.52892	1.71091	14.8713	-2.99075	52.77779	106.89788	0.20356	4.91266	1.37503	25.22943	0.48443	0.41922	1.62152	171.01668	2.67332	0.0253475	574.91456	20514.164	171.74	4018.828
610.0	0.53436	0.46564	1.71582	14.82755	-3.2761	49.96564	112.76812	0.19187	5.21178	2.32061	25.39481	0.82414	0.4079	1.65609	309.70538	2.60278	0.0139179	577.15209	19817.27	139.379	4546.593
605.0	0.58456	0.41544	1.71982	14.79155	-3.51093	47.73086	117.95099	0.1824	5.48235	3.37554	25.55669	1.20656	0.39882	1.69157	486.84953	2.53376	0.00880361	579.39807	19235.848	116.284	4959.451
600.0	0.62521	0.37479	1.72315	14.76123	-3.70872	45.921	122.43273	0.17473	5.72325	4.47574	25.71562	1.60837	0.39139	1.72787	700.607	2.46641	0.00608277	581.64928	18738.358	99.498	5288.934
595.0	0.65871	0.34129	1.72596	14.73516	-3.87882	44.42961	126.30337	0.1684	5.93819	5.58007	25.87202	2.01419	0.38519	1.76493	950.99032	2.40079	0.00445559	583.90375	18303.215	87.0286	5556.615
590.0	0.68676	0.31324	1.72838	14.71236	-4.02754	43.18509	129.64807	0.16311	6.13075	6.6631	26.02617	2.41429	0.37993	1.80274	1239.44194	2.3369	0.00339897	586.16028	17915.4	77.563	5777.506
585.0	0.71057	0.28943	1.73049	14.69203	-4.16015	42.12569	132.54684	0.15862	6.30435	7.71169	26.17816	2.80341	0.37541	1.8413	1569.09198	2.27471	0.00266933	588.41812	17564.239	70.2322	5962.273
580.0	0.73104	0.26896	1.73236	14.67368	-4.27982	41.21527	135.06433	0.15476	6.46174	8.71785	26.32814	3.17827	0.37148	1.8806	1944.03922	2.21419	0.00214194	590.67675	17241.987	64.4504	6118.65
575.0	0.74879	0.25121	1.73403	14.65696	-4.38892	40.42759	137.26017	0.15139	6.6055	9.67948	26.4763	3.53778	0.36801	1.92067	2369.93548	2.15529	0.00174672	592.9358	16942.915	59.8144	6252.36
570.0	0.76436	0.23564	1.73555	14.64155	-4.48942	39.7396	139.17983	0.14842	6.7376	10.59558	26.62267	3.88134	0.36494	1.96153	2853.31564	2.09795	0.00144225	595.19501	16662.7	56.043	6367.716
565.0	0.77809	0.22191	1.73693	14.62723	-4.58286	39.1336	140.86396	0.14578	6.85981	11.46776	26.76732	4.20934	0.36218	2.00321	3402.22581	2.04213	0.00120239	597.4542	16398.031	52.9338	6468.022
560.0	0.7903	0.2097	1.7382	14.61381	-4.67037	38.59676	142.34544	0.1434	6.97356	12.29782	26.91031	4.5223	0.35969	2.04572	4026.13246	1.98776	0.00101	599.71323	16146.328	50.3406	6555.849
555.0	0.80122	0.19878	1.73938	14.60114	-4.75308	38.11495	143.65201	0.14124	7.08005	13.0885	27.05162	4.82111	0.35742	2.08911	4736.01105	1.93479	8.5346E-4	601.97203	15905.558	48.154	6633.223
550.0	0.81105	0.18895	1.74048	14.58914	-4.83135	37.68586	144.80484	0.13927	7.18022	13.84121	27.19135	5.10617	0.35534	2.1334	5544.31679	1.88319	7.24632E-4	604.23045	15674.095	46.2926	6701.763
545.0	0.81995	0.18005	1.7415	14.57768	-4.90608	37.29797	145.82638	0.13746	7.27507	14.55991	27.3295	5.3789	0.35343	2.1786	6466.59007	1.83291	6.1751E-4	606.48845	15450.625	44.694	6762.774
