T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.84865	0.15135	7.10955	7.71642	0.0	17.05809	34.94626	1.65334	0.60484	33.78639	79.61281	12.28834	0.37473	7.33229	1063.04178	1.1803	0.00814108	1733.77139	59555.139	 	0.0
1495.0	0.8742	0.1258	7.11593	7.70964	-0.0878267	16.90192	34.99696	1.64629	0.60743	38.36341	79.1291	13.99374	0.37073	7.36876	1246.86383	1.17115	0.00692129	1727.79765	59130.362	84.9554	202.733
1490.0	0.89472	0.10528	7.12164	7.7036	-0.1661	16.76807	35.02585	1.64028	0.60965	42.42702	78.81098	15.51286	0.36748	7.40605	1426.31947	1.16196	0.00603336	1721.92883	58748.91	76.2904	362.699
1485.0	0.91139	0.0886079	7.12686	7.69814	-0.23693	16.65158	35.03827	1.63505	0.6116	46.02755	78.62124	16.86247	0.36479	7.44414	1602.1151	1.15273	0.0053561	1716.17412	58400.357	69.7106	490.319
1480.0	0.9251	0.0749025	7.1317	7.69308	-0.30245	16.54737	35.03794	1.63042	0.61334	49.22316	78.53181	18.06298	0.36254	7.48271	1775.29887	1.14353	0.00481986	1710.5419	58077.261	64.6192	593.034
1475.0	0.93649	0.0635052	7.13624	7.68838	-0.36338	16.45378	35.02781	1.62624	0.61492	52.07128	78.52224	19.13491	0.36064	7.5223	1947.14464	1.13427	0.00438195	1705.02761	57773.986	60.655	676.477
1470.0	0.94607	0.0539282	7.14054	7.68393	-0.42107	16.36759	35.00991	1.62241	0.61637	54.62506	78.57639	20.09755	0.359	7.56225	2118.90338	1.12505	0.00401523	1699.6339	57486.374	57.5224	744.803
1465.0	0.95419	0.0458067	7.14465	7.6797	-0.47585	16.28805	34.98589	1.61887	0.61771	56.92755	78.68281	20.96661	0.35758	7.6032	2291.7174	1.11578	0.0037018	1694.35193	57211.334	55.008	801.098
1460.0	0.96114	0.0388643	7.14861	7.67564	-0.52853	16.21319	34.95689	1.61555	0.61898	59.01706	78.83206	21.75616	0.35633	7.64444	2466.65568	1.10657	0.00342937	1689.18205	56946.504	52.966	847.721
1455.0	0.96711	0.0328874	7.15243	7.67172	-0.57927	16.14269	34.92387	1.61241	0.62019	60.92441	79.01726	22.47757	0.35523	7.68659	2644.71016	1.09732	0.00318926	1684.11513	56690.059	51.289	886.497
1450.0	0.97229	0.027707	7.15614	7.66794	-0.62832	16.07593	34.88757	1.60942	0.62134	62.67608	79.23289	23.14064	0.35424	7.72968	2826.82656	1.08805	0.00297516	1679.1438	56440.568	49.8982	918.854
1445.0	0.97681	0.02319	7.15975	7.66425	-0.67605	16.01202	34.84851	1.60655	0.62245	64.29418	79.47436	23.75359	0.35336	7.77332	3013.87008	1.0788	0.00278242	1674.26661	56196.898	48.734	945.923
1440.0	0.98077	0.0192295	7.16329	7.66066	-0.72256	15.95077	34.80719	1.60378	0.62353	65.79755	79.73811	24.32342	0.35256	7.81786	3206.70519	1.06953	0.00260749	1669.4744	55958.146	47.7504	968.605
1435.0	0.98425	0.0157467	7.16675	7.65715	-0.76805	15.89168	34.76393	1.60109	0.62458	67.20039	80.02132	24.85544	0.35182	7.86294	3406.07666	1.0603	0.0024477	1664.76642	55723.619	46.9054	987.59
1430.0	0.98734	0.0126643	7.17014	7.65372	-0.81261	15.83455	34.71904	1.59846	0.6256	68.51728	80.32146	25.3551	0.35115	7.9089	3612.85478	1.05105	0.00230085	1660.13518	55492.679	46.188	1003.513
1425.0	0.99007	0.00993402	7.17347	7.65034	-0.85631	15.77919	34.67275	1.5959	0.62661	69.75714	80.63673	25.82573	0.35054	7.95537	3827.71748	1.04184	0.00216532	1655.57828	55264.896	45.5566	1016.8
1420.0	0.9925	0.00749818	7.17675	7.64703	-0.89927	15.72535	34.62529	1.59338	0.6276	70.93268	80.9652	26.27211	0.34996	8.00305	4051.63198	1.03259	0.00203963	1651.0875	55039.804	45.0184	1027.916
1415.0	0.99468	0.00531764	7.17998	7.64376	-0.94158	15.67279	34.57681	1.5909	0.62857	72.05147	81.30551	26.69708	0.34943	8.05128	4285.3799	1.02337	0.00192269	1646.66325	54817.071	44.5466	1037.19
1410.0	0.99664	0.00335835	7.18318	7.64054	-0.98329	15.6214	34.52746	1.58846	0.62954	73.12108	81.65645	27.10349	0.34892	8.10037	4529.83322	1.01416	0.00181354	1642.3003	54596.421	44.13	1044.894
1405.0	0.99841	0.00159351	7.18633	7.63737	-1.02446	15.57106	34.47735	1.58604	0.6305	74.14715	82.01698	27.49346	0.34845	8.15031	4785.83477	1.00495	0.00171143	1637.99445	54377.621	43.76	1051.259
1400.0	1.0	0.0	7.18945	7.63423	-1.06512	15.52167	34.42658	1.58365	0.63145	75.13459	82.38628	27.86884	0.348	 	5054.25898	 	0.00161571	 	54160.473	43.4296	1056.479
1395.0	1.0	0.0	7.19151	7.63204	-1.09353	15.50397	34.37045	1.58149	0.63231	75.61372	82.80552	28.05061	0.34781	 	5305.256	 	0.00153467	 	53907.995	50.4956	 
1390.0	1.0	0.0	7.19357	7.62985	-1.12189	15.48628	34.31432	1.57933	0.63318	76.09627	83.22742	28.23371	0.34761	 	5570.3407	 	0.00145726	 	53701.573	41.2844	 
1385.0	1.0	0.0	7.19563	7.62767	-1.1502	15.46858	34.25819	1.57717	0.63405	76.5822	83.65194	28.41811	0.34742	 	5850.3908	 	0.00138333	 	53495.539	41.2068	 
1380.0	1.0	0.0	7.19769	7.62548	-1.17847	15.45088	34.20205	1.57499	0.63492	77.07149	84.07904	28.60381	0.34722	 	6146.34395	 	0.00131275	 	53289.864	41.135	 
1375.0	1.0	0.0	7.19975	7.62331	-1.20669	15.43317	34.14592	1.57281	0.63581	77.56409	84.50866	28.79079	0.34703	 	6459.20218	 	0.00124539	 	53084.542	41.0644	 
1370.0	1.0	0.0	7.2018	7.62113	-1.23485	15.41546	34.08978	1.57062	0.63669	78.05997	84.94076	28.97905	0.34683	 	6790.0367	 	0.00118111	 	52879.571	40.9942	 
1365.0	1.0	0.0	7.20385	7.61896	-1.26297	15.39776	34.03364	1.56842	0.63758	78.5591	85.37529	29.16857	0.34664	 	7139.99306	 	0.00111981	 	52674.95	40.9242	 
1360.0	1.0	0.0	7.2059	7.6168	-1.29105	15.38004	33.9775	1.56622	0.63848	79.06145	85.81221	29.35933	0.34644	 	7510.29678	 	0.00106134	 	52470.678	40.8544	 
1355.0	1.0	0.0	7.20795	7.61463	-1.31907	15.36233	33.92136	1.56401	0.63938	79.56697	86.25146	29.55133	0.34625	 	7902.25939	 	0.00100561	 	52266.753	40.785	 
