T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.99174	7.88515	0.0	25.18284	31.5514	1.83124	0.54608	0.0	104.88556	0.0	0.4997	6.90975	6.90975	1.25248	1.25248	1806.52645	66134.422	 	0.0
1495.0	0.0	1.0	6.99561	7.88078	-0.0553832	25.12892	31.47287	1.83063	0.54626	0.0	105.06992	0.0	0.4997	6.96968	6.96968	1.23821	1.23821	1808.46623	65912.262	44.432	0.0
1490.0	0.0	1.0	6.99948	7.87643	-0.11061	25.07502	31.39433	1.83002	0.54644	0.0	105.25429	0.0	0.4997	7.03049	7.03049	1.22403	1.22403	1810.40319	65690.666	44.3192	0.0
1485.0	0.0	1.0	7.00334	7.87208	-0.16568	25.02114	31.31579	1.82941	0.54663	0.0	105.43866	0.0	0.4997	7.09217	7.09217	1.20994	1.20994	1812.3373	65469.628	44.2076	0.0
1480.0	0.0	1.0	7.0072	7.86775	-0.2206	24.96729	31.23725	1.82879	0.54681	0.0	105.62303	0.0	0.4997	7.15475	7.15475	1.19595	1.19595	1814.26852	65249.144	44.0968	0.0
1476.32	0.0	1.0	7.01003	7.86458	-0.26092	24.92767	31.17946	1.82834	0.54695	0.0	105.7587	0.0	0.4997	7.20137	7.20137	1.18571	1.18571	1815.68775	65087.236	44.0057	0.018
1475.0	0.0988909	0.90111	7.02835	7.84405	-0.5212	24.28535	31.47253	1.80994	0.5525	0.0044082	101.11582	0.00148399	0.48525	7.20724	8.43875	1.18385	1.01108	1814.80642	64053.867	782.411	975.34
1470.0	0.37572	0.62428	7.08088	7.7859	-1.25867	22.4786	32.32115	1.75738	0.56903	0.95572	88.15366	0.33085	0.44434	7.2306	64.01946	1.17665	0.1329	1811.86235	61117.498	587.274	3692.322
1465.0	0.53919	0.46081	7.11347	7.75035	-1.70957	21.3966	32.83544	1.72489	0.57975	4.16316	80.60923	1.4661	0.41981	7.25489	246.20445	1.16935	0.034457	1809.31572	59312.383	361.023	5278.594
1460.0	0.64471	0.35529	7.13576	7.72627	-2.01491	20.68285	33.16557	1.70281	0.58726	8.68671	75.86958	3.09406	0.40377	7.27989	511.80041	1.16198	0.0165281	1807.08258	58085.175	245.442	6287.496
1455.0	0.71738	0.28262	7.15215	7.70874	-2.23717	20.17934	33.38443	1.68677	0.59285	13.54582	72.73351	4.86347	0.39261	7.30567	812.29502	1.15454	0.0103838	1805.09916	57184.253	180.184	6970.648
1450.0	0.76971	0.23029	7.16487	7.69522	-2.40871	19.80418	33.53069	1.67455	0.59718	18.22055	70.59507	6.58031	0.38448	7.33183	1120.6902	1.14709	0.00750454	1803.3226	56484.378	139.975	7453.297
1445.0	0.80887	0.19113	7.1752	7.68438	-2.54621	19.51518	33.62869	1.66483	0.60066	22.5207	69.10676	8.1696	0.37832	7.35881	1426.33287	1.13957	0.00587932	1801.71089	55913.992	114.077	7807.02
1440.0	0.83904	0.16096	7.18387	7.67533	-2.66094	19.28374	33.69268	1.65683	0.60356	26.39825	68.06349	9.60969	0.37352	7.38655	1725.65001	1.13198	0.0048454	1800.23939	55431.548	96.4888	8073.359
1435.0	0.86285	0.13715	7.19138	7.66754	-2.75972	19.09259	33.73214	1.65006	0.60604	29.87145	67.33629	10.90451	0.36968	7.41465	2018.66776	1.1244	0.00412998	1798.88743	55011.087	84.0922	8278.267
1430.0	0.882	0.118	7.19802	7.66071	-2.84636	18.93206	33.75344	1.64419	0.6082	32.97977	66.84151	12.06681	0.36655	7.44365	2306.78393	1.11674	0.00360357	1797.63344	54635.696	75.0782	8438.655
1429.14	0.88502	0.11498	7.19914	7.65957	-2.86084	18.90552	33.75596	1.64324	0.60856	33.49658	66.77105	12.26037	0.36605	7.4486	2357.08697	1.11544	0.00352488	1797.42308	54573.88	 	8463.39
1425.0	0.90086	0.0991388	7.20478	7.6538	-2.93404	18.76766	33.7475	1.63965	0.60988	36.45211	66.71073	13.36539	0.36368	7.47767	2668.77996	1.1084	0.00310563	1796.15092	54237.789	79.5814	8622.105
1424.91	0.90118	0.0988202	7.2049	7.65368	-2.93545	18.76516	33.74726	1.63958	0.60991	36.51392	66.71055	13.38851	0.36363	7.47838	2675.64611	1.10823	0.00309749	1796.12119	54230.677	 	8625.226
1420.0	0.91362	0.0863761	7.20975	7.64861	-2.99977	18.66035	33.71629	1.63634	0.61112	39.11036	66.86731	14.36047	0.36174	7.51331	3000.73055	1.09989	0.00275394	1794.71932	53888.628	69.8322	8757.35
1415.0	0.92405	0.0759503	7.21429	7.64389	-3.0596	18.56802	33.68018	1.63326	0.61227	41.46297	67.08353	15.2425	0.36011	7.5494	3329.9761	1.0914	0.00247432	1793.38421	53566.912	64.3432	8865.688
1410.0	0.93272	0.0672763	7.21852	7.6395	-3.11531	18.48603	33.64047	1.63034	0.61337	43.57088	67.34322	16.0338	0.35872	7.58583	3660.16429	1.08295	0.00224444	1792.13402	53266.002	60.182	8953.756
1405.0	0.94003	0.0599684	7.22251	7.63537	-3.16772	18.4123	33.59792	1.62756	0.61442	45.4757	67.63735	16.74964	0.35751	7.6226	3994.03969	1.07452	0.00205071	1790.95611	52981.329	56.9346	9026.113
1403.82	0.9416	0.0584043	7.22343	7.63442	-3.1798	18.39558	33.58758	1.62692	0.61466	45.90094	67.71058	16.90954	0.35725	7.6313	4073.70702	1.07254	0.0020092	1790.68394	52916.207	 	9041.325
1400.0	0.94903	0.0509713	7.22771	7.63	-3.23577	18.29592	33.55972	1.62455	0.61555	47.86301	67.90562	17.64779	0.35606	7.68023	4397.43865	1.06328	0.00185704	1791.03488	52671.973	61.8712	9123.678
1395.0	0.95702	0.04298	7.23275	7.62481	-3.30159	18.18469	33.5196	1.62164	0.61666	50.12421	68.201	18.49951	0.35474	7.74506	4815.98375	1.05123	0.00169058	1791.51484	52374.695	59.4556	9209.687
1393.87	0.97709	0.0229104	7.24361	7.61532	-3.42197	17.87397	33.59876	1.61672	0.61854	54.95117	67.48314	20.32973	0.3515	7.75989	5296.02096	1.04851	0.0015363	1791.62659	52222.549	 	9313.959
1390.0	0.98317	0.0168298	7.24812	7.61099	-3.4769	17.77548	33.57553	1.61408	0.61955	56.84115	67.64905	21.04572	0.35042	7.80912	5658.15519	1.03948	0.00143464	1791.96632	52016.679	71.6032	9356.952
