T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.01476	7.90561	0.0	27.41697	30.78271	1.87697	0.53277	0.0	107.48012	0.0	0.49974	6.87885	6.87885	1.2581	1.2581	1769.54151	64772.66	 	0.0
1495.0	0.0	1.0	7.01867	7.90122	-0.0555873	27.36888	30.70644	1.87632	0.53296	0.0	107.66558	0.0	0.49974	6.93962	6.93962	1.24357	1.24357	1771.33637	64552.048	44.1224	0.0
1490.0	0.0	1.0	7.02256	7.89683	-0.11102	27.32086	30.63017	1.87568	0.53314	0.0	107.85104	0.0	0.49974	7.00126	7.00126	1.22913	1.22913	1773.12824	64331.928	44.024	0.0
1485.0	0.0	1.0	7.02645	7.89246	-0.1663	27.2729	30.55389	1.87503	0.53333	0.0	108.0365	0.0	0.49974	7.06381	7.06381	1.2148	1.2148	1774.91709	64112.295	43.9266	0.0
1480.0	0.0	1.0	7.03033	7.88811	-0.22142	27.22502	30.47762	1.87437	0.53351	0.0	108.22196	0.0	0.49974	7.12728	7.12728	1.20055	1.20055	1776.7029	63893.148	43.8294	0.0
1475.0	0.0	1.0	7.03421	7.88376	-0.27639	27.1772	30.40135	1.87372	0.5337	0.0	108.40742	0.0	0.49974	7.19169	7.19169	1.18641	1.18641	1778.48562	63674.483	43.733	0.0
1470.0	0.0	1.0	7.03808	7.87943	-0.33121	27.12944	30.32508	1.87306	0.53389	0.0	108.59288	0.0	0.49974	7.25706	7.25706	1.17236	1.17236	1780.26522	63456.296	43.6374	0.0
1465.0	0.0	1.0	7.04194	7.87511	-0.38587	27.08176	30.24881	1.87239	0.53408	0.0	108.77834	0.0	0.49974	7.3234	7.3234	1.15841	1.15841	1782.04167	63238.585	43.5422	0.0
1460.0	0.0	1.0	7.04579	7.8708	-0.44038	27.03414	30.17253	1.87173	0.53427	0.0	108.9638	0.0	0.49974	7.39074	7.39074	1.14455	1.14455	1783.81493	63021.346	43.4478	0.0
1455.0	0.0	1.0	7.04964	7.8665	-0.49473	26.9866	30.09626	1.87106	0.53446	0.0	109.14926	0.0	0.49974	7.45909	7.45909	1.13079	1.13079	1785.58496	62804.576	43.354	0.0
