T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.03897	7.9131	0.0	26.56526	30.4698	1.89624	0.52736	0.0	108.52762	0.0	0.49974	6.97956	6.97956	1.23995	1.23995	1769.17591	64730.452	 	0.0
1495.0	0.0	1.0	7.04286	7.90873	-0.0552387	26.51563	30.39539	1.89552	0.52756	0.0	108.71456	0.0	0.49974	7.04178	7.04178	1.22553	1.22553	1770.95612	64510.311	44.0282	0.0
1490.0	0.0	1.0	7.04675	7.90437	-0.11032	26.46606	30.32098	1.8948	0.52776	0.0	108.90149	0.0	0.49974	7.1049	7.1049	1.21121	1.21121	1772.73347	64290.645	43.9332	0.0
1485.0	0.0	1.0	7.05063	7.90002	-0.16526	26.41654	30.24657	1.89408	0.52796	0.0	109.08842	0.0	0.49974	7.16896	7.16896	1.19698	1.19698	1774.50794	64071.45	43.839	0.0
1480.0	0.0	1.0	7.0545	7.89569	-0.22003	26.36707	30.17216	1.89335	0.52816	0.0	109.27535	0.0	0.49974	7.23397	7.23397	1.18285	1.18285	1776.27949	63852.724	43.7452	0.0
1475.0	0.0	1.0	7.05836	7.89137	-0.27466	26.31765	30.09775	1.89262	0.52837	0.0	109.46228	0.0	0.49974	7.29995	7.29995	1.16882	1.16882	1778.0481	63634.464	43.652	0.0
1470.0	0.0	1.0	7.06222	7.88705	-0.32913	26.26829	30.02333	1.89188	0.52857	0.0	109.64921	0.0	0.49974	7.3669	7.3669	1.15488	1.15488	1779.81372	63416.667	43.5594	0.0
1465.0	0.0	1.0	7.06607	7.88276	-0.38345	26.21898	29.94892	1.89114	0.52878	0.0	109.83615	0.0	0.49974	7.43487	7.43487	1.14104	1.14104	1781.57633	63199.33	43.4674	0.0
1460.0	0.0	1.0	7.06991	7.87847	-0.43762	26.16973	29.87451	1.8904	0.52899	0.0	110.02308	0.0	0.49974	7.50386	7.50386	1.1273	1.1273	1783.33589	62982.449	43.3762	0.0
1455.0	0.0	1.0	7.07375	7.8742	-0.49163	26.12053	29.8001	1.88965	0.5292	0.0	110.21001	0.0	0.49974	7.57389	7.57389	1.11365	1.11365	1785.09237	62766.024	43.285	0.0
1450.0	0.0	1.0	7.07758	7.86993	-0.54549	26.07138	29.72569	1.8889	0.52941	0.0	110.39694	0.0	0.49974	7.64499	7.64499	1.1001	1.1001	1786.84574	62550.084	43.188	0.0
1445.0	0.0	1.0	7.08141	7.86568	-0.59919	26.0223	29.65128	1.88815	0.52962	0.0	110.58387	0.0	0.49974	7.71718	7.71718	1.08665	1.08665	1788.59596	62334.685	43.0798	0.0
1440.0	0.0	1.0	7.08522	7.86145	-0.65274	25.97327	29.57687	1.88739	0.52983	0.0	110.7708	0.0	0.49974	7.79047	7.79047	1.07329	1.07329	1790.34299	62119.818	42.9734	0.0
1435.0	0.0	1.0	7.08903	7.85722	-0.70614	25.92429	29.50246	1.88662	0.53005	0.0	110.95773	0.0	0.49974	7.8649	7.8649	1.06003	1.06003	1792.0868	61905.479	42.8678	0.0
1430.0	0.0	1.0	7.09284	7.85301	-0.75939	25.87538	29.42805	1.88586	0.53026	0.0	111.14467	0.0	0.49974	7.94048	7.94048	1.04687	1.04687	1793.82735	61691.666	42.7626	0.0
1425.0	0.0	1.0	7.09663	7.84881	-0.81248	25.82652	29.35364	1.88509	0.53048	0.0	111.3316	0.0	0.49974	8.01724	8.01724	1.0338	1.0338	1795.56461	61478.373	42.6586	0.0
1420.0	0.0	1.0	7.10042	7.84462	-0.86542	25.77772	29.27923	1.88432	0.5307	0.0	111.51853	0.0	0.49974	8.0952	8.0952	1.02083	1.02083	1797.29854	61265.599	42.5548	0.0
