T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.1306	7.88388	0.0	28.08238	31.29973	1.84596	0.54172	0.0	109.81498	0.0	0.4955	6.92789	6.92789	1.2492	1.2492	1686.89402	64994.651	 	0.0
1495.0	0.0	1.0	7.13448	7.87959	-0.0543763	28.03927	31.22579	1.84512	0.54197	0.0	110.00256	0.0	0.4955	6.99017	6.99017	1.23458	1.23458	1687.7443	64777.285	43.4732	0.0
1490.0	0.0	1.0	7.13836	7.87531	-0.1086	27.99626	31.15183	1.84427	0.54222	0.0	110.19014	0.0	0.4955	7.05337	7.05337	1.22005	1.22005	1688.58074	64560.36	43.385	0.0
1485.0	0.0	1.0	7.14222	7.87105	-0.16267	27.95335	31.07787	1.84341	0.54247	0.0	110.37772	0.0	0.4955	7.1175	7.1175	1.20563	1.20563	1689.40317	64343.873	43.2974	0.0
1480.0	0.0	1.0	7.14608	7.8668	-0.21659	27.91053	31.0039	1.84255	0.54272	0.0	110.5653	0.0	0.4955	7.18259	7.18259	1.19131	1.19131	1690.21144	64127.822	43.2102	0.0
1475.0	0.0	1.0	7.14993	7.86256	-0.27036	27.86781	30.92993	1.84169	0.54298	0.0	110.75288	0.0	0.4955	7.24865	7.24865	1.17709	1.17709	1691.00537	63912.205	43.1234	0.0
1470.0	0.0	1.0	7.15378	7.85833	-0.32398	27.82518	30.85594	1.84083	0.54323	0.0	110.94046	0.0	0.4955	7.31571	7.31571	1.16296	1.16296	1691.78479	63697.018	43.0374	0.0
1465.0	0.0	1.0	7.15762	7.85412	-0.37744	27.78266	30.78195	1.83996	0.54349	0.0	111.12804	0.0	0.4955	7.38377	7.38377	1.14894	1.14894	1692.54953	63482.259	42.9518	0.0
1460.0	0.0	1.0	7.16145	7.84992	-0.43075	27.74024	30.70795	1.83909	0.54375	0.0	111.31562	0.0	0.4955	7.45287	7.45287	1.13501	1.13501	1693.29942	63267.926	42.8666	0.0
1455.0	0.0	1.0	7.16528	7.84573	-0.48391	27.69792	30.63394	1.83821	0.54401	0.0	111.5032	0.0	0.4955	7.52301	7.52301	1.12118	1.12118	1694.03428	63054.016	42.782	0.0
1450.0	0.0	1.0	7.1691	7.84155	-0.53692	27.65571	30.55992	1.83734	0.54427	0.0	111.69077	0.0	0.4955	7.59424	7.59424	1.10745	1.10745	1694.75393	62840.57	42.6892	0.0
1445.0	0.0	1.0	7.17291	7.83738	-0.58977	27.61359	30.4859	1.83645	0.54453	0.0	111.87835	0.0	0.4955	7.66655	7.66655	1.09382	1.09382	1695.45819	62627.657	42.5826	0.0
1440.0	0.0	1.0	7.17671	7.83322	-0.64248	27.57159	30.41187	1.83557	0.54479	0.0	112.06593	0.0	0.4955	7.73998	7.73998	1.08029	1.08029	1696.14689	62415.266	42.4782	0.0
1435.0	0.0	1.0	7.18051	7.82908	-0.69503	27.52969	30.33783	1.83468	0.54506	0.0	112.25351	0.0	0.4955	7.81456	7.81456	1.06686	1.06686	1696.81985	62203.395	42.3742	0.0
1430.0	0.0	1.0	7.1843	7.82495	-0.74743	27.48789	30.26378	1.83378	0.54532	0.0	112.44109	0.0	0.4955	7.89029	7.89029	1.05353	1.05353	1697.47688	61992.04	42.271	0.0
1425.0	0.0	1.0	7.18808	7.82083	-0.79967	27.44621	30.18972	1.83288	0.54559	0.0	112.62867	0.0	0.4955	7.96721	7.96721	1.04029	1.04029	1698.11779	61781.197	42.1686	0.0
1420.0	0.0	1.0	7.19186	7.81672	-0.85177	27.40463	30.11566	1.83198	0.54586	0.0	112.81625	0.0	0.4955	8.04534	8.04534	1.02716	1.02716	1698.7424	61570.863	42.0668	0.0
1415.0	0.0	1.0	7.19563	7.81263	-0.90371	27.36317	30.04158	1.83107	0.54613	0.0	113.00383	0.0	0.4955	8.12471	8.12471	1.01412	1.01412	1699.35053	61361.036	41.9654	0.0
1410.0	0.0	1.0	7.19939	7.80855	-0.9555	27.32182	29.9675	1.83016	0.5464	0.0	113.19141	0.0	0.4955	8.20534	8.20534	1.00118	1.00118	1699.94198	61151.711	41.865	0.0
1405.0	0.0	1.0	7.20315	7.80448	-1.00714	27.28058	29.89341	1.82925	0.54667	0.0	113.37899	0.0	0.4955	8.28726	8.28726	0.98834	0.98834	1700.51657	60942.885	41.7652	0.0
1400.0	0.0	1.0	7.2069	7.80042	-1.05863	27.23946	29.81931	1.82833	0.54695	0.0	113.56657	0.0	0.4955	8.37049	8.37049	0.9756	0.9756	1701.0741	60734.554	41.6662	0.0
1395.0	0.0	1.0	7.21064	7.79637	-1.10996	27.19845	29.74521	1.82741	0.54722	0.0	113.75415	0.0	0.4955	8.45506	8.45506	0.96295	0.96295	1701.61439	60526.716	41.5676	0.0
1390.0	0.0	1.0	7.21437	7.79233	-1.16114	27.15756	29.6711	1.82648	0.5475	0.0	113.94173	0.0	0.4955	8.54101	8.54101	0.95041	0.95041	1702.13723	60319.367	41.4698	0.0
1387.29	0.0	1.0	7.21639	7.79015	-1.18882	27.13545	29.63092	1.82598	0.54765	0.0	114.04339	0.0	0.4955	8.58817	8.58817	0.94365	0.94365	1702.41324	60207.187	41.3958	0.0030
1385.0	0.0680102	0.93199	7.22728	7.77838	-1.33817	26.76959	29.7556	1.81582	0.55072	0.00184057	113.75935	6.19233E-4	0.48617	8.63285	9.77317	0.93747	0.82808	1699.79142	59321.537	386.737	790.966
1380.0	0.19939	0.80061	7.24864	7.75543	-1.62922	26.0634	29.99622	1.79582	0.55685	0.13813	113.23459	0.0470485	0.46801	8.73107	36.7788	0.92413	0.21938	1694.09861	57590.161	346.275	2315.963
1375.0	0.30677	0.69323	7.26658	7.73637	-1.87098	25.48883	30.18938	1.77894	0.56213	0.78462	112.85457	0.27	0.45302	8.83083	163.68838	0.91092	0.0491434	1688.46802	56138.823	290.268	3561.403
1370.0	0.39557	0.60443	7.28189	7.72004	-2.07808	25.00655	30.34379	1.76451	0.56673	2.19508	112.58527	0.76191	0.4405	8.93168	454.54523	0.89791	0.0176436	1682.90096	54904.237	246.917	4590.569
1365.0	0.46976	0.53024	7.29512	7.70601	-2.25605	24.60212	30.46695	1.75203	0.57077	4.41255	112.40565	1.54289	0.42996	9.03409	940.94363	0.88503	0.00849722	1677.38974	53839.643	212.919	5450.216
1360.0	0.53233	0.46767	7.30667	7.69375	-2.41156	24.25772	30.5642	1.74113	0.57434	7.34715	112.29743	2.58524	0.42098	9.13802	1630.55506	0.87229	0.00488852	1671.93256	52909.844	185.96	6175.542
1355.0	0.58556	0.41444	7.31693	7.68289	-2.5493	23.9608	30.63949	1.73153	0.57752	10.85223	112.24795	3.83936	0.41329	9.24312	2518.02657	0.85973	0.00315588	1666.52754	52088.105	164.348	6793.276
1350.0	0.6312	0.3688	7.3261	7.6732	-2.67229	23.70337	30.69649	1.72301	0.58038	14.77264	112.24645	5.25108	0.40663	9.34991	3592.98984	0.8473	0.0022049	1661.1711	51353.836	146.854	7324.006
1345.0	0.67061	0.32939	7.3344	7.66443	-2.78354	23.47732	30.73777	1.7154	0.58296	18.96641	112.28406	6.76969	0.40083	9.45833	4844.04501	0.83501	0.00163041	1655.86198	50690.998	132.568	7783.77
1340.0	0.70487	0.29513	7.342	7.65638	-2.88563	23.27564	30.76553	1.70855	0.58529	23.31682	112.35422	8.35281	0.39575	9.56799	6261.8249	0.82289	0.00125736	1650.60084	50086.995	120.801	8185.158
1335.0	0.73483	0.26517	7.34899	7.64898	-2.97952	23.09589	30.78179	1.70236	0.58742	27.73015	112.45212	9.96583	0.39126	9.67948	7839.42766	0.81089	0.00100122	1645.38362	49531.779	111.043	8538.218
1333.28	0.74488	0.25512	7.35141	7.64639	-3.01233	23.03231	30.78605	1.7003	0.58813	29.34666	112.4888	10.55823	0.38975	9.71835	8445.53208	0.80678	9.2837E-4	1643.60077	49343.805	 	8656.675
1330.0	0.76718	0.23282	7.35663	7.64077	-3.08361	22.88545	30.82554	1.69465	0.59009	32.43877	112.49567	11.69908	0.38638	9.77626	9836.54748	0.80036	7.9546E-4	1639.08617	48956.825	114.991	8911.471
1325.0	0.79794	0.20206	7.36418	7.63259	-3.18735	22.67442	30.87041	1.68691	0.5928	37.19186	112.54258	13.4587	0.3817	9.86563	12151.86118	0.79064	6.41891E-4	1632.30227	48400.061	111.353	9266.987
1320.0	0.82494	0.17506	7.37129	7.62487	-3.28521	22.47878	30.89802	1.68013	0.59519	41.90012	112.62945	15.20808	0.37756	9.95613	14680.3884	0.781	5.29671E-4	1625.64427	47881.457	103.721	9584.794
1315.0	0.84887	0.15113	7.37803	7.61756	-3.37797	22.29643	30.91117	1.67415	0.59732	46.55806	112.74899	16.9442	0.37386	10.0483	17428.55048	0.77141	4.44751E-4	1619.1032	47394.176	97.4562	9871.725
1310.0	0.87024	0.12976	7.38449	7.61053	-3.46716	22.12309	30.91192	1.66884	0.59922	51.17881	112.89443	18.67109	0.37054	10.14222	20407.14109	0.76186	3.7864E-4	1612.67688	46932.724	92.2904	10133.272
1305.0	0.88947	0.11053	7.39074	7.60369	-3.5539	21.95555	30.9021	1.66409	0.60093	55.79903	113.06103	20.40165	0.36751	10.23742	23633.55369	0.75239	3.25916E-4	1606.36338	46492.627	88.0194	10373.906
1300.0	0.90692	0.0930786	7.39684	7.59702	-3.63848	21.79305	30.88326	1.65983	0.60247	60.4781	113.24528	22.15728	0.36475	10.33447	27128.98272	0.74297	2.83024E-4	1600.1538	46070.187	84.488	10597.323
1295.0	0.92289	0.0771133	7.40284	7.59045	-3.7219	21.63268	30.85649	1.65599	0.60387	65.31353	113.44383	23.9737	0.36219	10.43302	30918.27242	0.73361	2.47548E-4	1594.0485	45662.304	81.5766	10806.622
1291.12	0.93257	0.0674347	7.40695	7.58599	-3.77846	21.5315	30.82874	1.65339	0.60482	68.61513	113.61574	25.2149	0.36061	10.51108	33822.64909	0.72636	2.25731E-4	1589.38238	45373.006	 	10942.241
1290.0	0.93433	0.0656652	7.40789	7.585	-3.791	21.51348	30.82178	1.65257	0.60512	69.20569	113.67523	25.43768	0.3603	10.54053	34559.40989	0.72381	2.2076E-4	1587.61347	45310.839	70.293	10959.936
