T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95698	7.86773	0.0	26.96646	31.32201	1.84465	0.54211	0.0	106.03939	0.0	0.49975	6.73595	6.73595	1.28479	1.28479	1766.82499	64818.711	 	0.0
1495.0	0.0	1.0	6.96088	7.86332	-0.0559907	26.91607	31.24643	1.8439	0.54233	0.0	106.22499	0.0	0.49975	6.79476	6.79476	1.27008	1.27008	1768.61068	64596.867	44.3688	0.0
1490.0	0.0	1.0	6.96477	7.85893	-0.11183	26.86573	31.17085	1.84314	0.54255	0.0	106.41058	0.0	0.49975	6.85443	6.85443	1.25546	1.25546	1770.39316	64375.534	44.2666	0.0
1485.0	0.0	1.0	6.96865	7.85455	-0.1675	26.81545	31.09527	1.84238	0.54278	0.0	106.59618	0.0	0.49975	6.91496	6.91496	1.24095	1.24095	1772.1724	64154.71	44.1648	0.0
1480.0	0.0	1.0	6.97253	7.85018	-0.22303	26.76522	31.01969	1.84162	0.543	0.0	106.78178	0.0	0.49975	6.97638	6.97638	1.22652	1.22652	1773.94837	63934.391	44.0638	0.0
1475.0	0.0	1.0	6.9764	7.84582	-0.2784	26.71504	30.94411	1.84085	0.54323	0.0	106.96737	0.0	0.49975	7.0387	7.0387	1.2122	1.2122	1775.72102	63714.574	43.9634	0.0
1470.0	0.0	1.0	6.98027	7.84148	-0.33361	26.66492	30.86853	1.84008	0.54345	0.0	107.15297	0.0	0.49975	7.10194	7.10194	1.19797	1.19797	1777.49032	63495.255	43.8638	0.0
1465.0	0.0	1.0	6.98412	7.83715	-0.38866	26.61485	30.79295	1.8393	0.54368	0.0	107.33856	0.0	0.49975	7.16611	7.16611	1.18383	1.18383	1779.25623	63276.431	43.7648	0.0
1460.0	0.0	1.0	6.98798	7.83283	-0.44356	26.56484	30.71736	1.83853	0.54391	0.0	107.52416	0.0	0.49975	7.23124	7.23124	1.1698	1.1698	1781.0187	63058.099	43.6664	0.0
1455.0	0.0	1.0	6.99182	7.82852	-0.49831	26.51489	30.64178	1.83774	0.54415	0.0	107.70975	0.0	0.49975	7.29735	7.29735	1.15585	1.15585	1782.77771	62840.256	43.5686	0.0
1450.0	0.0	1.0	6.99566	7.82423	-0.5529	26.465	30.5662	1.83696	0.54438	0.0	107.89535	0.0	0.49975	7.36444	7.36444	1.14201	1.14201	1784.5332	62622.924	43.4664	0.0
1445.0	0.0	1.0	6.99949	7.81994	-0.60733	26.41516	30.49062	1.83617	0.54461	0.0	108.08094	0.0	0.49975	7.43255	7.43255	1.12826	1.12826	1786.28514	62406.144	43.356	0.0
1442.1	0.0	1.0	7.00171	7.81747	-0.63879	26.3863	30.44685	1.83571	0.54475	0.0	108.18842	0.0	0.49975	7.47247	7.47247	1.12034	1.12034	1787.29804	62280.854	43.2712	0.0040
1440.0	0.0878305	0.91217	7.01739	7.79992	-0.86184	25.8374	30.75642	1.815	0.55096	0.00329448	104.82509	0.00110784	0.4869	7.48788	8.60637	1.11667	0.97154	1786.50423	61406.476	415.472	783.428
1435.0	0.26026	0.73974	7.0489	7.7651	-1.3044	24.75793	31.37894	1.7738	0.56376	0.26032	98.28874	0.0890586	0.46148	7.52501	27.18934	1.10791	0.30663	1784.74719	59657.588	349.778	2316.62
1431.39	0.35458	0.64542	7.0667	7.74553	-1.55314	24.16155	31.72461	1.75077	0.57118	0.91032	94.77474	0.31445	0.44745	7.55223	71.21144	1.10159	0.11683	1783.57809	58667.237	 	3151.703
1430.0	0.40869	0.59131	7.0761	7.73526	-1.68372	23.83873	31.86133	1.74183	0.57411	1.43255	93.56585	0.49747	0.43984	7.56143	130.54395	1.09935	0.063677	1782.3236	58042.597	322.998	3716.451
1425.0	0.56351	0.43649	7.10357	7.70536	-2.0637	22.9112	32.2513	1.71572	0.58285	4.85895	90.38292	1.71347	0.41787	7.59446	546.3515	1.09135	0.0151702	1778.24605	56218.315	364.856	5326.107
1420.0	0.66465	0.33535	7.12251	7.68496	-2.32306	22.29964	32.49188	1.698	0.58893	10.24675	88.54026	3.65086	0.40333	7.62831	1170.42039	1.08331	0.00706058	1774.5992	54963.034	251.056	6367.29
1415.0	0.73415	0.26585	7.13645	7.67005	-2.51255	21.87121	32.64195	1.6852	0.5934	16.61133	87.44761	5.9615	0.39322	7.66269	1889.10672	1.07527	0.00436155	1771.32466	54041.675	184.272	7075.078
1410.0	0.78393	0.21607	7.14723	7.6586	-2.65799	21.55836	32.73395	1.67549	0.59684	23.04386	86.80995	8.3138	0.38588	7.69819	2637.02051	1.06714	0.00311527	1768.36624	53327.835	142.768	7575.868
1405.0	0.82078	0.17922	7.15597	7.64936	-2.77543	21.31896	32.78693	1.66781	0.59959	29.03339	86.46283	10.51652	0.38037	7.73438	3385.03661	1.05899	0.00241966	1765.68317	52749.535	115.66	7941.634
1400.0	0.84881	0.15119	7.16332	7.64165	-2.87349	21.13039	32.81294	1.66153	0.60186	34.38412	86.31042	12.49318	0.37612	7.77125	4123.27775	1.05083	0.00198052	1763.23566	52263.306	97.2458	8215.845
1395.0	0.87064	0.12936	7.16965	7.63503	-2.95768	20.97823	32.81963	1.65622	0.60378	39.07569	86.29314	14.23265	0.37275	7.80935	4851.397	1.04257	0.00167824	1760.99129	51841.777	84.3058	8425.865
1390.0	0.88795	0.11205	7.17525	7.62921	-3.03163	20.85293	32.81236	1.65163	0.60546	43.16791	86.37208	15.7544	0.37003	7.84867	5573.57213	1.03424	0.00145641	1758.92121	51467.051	74.9452	8589.591
1385.0	0.90199	0.0980074	7.18034	7.6239	-3.0991	20.7445	32.79459	1.64755	0.60696	46.75673	86.51994	17.0923	0.36777	7.88844	6297.17903	1.02593	0.00128518	1757.01292	51126.314	68.1474	8719.831
1380.0	0.91363	0.0863689	7.18508	7.61901	-3.16119	20.65007	32.76919	1.64386	0.60833	49.93718	86.71995	18.28043	0.36586	7.92932	7030.82454	1.01757	0.00114761	1755.23858	50810.696	63.1236	8825.455
1376.09	0.92148	0.0785153	7.18861	7.61538	-3.20739	20.58225	32.74562	1.64115	0.60933	52.20323	86.90063	19.12835	0.36455	7.96215	7617.25361	1.01097	0.00105675	1753.92566	50577.358	 	8894.89
1375.0	0.92457	0.0754326	7.19002	7.61395	-3.22557	20.54864	32.74259	1.64022	0.60968	53.09199	86.92805	19.46117	0.36405	7.9755	7818.33524	1.00862	0.00102889	1753.8806	50502.271	61.685	8924.382
1370.0	0.93686	0.0631446	7.19595	7.60786	-3.30292	20.41044	32.72234	1.63625	0.61115	56.78285	87.09639	20.84524	0.36201	8.03661	8736.08481	0.99791	9.18009E-4	1753.74436	50177.652	64.9238	9039.997
1365.0	0.94662	0.0533809	7.20125	7.60248	-3.37138	20.29599	32.69358	1.63271	0.61248	59.91252	87.32204	22.02113	0.36034	8.09943	9651.00317	0.98716	8.28453E-4	1753.66383	49880.732	59.384	9128.404
1360.0	0.95458	0.0454209	7.2061	7.59756	-3.43388	20.19731	32.65863	1.62947	0.6137	62.62408	87.58862	23.04156	0.35894	8.16293	10577.98594	0.97649	7.53546E-4	1753.63947	49603.66	55.4144	9197.453
1355.0	0.96118	0.0388197	7.21063	7.59302	-3.49163	20.11124	32.61903	1.62645	0.61484	65.00799	87.88631	23.93988	0.35773	8.22821	11527.3084	0.96577	6.89371E-4	1753.65631	49341.528	52.4264	9252.047
1350.0	0.96673	0.0332667	7.21491	7.58874	-3.54603	20.03395	32.57576	1.62361	0.61591	67.13196	88.20765	24.74116	0.35669	8.29426	12507.87359	0.95514	6.33376E-4	1753.71876	49090.898	50.126	9295.622
1345.0	0.97146	0.0285373	7.219	7.58468	-3.59754	19.96423	32.52965	1.6209	0.61694	69.04645	88.54769	25.46414	0.35576	8.36213	13527.50877	0.94447	5.83832E-4	1753.81121	48849.297	48.3202	9330.645
1340.0	0.97553	0.0244695	7.22293	7.58079	-3.647	19.8998	32.48115	1.61831	0.61793	70.78913	88.90271	26.12282	0.35493	8.43076	14593.38934	0.93389	5.39517E-4	1753.94221	48614.947	46.87	9358.895
1335.0	0.97907	0.0209336	7.22674	7.57704	-3.69469	19.83992	32.43077	1.6158	0.61889	72.39186	89.26966	26.72907	0.35418	8.50089	15712.74571	0.92331	4.9953E-4	1754.1008	48386.439	45.7016	9381.776
1330.0	0.98217	0.017835	7.23045	7.5734	-3.74096	19.78366	32.37883	1.61336	0.61983	73.87799	89.64651	27.29162	0.35349	8.57261	16892.47704	0.91274	4.63199E-4	1754.2846	48162.739	44.74	9400.321
1325.0	0.9849	0.0150976	7.23408	7.56985	-3.78606	19.73032	32.32558	1.61098	0.62074	75.26619	90.03156	27.81744	0.35286	8.64549	18139.42149	0.90222	4.30012E-4	1754.4923	47943.043	43.9392	9415.328
1320.0	0.98733	0.0126658	7.23765	7.56638	-3.83022	19.67925	32.27123	1.60864	0.62164	76.57189	90.42334	28.31231	0.35227	8.71962	19460.58015	0.89176	3.99565E-4	1754.72472	47726.722	43.2642	9427.425
1315.0	0.98951	0.0104901	7.24115	7.56297	-3.87352	19.63031	32.21595	1.60634	0.62253	77.8066	90.82097	28.78052	0.35172	8.79536	20863.10648	0.8813	3.71535E-4	1754.97154	47513.273	42.6898	9437.112
1310.0	0.99146	0.00853553	7.2446	7.55962	-3.91613	19.58295	32.15986	1.60408	0.62341	78.98078	91.22339	29.22602	0.35121	8.87231	22354.7145	0.87091	3.45652E-4	1755.23962	47302.294	42.1958	9444.788
1305.0	0.99323	0.00676799	7.24801	7.55631	-3.95812	19.53705	32.10307	1.60184	0.62428	80.10251	91.63019	29.65182	0.35072	8.95096	23943.36952	0.86053	3.21699E-4	1755.51992	47093.457	41.7674	9450.779
1300.0	0.99484	0.00516481	7.25139	7.55305	-3.99962	19.49224	32.04566	1.59963	0.62515	81.17892	92.04048	30.06061	0.35025	9.03093	25637.64067	0.85021	2.99488E-4	1755.819	46886.493	41.3928	9455.35
