T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.88095	7.9295	0.0	25.21483	31.89504	1.81151	0.55203	0.0	101.53539	0.0	0.49966	6.72894	6.72894	1.28613	1.28613	1743.57855	65670.221	 	0.0
1495.0	0.0	1.0	6.88477	7.92511	-0.0553945	25.16097	31.81662	1.81085	0.55223	0.0	101.71846	0.0	0.49966	6.78621	6.78621	1.27168	1.27168	1745.54259	65447.778	44.4886	0.0
1490.0	0.0	1.0	6.88857	7.92073	-0.11064	25.10713	31.73819	1.81019	0.55243	0.0	101.90153	0.0	0.49966	6.84431	6.84431	1.25732	1.25732	1747.51097	65225.937	44.3682	0.0
1485.0	0.0	1.0	6.89238	7.91636	-0.16572	25.05331	31.65976	1.80953	0.55263	0.0	102.0846	0.0	0.49966	6.90323	6.90323	1.24305	1.24305	1749.48361	65004.693	44.2488	0.0
1481.51	0.0	1.0	6.89503	7.91332	-0.20412	25.01571	31.60498	1.80907	0.55277	0.0	102.2125	0.0	0.49966	6.94489	6.94489	1.23314	1.23314	1750.86425	64850.47	44.1505	0.0090
1480.0	0.0677402	0.93226	6.90795	7.8986	-0.38968	24.56907	31.70156	1.80201	0.55494	8.13128E-4	98.71021	2.72906E-4	0.48976	6.95014	7.66777	1.23115	1.11593	1749.54809	64061.75	523.413	722.286
1475.0	0.24987	0.75013	6.94337	7.85828	-0.8982	23.35437	31.95417	1.78266	0.56096	0.15531	89.32354	0.0530851	0.46288	6.96821	24.64301	1.22446	0.34624	1745.79753	61905.478	431.254	2658.495
1470.0	0.38055	0.61945	6.96983	7.82853	-1.27341	22.47305	32.12522	1.7681	0.56558	0.85673	82.66209	0.29678	0.44335	6.98642	97.5628	1.21777	0.0872042	1742.76506	60306.071	319.881	4038.422
1465.0	0.47814	0.52186	6.99039	7.8056	-1.56257	21.80705	32.2425	1.75661	0.56928	2.18074	77.77274	0.76324	0.42861	7.00515	241.18891	1.21103	0.0351736	1740.29759	59065.388	248.137	5060.206
1460.0	0.55329	0.44671	7.00696	7.78735	-1.79269	21.28885	32.32288	1.7472	0.57234	3.98448	74.09537	1.40582	0.41714	7.02409	448.56518	1.20429	0.0188581	1738.28178	58067.676	199.542	5839.591
