T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.83856	7.90985	0.0	28.13803	30.79675	1.87611	0.53302	0.0	104.43866	0.0	0.49974	6.42021	6.42021	1.34798	1.34798	1728.21594	61948.356	 	0.0
1495.0	0.0	1.0	6.84243	7.90537	-0.0566567	28.08927	30.72351	1.87528	0.53325	0.0	104.62085	0.0	0.49974	6.47566	6.47566	1.33267	1.33267	1730.07156	61728.453	43.9806	0.0
1490.0	0.0	1.0	6.8463	7.9009	-0.11316	28.04057	30.65026	1.87445	0.53349	0.0	104.80305	0.0	0.49974	6.53192	6.53192	1.31745	1.31745	1731.92956	61509.044	43.8818	0.0
1485.0	0.0	1.0	6.85017	7.89644	-0.16951	27.99192	30.57702	1.87361	0.53373	0.0	104.98524	0.0	0.49974	6.58899	6.58899	1.30234	1.30234	1733.78986	61290.128	43.7832	0.0
1480.0	0.0	1.0	6.85403	7.892	-0.22571	27.94334	30.50378	1.87276	0.53397	0.0	105.16743	0.0	0.49974	6.64689	6.64689	1.28732	1.28732	1735.6524	61071.701	43.6854	0.0
1475.0	0.0	1.0	6.85788	7.88757	-0.28176	27.89481	30.43053	1.87192	0.53421	0.0	105.34962	0.0	0.49974	6.70563	6.70563	1.27241	1.27241	1737.51707	60853.759	43.5884	0.0
1470.0	0.0	1.0	6.86173	7.88314	-0.33765	27.84634	30.35729	1.87107	0.53445	0.0	105.53181	0.0	0.49974	6.76523	6.76523	1.25759	1.25759	1739.3838	60636.299	43.492	0.0
1465.0	0.0	1.0	6.86557	7.87873	-0.39339	27.79794	30.28405	1.87021	0.5347	0.0	105.71401	0.0	0.49974	6.82571	6.82571	1.24287	1.24287	1741.25251	60419.319	43.396	0.0
1460.0	0.0	1.0	6.8694	7.87434	-0.44898	27.74959	30.2108	1.86935	0.53494	0.0	105.8962	0.0	0.49974	6.88708	6.88708	1.22825	1.22825	1743.1231	60202.815	43.3008	0.0
1455.0	0.0	1.0	6.87323	7.86995	-0.50441	27.70131	30.13756	1.86849	0.53519	0.0	106.07839	0.0	0.49974	6.94937	6.94937	1.21373	1.21373	1744.99549	59986.785	43.206	0.0
1450.0	0.0	1.0	6.87705	7.86558	-0.5597	27.65309	30.06432	1.86762	0.53544	0.0	106.26058	0.0	0.49974	7.01258	7.01258	1.19931	1.19931	1746.86959	59771.251	43.1068	0.0
1445.0	0.0	1.0	6.88086	7.86122	-0.61483	27.60493	29.99107	1.86675	0.53569	0.0	106.44277	0.0	0.49974	7.07674	7.07674	1.18499	1.18499	1748.7453	59556.256	42.999	0.0
1440.0	0.0	1.0	6.88467	7.85687	-0.6698	27.55684	29.91783	1.86588	0.53594	0.0	106.62497	0.0	0.49974	7.14187	7.14187	1.17077	1.17077	1750.62253	59341.793	42.8926	0.0
1435.0	0.0	1.0	6.88847	7.85253	-0.72463	27.50881	29.84459	1.865	0.53619	0.0	106.80716	0.0	0.49974	7.20799	7.20799	1.15664	1.15664	1752.50119	59127.856	42.7874	0.0
1430.0	0.0	1.0	6.89227	7.84821	-0.7793	27.46085	29.77134	1.86411	0.53645	0.0	106.98935	0.0	0.49974	7.27511	7.27511	1.14262	1.14262	1754.38117	58914.444	42.6824	0.0
1425.0	0.0	1.0	6.89606	7.8439	-0.83382	27.41296	29.6981	1.86322	0.5367	0.0	107.17154	0.0	0.49974	7.34326	7.34326	1.12869	1.12869	1756.26239	58701.552	42.5784	0.0
1420.9	0.0	1.0	6.89916	7.84037	-0.87837	27.37376	29.6381	1.86249	0.53691	0.0	107.32079	0.0	0.49974	7.39986	7.39986	1.11735	1.11735	1757.80427	58527.538	42.4857	0.0060
1420.0	0.02573	0.97427	6.90397	7.83493	-0.94715	27.20669	29.72576	1.85601	0.53879	2.40887E-5	106.3698	8.05122E-6	0.49597	7.40596	7.6639	1.11584	1.07828	1757.46345	58261.819	293.882	227.354
1415.0	0.15421	0.84579	6.92856	7.8071	-1.29902	26.35568	30.1676	1.82343	0.54842	0.0317386	101.65635	0.0107443	0.477	7.43955	12.51005	1.10752	0.65863	1755.70625	56916.867	268.99	1360.445
1410.0	0.25822	0.74178	6.94909	7.78412	-1.58954	25.66455	30.52753	1.79659	0.55661	0.25417	97.91194	0.0869544	0.46151	7.47392	38.91125	1.09916	0.21112	1754.1539	55791.388	225.096	2274.572
1405.0	0.34366	0.65634	6.96654	7.76456	-1.83688	25.08573	30.82355	1.77405	0.56368	0.81068	94.90632	0.2798	0.44868	7.50865	106.30316	1.09083	0.0770498	1752.78697	54832.932	191.691	3022.181
1404.55	0.35052	0.64948	6.96797	7.76294	-1.85732	25.03846	30.847	1.77222	0.56426	0.87851	94.6692	0.30343	0.44765	7.51177	114.69142	1.09008	0.0713952	1752.67148	54754.014	 	3081.956
1400.0	0.44028	0.55972	6.98533	7.74375	-2.09987	24.46001	31.04158	1.75634	0.56937	1.82877	92.91212	0.63727	0.43486	7.53962	308.0934	1.08311	0.0265057	1749.85049	53633.168	239.953	4011.597
1395.0	0.51874	0.48126	7.00109	7.72639	-2.31943	23.94855	31.20349	1.74201	0.57405	3.3921	91.52363	1.1914	0.42358	7.57101	646.80275	1.0754	0.0125878	1747.11894	52615.336	203.566	4819.581
1390.0	0.58133	0.41867	7.01424	7.71199	-2.5015	23.5363	31.32361	1.73012	0.57799	5.48655	90.53152	1.93942	0.41449	7.60309	1102.8607	1.06765	0.00736033	1744.72925	51765.841	169.899	5459.721
1385.0	0.63216	0.36784	7.02545	7.69973	-2.65639	23.19593	31.41018	1.72017	0.58134	8.0386	89.8229	2.85659	0.40703	7.6358	1657.6831	1.05988	0.00488213	1742.64147	51041.039	144.96	5975.659
1380.0	0.67405	0.32595	7.03518	7.68923	-2.78924	22.91402	31.47255	1.71158	0.58425	10.93758	89.32693	3.90398	0.40083	7.66943	2294.825	1.05205	0.003516	1740.8171	50410.726	126.063	6397.597
1375.0	0.70904	0.29096	7.04377	7.67996	-2.90644	22.67348	31.5154	1.70409	0.58682	14.06589	88.99092	5.03941	0.39559	7.70362	3001.64403	1.04421	0.00267993	1739.22827	49853.367	111.472	6747.066
1370.0	0.7386	0.2614	7.05149	7.67166	-3.01134	22.46541	31.54271	1.69745	0.58912	17.31675	88.77918	6.22404	0.39112	7.73837	3769.58003	1.03637	0.00212751	1737.84803	49353.281	100.017	7039.747
1365.0	0.76385	0.23615	7.05848	7.66423	-3.1053	22.2864	31.55779	1.69147	0.5912	20.60378	88.66664	7.42607	0.38726	7.77396	4593.79967	1.02849	0.00174048	1736.64955	48898.829	90.8904	7287.272
