T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95617	7.88573	0.0	30.40304	35.73216	1.61698	0.61844	0.0	102.96606	0.0	0.49974	6.41961	6.41961	1.3481	1.3481	1520.56163	65867.061	 	0.0
1495.0	0.0	1.0	6.96007	7.88132	-0.055953	30.36251	35.65673	1.61583	0.61888	0.0	103.16192	0.0	0.49974	6.47485	6.47485	1.33283	1.33283	1520.73126	65647.659	43.8804	0.0
1490.0	0.0	1.0	6.96395	7.87692	-0.11175	30.3221	35.58126	1.61468	0.61932	0.0	103.35778	0.0	0.49974	6.53089	6.53089	1.31766	1.31766	1520.88763	65428.754	43.781	0.0
1485.0	0.0	1.0	6.96783	7.87253	-0.16739	30.28181	35.50577	1.61352	0.61976	0.0	103.55364	0.0	0.49974	6.58773	6.58773	1.30259	1.30259	1521.03072	65210.342	43.6824	0.0
1480.0	0.0	1.0	6.97171	7.86815	-0.22288	30.24166	35.43024	1.61236	0.62021	0.0	103.74951	0.0	0.49974	6.64539	6.64539	1.28761	1.28761	1521.16049	64992.421	43.5842	0.0
1475.0	0.0	1.0	6.97558	7.86379	-0.27821	30.20163	35.35468	1.6112	0.62066	0.0	103.94537	0.0	0.49974	6.70389	6.70389	1.27274	1.27274	1521.27691	64774.986	43.487	0.0
1470.0	0.0	1.0	6.97944	7.85944	-0.33339	30.16173	35.27909	1.61003	0.6211	0.0	104.14123	0.0	0.49974	6.76325	6.76325	1.25796	1.25796	1521.37996	64558.035	43.3902	0.0
1465.0	0.0	1.0	6.98329	7.8551	-0.38841	30.12196	35.20347	1.60886	0.62156	0.0	104.3371	0.0	0.49974	6.82348	6.82348	1.24328	1.24328	1521.4696	64341.564	43.2942	0.0
1460.0	0.0	1.0	6.98714	7.85077	-0.44327	30.08232	35.12782	1.60769	0.62201	0.0	104.53296	0.0	0.49974	6.8846	6.8846	1.2287	1.2287	1521.5458	64125.571	43.1986	0.0
1455.0	0.0	1.0	6.99098	7.84646	-0.49798	30.04282	35.05213	1.60651	0.62247	0.0	104.72882	0.0	0.49974	6.94662	6.94662	1.21421	1.21421	1521.60854	63910.052	43.1038	0.0
1450.0	0.0	1.0	6.99482	7.84216	-0.55254	30.00345	34.97642	1.60533	0.62292	0.0	104.92468	0.0	0.49974	7.00957	7.00957	1.19983	1.19983	1521.6578	63695.027	43.005	0.0
1445.0	0.0	1.0	6.99865	7.83787	-0.60694	29.96422	34.90067	1.60415	0.62338	0.0	105.12055	0.0	0.49974	7.07346	7.07346	1.18554	1.18554	1521.69355	63480.532	42.899	0.0
1440.0	0.0	1.0	7.00247	7.83359	-0.66118	29.92513	34.82489	1.60296	0.62384	0.0	105.31641	0.0	0.49974	7.13831	7.13831	1.17135	1.17135	1521.71578	63266.557	42.795	0.0
1435.0	0.0	1.0	7.00628	7.82933	-0.71527	29.88618	34.74908	1.60177	0.62431	0.0	105.51227	0.0	0.49974	7.20414	7.20414	1.15726	1.15726	1521.72446	63053.101	42.6912	0.0
1430.0	0.0	1.0	7.01009	7.82507	-0.7692	29.84737	34.67324	1.60058	0.62478	0.0	105.70813	0.0	0.49974	7.27097	7.27097	1.14327	1.14327	1521.71959	62840.159	42.5884	0.0
1425.0	0.0	1.0	7.01389	7.82083	-0.82298	29.8087	34.59737	1.59938	0.62524	0.0	105.904	0.0	0.49974	7.33881	7.33881	1.12937	1.12937	1521.70115	62627.729	42.486	0.0
1420.0	0.0	1.0	7.01769	7.8166	-0.8766	29.77017	34.52146	1.59817	0.62571	0.0	106.09986	0.0	0.49974	7.4077	7.4077	1.11557	1.11557	1521.66912	62415.806	42.3846	0.0
1415.0	0.0	1.0	7.02148	7.81239	-0.93006	29.73179	34.44553	1.59697	0.62619	0.0	106.29572	0.0	0.49974	7.47765	7.47765	1.10188	1.10188	1521.62351	62204.388	42.2836	0.0
1410.0	0.0	1.0	7.02526	7.80818	-0.98338	29.69356	34.36956	1.59576	0.62666	0.0	106.49159	0.0	0.49974	7.54868	7.54868	1.08828	1.08828	1521.5643	61993.471	42.1834	0.0
1405.0	0.0	1.0	7.02903	7.80399	-1.03653	29.65548	34.29356	1.59454	0.62714	0.0	106.68745	0.0	0.49974	7.62081	7.62081	1.07477	1.07477	1521.4915	61783.05	42.0842	0.0
1400.42	0.0	1.0	7.03248	7.80016	-1.08514	29.62069	34.22384	1.59342	0.62758	0.0	106.86705	0.0	0.49974	7.68794	7.68794	1.06248	1.06248	1521.4128	61590.567	41.9827	0.0
1400.0	0.01076	0.98924	7.03446	7.79801	-1.11234	29.5548	34.24269	1.59215	0.62808	9.57237E-7	106.77308	3.19438E-7	0.49831	7.69155	7.80195	1.06171	1.04669	1520.85729	61452.482	332.591	120.639
1395.0	0.13177	0.86823	7.05646	7.77369	-1.42085	28.81107	34.45446	1.57764	0.63386	0.0219152	105.72624	0.0073934	0.48208	7.73694	12.88228	1.05233	0.63202	1514.35607	59892.048	312.087	1471.636
1390.0	0.23204	0.76796	7.07518	7.75308	-1.68217	28.19259	34.62348	1.56523	0.63888	0.21393	104.91444	0.0728403	0.46847	7.78286	48.10257	1.04299	0.16875	1508.19937	58570.959	264.218	2583.775
1385.0	0.31603	0.68397	7.09128	7.7355	-1.90505	27.67648	34.75789	1.55449	0.6433	0.74635	104.28908	0.25613	0.45696	7.82963	148.79331	1.03364	0.054391	1502.35565	57437.158	226.76	3509.11
1380.0	0.38711	0.61289	7.10529	7.72029	-2.09802	27.24004	34.86394	1.54509	0.64721	1.70103	103.81217	0.58773	0.44712	7.87724	339.80622	1.02429	0.0237448	1496.79972	56451.852	197.061	4286.431
1375.0	0.4478	0.5522	7.11767	7.70691	-2.26761	26.86585	34.94636	1.53678	0.65071	3.08059	103.45516	1.07066	0.43864	7.92542	634.46746	1.01499	0.0126787	1491.50925	55585.704	173.23	4945.071
