T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95681	7.86408	0.0	26.65532	31.25446	1.84864	0.54094	0.0	106.28555	0.0	0.49975	6.74358	6.74358	1.28334	1.28334	1765.72341	64745.64	 	0.0
1495.0	0.0	1.0	6.9607	7.85968	-0.0559163	26.60424	31.17975	1.84784	0.54117	0.0	106.47165	0.0	0.49975	6.80258	6.80258	1.26862	1.26862	1767.50249	64523.84	44.36	0.0
1490.0	0.0	1.0	6.96459	7.8553	-0.11168	26.5532	31.10505	1.84704	0.54141	0.0	106.65775	0.0	0.49975	6.86244	6.86244	1.254	1.254	1769.2784	64302.546	44.2588	0.0
1485.0	0.0	1.0	6.96847	7.85092	-0.16728	26.50221	31.03034	1.84624	0.54164	0.0	106.84385	0.0	0.49975	6.92317	6.92317	1.23947	1.23947	1771.05112	64081.755	44.1582	0.0
1480.0	0.0	1.0	6.97234	7.84656	-0.22273	26.45127	30.95563	1.84543	0.54188	0.0	107.02995	0.0	0.49975	6.98479	6.98479	1.22505	1.22505	1772.82061	63861.464	44.0582	0.0
1475.0	0.0	1.0	6.97621	7.84222	-0.27803	26.40037	30.88093	1.84462	0.54212	0.0	107.21605	0.0	0.49975	7.04731	7.04731	1.21071	1.21071	1774.58684	63641.67	43.9588	0.0
1470.0	0.0	1.0	6.98007	7.83788	-0.33316	26.34953	30.80622	1.8438	0.54236	0.0	107.40215	0.0	0.49975	7.11076	7.11076	1.19648	1.19648	1776.34976	63422.37	43.86	0.0
1465.0	0.0	1.0	6.98392	7.83356	-0.38815	26.29873	30.73151	1.84298	0.5426	0.0	107.58825	0.0	0.49975	7.17515	7.17515	1.18234	1.18234	1778.10934	63203.559	43.7622	0.0
1460.0	0.0	1.0	6.98776	7.82924	-0.44297	26.24799	30.6568	1.84216	0.54284	0.0	107.77435	0.0	0.49975	7.2405	7.2405	1.1683	1.1683	1779.86553	62985.236	43.6646	0.0
1455.0	0.0	1.0	6.9916	7.82495	-0.49764	26.1973	30.5821	1.84133	0.54309	0.0	107.96045	0.0	0.49975	7.30683	7.30683	1.15435	1.15435	1781.61831	62767.397	43.5678	0.0
