T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.94525	7.85756	0.0	26.33025	31.37283	1.84166	0.54299	0.0	105.59738	0.0	0.49975	6.69851	6.69851	1.29197	1.29197	1763.2272	64816.719	 	0.0
1495.0	0.0	1.0	6.94914	7.85317	-0.0558861	26.27831	31.29847	1.84083	0.54323	0.0	105.78373	0.0	0.49975	6.75688	6.75688	1.2772	1.2772	1765.0023	64595.017	44.3404	0.0
1490.0	0.0	1.0	6.95301	7.84879	-0.11162	26.22642	31.22411	1.84	0.54348	0.0	105.97007	0.0	0.49975	6.81608	6.81608	1.26253	1.26253	1766.77412	64373.83	44.2374	0.0
1485.0	0.0	1.0	6.95688	7.84442	-0.16719	26.17457	31.14976	1.83916	0.54373	0.0	106.15642	0.0	0.49975	6.87615	6.87615	1.24795	1.24795	1768.54261	64153.154	44.1352	0.0
1480.0	0.0	1.0	6.96075	7.84007	-0.22261	26.12276	31.0754	1.83832	0.54398	0.0	106.34276	0.0	0.49975	6.9371	6.9371	1.23347	1.23347	1770.30775	63932.986	44.0336	0.0
1475.0	0.0	1.0	6.96461	7.83573	-0.27787	26.071	31.00104	1.83747	0.54423	0.0	106.52911	0.0	0.49975	6.99894	6.99894	1.21908	1.21908	1772.06949	63713.322	43.9328	0.0
1470.0	0.0	1.0	6.96846	7.8314	-0.33298	26.01927	30.92668	1.83662	0.54448	0.0	106.71545	0.0	0.49975	7.06169	7.06169	1.20479	1.20479	1773.8278	63494.16	43.8324	0.0
1465.0	0.0	1.0	6.9723	7.82708	-0.38794	25.96759	30.85233	1.83576	0.54473	0.0	106.9018	0.0	0.49975	7.12537	7.12537	1.1906	1.1906	1775.58263	63275.496	43.7328	0.0
1460.0	0.0	1.0	6.97614	7.82277	-0.44273	25.91595	30.77797	1.83491	0.54499	0.0	107.08814	0.0	0.49975	7.18999	7.18999	1.17651	1.17651	1777.33395	63057.326	43.634	0.0
1455.0	0.0	1.0	6.97997	7.81848	-0.49737	25.86436	30.70361	1.83404	0.54524	0.0	107.27449	0.0	0.49975	7.25558	7.25558	1.16251	1.16251	1779.08171	62839.648	43.5356	0.0
