T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.71257	8.00441	0.0	32.52268	32.3641	1.78525	0.56014	0.0	99.89713	0.0	0.49208	5.85489	5.85489	1.47813	1.47813	1585.21209	63694.886	 	0.0
1495.0	0.0	1.0	6.71655	7.99966	-0.0592387	32.47965	32.2871	1.78446	0.56039	0.0	100.09091	0.0	0.49208	5.90408	5.90408	1.46168	1.46168	1586.42216	63473.812	44.2148	0.0
1490.0	0.0	1.0	6.72053	7.99494	-0.11832	32.43673	32.2101	1.78367	0.56064	0.0	100.28469	0.0	0.49208	5.95397	5.95397	1.44534	1.44534	1587.62709	63253.209	44.1206	0.0
1485.0	0.0	1.0	6.72449	7.99022	-0.17724	32.39393	32.1331	1.78288	0.56089	0.0	100.47848	0.0	0.49208	6.00456	6.00456	1.4291	1.4291	1588.82683	63033.073	44.0272	0.0
1480.0	0.0	1.0	6.72845	7.98552	-0.236	32.35126	32.05609	1.78208	0.56114	0.0	100.67226	0.0	0.49208	6.05588	6.05588	1.41296	1.41296	1590.02134	62813.402	43.9342	0.0
1475.0	0.0	1.0	6.73241	7.98083	-0.2946	32.3087	31.97909	1.78127	0.5614	0.0	100.86604	0.0	0.49208	6.10793	6.10793	1.39692	1.39692	1591.21059	62594.192	43.842	0.0
1470.0	0.0	1.0	6.73636	7.97615	-0.35305	32.26628	31.90209	1.78046	0.56165	0.0	101.05982	0.0	0.49208	6.16074	6.16074	1.38098	1.38098	1592.39452	62375.441	43.7502	0.0
1465.0	0.0	1.0	6.7403	7.97148	-0.41133	32.22398	31.82509	1.77965	0.56191	0.0	101.25361	0.0	0.49208	6.2143	6.2143	1.36515	1.36515	1593.5731	62157.146	43.659	0.0
1460.0	0.0	1.0	6.74424	7.96683	-0.46946	32.18181	31.74809	1.77884	0.56216	0.0	101.44739	0.0	0.49208	6.26865	6.26865	1.34943	1.34943	1594.74629	61939.305	43.5682	0.0
1455.0	0.0	1.0	6.74817	7.96219	-0.52743	32.13976	31.67109	1.77802	0.56242	0.0	101.64117	0.0	0.49208	6.32379	6.32379	1.3338	1.3338	1595.91403	61721.913	43.4784	0.0
1450.0	0.0	1.0	6.75209	7.95756	-0.58523	32.09785	31.59409	1.77719	0.56268	0.0	101.83495	0.0	0.49208	6.37974	6.37974	1.31828	1.31828	1597.0763	61504.986	43.3854	0.0
1445.0	0.0	1.0	6.75601	7.95295	-0.64288	32.05607	31.51709	1.77637	0.56295	0.0	102.02874	0.0	0.49208	6.43651	6.43651	1.30286	1.30286	1598.23304	61288.548	43.2876	0.0
1440.0	0.0	1.0	6.75992	7.94835	-0.70037	32.01442	31.44008	1.77554	0.56321	0.0	102.22252	0.0	0.49208	6.49413	6.49413	1.28754	1.28754	1599.38422	61072.594	43.1908	0.0
1435.0	0.0	1.0	6.76382	7.94376	-0.7577	31.97291	31.36308	1.7747	0.56348	0.0	102.4163	0.0	0.49208	6.5526	6.5526	1.27233	1.27233	1600.52978	60857.12	43.0948	0.0
1430.0	0.0	1.0	6.76772	7.93918	-0.81488	31.93153	31.28608	1.77386	0.56374	0.0	102.61008	0.0	0.49208	6.61195	6.61195	1.25722	1.25722	1601.66969	60642.124	42.9992	0.0
1425.0	0.0	1.0	6.77162	7.93462	-0.87189	31.89029	31.20908	1.77302	0.56401	0.0	102.80387	0.0	0.49208	6.67218	6.67218	1.24221	1.24221	1602.80389	60427.603	42.9042	0.0
1420.0	0.0	1.0	6.7755	7.93007	-0.92874	31.84919	31.13208	1.77217	0.56428	0.0	102.99765	0.0	0.49208	6.73333	6.73333	1.2273	1.2273	1603.93235	60213.553	42.81	0.0
1415.0	0.0	1.0	6.77938	7.92553	-0.98544	31.80823	31.05508	1.77132	0.56455	0.0	103.19143	0.0	0.49208	6.79541	6.79541	1.2125	1.2125	1605.05502	59999.971	42.7164	0.0
1410.0	0.0	1.0	6.78325	7.921	-1.04198	31.76741	30.97808	1.77046	0.56482	0.0	103.38521	0.0	0.49208	6.85843	6.85843	1.1978	1.1978	1606.17185	59786.855	42.6232	0.0
1405.0	0.0	1.0	6.78712	7.91649	-1.09835	31.72673	30.90108	1.7696	0.5651	0.0	103.57899	0.0	0.49208	6.92242	6.92242	1.1832	1.1832	1607.2828	59574.201	42.5308	0.0
1400.0	0.0	1.0	6.79098	7.91199	-1.15457	31.6862	30.82407	1.76873	0.56538	0.0	103.77278	0.0	0.49208	6.98739	6.98739	1.16871	1.16871	1608.38781	59362.005	42.4392	0.0
