T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.91569	7.87056	0.0	24.76715	32.05602	1.80241	0.55481	0.0	101.926	0.0	0.49974	6.69478	6.69478	1.2927	1.2927	1805.40162	65973.185	 	0.0
1495.0	0.0	1.0	6.91954	7.86618	-0.0556361	24.71141	31.97969	1.80162	0.55506	0.0	102.11069	0.0	0.49974	6.75173	6.75173	1.27818	1.27818	1807.35049	65751.056	44.4258	0.0
1490.0	0.0	1.0	6.92338	7.86181	-0.11112	24.65568	31.90337	1.80082	0.5553	0.0	102.29538	0.0	0.49974	6.8095	6.8095	1.26375	1.26375	1809.296	65529.524	44.3064	0.0
1487.78	0.0	1.0	6.92508	7.85988	-0.13569	24.63094	31.8695	1.80047	0.55541	0.0	102.37734	0.0	0.49974	6.8354	6.8354	1.25738	1.25738	1810.15825	65431.399	44.2246	0.0090
1485.0	0.14054	0.85946	6.95113	7.8304	-0.51022	23.72907	32.08032	1.78581	0.55997	0.0157689	95.1808	0.00533063	0.47909	6.83406	9.07167	1.25564	0.94592	1808.62555	63858.998	565.366	1449.586
1480.0	0.32527	0.67473	6.98655	7.7909	-1.01206	22.53492	32.348	1.76599	0.56625	0.46612	85.76389	0.16055	0.45161	6.8328	36.61863	1.2523	0.23367	1806.22384	61747.326	422.334	3340.909
1475.0	0.45351	0.54649	7.01234	7.76276	-1.36959	21.70064	32.52184	1.75154	0.57092	1.80401	79.30961	0.62976	0.43229	6.83297	115.88467	1.24869	0.0736274	1804.12566	60231.373	303.191	4637.098
1470.0	0.54714	0.45286	7.03218	7.74152	-1.63951	21.08482	32.63631	1.74041	0.57458	3.89956	74.69115	1.37499	0.41803	6.83435	243.43084	1.24487	0.0349499	1802.26963	59080.284	230.218	5569.003
1465.0	0.61811	0.38189	7.0481	7.72476	-1.85247	20.61106	32.71087	1.73146	0.57755	6.46597	71.28317	2.29761	0.40711	6.83652	406.43364	1.24091	0.020873	1800.61192	58167.256	182.606	6263.425
1460.0	0.67351	0.32649	7.06131	7.7111	-2.02594	20.23576	32.75746	1.72403	0.58004	9.26298	68.71406	3.31177	0.39849	6.83939	593.50812	1.23682	0.0142527	1799.11962	57417.348	149.982	6795.297
1455.0	0.7178	0.2822	7.07251	7.69975	-2.17022	19.93333	32.78383	1.71767	0.58218	12.12934	66.74785	4.35824	0.39154	6.84335	796.79275	1.23253	0.0105858	1797.76365	56783.206	126.828	7211.972
1450.0	0.75383	0.24617	7.08225	7.68999	-2.29423	19.68139	32.79471	1.71213	0.58407	14.96159	65.23068	5.39808	0.38582	6.84779	1010.949	1.22817	0.00831918	1796.53032	56234.563	109.729	7543.711
