T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95442	7.85034	0.0	29.2613	31.39621	1.84029	0.54339	0.0	106.03886	0.0	0.49975	6.60663	6.60663	1.30994	1.30994	1763.65426	64584.468	 	0.0
1495.0	0.0	1.0	6.95832	7.84594	-0.0561636	29.21698	31.32016	1.83956	0.54361	0.0	106.22301	0.0	0.49975	6.66419	6.66419	1.29497	1.29497	1765.47174	64363.174	44.2588	0.0
1490.0	0.0	1.0	6.96223	7.84154	-0.11217	29.17276	31.24411	1.83882	0.54383	0.0	106.40716	0.0	0.49975	6.72258	6.72258	1.28009	1.28009	1767.28634	64142.38	44.1588	0.0
1485.0	0.0	1.0	6.96612	7.83715	-0.16802	29.12864	31.16807	1.83808	0.54405	0.0	106.59131	0.0	0.49975	6.78182	6.78182	1.26531	1.26531	1769.09802	63922.084	44.0592	0.0
1480.0	0.0	1.0	6.97001	7.83278	-0.22372	29.08462	31.09202	1.83733	0.54427	0.0	106.77546	0.0	0.49975	6.84192	6.84192	1.25063	1.25063	1770.90676	63702.281	43.9606	0.0
1475.0	0.0	1.0	6.97389	7.82842	-0.27926	29.04071	31.01597	1.83658	0.54449	0.0	106.9596	0.0	0.49975	6.90291	6.90291	1.23604	1.23604	1772.71251	63482.97	43.8622	0.0
1470.0	0.0	1.0	6.97777	7.82407	-0.33464	28.99689	30.93993	1.83583	0.54471	0.0	107.14375	0.0	0.49975	6.96479	6.96479	1.22156	1.22156	1774.51525	63264.145	43.765	0.0
1465.0	0.0	1.0	6.98164	7.81974	-0.38987	28.95318	30.86388	1.83508	0.54494	0.0	107.3279	0.0	0.49975	7.02759	7.02759	1.20717	1.20717	1776.31494	63045.805	43.668	0.0
1460.0	0.0	1.0	6.9855	7.81541	-0.44494	28.90957	30.78784	1.83432	0.54516	0.0	107.51205	0.0	0.49975	7.09132	7.09132	1.19288	1.19288	1778.11154	62827.946	43.5718	0.0
1455.0	0.0	1.0	6.98935	7.8111	-0.49986	28.86607	30.71179	1.83356	0.54539	0.0	107.6962	0.0	0.49975	7.156	7.156	1.17868	1.17868	1779.90503	62610.566	43.476	0.0
