T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.9045	7.82698	0.0	26.19126	32.25693	1.79118	0.55829	0.0	101.23169	0.0	0.49974	6.45878	6.45878	1.33993	1.33993	1796.68206	65761.452	 	0.0
1495.0	0.0	1.0	6.90835	7.82261	-0.0558392	26.13906	32.18061	1.79037	0.55854	0.0	101.41483	0.0	0.49974	6.51332	6.51332	1.32496	1.32496	1798.65546	65540.269	44.2366	0.0
1490.0	0.0	1.0	6.91221	7.81825	-0.11152	26.08689	32.10428	1.78955	0.5588	0.0	101.59797	0.0	0.49974	6.56863	6.56863	1.31009	1.31009	1800.6259	65319.675	44.1188	0.0
1485.0	0.0	1.0	6.91605	7.81391	-0.16705	26.03475	32.02796	1.78873	0.55906	0.0	101.78111	0.0	0.49974	6.62472	6.62472	1.29531	1.29531	1802.59333	65099.665	44.002	0.0
1480.0	0.0	1.0	6.91989	7.80957	-0.22242	25.98266	31.95163	1.7879	0.55931	0.0	101.96425	0.0	0.49974	6.68162	6.68162	1.28063	1.28063	1804.55773	64880.235	43.886	0.0
1475.0	0.0	1.0	6.92372	7.80525	-0.27764	25.93061	31.87531	1.78707	0.55957	0.0	102.14738	0.0	0.49974	6.73934	6.73934	1.26604	1.26604	1806.51905	64661.38	43.771	0.0
1470.0	0.0	1.0	6.92755	7.80094	-0.33271	25.87859	31.79898	1.78624	0.55984	0.0	102.33052	0.0	0.49974	6.7979	6.7979	1.25155	1.25155	1808.47725	64443.097	43.6566	0.0
1466.42	0.0	1.0	6.93028	7.79786	-0.37209	25.84131	31.74426	1.78564	0.56002	0.0	102.46183	0.0	0.49974	6.8404	6.8404	1.24121	1.24121	1809.87933	64286.931	43.5609	0.0060
1465.0	0.03978	0.96022	6.93791	7.78929	-0.48152	25.58404	31.8009	1.78101	0.56148	1.04594E-4	100.50505	3.50074E-5	0.49389	6.84026	7.20905	1.24023	1.17678	1809.50041	63826.203	325.603	399.175
1460.0	0.16129	0.83871	6.96165	7.76285	-0.81939	24.79741	31.96802	1.7666	0.56606	0.0289119	94.56738	0.00979472	0.47589	6.84036	10.25667	1.23664	0.82474	1808.29091	62395.161	286.208	1613.064
