T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.9952	7.85009	0.0	28.98779	31.08071	1.85897	0.53793	0.0	108.67541	0.0	0.49974	6.64248	6.64248	1.30287	1.30287	1768.07915	64062.342	 	0.0
1495.0	0.0	1.0	6.99914	7.84566	-0.0563692	28.94217	31.00417	1.8583	0.53813	0.0	108.85792	0.0	0.49974	6.70119	6.70119	1.28782	1.28782	1769.92237	63841.241	44.2202	0.0
1490.0	0.0	1.0	7.00308	7.84125	-0.11258	28.89664	30.92762	1.85764	0.53832	0.0	109.04043	0.0	0.49974	6.76076	6.76076	1.27286	1.27286	1771.76334	63620.596	44.129	0.0
1485.0	0.0	1.0	7.00701	7.83685	-0.16864	28.8512	30.85107	1.85696	0.53851	0.0	109.22293	0.0	0.49974	6.8212	6.8212	1.258	1.258	1773.60202	63400.406	44.038	0.0
1480.0	0.0	1.0	7.01094	7.83246	-0.22454	28.80586	30.77452	1.85629	0.53871	0.0	109.40544	0.0	0.49974	6.88254	6.88254	1.24325	1.24325	1775.43841	63180.668	43.9476	0.0
1475.0	0.0	1.0	7.01486	7.82809	-0.28028	28.7606	30.69798	1.85561	0.53891	0.0	109.58795	0.0	0.49974	6.94478	6.94478	1.22859	1.22859	1777.27247	62961.378	43.858	0.0
1470.0	0.0	1.0	7.01877	7.82372	-0.33587	28.71545	30.62143	1.85493	0.5391	0.0	109.77045	0.0	0.49974	7.00794	7.00794	1.21403	1.21403	1779.10418	62742.533	43.769	0.0
1465.0	0.0	1.0	7.02268	7.81937	-0.3913	28.67038	30.54488	1.85424	0.5393	0.0	109.95296	0.0	0.49974	7.07205	7.07205	1.19958	1.19958	1780.93352	62524.131	43.6804	0.0
1460.0	0.0	1.0	7.02658	7.81503	-0.44657	28.62541	30.46833	1.85355	0.5395	0.0	110.13546	0.0	0.49974	7.13712	7.13712	1.18522	1.18522	1782.76045	62306.17	43.5922	0.0
1455.0	0.0	1.0	7.03047	7.8107	-0.50169	28.58054	30.39178	1.85286	0.53971	0.0	110.31797	0.0	0.49974	7.20316	7.20316	1.17097	1.17097	1784.58496	62088.646	43.5048	0.0
1450.0	0.0	1.0	7.03435	7.80639	-0.55665	28.53577	30.31524	1.85217	0.53991	0.0	110.50048	0.0	0.49974	7.27021	7.27021	1.15681	1.15681	1786.40701	61871.602	43.4088	0.0
