T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.87271	7.89697	0.0	24.44673	32.66623	1.76874	0.56537	0.0	101.56409	0.0	0.49574	6.532	6.532	1.32491	1.32491	1630.32588	65931.657	 	0.0
1495.0	0.0	1.0	6.87659	7.89251	-0.0564183	24.38811	32.5927	1.76773	0.5657	0.0	101.75914	0.0	0.49574	6.58783	6.58783	1.30998	1.30998	1631.24022	65709.355	44.4604	0.0
1490.0	0.0	1.0	6.88046	7.88807	-0.11268	24.32949	32.51916	1.76672	0.56602	0.0	101.95419	0.0	0.49574	6.64446	6.64446	1.29514	1.29514	1632.14357	65487.596	44.3518	0.0
1485.0	0.0	1.0	6.88433	7.88364	-0.16878	24.27086	32.44562	1.7657	0.56635	0.0	102.14924	0.0	0.49574	6.7019	6.7019	1.2804	1.2804	1633.03581	65266.379	44.2434	0.0
1480.0	0.0	1.0	6.88819	7.87922	-0.22473	24.21223	32.37207	1.76468	0.56667	0.0	102.34428	0.0	0.49574	6.76017	6.76017	1.26575	1.26575	1633.91681	65045.7	44.1358	0.0
1475.0	0.0	1.0	6.89205	7.87482	-0.28052	24.15359	32.29853	1.76366	0.567	0.0	102.53933	0.0	0.49574	6.81929	6.81929	1.2512	1.2512	1634.78646	64825.554	44.0292	0.0
1470.0	0.0	1.0	6.89589	7.87042	-0.33616	24.09495	32.22498	1.76262	0.56734	0.0	102.73438	0.0	0.49574	6.87926	6.87926	1.23674	1.23674	1635.64461	64605.939	43.923	0.0
1465.0	0.0	1.0	6.89973	7.86604	-0.39163	24.0363	32.15143	1.76159	0.56767	0.0	102.92943	0.0	0.49574	6.94011	6.94011	1.22238	1.22238	1636.49113	64386.851	43.8176	0.0
1460.26	0.0	1.0	6.90337	7.8619	-0.4441	23.98068	32.08167	1.7606	0.56799	0.0	103.1144	0.0	0.49574	6.99865	6.99865	1.20885	1.20885	1637.28305	64179.569	43.7157	0.0010
1460.0	0.01139	0.98861	6.90531	7.85967	-0.47237	23.91222	32.10347	1.75915	0.56846	8.78622E-7	102.67703	2.94037E-7	0.49407	6.99841	7.10376	1.20871	1.19079	1636.89888	64062.677	452.351	105.61
1455.0	0.2072	0.7928	6.93936	7.82112	-0.96045	22.73503	32.47477	1.73402	0.5767	0.0987711	95.19053	0.0337053	0.46521	6.99438	14.50602	1.20592	0.58146	1629.77404	62027.944	406.947	1922.3
