T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95478	7.86605	0.0	26.73369	31.25186	1.84879	0.54089	0.0	106.27613	0.0	0.49974	6.74355	6.74355	1.28335	1.28335	1765.69062	64725.906	 	0.0
1495.0	0.0	1.0	6.95867	7.86165	-0.0559081	26.68285	31.17716	1.84799	0.54113	0.0	106.46221	0.0	0.49974	6.80255	6.80255	1.26863	1.26863	1767.46975	64504.114	44.3584	0.0
1490.0	0.0	1.0	6.96255	7.85727	-0.11166	26.63206	31.10246	1.84719	0.54136	0.0	106.64829	0.0	0.49974	6.86241	6.86241	1.25401	1.25401	1769.24571	64282.828	44.2572	0.0
1485.0	0.0	1.0	6.96643	7.85289	-0.16726	26.58132	31.02776	1.84639	0.5416	0.0	106.83438	0.0	0.49974	6.92314	6.92314	1.23948	1.23948	1771.01847	64062.045	44.1566	0.0
1480.0	0.0	1.0	6.9703	7.84853	-0.2227	26.53062	30.95306	1.84558	0.54183	0.0	107.02046	0.0	0.49974	6.98476	6.98476	1.22505	1.22505	1772.788	63841.763	44.0564	0.0
1475.0	0.0	1.0	6.97416	7.84418	-0.27798	26.47998	30.87836	1.84477	0.54207	0.0	107.20654	0.0	0.49974	7.04728	7.04728	1.21072	1.21072	1774.55427	63621.976	43.9574	0.0
1470.0	0.0	1.0	6.97802	7.83985	-0.33311	26.42939	30.80366	1.84395	0.54231	0.0	107.39262	0.0	0.49974	7.11073	7.11073	1.19648	1.19648	1776.31722	63402.684	43.8584	0.0
1465.0	0.0	1.0	6.98187	7.83552	-0.38809	26.37885	30.72896	1.84313	0.54255	0.0	107.57871	0.0	0.49974	7.17512	7.17512	1.18235	1.18235	1778.07683	63183.881	43.7606	0.0
1460.0	0.0	1.0	6.98572	7.83121	-0.44291	26.32836	30.65426	1.84231	0.5428	0.0	107.76479	0.0	0.49974	7.24047	7.24047	1.1683	1.1683	1779.83306	62965.566	43.663	0.0
1455.0	0.0	1.0	6.98955	7.82691	-0.49757	26.27792	30.57957	1.84148	0.54304	0.0	107.95087	0.0	0.49974	7.3068	7.3068	1.15436	1.15436	1781.58587	62747.734	43.5664	0.0
1450.0	0.0	1.0	6.99338	7.82262	-0.55208	26.22754	30.50487	1.84065	0.54329	0.0	108.13695	0.0	0.49974	7.37412	7.37412	1.14051	1.14051	1783.33521	62530.411	43.4646	0.0
1445.0	0.0	1.0	6.99721	7.81835	-0.60643	26.17721	30.43017	1.83982	0.54353	0.0	108.32303	0.0	0.49974	7.44246	7.44246	1.12676	1.12676	1785.08105	62313.638	43.3546	0.0
1440.0	0.0	1.0	7.00103	7.81408	-0.66063	26.12694	30.35547	1.83898	0.54378	0.0	108.50912	0.0	0.49974	7.51184	7.51184	1.1131	1.1131	1786.82334	62097.407	43.2462	0.0
1439.28	0.0	1.0	7.00158	7.81347	-0.66843	26.11968	30.3447	1.83886	0.54382	0.0	108.53593	0.0	0.49974	7.52193	7.52193	1.11114	1.11114	1787.0741	62066.29	43.1911	0.0050
1435.0	0.16196	0.83804	7.0304	7.78142	-1.07591	25.12169	30.94065	1.79893	0.55589	0.0394936	102.5867	0.0133784	0.47602	7.55515	11.82873	1.10349	0.70481	1785.73033	60458.903	375.597	1422.809
1430.0	0.30675	0.69325	7.05703	7.75205	-1.44927	24.22053	31.48515	1.76265	0.56733	0.51924	97.3514	0.17848	0.45461	7.5945	44.95539	1.09456	0.18491	1784.29715	58976.573	296.466	2689.982
1426.67	0.38204	0.61796	7.07131	7.73636	-1.64874	23.74753	31.77152	1.74335	0.57361	1.26466	94.68389	0.43809	0.44338	7.62112	95.98206	1.08861	0.0864371	1783.41577	58177.74	 	3345.933
1425.0	0.44066	0.55934	7.08135	7.72547	-1.78717	23.40732	31.92648	1.73318	0.57698	2.03159	93.43667	0.70783	0.43509	7.63307	180.92052	1.08583	0.0458115	1782.01013	57501.294	295.056	3950.634
1420.0	0.57928	0.42072	7.10571	7.69899	-2.12382	22.59164	32.28894	1.70867	0.58525	5.84903	90.72089	2.06636	0.41529	7.66872	629.4597	1.0776	0.0131285	1778.21772	55863.46	327.567	5374.37
