T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.23988	0.76012	7.02837	7.79942	0.0	20.77296	32.87126	1.75771	0.56892	0.18718	96.0938	0.0638878	0.46494	7.16382	16.5261	1.20806	0.52367	1714.51766	65837.938	 	0.0
1495.0	0.85234	0.14766	7.12146	7.69744	-1.30761	17.60597	34.56962	1.66664	0.60001	31.31125	72.94739	11.39795	0.37355	7.17566	1135.33918	1.20266	0.00760117	1704.91967	60117.265	1144.13	5495.962
1490.0	0.96511	0.0348876	7.14108	7.67625	-1.57929	16.99109	34.85454	1.64834	0.60667	52.24707	68.87844	19.26154	0.35625	7.18674	1933.15499	1.19741	0.00445153	1695.263	58894.512	244.551	6494.562
1485.0	0.9919	0.0081012	7.14754	7.66928	-1.66864	16.82652	34.87828	1.64255	0.60881	58.80606	68.19242	21.74823	0.35197	7.19805	2249.40923	1.19214	0.00381482	1685.9702	58441.067	90.689	6724.412
1480.0	1.0	0.0	7.15107	7.66547	-1.71749	16.76213	34.84478	1.63945	0.60996	61.20723	68.25272	22.66032	0.35054	 	2426.92793	 	0.00352573	 	58155.272	57.159	6787.165
1475.0	1.0	0.0	7.15326	7.66313	-1.74753	16.74453	34.7863	1.63753	0.61068	61.63387	68.63936	22.82155	0.35034	 	2536.47688	 	0.00336383	 	57891.695	52.7154	 
1470.0	1.0	0.0	7.15544	7.66079	-1.77752	16.72694	34.72783	1.63559	0.6114	62.06477	69.02974	22.9844	0.35015	 	2651.64227	 	0.00320853	 	57679.57	42.425	 
1465.0	1.0	0.0	7.15762	7.65845	-1.80746	16.70934	34.66935	1.63365	0.61213	62.4999	69.42381	23.14887	0.34996	 	2772.74483	 	0.0030596	 	57467.792	42.3556	 
1460.0	1.0	0.0	7.1598	7.65612	-1.83736	16.69173	34.61087	1.6317	0.61286	62.93922	69.8215	23.31494	0.34976	 	2900.12543	 	0.0029168	 	57256.361	42.2862	 
1455.0	1.0	0.0	7.16198	7.65379	-1.8672	16.67412	34.55239	1.62975	0.61359	63.38268	70.22277	23.48259	0.34957	 	3034.14642	 	0.00277992	 	57045.277	42.2168	 
1450.0	1.0	0.0	7.16415	7.65147	-1.897	16.65651	34.49391	1.62779	0.61433	63.83026	70.62756	23.65181	0.34937	 	3175.19315	 	0.00264874	 	56834.535	42.1484	 
