T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.46264	8.14422	0.0	44.25498	31.31861	1.84485	0.54205	0.0	101.49922	0.0	0.49998	5.18984	5.18984	1.66755	1.66755	1576.9293	50346.898	 	0.0
1495.0	0.0	1.0	6.46661	8.13923	-0.061274	44.23935	31.24647	1.84389	0.54233	0.0	101.66437	0.0	0.49998	5.23309	5.23309	1.6491	1.6491	1577.53014	50138.209	41.7378	0.0
1490.0	0.0	1.0	6.47056	8.13425	-0.12241	44.224	31.17431	1.84294	0.54261	0.0	101.82952	0.0	0.49998	5.27694	5.27694	1.63078	1.63078	1578.11428	49929.882	41.6654	0.0
1485.0	0.0	1.0	6.47452	8.12928	-0.1834	44.20893	31.10214	1.84197	0.5429	0.0	101.99467	0.0	0.49998	5.32141	5.32141	1.61256	1.61256	1578.6816	49721.914	41.5936	0.0
1480.0	0.0	1.0	6.47847	8.12433	-0.24425	44.19415	31.02996	1.84101	0.54318	0.0	102.15983	0.0	0.49998	5.36651	5.36651	1.59446	1.59446	1579.23197	49514.302	41.5224	0.0
1475.0	0.0	1.0	6.48241	8.11938	-0.30496	44.17964	30.95777	1.84004	0.54347	0.0	102.32498	0.0	0.49998	5.41225	5.41225	1.57648	1.57648	1579.76526	49307.044	41.4516	0.0
1470.0	0.0	1.0	6.48635	8.11445	-0.36553	44.16543	30.88557	1.83906	0.54375	0.0	102.49013	0.0	0.49998	5.45866	5.45866	1.5586	1.5586	1580.28133	49100.137	41.3814	0.0
1465.0	0.0	1.0	6.49029	8.10953	-0.42596	44.1515	30.81336	1.83809	0.54404	0.0	102.65528	0.0	0.49998	5.50573	5.50573	1.54085	1.54085	1580.78005	48893.579	41.3116	0.0
1460.0	0.0	1.0	6.49422	8.10462	-0.48625	44.13787	30.74114	1.8371	0.54433	0.0	102.82044	0.0	0.49998	5.55348	5.55348	1.5232	1.5232	1581.26131	48687.368	41.2422	0.0
1455.0	0.0	1.0	6.49815	8.09972	-0.5464	44.12453	30.66891	1.83612	0.54463	0.0	102.98559	0.0	0.49998	5.60192	5.60192	1.50567	1.50567	1581.72496	48481.501	41.1734	0.0
1450.0	0.0	1.0	6.50207	8.09483	-0.60641	44.1115	30.59667	1.83513	0.54492	0.0	103.15074	0.0	0.49998	5.65107	5.65107	1.48826	1.48826	1582.17089	48276.03	41.0942	0.0
1445.0	0.0	1.0	6.50599	8.08996	-0.66628	44.09877	30.52441	1.83414	0.54522	0.0	103.31589	0.0	0.49998	5.70095	5.70095	1.47096	1.47096	1582.59896	48071.045	40.997	0.0
1440.0	0.0	1.0	6.50991	8.08509	-0.726	44.08634	30.45215	1.83314	0.54551	0.0	103.48105	0.0	0.49998	5.75155	5.75155	1.45377	1.45377	1583.00906	47866.532	40.9026	0.0
1435.0	0.0	1.0	6.51381	8.08024	-0.78559	44.07423	30.37988	1.83214	0.54581	0.0	103.6462	0.0	0.49998	5.80291	5.80291	1.4367	1.4367	1583.40106	47662.488	40.8088	0.0
1430.0	0.0	1.0	6.51772	8.0754	-0.84503	44.06242	30.30759	1.83113	0.54611	0.0	103.81135	0.0	0.49998	5.85503	5.85503	1.41974	1.41974	1583.77484	47458.909	40.7158	0.0
1425.0	0.0	1.0	6.52162	8.07057	-0.90434	44.05094	30.2353	1.83012	0.54641	0.0	103.9765	0.0	0.49998	5.90794	5.90794	1.4029	1.4029	1584.13028	47255.792	40.6234	0.0
1420.0	0.0	1.0	6.52552	8.06575	-0.9635	44.03977	30.16299	1.82911	0.54672	0.0	104.14165	0.0	0.49998	5.96163	5.96163	1.38617	1.38617	1584.46726	47053.135	40.5314	0.0
1415.0	0.0	1.0	6.52941	8.06094	-1.02253	44.02893	30.09068	1.82809	0.54702	0.0	104.30681	0.0	0.49998	6.01614	6.01614	1.36956	1.36956	1584.78567	46850.933	40.4404	0.0
1410.0	0.0	1.0	6.53329	8.05615	-1.08141	44.01841	30.01835	1.82706	0.54733	0.0	104.47196	0.0	0.49998	6.07147	6.07147	1.35306	1.35306	1585.08539	46649.179	40.3508	0.0
1405.0	0.0	1.0	6.53718	8.05136	-1.14015	44.00822	29.94601	1.82604	0.54763	0.0	104.63711	0.0	0.49998	6.12765	6.12765	1.33667	1.33667	1585.3663	46447.865	40.2628	0.0
1400.0	0.0	1.0	6.54105	8.04659	-1.19875	43.99837	29.87367	1.82501	0.54794	0.0	104.80226	0.0	0.49998	6.18468	6.18468	1.3204	1.3204	1585.6283	46246.986	40.1758	0.0
1395.0	0.0	1.0	6.54493	8.04183	-1.25721	43.98885	29.80131	1.82397	0.54825	0.0	104.96742	0.0	0.49998	6.2426	6.2426	1.30424	1.30424	1585.87127	46046.54	40.0892	0.0
