T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.94914	7.85595	0.0	28.94388	31.3245	1.8445	0.54215	0.0	106.21202	0.0	0.49779	6.63722	6.63722	1.3039	1.3039	1766.4423	64453.162	 	0.0
1495.0	0.0	1.0	6.95304	7.85155	-0.0560017	28.89907	31.24947	1.84372	0.54238	0.0	106.39702	0.0	0.49779	6.69517	6.69517	1.28897	1.28897	1768.2295	64231.931	44.2462	0.0
1490.0	0.0	1.0	6.95692	7.84716	-0.11185	28.85436	31.17445	1.84293	0.54262	0.0	106.58203	0.0	0.49779	6.75395	6.75395	1.27414	1.27414	1770.01355	64011.198	44.1466	0.0
1485.0	0.0	1.0	6.96081	7.84279	-0.16754	28.80975	31.09943	1.84213	0.54285	0.0	106.76704	0.0	0.49779	6.8136	6.8136	1.25941	1.25941	1771.79443	63790.961	44.0474	0.0
1480.0	0.0	1.0	6.96468	7.83842	-0.22307	28.76523	31.0244	1.84134	0.54308	0.0	106.95204	0.0	0.49779	6.87411	6.87411	1.24477	1.24477	1773.57208	63571.215	43.9492	0.0
1475.0	0.0	1.0	6.96855	7.83407	-0.27845	28.72081	30.94938	1.84054	0.54332	0.0	107.13705	0.0	0.49779	6.93551	6.93551	1.23023	1.23023	1775.34649	63351.959	43.8512	0.0
1470.0	0.0	1.0	6.97241	7.82974	-0.33367	28.67648	30.87436	1.83973	0.54356	0.0	107.32205	0.0	0.49779	6.99782	6.99782	1.21579	1.21579	1777.11759	63133.188	43.7542	0.0
1465.0	0.0	1.0	6.97626	7.82541	-0.38874	28.63226	30.79933	1.83892	0.5438	0.0	107.50706	0.0	0.49779	7.06105	7.06105	1.20145	1.20145	1778.88537	62914.9	43.6576	0.0
1460.0	0.0	1.0	6.98011	7.8211	-0.44365	28.58813	30.72431	1.83811	0.54404	0.0	107.69207	0.0	0.49779	7.12522	7.12522	1.1872	1.1872	1780.64977	62697.091	43.5618	0.0
1455.0	0.0	1.0	6.98395	7.81679	-0.49841	28.54411	30.64929	1.83729	0.54428	0.0	107.87707	0.0	0.49779	7.19035	7.19035	1.17305	1.17305	1782.41075	62479.759	43.4664	0.0
1450.0	0.0	1.0	6.98779	7.8125	-0.55301	28.50018	30.57426	1.83647	0.54452	0.0	108.06208	0.0	0.49779	7.25645	7.25645	1.159	1.159	1784.16827	62262.93	43.3658	0.0
1445.0	0.0	1.0	6.99161	7.80823	-0.60745	28.45636	30.49924	1.83565	0.54477	0.0	108.24709	0.0	0.49779	7.32356	7.32356	1.14505	1.14505	1785.92229	62046.649	43.2562	0.0
1440.0	0.0	1.0	6.99544	7.80396	-0.66174	28.41265	30.42422	1.83482	0.54501	0.0	108.43209	0.0	0.49779	7.39169	7.39169	1.1312	1.1312	1787.67276	61830.909	43.148	0.0
1435.0	0.0	1.0	6.99925	7.79971	-0.71588	28.36904	30.34919	1.83399	0.54526	0.0	108.6171	0.0	0.49779	7.46085	7.46085	1.11744	1.11744	1789.41965	61615.706	43.0406	0.0
1430.0	0.0	1.0	7.00306	7.79547	-0.76985	28.32553	30.27417	1.83315	0.54551	0.0	108.8021	0.0	0.49779	7.53107	7.53107	1.10378	1.10378	1791.1629	61401.035	42.9342	0.0
1429.66	0.0	1.0	7.00332	7.79518	-0.77356	28.32254	30.26901	1.83309	0.54553	0.0	108.81484	0.0	0.49779	7.53594	7.53594	1.10284	1.10284	1791.28278	61386.296	42.8198	0.0
1425.0	0.22342	0.77658	7.03987	7.75465	-1.28943	27.03118	30.64444	1.80569	0.55381	0.18648	106.7011	0.0635243	0.46779	7.5838	31.90941	1.09289	0.25974	1788.47148	58661.433	585.263	2525.46
1423.39	0.28173	0.71827	7.04967	7.74394	-1.42584	26.69545	30.74061	1.79833	0.55607	0.47489	106.17239	0.16264	0.45989	7.60068	66.97951	1.08943	0.12363	1787.53306	57934.812	 	3183.323
1420.0	0.41994	0.58006	7.07307	7.71847	-1.74997	25.88665	31.08159	1.77505	0.56337	1.53673	103.65019	0.53341	0.44048	7.62214	283.80253	1.08419	0.0291183	1784.90275	56347.11	462.865	4626.168
1415.0	0.56868	0.43132	7.09935	7.69016	-2.1104	25.00474	31.4446	1.74937	0.57163	4.29833	101.13805	1.51418	0.41936	7.65468	948.3508	1.07639	0.00868818	1781.38313	54581.642	353.094	6178.545
1410.0	0.67106	0.32894	7.11879	7.6696	-2.37211	24.38447	31.67887	1.73129	0.5776	8.35406	99.59537	2.9737	0.40466	7.68844	1905.52392	1.06849	0.00431117	1778.19655	53300.748	256.179	7246.865
1405.0	0.74456	0.25544	7.13404	7.65372	-2.57427	23.92195	31.83148	1.71788	0.58211	13.83013	98.64337	4.96066	0.39398	7.72346	3025.8851	1.06049	0.00270686	1775.30684	52322.023	195.745	8013.532
1400.0	0.79927	0.20073	7.14664	7.64082	-2.73843	23.56001	31.92998	1.70747	0.58566	20.80464	98.06826	7.5056	0.38594	7.75997	4229.5283	1.05235	0.00193077	1772.67747	51540.211	156.362	8583.797
1395.0	0.84121	0.15879	7.1575	7.6299	-2.8774	23.26456	31.99136	1.6991	0.58855	28.99692	97.74306	10.5084	0.3797	7.79829	5476.1022	1.04405	0.00148679	1770.27562	50892.598	129.523	9020.37
1390.0	0.87417	0.12583	7.1672	7.62032	-2.99943	23.01364	32.02634	1.69216	0.59096	37.77345	97.58984	13.73846	0.37473	7.838	6748.37753	1.03565	0.00120287	1768.07398	50339.687	110.582	9362.746
