T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.01771	7.90717	0.0	28.06521	31.77763	1.8182	0.54999	0.0	107.09849	0.0	0.49974	6.81976	6.81976	1.269	1.269	1657.79711	64978.799	 	0.0
1495.0	0.0	1.0	7.02161	7.90278	-0.0555437	28.01908	31.70214	1.81739	0.55024	0.0	107.28698	0.0	0.49974	6.87996	6.87996	1.25435	1.25435	1658.58685	64758.725	44.0148	0.0
1490.0	0.0	1.0	7.02551	7.8984	-0.11093	27.97303	31.62664	1.81658	0.55049	0.0	107.47547	0.0	0.49974	6.94102	6.94102	1.2398	1.2398	1659.36263	64539.133	43.9184	0.0
1485.0	0.0	1.0	7.02939	7.89403	-0.16617	27.92706	31.55113	1.81576	0.55073	0.0	107.66396	0.0	0.49974	7.00299	7.00299	1.22535	1.22535	1660.12429	64320.019	43.8228	0.0
1480.0	0.0	1.0	7.03327	7.88968	-0.22125	27.88117	31.47562	1.81494	0.55098	0.0	107.85244	0.0	0.49974	7.06586	7.06586	1.21099	1.21099	1660.87167	64101.38	43.7278	0.0
1475.0	0.0	1.0	7.03715	7.88533	-0.27618	27.83536	31.4001	1.81412	0.55123	0.0	108.04093	0.0	0.49974	7.12966	7.12966	1.19673	1.19673	1661.60463	63883.213	43.6334	0.0
1470.0	0.0	1.0	7.04101	7.881	-0.33095	27.78964	31.32457	1.81329	0.55148	0.0	108.22942	0.0	0.49974	7.19442	7.19442	1.18257	1.18257	1662.32299	63665.516	43.5394	0.0
1465.0	0.0	1.0	7.04487	7.87668	-0.38557	27.74399	31.24903	1.81246	0.55174	0.0	108.41791	0.0	0.49974	7.26013	7.26013	1.1685	1.1685	1663.02659	63448.284	43.4464	0.0
1460.0	0.0	1.0	7.04873	7.87238	-0.44003	27.69843	31.17349	1.81163	0.55199	0.0	108.6064	0.0	0.49974	7.32683	7.32683	1.15453	1.15453	1663.71528	63231.516	43.3536	0.0
1455.0	0.0	1.0	7.05258	7.86808	-0.49434	27.65296	31.09793	1.81079	0.55225	0.0	108.79489	0.0	0.49974	7.39454	7.39454	1.14066	1.14066	1664.38888	63015.208	43.2616	0.0
1450.0	0.0	1.0	7.05642	7.8638	-0.5485	27.60758	31.02237	1.80995	0.5525	0.0	108.98337	0.0	0.49974	7.46326	7.46326	1.12689	1.12689	1665.04724	62799.389	43.1638	0.0
1445.0	0.0	1.0	7.06025	7.85953	-0.6025	27.56228	30.9468	1.8091	0.55276	0.0	109.17186	0.0	0.49974	7.53304	7.53304	1.11321	1.11321	1665.69019	62584.11	43.0558	0.0
1440.0	0.0	1.0	7.06408	7.85527	-0.65635	27.51707	30.87122	1.80825	0.55302	0.0	109.36035	0.0	0.49974	7.60388	7.60388	1.09963	1.09963	1666.31755	62369.363	42.9494	0.0
1435.0	0.0	1.0	7.0679	7.85103	-0.71005	27.47194	30.79564	1.8074	0.55328	0.0	109.54884	0.0	0.49974	7.6758	7.6758	1.08615	1.08615	1666.92917	62155.144	42.8438	0.0
1430.0	0.0	1.0	7.07171	7.84679	-0.76359	27.42691	30.72005	1.80654	0.55354	0.0	109.73733	0.0	0.49974	7.74884	7.74884	1.07276	1.07276	1667.52486	61941.449	42.739	0.0
1425.0	0.0	1.0	7.07552	7.84257	-0.81697	27.38197	30.64445	1.80569	0.55381	0.0	109.92582	0.0	0.49974	7.823	7.823	1.05947	1.05947	1668.10447	61728.274	42.635	0.0
