T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.05278	7.89901	0.0	27.04457	30.81159	1.87521	0.53327	0.0	108.05447	0.0	0.49974	6.98028	6.98028	1.23982	1.23982	1770.56683	65462.674	 	0.0
1495.0	0.0	1.0	7.05669	7.89464	-0.0553719	26.99597	30.73439	1.87462	0.53344	0.0	108.24051	0.0	0.49974	7.04221	7.04221	1.22545	1.22545	1772.35494	65241.654	44.204	0.0
1490.0	0.0	1.0	7.06059	7.89028	-0.11059	26.94744	30.65719	1.87402	0.53361	0.0	108.42655	0.0	0.49974	7.10504	7.10504	1.21118	1.21118	1774.1401	65021.125	44.1058	0.0
1485.0	0.0	1.0	7.06448	7.88593	-0.16565	26.89896	30.57999	1.87342	0.53378	0.0	108.61259	0.0	0.49974	7.1688	7.1688	1.197	1.197	1775.92229	64801.085	44.008	0.0
1480.0	0.0	1.0	7.06837	7.88159	-0.22056	26.85056	30.50279	1.87282	0.53395	0.0	108.79863	0.0	0.49974	7.2335	7.2335	1.18292	1.18292	1777.70146	64581.53	43.911	0.0
1475.0	0.0	1.0	7.07225	7.87727	-0.27531	26.80221	30.42559	1.87222	0.53412	0.0	108.98467	0.0	0.49974	7.29916	7.29916	1.16894	1.16894	1779.47759	64362.456	43.8148	0.0
1470.0	0.0	1.0	7.07613	7.87295	-0.32991	26.75393	30.3484	1.87162	0.5343	0.0	109.17072	0.0	0.49974	7.3658	7.3658	1.15505	1.15505	1781.25064	64143.862	43.7188	0.0
1465.0	0.0	1.0	7.07999	7.86865	-0.38435	26.70572	30.2712	1.87101	0.53447	0.0	109.35676	0.0	0.49974	7.43343	7.43343	1.14126	1.14126	1783.02058	63925.742	43.624	0.0
1460.0	0.0	1.0	7.08385	7.86436	-0.43864	26.65758	30.194	1.87039	0.53465	0.0	109.5428	0.0	0.49974	7.50208	7.50208	1.12756	1.12756	1784.78736	63708.095	43.5294	0.0
1455.0	0.0	1.0	7.08771	7.86009	-0.49278	26.6095	30.1168	1.86978	0.53482	0.0	109.72884	0.0	0.49974	7.57177	7.57177	1.11396	1.11396	1786.55096	63490.917	43.4356	0.0
1450.0	0.0	1.0	7.09155	7.85582	-0.54675	26.56149	30.0396	1.86916	0.535	0.0	109.91488	0.0	0.49974	7.64252	7.64252	1.10046	1.10046	1788.31133	63274.238	43.3358	0.0
