T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.06619	7.88596	0.0	27.84495	30.80978	1.87532	0.53324	0.0	108.74794	0.0	0.49974	6.95429	6.95429	1.24446	1.24446	1770.46753	65433.905	 	0.0
1495.0	0.0	1.0	7.07011	7.88159	-0.0554393	27.79846	30.73248	1.87473	0.53341	0.0	108.93349	0.0	0.49974	7.01617	7.01617	1.23	1.23	1772.27005	65212.972	44.1866	0.0
1490.0	0.0	1.0	7.07402	7.87723	-0.11072	27.75204	30.65517	1.87415	0.53358	0.0	109.11905	0.0	0.49974	7.07896	7.07896	1.21564	1.21564	1774.0699	64992.518	44.0908	0.0
1485.0	0.0	1.0	7.07793	7.87288	-0.16585	27.70571	30.57786	1.87356	0.53374	0.0	109.3046	0.0	0.49974	7.14267	7.14267	1.20138	1.20138	1775.86703	64772.539	43.9958	0.0
1480.0	0.0	1.0	7.08183	7.86855	-0.22083	27.65946	30.50056	1.87296	0.53391	0.0	109.49015	0.0	0.49974	7.20732	7.20732	1.18722	1.18722	1777.66142	64553.032	43.9014	0.0
1475.0	0.0	1.0	7.08572	7.86422	-0.27564	27.61329	30.42325	1.87237	0.53408	0.0	109.67571	0.0	0.49974	7.27293	7.27293	1.17316	1.17316	1779.45303	64333.995	43.8074	0.0
1470.0	0.0	1.0	7.08961	7.85991	-0.33031	27.5672	30.34594	1.87177	0.53425	0.0	109.86126	0.0	0.49974	7.33952	7.33952	1.15919	1.15919	1781.24185	64115.424	43.7142	0.0
1465.0	0.0	1.0	7.09349	7.85561	-0.38482	27.5212	30.26863	1.87117	0.53443	0.0	110.04682	0.0	0.49974	7.40711	7.40711	1.14532	1.14532	1783.02782	63897.317	43.6214	0.0
1460.0	0.0	1.0	7.09736	7.85133	-0.43917	27.47528	30.19133	1.87056	0.5346	0.0	110.23237	0.0	0.49974	7.47572	7.47572	1.13154	1.13154	1784.81094	63679.669	43.5296	0.0
1455.0	0.0	1.0	7.10123	7.84705	-0.49337	27.42945	30.11402	1.86995	0.53477	0.0	110.41793	0.0	0.49974	7.54536	7.54536	1.11786	1.11786	1786.59115	63462.479	43.438	0.0
1450.0	0.0	1.0	7.10508	7.84279	-0.54741	27.3837	30.03671	1.86934	0.53495	0.0	110.60348	0.0	0.49974	7.61607	7.61607	1.10428	1.10428	1788.36842	63245.78	43.3398	0.0
1445.0	0.0	1.0	7.10894	7.83854	-0.6013	27.33804	29.95941	1.86873	0.53512	0.0	110.78903	0.0	0.49974	7.68785	7.68785	1.09079	1.09079	1790.14273	63029.632	43.2296	0.0
1440.0	0.0	1.0	7.11278	7.8343	-0.65503	27.29246	29.8821	1.86811	0.5353	0.0	110.97459	0.0	0.49974	7.76073	7.76073	1.07741	1.07741	1791.91404	62814.024	43.1216	0.0
1435.0	0.0	1.0	7.11662	7.83008	-0.70861	27.24698	29.80479	1.86749	0.53548	0.0	111.16014	0.0	0.49974	7.83474	7.83474	1.06411	1.06411	1793.68231	62598.952	43.0144	0.0
1430.0	0.0	1.0	7.12045	7.82587	-0.76203	27.20158	29.72749	1.86686	0.53566	0.0	111.3457	0.0	0.49974	7.9099	7.9099	1.05092	1.05092	1795.44751	62384.413	42.9078	0.0
1425.0	0.0	1.0	7.12427	7.82167	-0.8153	27.15628	29.65018	1.86624	0.53584	0.0	111.53125	0.0	0.49974	7.98622	7.98622	1.03782	1.03782	1797.2096	62170.404	42.8018	0.0
1420.0	0.0	1.0	7.12809	7.81748	-0.86841	27.11106	29.57287	1.8656	0.53602	0.0	111.71681	0.0	0.49974	8.06374	8.06374	1.02482	1.02482	1798.96855	61956.92	42.6968	0.0
