T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.03079	0.96921	7.06743	7.8582	0.0	21.86407	32.16938	1.79606	0.55677	4.19879E-5	103.93769	1.40423E-5	0.49505	7.4167	7.72788	1.16687	1.11988	1759.77606	67850.809	 	0.0
1495.0	0.39907	0.60093	7.12644	7.79317	-0.82753	19.88041	33.27183	1.73165	0.57748	1.29866	88.02987	0.4506	0.44103	7.45477	85.18078	1.15763	0.10131	1748.42072	64126.105	744.941	3501.478
1490.0	0.57486	0.42514	7.15614	7.76085	-1.23886	18.92179	33.79896	1.69982	0.5883	5.73297	80.54176	2.02604	0.41482	7.49256	347.88149	1.14854	0.0247369	1739.92101	62252.695	374.682	5152.258
1485.0	0.67667	0.32333	7.17436	7.74115	-1.48945	18.35913	34.09081	1.68049	0.59506	11.19897	76.34066	4.00119	0.39945	7.53091	692.81893	1.13945	0.0123858	1733.2672	61088.842	232.771	6094.073
1480.0	0.74249	0.25751	7.18702	7.72756	-1.66246	17.9875	34.26281	1.6673	0.59977	16.46064	73.75467	5.92362	0.38941	7.5692	1052.8416	1.13046	0.00812723	1727.89388	60268.339	164.101	6693.125
1475.0	0.78822	0.21178	7.19654	7.71739	-1.79192	17.72314	34.36611	1.65755	0.6033	21.15694	72.07692	7.65254	0.38235	7.60772	1404.86787	1.12153	0.00607337	1723.45034	59638.561	125.956	7102.034
1470.0	0.82165	0.17835	7.20415	7.70926	-1.89528	17.52296	34.42661	1.6499	0.6061	25.25286	70.95806	9.16874	0.37712	7.64609	1743.64254	1.11271	0.00487937	1719.70536	59124.972	102.718	7395.335
1465.0	0.84704	0.15296	7.21049	7.70254	-1.98083	17.36663	34.45894	1.64363	0.60841	28.81126	70.20746	10.49138	0.37309	7.685	2070.17483	1.1039	0.00409795	1716.49635	58687.033	87.5878	7613.561
1460.0	0.86691	0.13309	7.21597	7.69676	-2.0544	17.2397	34.47174	1.63829	0.61039	31.91576	69.71132	11.64898	0.36989	7.72437	2387.31911	1.09512	0.00354334	1713.70782	58300.901	77.2264	7780.552
1455.0	0.88283	0.11717	7.22083	7.69164	-2.11959	17.13331	34.47048	1.63362	0.61214	34.64401	69.39858	12.66886	0.36729	7.7636	2698.23596	1.08644	0.00312599	1711.25478	57951.692	69.8418	7911.186
1450.0	0.89584	0.10416	7.22523	7.68701	-2.17843	17.04247	34.45884	1.62945	0.61371	37.06288	69.22221	13.57492	0.36512	7.8033	3006.07261	1.07778	0.00279776	1709.07138	57629.666	64.4052	8015.202
1445.0	0.90663	0.093369	7.22928	7.68276	-2.23249	16.96332	34.43929	1.62564	0.61514	39.22625	69.15021	14.38662	0.36329	7.84316	3313.54179	1.06919	0.00253079	1707.10738	57328.187	60.2958	8099.235
1440.0	0.91572	0.0842783	7.23307	7.67879	-2.283	16.89274	34.41362	1.62212	0.61648	41.18027	69.1593	15.12079	0.36171	7.88315	3623.28304	1.06068	0.0023077	1705.32375	57042.592	57.119	8167.942
1435.0	0.92347	0.0765331	7.23665	7.67507	-2.33035	16.82987	34.38315	1.61882	0.61773	42.95753	69.23396	15.78931	0.36034	7.92361	3937.29551	1.05218	0.00211746	1703.68673	56769.51	54.6164	8224.691
1430.0	0.93013	0.069866	7.24005	7.67153	-2.37542	16.7725	34.34878	1.61569	0.61893	44.58832	69.36132	16.40333	0.35912	7.96454	4257.67733	1.04371	0.00195239	1702.17169	56506.447	52.6126	8271.972
1425.0	0.93592	0.0640759	7.24331	7.66814	-2.41861	16.71962	34.31125	1.61271	0.62007	46.09556	69.53232	16.9713	0.35804	8.00562	4586.23311	1.0353	0.0018072	1700.7571	56251.524	50.9846	8311.662
1420.0	0.94099	0.0590052	7.24647	7.66487	-2.46025	16.67042	34.27113	1.60985	0.62118	47.4984	69.73976	17.50031	0.35707	8.04683	4924.69221	1.02697	0.00167804	1699.42522	56003.297	49.6454	8345.198
1415.0	0.94547	0.0545331	7.24952	7.66171	-2.50044	16.62469	34.22887	1.60708	0.62225	48.81198	69.97824	17.99595	0.35619	8.08888	5274.6794	1.01861	0.00156207	1698.15953	55760.644	48.5306	8373.703
1412.06	0.94785	0.052149	7.25128	7.65989	-2.52361	16.59886	34.20312	1.60548	0.62287	49.54703	70.1312	18.27343	0.35571	8.11346	5486.22154	1.01376	0.00149923	1697.43784	55620.249	47.7578	8388.44
1410.0	0.95048	0.0495206	7.25297	7.65814	-2.54582	16.56491	34.18877	1.60419	0.62337	50.29154	70.20107	18.55466	0.35523	8.13568	5666.00249	1.00975	0.00144988	1696.67999	55511.342	52.8605	8409.392
1405.0	0.95605	0.0439503	7.25681	7.65416	-2.59644	16.49083	34.15089	1.6012	0.62453	51.95273	70.4086	19.18251	0.35417	8.18907	6104.84584	1.00019	0.00134166	1694.96334	55255.547	51.159	8452.108
1403.34	0.95767	0.042329	7.25802	7.65292	-2.61227	16.46875	34.13742	1.60025	0.6249	52.46196	70.48851	19.37505	0.35385	8.20719	6251.51477	0.99699	0.00130889	1694.411	55172.802	 	8464.111
