T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.09815	7.88746	0.0	28.70907	30.32491	1.9053	0.52485	0.0	110.27472	0.0	0.49674	6.90192	6.90192	1.2539	1.2539	1800.96833	64163.97	 	0.0
1495.0	0.0	1.0	7.10205	7.88313	-0.0549124	28.66638	30.24915	1.90469	0.52502	0.0	110.45733	0.0	0.49674	6.96388	6.96388	1.23924	1.23924	1802.88434	63945.759	43.6422	0.0
1490.0	0.0	1.0	7.10594	7.87881	-0.10967	28.62379	30.17338	1.90407	0.52519	0.0	110.63994	0.0	0.49674	7.02675	7.02675	1.22468	1.22468	1804.7984	63727.992	43.5534	0.0
1485.0	0.0	1.0	7.10983	7.87451	-0.16428	28.58131	30.09762	1.90345	0.52536	0.0	110.82255	0.0	0.49674	7.09055	7.09055	1.21022	1.21022	1806.7105	63510.666	43.4652	0.0
1480.0	0.0	1.0	7.11371	7.87021	-0.21873	28.53892	30.02186	1.90283	0.52553	0.0	111.00517	0.0	0.49674	7.1553	7.1553	1.19585	1.19585	1808.62062	63293.778	43.3776	0.0
1475.0	0.0	1.0	7.11758	7.86593	-0.27304	28.49664	29.9461	1.9022	0.52571	0.0	111.18778	0.0	0.49674	7.22102	7.22102	1.18159	1.18159	1810.52872	63077.326	43.2904	0.0
1470.0	0.0	1.0	7.12145	7.86166	-0.32719	28.45446	29.87033	1.90157	0.52588	0.0	111.37039	0.0	0.49674	7.28772	7.28772	1.16743	1.16743	1812.4348	62861.307	43.2038	0.0
1465.0	0.0	1.0	7.12531	7.8574	-0.38118	28.41239	29.79457	1.90094	0.52606	0.0	111.553	0.0	0.49674	7.35543	7.35543	1.15336	1.15336	1814.33881	62645.719	43.1176	0.0
1460.0	0.0	1.0	7.12916	7.85315	-0.43503	28.37043	29.71881	1.9003	0.52623	0.0	111.73561	0.0	0.49674	7.42417	7.42417	1.1394	1.1394	1816.24073	62430.558	43.0322	0.0
1455.0	0.0	1.0	7.13301	7.84892	-0.48872	28.32857	29.64304	1.89966	0.52641	0.0	111.91822	0.0	0.49674	7.49395	7.49395	1.12553	1.12553	1818.14053	62215.822	42.9472	0.0
1450.0	0.0	1.0	7.13685	7.84469	-0.54226	28.28681	29.56728	1.89902	0.52659	0.0	112.10083	0.0	0.49674	7.56479	7.56479	1.11176	1.11176	1820.03819	62001.555	42.8534	0.0
1445.0	0.0	1.0	7.14068	7.84048	-0.59565	28.24517	29.49152	1.89837	0.52677	0.0	112.28344	0.0	0.49674	7.63673	7.63673	1.0981	1.0981	1821.93368	61787.832	42.7446	0.0
1440.0	0.0	1.0	7.14451	7.83628	-0.64888	28.20364	29.41576	1.89772	0.52695	0.0	112.46605	0.0	0.49674	7.70977	7.70977	1.08453	1.08453	1823.82697	61574.641	42.6382	0.0
1435.0	0.0	1.0	7.14833	7.8321	-0.70197	28.16222	29.33999	1.89707	0.52713	0.0	112.64866	0.0	0.49674	7.78395	7.78395	1.07106	1.07106	1825.71803	61361.978	42.5326	0.0
1430.0	0.0	1.0	7.15214	7.82792	-0.7549	28.12092	29.26423	1.89642	0.52731	0.0	112.83127	0.0	0.49674	7.85928	7.85928	1.05769	1.05769	1827.60682	61149.841	42.4274	0.0
1425.0	0.0	1.0	7.15595	7.82376	-0.80767	28.07973	29.18847	1.89576	0.52749	0.0	113.01388	0.0	0.49674	7.93579	7.93579	1.04441	1.04441	1829.49333	60938.226	42.323	0.0
1420.0	0.0	1.0	7.15974	7.81961	-0.8603	28.03865	29.1127	1.89509	0.52768	0.0	113.19649	0.0	0.49674	8.01351	8.01351	1.03124	1.03124	1831.37751	60727.13	42.2192	0.0
1415.0	0.0	1.0	7.16354	7.81547	-0.91277	27.99769	29.03694	1.89443	0.52786	0.0	113.3791	0.0	0.49674	8.09245	8.09245	1.01816	1.01816	1833.25933	60516.548	42.1164	0.0
1410.0	0.0	1.0	7.16732	7.81134	-0.96509	27.95685	28.96118	1.89376	0.52805	0.0	113.56171	0.0	0.49674	8.17265	8.17265	1.00519	1.00519	1835.13877	60306.478	42.014	0.0
1405.0	0.0	1.0	7.1711	7.80723	-1.01726	27.91612	28.88541	1.89308	0.52824	0.0	113.74432	0.0	0.49674	8.25412	8.25412	0.99231	0.99231	1837.01579	60096.915	41.9126	0.0
1403.17	0.0	1.0	7.17248	7.80572	-1.03632	27.90124	28.85767	1.89284	0.52831	0.0	113.81119	0.0	0.49674	8.28428	8.28428	0.98762	0.98762	1837.70244	60020.326	41.8355	0.0
1400.0	0.10755	0.89245	7.19008	7.78651	-1.27996	27.29988	29.03719	1.87758	0.5326	0.0112333	113.30117	0.00378969	0.48209	8.34393	11.3979	0.9787	0.71647	1837.69699	58630.15	438.641	1257.702
1395.0	0.24923	0.75077	7.21366	7.76107	-1.6024	26.51532	29.27219	1.85694	0.53852	0.32951	112.67137	0.11265	0.4626	8.43934	65.89815	0.96475	0.12355	1837.7255	56769.699	372.09	2909.595
